dttm,th,origin
2021-12-13 00:00:00,5.586,H
2021-12-13 01:00:00,5.364,H
2021-12-13 02:00:00,5.02,H
2021-12-13 03:00:00,4.623,H
2021-12-13 04:00:00,3.962,H
2021-12-13 05:00:00,3.225,H
2021-12-13 06:00:00,2.996,H
2021-12-13 07:00:00,2.925,H
2021-12-13 08:00:00,2.766,H
2021-12-13 09:00:00,4.667,R
2021-12-13 10:00:00,5.848,R
2021-12-13 11:00:00,6.537,R
2021-12-13 12:00:00,8.214,H
2021-12-13 13:00:00,8.613,H
2021-12-13 14:00:00,8.697,H
2021-12-13 15:00:00,8.199,H
2021-12-13 16:00:00,6.909,H
2021-12-13 17:00:00,5.945,H
2021-12-13 18:00:00,5.603,H
2021-12-13 19:00:00,4.814,H
2021-12-13 20:00:00,4.224,H
2021-12-13 21:00:00,4.085,H
2021-12-13 22:00:00,3.753,H
2021-12-13 23:00:00,3.348,H
2021-12-14 00:00:00,3.612,H
2021-12-14 01:00:00,2.659,H
2021-12-14 02:00:00,2.499,H
2021-12-14 03:00:00,2.034,H
2021-12-14 04:00:00,1.184,H
2021-12-14 05:00:00,1.402,H
2021-12-14 06:00:00,2.07,H
2021-12-14 07:00:00,2.285,H
2021-12-14 08:00:00,2.73,H
2021-12-14 09:00:00,3.682,H
2021-12-14 10:00:00,5.085,H
2021-12-14 11:00:00,6.368,H
2021-12-14 12:00:00,5.467,H
2021-12-14 13:00:00,5.483,H
2021-12-14 14:00:00,5.295,H
2021-12-14 15:00:00,5.14,H
2021-12-14 16:00:00,4.553,H
2021-12-14 17:00:00,4.12,H
2021-12-14 18:00:00,3.613,H
2021-12-14 19:00:00,3.613,H
2021-12-14 20:00:00,3.682,R
2021-12-14 21:00:00,3.928,H
2021-12-14 22:00:00,4.067,H
2021-12-14 23:00:00,3.977,R
2021-12-15 00:00:00,4.067,H
2021-12-15 01:00:00,4.273,R
2021-12-15 02:00:00,4.085,H
2021-12-15 03:00:00,4.015,H
2021-12-15 04:00:00,4.05,H
2021-12-15 05:00:00,3.893,H
2021-12-15 06:00:00,3.946,H
2021-12-15 07:00:00,3.981,H
2021-12-15 08:00:00,4.241,H
2021-12-15 09:00:00,4.189,H
2021-12-15 10:00:00,4.415,H
2021-12-15 11:00:00,5.123,H
2021-12-15 12:00:00,5.364,H
2021-12-15 13:00:00,5.21,H
2021-12-15 14:00:00,5.175,H
2021-12-15 15:00:00,5.054,H
2021-12-15 16:00:00,5.003,H
2021-12-15 17:00:00,5.192,H
2021-12-15 18:00:00,5.192,H
2021-12-15 19:00:00,5.21,H
2021-12-15 20:00:00,5.192,H
2021-12-15 21:00:00,4.968,H
2021-12-15 22:00:00,5.003,H
2021-12-15 23:00:00,5.072,H
2021-12-16 00:00:00,4.865,H
2021-12-16 01:00:00,4.606,H
2021-12-16 02:00:00,4.727,H
2021-12-16 03:00:00,4.45,H
2021-12-16 04:00:00,4.259,H
2021-12-16 05:00:00,4.189,H
2021-12-16 06:00:00,3.753,H
2021-12-16 07:00:00,3.595,H
2021-12-16 08:00:00,4.155,H
2021-12-16 09:00:00,4.985,H
2021-12-16 10:00:00,5.689,H
2021-12-16 11:00:00,6.792,H
2021-12-16 12:00:00,6.437,H
2021-12-16 13:00:00,6.438,H
2021-12-16 14:00:00,6.59,H
2021-12-16 15:00:00,6.302,H
2021-12-16 16:00:00,5.945,H
2021-12-16 17:00:00,5.45,H
2021-12-16 18:00:00,5.415,H
2021-12-16 19:00:00,4.726,H
2021-12-16 20:00:00,4.067,H
2021-12-16 21:00:00,3.384,H
2021-12-16 22:00:00,3.119,H
2021-12-16 23:00:00,2.446,H
2021-12-17 00:00:00,2.052,H
2021-12-17 01:00:00,1.638,H
2021-12-17 02:00:00,1.818,H
2021-12-17 03:00:00,1.746,H
2021-12-17 04:00:00,1.548,H
2021-12-17 05:00:00,1.039,H
2021-12-17 06:00:00,0.305,H
2021-12-17 07:00:00,-0.288,H
2021-12-17 08:00:00,0.342,H
2021-12-17 09:00:00,2.304,R
2021-12-17 10:00:00,3.119,H
2021-12-17 11:00:00,4.47,R
2021-12-17 12:00:00,5.06,R
2021-12-17 13:00:00,5.072,H
2021-12-17 14:00:00,4.779,H
2021-12-17 15:00:00,3.963,H
2021-12-17 16:00:00,3.261,H
2021-12-17 17:00:00,2.872,H
2021-12-17 18:00:00,2.428,H
2021-12-17 19:00:00,1.764,H
2021-12-17 20:00:00,1.075,H
2021-12-17 21:00:00,0.635,H
2021-12-17 22:00:00,0.306,H
2021-12-17 23:00:00,0.692,H
2021-12-18 00:00:00,0.472,H
2021-12-18 01:00:00,0.911,H
2021-12-18 02:00:00,0.857,H
2021-12-18 03:00:00,1.021,H
2021-12-18 04:00:00,0.911,H
2021-12-18 05:00:00,0.71,H
2021-12-18 06:00:00,0.435,H
2021-12-18 07:00:00,0.287,H
2021-12-18 08:00:00,0.232,H
2021-12-18 09:00:00,0.619,H
2021-12-18 10:00:00,0.784,H
2021-12-18 11:00:00,1.547,H
2021-12-18 12:00:00,1.854,H
2021-12-18 13:00:00,2.321,H
2021-12-18 14:00:00,2.587,H
2021-12-18 15:00:00,2.895,R
2021-12-18 16:00:00,2.373,H
2021-12-18 17:00:00,2.034,H
2021-12-18 18:00:00,2.285,H
2021-12-18 19:00:00,2.784,H
2021-12-18 20:00:00,2.766,H
2021-12-18 21:00:00,2.588,H
2021-12-18 22:00:00,2.464,H
2021-12-18 23:00:00,2.463,H
2021-12-19 00:00:00,2.374,H
2021-12-19 01:00:00,2.213,H
2021-12-19 02:00:00,2.088,H
2021-12-19 03:00:00,2.107,R
2021-12-19 04:00:00,1.926,H
2021-12-19 05:00:00,1.854,H
2021-12-19 06:00:00,1.872,H
2021-12-19 07:00:00,1.42,H
2021-12-19 08:00:00,1.312,H
2021-12-19 09:00:00,1.548,H
2021-12-19 10:00:00,1.746,H
2021-12-19 11:00:00,1.908,H
2021-12-19 12:00:00,2.267,H
2021-12-19 13:00:00,2.374,H
2021-12-19 14:00:00,1.944,H
2021-12-19 15:00:00,1.457,H
2021-12-19 16:00:00,1.221,H
2021-12-19 17:00:00,0.893,H
2021-12-19 18:00:00,0.692,H
2021-12-19 19:00:00,0.692,H
2021-12-19 20:00:00,0.711,H
2021-12-19 21:00:00,0.766,H
2021-12-19 22:00:00,0.637,H
2021-12-19 23:00:00,0.545,H
2021-12-20 00:00:00,0.471,H
2021-12-20 01:00:00,0.435,H
2021-12-20 02:00:00,0.287,H
2021-12-20 03:00:00,0.287,H
2021-12-20 04:00:00,0.545,H
2021-12-20 05:00:00,0.38,H
2021-12-20 06:00:00,-0.232,H
2021-12-20 07:00:00,-0.794,H
2021-12-20 08:00:00,-0.607,H
2021-12-20 09:00:00,1.311,H
2021-12-20 10:00:00,1.812,R
2021-12-20 11:00:00,3.091,R
2021-12-20 12:00:00,5.31,H
2021-12-20 13:00:00,4.467,H
2021-12-20 14:00:00,4.986,H
2021-12-20 15:00:00,4.205,H
2021-12-20 16:00:00,2.765,H
2021-12-20 17:00:00,2.267,H
2021-12-20 18:00:00,1.782,H
2021-12-20 19:00:00,1.51,H
2021-12-20 20:00:00,0.508,H
2021-12-20 21:00:00,-0.009,H
2021-12-20 22:00:00,-0.232,H
2021-12-20 23:00:00,-0.907,H
2021-12-21 00:00:00,-1.247,H
2021-12-21 01:00:00,-1.684,H
2021-12-21 02:00:00,-2.204,H
2021-12-21 03:00:00,-3.198,H
2021-12-21 04:00:00,-3.871,H
2021-12-21 05:00:00,-3.732,H
2021-12-21 06:00:00,-3.732,H
2021-12-21 07:00:00,-3.871,H
2021-12-21 08:00:00,-3.752,H
2021-12-21 09:00:00,-3.139,H
2021-12-21 10:00:00,-2.398,H
2021-12-21 11:00:00,-2.069,H
2021-12-21 12:00:00,-1.475,H
2021-12-21 13:00:00,-1.398,H
2021-12-21 14:00:00,-1.304,H
2021-12-21 15:00:00,-1.608,H
2021-12-21 16:00:00,-1.646,H
2021-12-21 17:00:00,-1.627,H
2021-12-21 18:00:00,-1.513,H
2021-12-21 19:00:00,-1.722,H
2021-12-21 20:00:00,-1.704,H
2021-12-21 21:00:00,-1.646,H
2021-12-21 22:00:00,-1.857,H
2021-12-21 23:00:00,-2.281,H
2021-12-22 00:00:00,-2.805,H
2021-12-22 01:00:00,-3.178,H
2021-12-22 02:00:00,-3.892,H
2021-12-22 03:00:00,-4.983,H
2021-12-22 04:00:00,-5.29,H
2021-12-22 05:00:00,-5.912,H
2021-12-22 06:00:00,-5.849,H
2021-12-22 07:00:00,-5.912,H
2021-12-22 08:00:00,-6.184,H
2021-12-22 09:00:00,-4.588,R
2021-12-22 10:00:00,-3.111,R
2021-12-22 11:00:00,-1.437,R
2021-12-22 12:00:00,-0.438,H
2021-12-22 13:00:00,0.139,H
2021-12-22 14:00:00,0.49,H
2021-12-22 15:00:00,0.176,H
2021-12-22 16:00:00,-0.757,H
2021-12-22 17:00:00,-1.456,H
2021-12-22 18:00:00,-2.011,H
2021-12-22 19:00:00,-2.261,H
2021-12-22 20:00:00,-2.513,H
2021-12-22 21:00:00,-3.12,H
2021-12-22 22:00:00,-3.573,H
2021-12-22 23:00:00,-3.613,H
2021-12-23 00:00:00,-3.573,H
2021-12-23 01:00:00,-3.593,H
2021-12-23 02:00:00,-3.355,H
2021-12-23 03:00:00,-2.981,H
2021-12-23 04:00:00,-2.884,H
2021-12-23 05:00:00,-3.296,H
2021-12-23 06:00:00,-3.375,H
2021-12-23 07:00:00,-2.903,H
2021-12-23 08:00:00,3.485,R
2021-12-23 09:00:00,2.899,H
2021-12-23 10:00:00,1.961,H
2021-12-23 11:00:00,8.398,H
2021-12-23 12:00:00,9.289,H
2021-12-23 13:00:00,9.864,H
2021-12-23 14:00:00,9.833,H
2021-12-23 15:00:00,9.997,H
2021-12-23 16:00:00,10.161,H
2021-12-23 17:00:00,10.732,H
2021-12-23 18:00:00,10.911,H
2021-12-23 19:00:00,11.074,H
2021-12-23 20:00:00,11.366,H
2021-12-23 21:00:00,10.83,H
2021-12-23 22:00:00,11.164,R
2021-12-23 23:00:00,11.415,H
2021-12-24 00:00:00,11.56,H
2021-12-24 01:00:00,11.139,H
2021-12-24 02:00:00,10.781,H
2021-12-24 03:00:00,10.944,H
2021-12-24 04:00:00,10.813,H
2021-12-24 05:00:00,10.667,H
2021-12-24 06:00:00,10.504,H
2021-12-24 07:00:00,10.145,H
2021-12-24 08:00:00,9.849,H
2021-12-24 09:00:00,9.011,H
2021-12-24 10:00:00,8.995,H
2021-12-24 11:00:00,9.291,H
2021-12-24 12:00:00,9.817,H
2021-12-24 13:00:00,9.981,H
2021-12-24 14:00:00,10.079,H
2021-12-24 15:00:00,10.079,H
2021-12-24 16:00:00,10.406,H
2021-12-24 17:00:00,10.569,H
