"Plot Title: 10350067"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10350067, SEN S/N: 10350067)","Intensity, Lux (LGR S/N: 10350067, SEN S/N: 10350067)"
1,12/17/2016 12:00:00 AM,-0.213,21.5
2,12/17/2016 12:05:00 AM,-0.213,21.5
3,12/17/2016 12:10:00 AM,-0.213,21.5
4,12/17/2016 12:15:00 AM,-0.325,10.8
5,12/17/2016 12:20:00 AM,-0.325,21.5
6,12/17/2016 12:25:00 AM,-0.325,21.5
7,12/17/2016 12:30:00 AM,-0.325,21.5
8,12/17/2016 12:35:00 AM,-0.325,10.8
9,12/17/2016 12:40:00 AM,-0.325,10.8
10,12/17/2016 12:45:00 AM,-0.213,21.5
11,12/17/2016 12:50:00 AM,-0.325,21.5
12,12/17/2016 12:55:00 AM,-0.325,21.5
13,12/17/2016 01:00:00 AM,-0.325,10.8
14,12/17/2016 01:05:00 AM,-0.213,10.8
15,12/17/2016 01:10:00 AM,-0.213,21.5
16,12/17/2016 01:15:00 AM,-0.325,21.5
17,12/17/2016 01:20:00 AM,-0.325,21.5
18,12/17/2016 01:25:00 AM,-0.325,10.8
19,12/17/2016 01:30:00 AM,-0.213,0.0
20,12/17/2016 01:35:00 AM,-0.213,10.8
21,12/17/2016 01:40:00 AM,-0.102,10.8
22,12/17/2016 01:45:00 AM,-0.102,10.8
23,12/17/2016 01:50:00 AM,-0.102,10.8
24,12/17/2016 01:55:00 AM,-0.213,10.8
25,12/17/2016 02:00:00 AM,-0.325,10.8
26,12/17/2016 02:05:00 AM,-0.437,10.8
27,12/17/2016 02:10:00 AM,-0.549,10.8
28,12/17/2016 02:15:00 AM,-0.549,10.8
29,12/17/2016 02:20:00 AM,-0.549,10.8
30,12/17/2016 02:25:00 AM,-0.549,0.0
31,12/17/2016 02:30:00 AM,-0.887,0.0
32,12/17/2016 02:35:00 AM,-1.001,10.8
33,12/17/2016 02:40:00 AM,-1.228,10.8
34,12/17/2016 02:45:00 AM,-1.456,10.8
35,12/17/2016 02:50:00 AM,-1.456,21.5
36,12/17/2016 02:55:00 AM,-1.341,10.8
37,12/17/2016 03:00:00 AM,-1.228,0.0
38,12/17/2016 03:05:00 AM,-1.228,10.8
39,12/17/2016 03:10:00 AM,-1.114,21.5
40,12/17/2016 03:15:00 AM,-1.001,0.0
41,12/17/2016 03:20:00 AM,-0.887,10.8
42,12/17/2016 03:25:00 AM,-0.774,10.8
43,12/17/2016 03:30:00 AM,-0.774,10.8
44,12/17/2016 03:35:00 AM,-0.662,0.0
45,12/17/2016 03:40:00 AM,-0.662,10.8
46,12/17/2016 03:45:00 AM,-0.662,10.8
47,12/17/2016 03:50:00 AM,-0.774,0.0
48,12/17/2016 03:55:00 AM,-0.774,10.8
49,12/17/2016 04:00:00 AM,-0.774,0.0
50,12/17/2016 04:05:00 AM,-0.887,21.5
51,12/17/2016 04:10:00 AM,-0.887,0.0
52,12/17/2016 04:15:00 AM,-0.887,0.0
53,12/17/2016 04:20:00 AM,-0.774,10.8
54,12/17/2016 04:25:00 AM,-0.774,10.8
55,12/17/2016 04:30:00 AM,-0.774,10.8
56,12/17/2016 04:35:00 AM,-0.774,10.8
57,12/17/2016 04:40:00 AM,-0.662,21.5
58,12/17/2016 04:45:00 AM,-0.662,10.8
59,12/17/2016 04:50:00 AM,-0.774,10.8
60,12/17/2016 04:55:00 AM,-0.774,10.8
61,12/17/2016 05:00:00 AM,-0.774,10.8
62,12/17/2016 05:05:00 AM,-0.774,0.0
63,12/17/2016 05:10:00 AM,-0.774,0.0
64,12/17/2016 05:15:00 AM,-0.774,10.8
