#HOBO_ID 10347377
#Location_Lat_Lon 47.590 7.501
#Alt_above_ground 8
#Exposition N
#Influence_class 3
id	date	hm	ta	lux
1	2018-12-09	00:00	10.553	0
2	2018-12-09	00:10	10.651	0
3	2018-12-09	00:20	10.553	0
4	2018-12-09	00:30	10.553	0
5	2018-12-09	00:40	10.651	0
6	2018-12-09	00:50	10.651	0
7	2018-12-09	01:00	10.553	0
8	2018-12-09	01:10	10.553	0
9	2018-12-09	01:20	10.357	0
10	2018-12-09	01:30	10.063	0
11	2018-12-09	01:40	9.866	0
12	2018-12-09	01:50	9.768	0
13	2018-12-09	02:00	9.768	0
14	2018-12-09	02:10	9.768	0
15	2018-12-09	02:20	9.965	0
16	2018-12-09	02:30	10.161	0
17	2018-12-09	02:40	10.357	0
18	2018-12-09	02:50	10.455	0
19	2018-12-09	03:00	10.553	0
20	2018-12-09	03:10	10.553	0
21	2018-12-09	03:20	10.651	0
22	2018-12-09	03:30	10.553	0
23	2018-12-09	03:40	10.553	0
24	2018-12-09	03:50	10.357	0
25	2018-12-09	04:00	10.259	0
26	2018-12-09	04:10	10.259	0
27	2018-12-09	04:20	10.357	0
28	2018-12-09	04:30	10.357	0
29	2018-12-09	04:40	10.357	0
30	2018-12-09	04:50	10.259	0
31	2018-12-09	05:00	10.063	0
32	2018-12-09	05:10	10.161	0
33	2018-12-09	05:20	10.063	0
34	2018-12-09	05:30	9.965	0
35	2018-12-09	05:40	6.877	0
36	2018-12-09	05:50	6.37	0
37	2018-12-09	06:00	6.471	0
38	2018-12-09	06:10	6.471	0
39	2018-12-09	06:20	6.471	0
40	2018-12-09	06:30	6.471	0
41	2018-12-09	06:40	6.775	0
42	2018-12-09	06:50	7.179	0
43	2018-12-09	07:00	7.481	0
44	2018-12-09	07:10	7.782	0
45	2018-12-09	07:20	7.782	0
46	2018-12-09	07:30	7.682	0
47	2018-12-09	07:40	7.582	0
48	2018-12-09	07:50	7.682	0
49	2018-12-09	08:00	7.882	0
50	2018-12-09	08:10	7.782	0
51	2018-12-09	08:20	7.782	0
52	2018-12-09	08:30	7.782	0
53	2018-12-09	08:40	7.782	21.5
54	2018-12-09	08:50	7.782	10.8
55	2018-12-09	09:00	7.782	32.3
56	2018-12-09	09:10	7.882	43.1
57	2018-12-09	09:20	7.983	64.6
58	2018-12-09	09:30	8.082	107.6
59	2018-12-09	09:40	8.082	75.3
60	2018-12-09	09:50	8.082	86.1
61	2018-12-09	10:00	7.983	96.9
62	2018-12-09	10:10	8.082	172.2
63	2018-12-09	10:20	8.182	215.3
64	2018-12-09	10:30	8.382	624.3
65	2018-12-09	10:40	8.581	462.9
66	2018-12-09	10:50	8.68	366
67	2018-12-09	11:00	8.581	279.9
68	2018-12-09	11:10	8.581	290.6
69	2018-12-09	11:20	8.581	344.4
70	2018-12-09	11:30	8.581	161.5
71	2018-12-09	11:40	8.481	75.3
72	2018-12-09	11:50	8.282	118.4
73	2018-12-09	12:00	8.382	204.5
74	2018-12-09	12:10	8.481	172.2
75	2018-12-09	12:20	8.581	279.9
76	2018-12-09	12:30	8.68	301.4
77	2018-12-09	12:40	8.779	387.5
78	2018-12-09	12:50	8.68	247.6
79	2018-12-09	13:00	8.581	247.6
80	2018-12-09	13:10	8.481	236.8
81	2018-12-09	13:20	8.68	635.1
82	2018-12-09	13:30	8.779	430.6
83	2018-12-09	13:40	8.68	269.1
84	2018-12-09	13:50	8.481	495.1
85	2018-12-09	14:00	8.382	215.3
86	2018-12-09	14:10	8.182	129.2
87	2018-12-09	14:20	8.182	107.6
88	2018-12-09	14:30	8.182	118.4
89	2018-12-09	14:40	8.082	107.6
90	2018-12-09	14:50	8.082	43.1
91	2018-12-09	15:00	8.082	21.5
92	2018-12-09	15:10	8.082	43.1
93	2018-12-09	15:20	7.882	43.1
94	2018-12-09	15:30	7.682	53.8
95	2018-12-09	15:40	7.682	43.1
96	2018-12-09	15:50	7.782	43.1
97	2018-12-09	16:00	7.782	21.5
98	2018-12-09	16:10	7.782	21.5
99	2018-12-09	16:20	7.782	10.8
100	2018-12-09	16:30	7.882	10.8
101	2018-12-09	16:40	7.882	0
102	2018-12-09	16:50	7.682	0
103	2018-12-09	17:00	7.682	0
104	2018-12-09	17:10	7.682	0
105	2018-12-09	17:20	7.582	0
106	2018-12-09	17:30	7.582	0
107	2018-12-09	17:40	7.682	0
108	2018-12-09	17:50	7.582	0
109	2018-12-09	18:00	7.481	0
110	2018-12-09	18:10	7.481	0
111	2018-12-09	18:20	7.481	0
112	2018-12-09	18:30	7.481	0
113	2018-12-09	18:40	7.481	0
114	2018-12-09	18:50	7.381	0
115	2018-12-09	19:00	7.381	0
116	2018-12-09	19:10	7.381	0
117	2018-12-09	19:20	7.381	0
118	2018-12-09	19:30	7.381	0
119	2018-12-09	19:40	7.481	0
120	2018-12-09	19:50	7.582	0
121	2018-12-09	20:00	7.682	0
122	2018-12-09	20:10	7.582	0
123	2018-12-09	20:20	7.582	0
124	2018-12-09	20:30	7.481	0
125	2018-12-09	20:40	7.481	0
126	2018-12-09	20:50	7.481	0
127	2018-12-09	21:00	7.481	0
128	2018-12-09	21:10	7.481	0
129	2018-12-09	21:20	7.481	0
130	2018-12-09	21:30	7.481	0
131	2018-12-09	21:40	7.381	0
132	2018-12-09	21:50	7.381	0
133	2018-12-09	22:00	7.381	0
134	2018-12-09	22:10	7.381	0
