#HOBO_ID 10610853
#Location_Lat_Lon 47.986 7.849
#Alt_above_ground 6
#Exposition E
#Influence_class 3
id	date	hm	ta	lux
1	2018-12-09	00:00	21.569	0
2	2018-12-09	00:10	21.569	0
3	2018-12-09	00:20	21.569	0
4	2018-12-09	00:30	21.569	0
5	2018-12-09	00:40	21.569	0
6	2018-12-09	00:50	21.664	0
7	2018-12-09	01:00	21.664	0
8	2018-12-09	01:10	21.664	0
9	2018-12-09	01:20	21.664	0
10	2018-12-09	01:30	21.664	0
11	2018-12-09	01:40	21.664	0
12	2018-12-09	01:50	21.569	0
13	2018-12-09	02:00	21.569	0
14	2018-12-09	02:10	21.664	0
15	2018-12-09	02:20	21.664	0
16	2018-12-09	02:30	21.569	0
17	2018-12-09	02:40	21.569	0
18	2018-12-09	02:50	21.569	0
19	2018-12-09	03:00	21.569	0
20	2018-12-09	03:10	21.569	0
21	2018-12-09	03:20	21.569	0
22	2018-12-09	03:30	21.569	0
23	2018-12-09	03:40	21.569	0
24	2018-12-09	03:50	21.569	0
25	2018-12-09	04:00	21.664	0
26	2018-12-09	04:10	21.569	0
27	2018-12-09	04:20	21.664	0
28	2018-12-09	04:30	21.664	0
29	2018-12-09	04:40	21.664	0
30	2018-12-09	04:50	21.664	0
31	2018-12-09	05:00	21.664	0
32	2018-12-09	05:10	21.664	0
33	2018-12-09	05:20	21.664	0
34	2018-12-09	05:30	21.664	0
35	2018-12-09	05:40	21.664	0
36	2018-12-09	05:50	21.664	0
37	2018-12-09	06:00	21.569	0
38	2018-12-09	06:10	21.569	0
39	2018-12-09	06:20	21.569	0
40	2018-12-09	06:30	21.569	0
41	2018-12-09	06:40	21.569	0
42	2018-12-09	06:50	21.569	0
43	2018-12-09	07:00	21.569	0
44	2018-12-09	07:10	21.569	0
45	2018-12-09	07:20	21.569	0
46	2018-12-09	07:30	21.569	0
47	2018-12-09	07:40	21.569	0
48	2018-12-09	07:50	21.569	0
49	2018-12-09	08:00	21.569	0
50	2018-12-09	08:10	21.569	0
51	2018-12-09	08:20	21.569	0
52	2018-12-09	08:30	21.569	0
53	2018-12-09	08:40	21.569	0
54	2018-12-09	08:50	21.569	0
55	2018-12-09	09:00	21.569	0
56	2018-12-09	09:10	21.569	0
57	2018-12-09	09:20	21.569	0
58	2018-12-09	09:30	21.569	0
59	2018-12-09	09:40	21.569	0
60	2018-12-09	09:50	21.473	0
61	2018-12-09	10:00	21.473	0
62	2018-12-09	10:10	21.473	0
63	2018-12-09	10:20	21.473	0
64	2018-12-09	10:30	21.473	0
65	2018-12-09	10:40	21.473	0
66	2018-12-09	10:50	21.473	0
67	2018-12-09	11:00	21.473	0
68	2018-12-09	11:10	21.473	0
69	2018-12-09	11:20	21.473	0
70	2018-12-09	11:30	21.569	0
71	2018-12-09	11:40	21.569	0
72	2018-12-09	11:50	21.569	0
73	2018-12-09	12:00	21.664	0
74	2018-12-09	12:10	23.869	247.6
75	2018-12-09	12:20	12.013	64.6
76	2018-12-09	12:30	9.373	53.8
77	2018-12-09	12:40	9.077	75.3
78	2018-12-09	12:50	8.978	53.8
79	2018-12-09	13:00	8.779	53.8
80	2018-12-09	13:10	8.779	43.1
81	2018-12-09	13:20	8.779	139.9
82	2018-12-09	13:30	8.879	86.1
83	2018-12-09	13:40	8.68	53.8
84	2018-12-09	13:50	8.68	107.6
85	2018-12-09	14:00	8.581	53.8
86	2018-12-09	14:10	8.481	21.5
87	2018-12-09	14:20	8.382	21.5
88	2018-12-09	14:30	8.382	21.5
89	2018-12-09	14:40	8.282	10.8
90	2018-12-09	14:50	8.382	0
91	2018-12-09	15:00	8.382	0
92	2018-12-09	15:10	8.282	0
93	2018-12-09	15:20	8.082	0
94	2018-12-09	15:30	7.983	10.8
95	2018-12-09	15:40	7.983	0
96	2018-12-09	15:50	8.082	0
97	2018-12-09	16:00	8.082	0
98	2018-12-09	16:10	8.082	0
99	2018-12-09	16:20	8.082	0
100	2018-12-09	16:30	8.082	0
101	2018-12-09	16:40	8.082	0
102	2018-12-09	16:50	7.983	0
103	2018-12-09	17:00	7.983	0
104	2018-12-09	17:10	7.882	0
105	2018-12-09	17:20	7.983	0
106	2018-12-09	17:30	7.983	0
107	2018-12-09	17:40	7.983	0
108	2018-12-09	17:50	7.983	0
109	2018-12-09	18:00	7.882	0
110	2018-12-09	18:10	7.882	0
111	2018-12-09	18:20	7.882	0
112	2018-12-09	18:30	7.882	0
113	2018-12-09	18:40	7.782	0
114	2018-12-09	18:50	7.782	0
115	2018-12-09	19:00	7.782	0
116	2018-12-09	19:10	7.882	0
117	2018-12-09	19:20	7.782	0
118	2018-12-09	19:30	7.782	0
119	2018-12-09	19:40	7.782	0
120	2018-12-09	19:50	7.983	0
121	2018-12-09	20:00	7.983	0
122	2018-12-09	20:10	7.983	0
123	2018-12-09	20:20	7.882	0
124	2018-12-09	20:30	7.782	0
125	2018-12-09	20:40	7.782	0
126	2018-12-09	20:50	7.782	0
127	2018-12-09	21:00	7.782	0
128	2018-12-09	21:10	7.682	0
129	2018-12-09	21:20	7.782	0
130	2018-12-09	21:30	7.782	0
131	2018-12-09	21:40	7.682	0
132	2018-12-09	21:50	7.682	0
133	2018-12-09	22:00	7.582	0
134	2018-12-09	22:10	7.582	0
135	2018-12-09	22:20	7.582	0
136	2018-12-09	22:30	7.582	0
137	2018-12-09	22:40	7.381	0
138	2018-12-09	22:50	7.28	0
139	2018-12-09	23:00	7.179	0
140	2018-12-09	23:10	7.179	0
141	2018-12-09	23:20	7.179	0
142	2018-12-09	23:30	7.179	0
143	2018-12-09	23:40	7.28	0
144	2018-12-09	23:50	7.381	0
145	2018-12-10	00:00	7.381	0
146	2018-12-10	00:10	7.381	0
147	2018-12-10	00:20	7.381	0
148	2018-12-10	00:30	7.381	0
149	2018-12-10	00:40	7.28	0
150	2018-12-10	00:50	7.179	0
151	2018-12-10	01:00	7.28	0
152	2018-12-10	01:10	7.28	0
153	2018-12-10	01:20	7.28	0
154	2018-12-10	01:30	7.28	0
155	2018-12-10	01:40	7.28	0
156	2018-12-10	01:50	7.179	0
157	2018-12-10	02:00	7.28	0
158	2018-12-10	02:10	7.179	0
159	2018-12-10	02:20	7.179	0
160	2018-12-10	02:30	7.179	0
161	2018-12-10	02:40	7.179	0
162	2018-12-10	02:50	7.079	0
163	2018-12-10	03:00	7.079	0
164	2018-12-10	03:10	7.079	0
165	2018-12-10	03:20	6.978	0
166	2018-12-10	03:30	6.978	0
167	2018-12-10	03:40	7.079	0
168	2018-12-10	03:50	7.079	0
169	2018-12-10	04:00	7.079	0
170	2018-12-10	04:10	7.079	0
171	2018-12-10	04:20	7.179	0
172	2018-12-10	04:30	7.079	0
173	2018-12-10	04:40	7.079	0
174	2018-12-10	04:50	7.079	0
175	2018-12-10	05:00	7.079	0
176	2018-12-10	05:10	6.877	0
177	2018-12-10	05:20	6.573	0
178	2018-12-10	05:30	6.471	0
179	2018-12-10	05:40	6.471	0
180	2018-12-10	05:50	6.37	0
