#HOBO ID: 10760821
#Location_Lat_Long 47.942 7.856
#Alt_above_ground 6.5
#Expostion W
#Influence class 2
id	date	hm	ta	lux
1	2018-12-09	00:00	8.182	0
2	2018-12-09	00:10	7.983	0
3	2018-12-09	00:20	7.983	0
4	2018-12-09	00:30	8.082	0
5	2018-12-09	00:40	8.182	0
6	2018-12-09	00:50	7.983	0
7	2018-12-09	01:00	8.082	0
8	2018-12-09	01:10	7.882	0
9	2018-12-09	01:20	7.28	0
10	2018-12-09	01:30	6.978	0
11	2018-12-09	01:40	6.877	0
12	2018-12-09	01:50	6.978	0
13	2018-12-09	02:00	7.079	0
14	2018-12-09	02:10	7.179	0
15	2018-12-09	02:20	7.381	0
16	2018-12-09	02:30	7.682	0
17	2018-12-09	02:40	7.782	0
18	2018-12-09	02:50	7.782	0
19	2018-12-09	03:00	7.983	0
20	2018-12-09	03:10	7.983	0
21	2018-12-09	03:20	7.882	0
22	2018-12-09	03:30	7.782	0
23	2018-12-09	03:40	7.682	0
24	2018-12-09	03:50	7.682	0
25	2018-12-09	04:00	7.682	0
26	2018-12-09	04:10	7.682	0
27	2018-12-09	04:20	7.682	0
28	2018-12-09	04:30	7.682	0
29	2018-12-09	04:40	7.582	0
30	2018-12-09	04:50	7.28	0
31	2018-12-09	05:00	7.381	0
32	2018-12-09	05:10	7.481	0
33	2018-12-09	05:20	7.179	0
34	2018-12-09	05:30	7.079	0
35	2018-12-09	05:40	6.37	0
36	2018-12-09	05:50	3.788	0
37	2018-12-09	06:00	4.415	0
38	2018-12-09	06:10	4.623	0
39	2018-12-09	06:20	5.244	0
40	2018-12-09	06:30	5.45	0
41	2018-12-09	06:40	5.552	0
42	2018-12-09	06:50	5.552	0
43	2018-12-09	07:00	5.757	0
44	2018-12-09	07:10	5.86	0
45	2018-12-09	07:20	5.757	0
46	2018-12-09	07:30	5.347	0
47	2018-12-09	07:40	5.141	0
48	2018-12-09	07:50	5.037	0
49	2018-12-09	08:00	5.244	21.5
50	2018-12-09	08:10	5.347	75.3
51	2018-12-09	08:20	5.347	118.4
52	2018-12-09	08:30	5.347	118.4
53	2018-12-09	08:40	5.655	344.4
54	2018-12-09	08:50	5.655	473.6
55	2018-12-09	09:00	5.552	344.4
56	2018-12-09	09:10	5.757	990.3
57	2018-12-09	09:20	5.757	968.8
58	2018-12-09	09:30	5.757	958
59	2018-12-09	09:40	5.757	1302.4
60	2018-12-09	09:50	5.757	1636.1
61	2018-12-09	10:00	5.757	1722.2
