date	hour	th	origin
2018-12-10	0	7.347	H
2018-12-10	1	7.297	H
2018-12-10	2	7.179	H
2018-12-10	3	7.079	H
2018-12-10	4	6.961	H
2018-12-10	5	6.42	H
2018-12-10	6	6.081	H
2018-12-10	7	5.928	H
2018-12-10	8	6.183	H
2018-12-10	9	6.708	H
2018-12-10	10	6.978	H
2018-12-10	11	7.765	H
2018-12-10	12	6.57	R
2018-12-10	13	7.69	R
2018-12-10	14	9.042	H
2018-12-10	15	7.765	H
2018-12-10	16	7.464	H
2018-12-10	17	7.748	H
2018-12-10	18	7.146	H
2018-12-10	19	7.28	H
2018-12-10	20	7.196	H
2018-12-10	21	6.944	H
2018-12-10	22	6.742	H
2018-12-10	23	5.74	H
2018-12-11	0	5.415	H
2018-12-11	1	5.123	H
2018-12-11	2	4.606	H
2018-12-11	3	4.606	H
2018-12-11	4	4.345	H
2018-12-11	5	3.77	H
2018-12-11	6	3.436	H
2018-12-11	7	2.552	H
2018-12-11	8	1.926	H
2018-12-11	9	1.14	R
2018-12-11	10	2.73	R
2018-12-11	11	4.43	R
2018-12-11	12	5.1	R
2018-12-11	13	5.55	R
2018-12-11	14	5.15	R
2018-12-11	15	7.229	H
2018-12-11	16	6.013	H
2018-12-11	17	4.691	H
2018-12-11	18	4.033	H
2018-12-11	19	3.753	H
2018-12-11	20	3.402	H
2018-12-11	21	2.284	H
2018-12-11	22	1.709	H
2018-12-11	23	0.93	H
2018-12-12	0	0.747	H
2018-12-12	1	0.343	H
2018-12-12	2	0.028	H
2018-12-12	3	-0.213	H
2018-12-12	4	-0.493	H
2018-12-12	5	-0.774	H
2018-12-12	6	-1.266	H
2018-12-12	7	-1.608	H
2018-12-12	8	-1.209	H
2018-12-12	9	-2.04	R
2018-12-12	10	-0.58	R
2018-12-12	11	1.41	R
2018-12-12	12	2.29	R
2018-12-12	13	2.58	R
2018-12-12	14	4.882	H
2018-12-12	15	4.848	H
2018-12-12	16	2.21	R
2018-12-12	17	2.462	H
2018-12-12	18	1.98	H
2018-12-12	19	1.547	H
2018-12-12	20	1.203	H
2018-12-12	21	0.819	H
2018-12-12	22	0.25	H
2018-12-12	23	-0.065	H
2018-12-13	0	0.01	H
2018-12-13	1	-0.288	H
2018-12-13	2	-0.362	H
2018-12-13	3	-0.195	H
2018-12-13	4	-0.493	H
2018-12-13	5	-0.83	H
2018-12-13	6	-0.812	H
2018-12-13	7	-0.83	H
2018-12-13	8	-0.382	H
2018-12-13	9	-1.85	R
2018-12-13	10	-1.06	R
2018-12-13	11	0.27	R
2018-12-13	12	1.76	R
2018-12-13	13	3.56	H
2018-12-13	14	3.19	H
2018-12-13	15	3.014	H
2018-12-13	16	2.907	H
2018-12-13	17	2.659	H
2018-12-13	18	2.676	H
2018-12-13	19	2.159	H
2018-12-13	20	1.638	H
2018-12-13	21	1.457	H
2018-12-13	22	0.62	R
2018-12-13	23	0.82	H
2018-12-14	0	0.6	H
2018-12-14	1	0.416	H
2018-12-14	2	0.306	H
2018-12-14	3	0.102	H
2018-12-14	4	-0.869	H
2018-12-14	5	-0.906	H
2018-12-14	6	-0.568	H
2018-12-14	7	-1.437	H
2018-12-14	8	-1.818	H
2018-12-14	9	-1.078	H
2018-12-14	10	0.397	H
2018-12-14	11	-1.07	R
2018-12-14	12	-0.13	R
2018-12-14	13	0.88	R
2018-12-14	14	3.366	H
2018-12-14	15	3.154	H
2018-12-14	16	2.177	H
2018-12-14	17	2.106	H
2018-12-14	18	0.39	R
2018-12-14	19	1.962	H
2018-12-14	20	0.25	R
2018-12-14	21	1.674	H
2018-12-14	22	1.566	H
2018-12-14	23	1.528	H
2018-12-15	0	1.475	H
2018-12-15	1	1.566	H
2018-12-15	2	1.512	H
2018-12-15	3	1.294	H
2018-12-15	4	1.184	H
2018-12-15	5	1.076	H
2018-12-15	6	1.112	H
2018-12-15	7	0.545	H
2018-12-15	8	0.288	H
2018-12-15	9	0.453	H
2018-12-15	10	1.275	H
2018-12-15	11	-0.21	R
2018-12-15	12	0.18	R
2018-12-15	13	0.44	R
2018-12-15	14	2.462	H
2018-12-15	15	1.998	H
2018-12-15	16	0.635	H
2018-12-15	17	-0.345	H
2018-12-15	18	-1.361	H
2018-12-15	19	-1.57	H
2018-12-15	20	-1.895	H
2018-12-15	21	-2.107	H
2018-12-15	22	-1.666	H
2018-12-15	23	-1.02	H
2018-12-16	0	-0.587	H
2018-12-16	1	-0.643	H
2018-12-16	2	-0.643	H
2018-12-16	3	-0.289	H
2018-12-16	4	0.508	H
2018-12-16	5	0.38	H
2018-12-16	6	0.563	H
2018-12-16	7	0.728	H
2018-12-16	8	2.654	H
2018-12-16	9	4.432	H
2018-12-16	10	5.603	H
2018-12-16	11	5.68	R
2018-12-16	12	6.84	R
2018-12-16	13	7.86	R
2018-12-16	14	8.581	H
2018-12-16	15	7.731	H
2018-12-16	16	5.669	H
2018-12-16	17	3.997	H
2018-12-16	18	3.314	H
2018-12-16	19	3.049	H
2018-12-16	20	3.173	H
2018-12-16	21	3.049	H
2018-12-16	22	2.712	H
2018-12-16	23	2.212	H
2018-12-17	0	1.457	H
2018-12-17	1	1.583	H
2018-12-17	2	2.088	H
2018-12-17	3	2.016	H
2018-12-17	4	2.034	H
2018-12-17	5	1.836	H
2018-12-17	6	2.106	H
2018-12-17	7	2.249	H
2018-12-17	8	2.141	H
2018-12-17	9	3.939	H
2018-12-17	10	5.977	H
2018-12-17	11	6.809	H
2018-12-17	12	6.35	R
2018-12-17	13	7.58	R
2018-12-17	14	7.766	H
2018-12-17	15	7.649	H
2018-12-17	16	7.18	H
2018-12-17	17	6.944	H
2018-12-17	18	7.28	H
2018-12-17	19	6.76	R
2018-12-17	20	7.095	H
2018-12-17	21	7.146	H
2018-12-17	22	6.691	H
2018-12-17	23	6.353	H
2018-12-18	0	5.431	H
2018-12-18	1	4.345	H
2018-12-18	2	3.367	H
2018-12-18	3	2.819	H
2018-12-18	4	2.392	H
2018-12-18	5	2.177	H
2018-12-18	6	2.016	H
2018-12-18	7	1.962	H
2018-12-18	8	1.782	H
2018-12-18	9	-0.4	R
2018-12-18	10	0.59	R
2018-12-18	11	2.41	R
2018-12-18	12	3.45	R
2018-12-18	13	5.11	R
2018-12-18	14	5.87	R
2018-12-18	15	6.419	H
2018-12-18	16	4.673	H
2018-12-18	17	3.437	H
2018-12-18	18	2.498	H
2018-12-18	19	1.746	H
2018-12-18	20	1.439	H
2018-12-18	21	1.511	H
2018-12-18	22	1.112	H
2018-12-18	23	0.82	H
2018-12-19	0	1.601	H
2018-12-19	1	2.052	H
2018-12-19	2	2.07	H
2018-12-19	3	2.89	H
2018-12-19	4	3.681	H
2018-12-19	5	4.536	H
2018-12-19	6	4.86	R
2018-12-19	7	8.976	H
2018-12-19	8	9.472	H
2018-12-19	9	9.735	H
2018-12-19	10	9.489	H
2018-12-19	11	9.324	H
2018-12-19	12	9.653	H
2018-12-19	13	9.932	H
2018-12-19	14	10.243	H
2018-12-19	15	9.652	H
2018-12-19	16	8.614	H
2018-12-19	17	7.766	H
2018-12-19	18	7.347	H
2018-12-19	19	6.944	H
2018-12-19	20	6.911	H
2018-12-19	21	7.179	H
2018-12-19	22	7.832	H
2018-12-19	23	8.531	H
2018-12-20	0	8.382	H
2018-12-20	1	8.448	H
2018-12-20	2	8.514	H
2018-12-20	3	8.481	H
2018-12-20	4	8.481	H
