date	hour	th	origin
2018-12-10	00	6.369	H
2018-12-10	01	6.319	H
2018-12-10	02	6.438	H
2018-12-10	03	6.454	H
2018-12-10	04	6.64	H
2018-12-10	05	5.944	H
2018-12-10	06	5.482	R
2018-12-10	07	5.192	H
2018-12-10	08	5.501	H
2018-12-10	09	6.047	H
2018-12-10	10	6.336	H
2018-12-10	11	7.162	H
2018-12-10	12	7.163	R
2018-12-10	13	8.646	R
2018-12-10	14	7.756	R
2018-12-10	15	6.768	R
2018-12-10	16	7.493	H
2018-12-10	17	6.217	H
2018-12-10	18	6.183	H
2018-12-10	19	6.505	H
2018-12-10	20	6.234	H
2018-12-10	21	5.757	H
2018-12-10	22	5.433	H
2018-12-10	23	4.848	H
2018-12-11	00	4.571	H
2018-12-11	01	4.675	H
2018-12-11	02	4.172	H
2018-12-11	03	4.067	H
2018-12-11	04	3.805	H
2018-12-11	05	3.314	H
2018-12-11	06	2.605	H
2018-12-11	07	1.908	H
2018-12-11	08	1.8	H
2018-12-11	09	3.574	H
2018-12-11	10	4.494	R
2018-12-11	11	5.285	R
2018-12-11	12	5.779	R
2018-12-11	13	6.867	R
2018-12-11	14	6.076	R
2018-12-11	15	5.779	R
2018-12-11	16	5.186	R
2018-12-11	17	6.131	H
2018-12-11	18	5.106	H
2018-12-11	19	4.658	H
2018-12-11	20	4.172	H
2018-12-11	21	3.225	H
2018-12-11	22	2.069	H
2018-12-11	23	1.529	H
2018-12-12	00	1.185	H
2018-12-12	01	0.508	H
2018-12-12	02	0.343	H
2018-12-12	03	0.047	H
2018-12-12	04	-0.512	H
2018-12-12	05	-1.457	H
2018-12-12	06	-2.107	H
2018-12-12	07	-2.087	H
2018-12-12	08	-1.723	H
2018-12-12	09	0.63	H
2018-12-12	10	1.33	R
2018-12-12	11	1.923	R
2018-12-12	12	2.714	R
2018-12-12	13	4.296	R
2018-12-12	14	4.988	R
2018-12-12	15	3.999	R
2018-12-12	16	1.033	R
2018-12-12	17	2.034	H
2018-12-12	18	1.836	H
2018-12-12	19	1.565	H
2018-12-12	20	0.984	H
2018-12-12	21	0.453	H
2018-12-12	22	-0.103	H
2018-12-12	23	-1.114	H
2018-12-13	00	-1.266	H
2018-12-13	01	-1.608	H
2018-12-13	02	-1.742	H
2018-12-13	03	-1.133	H
2018-12-13	04	-1.551	H
2018-12-13	05	-1.914	H
2018-12-13	06	-1.972	H
2018-12-13	07	-2.126	H
2018-12-13	08	-1.571	H
2018-12-13	09	-0.365	H
2018-12-13	10	2.104	H
2018-12-13	11	1.824	R
2018-12-13	12	3.525	H
2018-12-13	13	2.748	H
2018-12-13	14	2.925	H
2018-12-13	15	2.801	H
2018-12-13	16	2.285	H
2018-12-13	17	1.962	H
2018-12-13	18	1.728	H
2018-12-13	19	1.584	H
