date	hr	th	origin
2018-12-10	0	7.096	H
2018-12-10	1	7.146	H
2018-12-10	2	6.877	H
2018-12-10	3	6.775	H
2018-12-10	4	6.978	H
2018-12-10	5	6.386	H
2018-12-10	6	5.979	H
2018-12-10	7	5.894	H
2018-12-10	8	5.928	H
2018-12-10	9	6.217	H
2018-12-10	10	6.708	H
2018-12-10	11	7.598	H
2018-12-10	12	7.84	R
2018-12-10	13	8.994	R
2018-12-10	14	8.087	R
2018-12-10	15	7.949	H
2018-12-10	16	7.364	H
2018-12-10	17	6.91	H
2018-12-10	18	6.809	H
2018-12-10	19	6.86	H
2018-12-10	20	6.911	H
2018-12-10	21	6.708	H
2018-12-10	22	6.37	H
2018-12-10	23	5.996	H
2018-12-11	0	5.996	H
2018-12-11	1	4.874	R
2018-12-11	2	5.295	H
2018-12-11	3	4.899	H
2018-12-11	4	4.71	H
2018-12-11	5	4.831	H
2018-12-11	6	2.484	R
2018-12-11	7	2.978	H
2018-12-11	8	2.446	H
2018-12-11	9	3.638	R
2018-12-11	10	4.379	R
2018-12-11	11	4.791	R
2018-12-11	12	6.192	R
2018-12-11	13	6.604	R
2018-12-11	14	6.274	R
2018-12-11	15	6.233	H
2018-12-11	16	5.277	H
2018-12-11	17	4.744	H
2018-12-11	18	4.05	R
2018-12-11	19	4.297	R
2018-12-11	20	4.484	H
2018-12-11	21	3.542	H
2018-12-11	22	2.48	H
2018-12-11	23	1.674	H
2018-12-12	0	1.185	H
2018-12-12	1	0.637	H
2018-12-12	2	0.508	H
2018-12-12	3	0.121	H
2018-12-12	4	-0.325	H
2018-12-12	5	-0.587	H
2018-12-12	6	-0.85	H
2018-12-12	7	-1.306	R
2018-12-12	8	-0.944	H
2018-12-12	9	1.083	R
2018-12-12	10	2.731	R
2018-12-12	11	3.391	R
2018-12-12	12	3.061	R
2018-12-12	13	4.544	R
2018-12-12	14	4.692	H
2018-12-12	15	4.414	H
2018-12-12	16	2.906	H
2018-12-12	17	2.034	H
2018-12-12	18	1.495	R
2018-12-12	19	1.276	H
2018-12-12	20	1.148	H
2018-12-12	21	0.305	H
2018-12-12	22	-0.009	H
2018-12-12	23	-0.07	R
2018-12-13	0	-0.084	H
2018-12-13	1	-0.065	H
2018-12-13	2	-0.102	H
2018-12-13	3	0.102	H
2018-12-13	4	-0.288	H
2018-12-13	5	-0.195	H
2018-12-13	6	-0.139	H
2018-12-13	7	-0.214	H
2018-12-13	8	-0.176	H
2018-12-13	9	1.825	R
2018-12-13	10	1.99	R
2018-12-13	11	3.803	R
2018-12-13	12	3.308	R
2018-12-13	13	3.56	H
2018-12-13	14	3.367	H
2018-12-13	15	3.279	H
2018-12-13	16	2.837	H
2018-12-13	17	2.535	H
2018-12-13	18	2.249	H
2018-12-13	19	2.285	H
2018-12-13	20	1.674	H
2018-12-13	21	1.674	H
2018-12-13	22	1.366	H
2018-12-13	23	1.057	H
2018-12-14	0	0.766	H
2018-12-14	1	0.563	H
2018-12-14	2	2.237	R
2018-12-14	3	0.232	H
2018-12-14	4	1.001	R
2018-12-14	5	-0.158	H
2018-12-14	6	-0.647	R
2018-12-14	7	-1.141	R
2018-12-14	8	-1.513	H
