#HOBO_ID 10347312				
#Location_Lat_Lon 47.993 7.846				
#Alt_above_ground 10				
#Exposition S				
#influence_class 2	
id	date	hm	ta	lux
1	2018-12-09	00:00:00	10.651	0.0
2	2018-12-09	00:10:00	10.748	0.0
3	2018-12-09	00:20:00	10.748	0.0
4	2018-12-09	00:30:00	10.651	0.0
5	2018-12-09	00:40:00	10.748	0.0
6	2018-12-09	00:50:00	10.748	0.0
7	2018-12-09	01:00:00	10.651	0.0
8	2018-12-09	01:10:00	10.651	0.0
9	2018-12-09	01:20:00	10.455	0.0
10	2018-12-09	01:30:00	10.161	0.0
11	2018-12-09	01:40:00	9.866	0.0
12	2018-12-09	01:50:00	9.669	0.0
13	2018-12-09	02:00:00	9.669	0.0
14	2018-12-09	02:10:00	9.768	0.0
15	2018-12-09	02:20:00	9.965	0.0
16	2018-12-09	02:30:00	10.259	0.0
17	2018-12-09	02:40:00	10.455	0.0
18	2018-12-09	02:50:00	10.651	0.0
19	2018-12-09	03:00:00	10.748	0.0
20	2018-12-09	03:10:00	10.846	0.0
21	2018-12-09	03:20:00	10.748	0.0
22	2018-12-09	03:30:00	10.651	0.0
23	2018-12-09	03:40:00	10.651	0.0
24	2018-12-09	03:50:00	10.455	0.0
25	2018-12-09	04:00:00	10.553	0.0
26	2018-12-09	04:10:00	10.651	0.0
27	2018-12-09	04:20:00	10.748	0.0
28	2018-12-09	04:30:00	10.651	0.0
29	2018-12-09	04:40:00	10.553	0.0
30	2018-12-09	04:50:00	10.455	0.0
31	2018-12-09	05:00:00	10.259	0.0
32	2018-12-09	05:10:00	10.161	0.0
33	2018-12-09	05:20:00	9.768	0.0
34	2018-12-09	05:30:00	9.472	0.0
35	2018-12-09	05:40:00	7.682	0.0
36	2018-12-09	05:50:00	6.775	0.0
37	2018-12-09	06:00:00	6.471	0.0
38	2018-12-09	06:10:00	6.471	0.0
39	2018-12-09	06:20:00	6.471	0.0
40	2018-12-09	06:30:00	6.471	0.0
41	2018-12-09	06:40:00	6.573	0.0
42	2018-12-09	06:50:00	6.877	0.0
43	2018-12-09	07:00:00	7.179	0.0
44	2018-12-09	07:10:00	7.582	0.0
45	2018-12-09	07:20:00	7.682	0.0
46	2018-12-09	07:30:00	7.782	0.0
47	2018-12-09	07:40:00	7.782	0.0
