#HOBO_ID 10347326
#Location_Lat_Lon 47.991 7.842
#Alt_above_ground 6
#Exposition W
#Influence_class 2
id	date	hm	ta	lux
1	2018-12-09	00:00	10.553	0
2	2018-12-09	00:10	10.553	0
3	2018-12-09	00:20	10.553	0
4	2018-12-09	00:30	10.553	0
5	2018-12-09	00:40	10.553	0
6	2018-12-09	00:50	10.553	0
7	2018-12-09	01:00	10.357	0
8	2018-12-09	01:10	10.357	0
9	2018-12-09	01:20	9.965	0
10	2018-12-09	01:30	9.768	0
11	2018-12-09	01:40	9.571	0
12	2018-12-09	01:50	9.275	0
13	2018-12-09	02:00	8.978	0
14	2018-12-09	02:10	9.077	0
15	2018-12-09	02:20	9.077	0
16	2018-12-09	02:30	9.472	0
17	2018-12-09	02:40	9.965	0
18	2018-12-09	02:50	10.161	0
19	2018-12-09	03:00	10.357	0
20	2018-12-09	03:10	10.455	0
21	2018-12-09	03:20	10.553	0
22	2018-12-09	03:30	10.553	0
23	2018-12-09	03:40	10.455	0
24	2018-12-09	03:50	10.161	0
25	2018-12-09	04:00	10.063	0
26	2018-12-09	04:10	10.063	0
27	2018-12-09	04:20	10.063	0
28	2018-12-09	04:30	10.161	0
29	2018-12-09	04:40	10.259	0
30	2018-12-09	04:50	10.161	0
31	2018-12-09	05:00	10.063	0
32	2018-12-09	05:10	9.965	0
33	2018-12-09	05:20	9.965	0
34	2018-12-09	05:30	6.674	0
35	2018-12-09	05:40	5.552	0
36	2018-12-09	05:50	5.757	0
37	2018-12-09	06:00	5.757	0
38	2018-12-09	06:10	5.757	0
39	2018-12-09	06:20	5.86	0
40	2018-12-09	06:30	5.962	0
41	2018-12-09	06:40	5.962	0
42	2018-12-09	06:50	6.166	0
43	2018-12-09	07:00	6.573	0
44	2018-12-09	07:10	6.877	0
45	2018-12-09	07:20	6.877	0
46	2018-12-09	07:30	6.877	0
47	2018-12-09	07:40	6.978	0
48	2018-12-09	07:50	6.877	0
49	2018-12-09	08:00	6.978	43.1
50	2018-12-09	08:10	6.978	107.6
51	2018-12-09	08:20	7.079	129.2
52	2018-12-09	08:30	7.179	139.9
53	2018-12-09	08:40	7.28	376.7
54	2018-12-09	08:50	7.381	204.5
55	2018-12-09	09:00	7.381	462.9
56	2018-12-09	09:10	7.582	710.4
57	2018-12-09	09:20	7.682	527.4
58	2018-12-09	09:30	7.782	893.4
59	2018-12-09	09:40	7.983	592
60	2018-12-09	09:50	8.182	1463.9
61	2018-12-09	10:00	8.282	1259.4
62	2018-12-09	10:10	8.581	2238.9
63	2018-12-09	10:20	8.879	2411.1
64	2018-12-09	10:30	8.978	2325
65	2018-12-09	10:40	9.669	5166.7
66	2018-12-09	10:50	9.472	3788.9
67	2018-12-09	11:00	9.275	1980.6
68	2018-12-09	11:10	9.077	1808.3
69	2018-12-09	11:20	9.472	4133.4
70	2018-12-09	11:30	9.176	1087.2
71	2018-12-09	11:40	8.879	947.2
72	2018-12-09	11:50	8.481	1463.9
73	2018-12-09	12:00	8.879	4305.6
74	2018-12-09	12:10	8.978	3272.2
75	2018-12-09	12:20	9.176	2497.2
76	2018-12-09	12:30	9.669	4477.8
