#HOBO_ID 10347370
#Location_Lat_Lon 48.001 7.8377
#Alt_above_ground 13
#Expostition N
#Influence_class 3
id	date	hm	ta	lux
7	2018-12-09	00:00	10.553	10.8
8	2018-12-09	00:10	10.553	64.6
9	2018-12-09	00:20	10.553	64.6
10	2018-12-09	00:30	10.455	64.6
11	2018-12-09	00:40	10.553	64.6
12	2018-12-09	00:50	10.651	64.6
13	2018-12-09	01:00	10.455	10.8
14	2018-12-09	01:10	10.357	0
15	2018-12-09	01:20	10.063	0
16	2018-12-09	01:30	9.866	0
17	2018-12-09	01:40	9.669	0
18	2018-12-09	01:50	9.472	0
19	2018-12-09	02:00	9.472	0
20	2018-12-09	02:10	9.472	0
21	2018-12-09	02:20	9.669	0
22	2018-12-09	02:30	10.063	0
23	2018-12-09	02:40	10.357	0
24	2018-12-09	02:50	10.357	0
25	2018-12-09	03:00	10.455	0
26	2018-12-09	03:10	10.455	0
27	2018-12-09	03:20	10.455	0
28	2018-12-09	03:30	10.357	0
29	2018-12-09	03:40	10.259	0
30	2018-12-09	03:50	10.063	0
31	2018-12-09	04:00	10.259	0
32	2018-12-09	04:10	10.259	0
33	2018-12-09	04:20	10.357	0
34	2018-12-09	04:30	10.357	0
35	2018-12-09	04:40	10.357	0
36	2018-12-09	04:50	10.161	0
37	2018-12-09	05:00	10.063	0
38	2018-12-09	05:10	9.965	0
39	2018-12-09	05:20	9.965	0
40	2018-12-09	05:30	8.978	0
41	2018-12-09	05:40	5.757	0
42	2018-12-09	05:50	5.86	0
43	2018-12-09	06:00	6.064	0
44	2018-12-09	06:10	6.166	0
45	2018-12-09	06:20	6.166	0
46	2018-12-09	06:30	6.166	0
47	2018-12-09	06:40	6.166	0
48	2018-12-09	06:50	6.37	0
49	2018-12-09	07:00	6.877	0
50	2018-12-09	07:10	7.28	0
51	2018-12-09	07:20	7.179	0
52	2018-12-09	07:30	7.179	0
53	2018-12-09	07:40	7.28	0
54	2018-12-09	07:50	7.179	0
55	2018-12-09	08:00	7.381	0
56	2018-12-09	08:10	7.481	10.8
57	2018-12-09	08:20	7.582	10.8
58	2018-12-09	08:30	7.481	10.8
59	2018-12-09	08:40	7.682	43.1
60	2018-12-09	08:50	7.882	32.3
61	2018-12-09	09:00	7.882	86.1
62	2018-12-09	09:10	7.882	139.9
63	2018-12-09	09:20	7.882	107.6
64	2018-12-09	09:30	7.983	150.7
65	2018-12-09	09:40	8.082	118.4
66	2018-12-09	09:50	8.082	312.2
67	2018-12-09	10:00	8.082	258.3
68	2018-12-09	10:10	8.182	387.5
69	2018-12-09	10:20	8.382	495.1
70	2018-12-09	10:30	8.68	807.3
71	2018-12-09	10:40	8.978	1173.3
72	2018-12-09	10:50	9.077	731.9
73	2018-12-09	11:00	8.978	602.8
74	2018-12-09	11:10	8.879	602.8
75	2018-12-09	11:20	8.978	882.6
76	2018-12-09	11:30	9.176	236.8
77	2018-12-09	11:40	9.077	118.4
78	2018-12-09	11:50	8.779	193.8
79	2018-12-09	12:00	8.779	527.4
80	2018-12-09	12:10	8.779	484.4
81	2018-12-09	12:20	8.779	419.8
82	2018-12-09	12:30	8.879	818.1
83	2018-12-09	12:40	9.176	979.5
84	2018-12-09	12:50	8.879	667.4
85	2018-12-09	13:00	8.779	667.4
86	2018-12-09	13:10	8.779	495.1
87	2018-12-09	13:20	8.879	807.3
88	2018-12-09	13:30	8.978	721.2
89	2018-12-09	13:40	8.779	678.1
90	2018-12-09	13:50	8.779	796.5
91	2018-12-09	14:00	8.68	419.8
92	2018-12-09	14:10	8.382	129.2
93	2018-12-09	14:20	8.382	129.2
94	2018-12-09	14:30	8.282	236.8
95	2018-12-09	14:40	8.182	183
96	2018-12-09	14:50	8.182	64.6
97	2018-12-09	15:00	8.182	53.8
98	2018-12-09	15:10	7.983	75.3
99	2018-12-09	15:20	7.682	129.2
100	2018-12-09	15:30	7.481	150.7
101	2018-12-09	15:40	7.582	96.9
102	2018-12-09	15:50	7.782	86.1
103	2018-12-09	16:00	7.782	53.8
104	2018-12-09	16:10	7.682	43.1
105	2018-12-09	16:20	7.782	53.8
106	2018-12-09	16:30	7.782	21.5
107	2018-12-09	16:40	7.882	0
108	2018-12-09	16:50	7.682	53.8
109	2018-12-09	17:00	7.481	53.8
110	2018-12-09	17:10	7.481	53.8
111	2018-12-09	17:20	7.381	53.8
112	2018-12-09	17:30	7.481	53.8
113	2018-12-09	17:40	7.481	53.8
114	2018-12-09	17:50	7.28	53.8
115	2018-12-09	18:00	7.179	53.8
116	2018-12-09	18:10	7.079	53.8
117	2018-12-09	18:20	7.079	53.8
118	2018-12-09	18:30	7.079	53.8
119	2018-12-09	18:40	7.179	53.8
120	2018-12-09	18:50	7.179	53.8
121	2018-12-09	19:00	7.179	53.8
122	2018-12-09	19:10	7.179	43.1
123	2018-12-09	19:20	7.28	43.1
124	2018-12-09	19:30	7.28	43.1
125	2018-12-09	19:40	7.381	53.8
126	2018-12-09	19:50	7.481	53.8
127	2018-12-09	20:00	7.582	53.8
128	2018-12-09	20:10	7.481	53.8
129	2018-12-09	20:20	7.381	43.1
130	2018-12-09	20:30	7.28	43.1
131	2018-12-09	20:40	7.28	53.8
132	2018-12-09	20:50	7.28	43.1
