#HOBO_ID 10350007
#Location_Lat_Lon 47.998106 7.835518
#Alt_above_ground 10
#Exposition N
#Influence_class 2
id	date	hm	ta	lux
1	7	2018-12-09	00:00	10.455	0
2	8	2018-12-09	00:10	10.553	0
3	9	2018-12-09	00:20	10.553	0
4	10	2018-12-09	00:30	10.553	0
5	11	2018-12-09	00:40	10.553	0
6	12	2018-12-09	00:50	10.553	0
7	13	2018-12-09	01:00	10.455	0
8	14	2018-12-09	01:10	10.455	0
9	15	2018-12-09	01:20	10.259	0
10	16	2018-12-09	01:30	10.063	0
11	17	2018-12-09	01:40	9.965	0
12	18	2018-12-09	01:50	9.866	0
13	19	2018-12-09	02:00	9.866	0
14	20	2018-12-09	02:10	9.965	0
15	21	2018-12-09	02:20	10.063	0
16	22	2018-12-09	02:30	10.259	0
17	23	2018-12-09	02:40	10.455	0
18	24	2018-12-09	02:50	10.455	0
19	25	2018-12-09	03:00	10.553	0
20	26	2018-12-09	03:10	10.553	0
21	27	2018-12-09	03:20	10.553	0
22	28	2018-12-09	03:30	10.455	0
23	29	2018-12-09	03:40	10.357	0
24	30	2018-12-09	03:50	10.259	0
25	31	2018-12-09	04:00	10.357	0
26	32	2018-12-09	04:10	10.357	0
27	33	2018-12-09	04:20	10.455	0
28	34	2018-12-09	04:30	10.455	0
29	35	2018-12-09	04:40	10.455	0
30	36	2018-12-09	04:50	10.259	0
31	37	2018-12-09	05:00	10.161	0
32	38	2018-12-09	05:10	10.161	0
33	39	2018-12-09	05:20	10.161	0
34	40	2018-12-09	05:30	9.768	0
35	41	2018-12-09	05:40	7.179	0
36	42	2018-12-09	05:50	6.978	0
37	43	2018-12-09	06:00	7.079	0
38	44	2018-12-09	06:10	7.28	0
39	45	2018-12-09	06:20	7.28	0
40	46	2018-12-09	06:30	7.381	0
41	47	2018-12-09	06:40	7.381	0
42	48	2018-12-09	06:50	7.582	0
43	49	2018-12-09	07:00	7.983	0
44	50	2018-12-09	07:10	8.382	0
45	51	2018-12-09	07:20	8.581	0
46	52	2018-12-09	07:30	8.581	0
47	53	2018-12-09	07:40	8.481	0
48	54	2018-12-09	07:50	8.282	0
49	55	2018-12-09	08:00	8.282	0
50	56	2018-12-09	08:10	8.282	0
51	57	2018-12-09	08:20	8.382	10.8
52	58	2018-12-09	08:30	8.382	10.8
53	59	2018-12-09	08:40	8.481	43.1
54	60	2018-12-09	08:50	8.481	21.5
55	61	2018-12-09	09:00	8.581	53.8
56	62	2018-12-09	09:10	8.481	75.3
57	63	2018-12-09	09:20	8.481	86.1
58	64	2018-12-09	09:30	8.581	139.9
59	65	2018-12-09	09:40	8.581	96.9
60	66	2018-12-09	09:50	8.581	183
61	67	2018-12-09	10:00	8.581	172.2
62	68	2018-12-09	10:10	8.581	290.6
63	69	2018-12-09	10:20	8.68	344.4
64	70	2018-12-09	10:30	8.879	667.4
65	71	2018-12-09	10:40	8.978	914.9
66	72	2018-12-09	10:50	8.978	452.1
67	73	2018-12-09	11:00	8.978	344.4
68	74	2018-12-09	11:10	8.978	333.7
69	75	2018-12-09	11:20	8.978	624.3
70	76	2018-12-09	11:30	9.077	161.5
71	77	2018-12-09	11:40	9.275	118.4
72	78	2018-12-09	11:50	8.779	193.8
73	79	2018-12-09	12:00	8.779	441.3
74	80	2018-12-09	12:10	8.879	322.9
75	81	2018-12-09	12:20	8.978	333.7
76	82	2018-12-09	12:30	9.077	613.5
77	83	2018-12-09	12:40	9.176	742.7
78	84	2018-12-09	12:50	8.978	559.7
79	85	2018-12-09	13:00	8.978	624.3
80	86	2018-12-09	13:10	8.879	505.9
81	87	2018-12-09	13:20	8.978	818.1
82	88	2018-12-09	13:30	8.978	645.8
83	89	2018-12-09	13:40	8.879	441.3
84	90	2018-12-09	13:50	8.779	538.2
85	91	2018-12-09	14:00	8.779	236.8
86	92	2018-12-09	14:10	8.581	129.2
87	93	2018-12-09	14:20	8.581	96.9
88	94	2018-12-09	14:30	8.481	172.2
89	95	2018-12-09	14:40	8.382	150.7
90	96	2018-12-09	14:50	8.382	43.1
91	97	2018-12-09	15:00	8.481	43.1
92	98	2018-12-09	15:10	8.382	64.6
93	99	2018-12-09	15:20	8.182	107.6
94	100	2018-12-09	15:30	8.182	107.6
95	101	2018-12-09	15:40	8.182	64.6
96	102	2018-12-09	15:50	8.182	86.1
97	103	2018-12-09	16:00	8.182	53.8
98	104	2018-12-09	16:10	8.182	43.1
99	105	2018-12-09	16:20	8.182	32.3
100	106	2018-12-09	16:30	8.182	10.8
101	107	2018-12-09	16:40	8.182	0
102	108	2018-12-09	16:50	8.082	0
103	109	2018-12-09	17:00	8.082	0
104	110	2018-12-09	17:10	8.082	0
105	111	2018-12-09	17:20	8.082	0
106	112	2018-12-09	17:30	8.082	0
107	113	2018-12-09	17:40	8.082	0
108	114	2018-12-09	17:50	8.082	0
109	115	2018-12-09	18:00	7.882	0
110	116	2018-12-09	18:10	7.782	0
111	117	2018-12-09	18:20	7.882	0
112	118	2018-12-09	18:30	7.882	0
113	119	2018-12-09	18:40	7.882	0
114	120	2018-12-09	18:50	7.882	0
115	121	2018-12-09	19:00	7.882	0
116	122	2018-12-09	19:10	7.882	0
117	123	2018-12-09	19:20	7.882	0
118	124	2018-12-09	19:30	7.882	0
119	125	2018-12-09	19:40	7.882	0
120	126	2018-12-09	19:50	7.983	0
121	127	2018-12-09	20:00	7.983	0
122	128	2018-12-09	20:10	7.983	0
123	129	2018-12-09	20:20	7.983	0
124	130	2018-12-09	20:30	7.983	0
125	131	2018-12-09	20:40	7.983	0
126	132	2018-12-09	20:50	7.882	0
127	133	2018-12-09	21:00	7.882	0
128	134	2018-12-09	21:10	7.882	0
129	135	2018-12-09	21:20	7.882	0
130	136	2018-12-09	21:30	7.882	0
131	137	2018-12-09	21:40	7.882	0
132	138	2018-12-09	21:50	7.782	0
133	139	2018-12-09	22:00	7.682	0
134	140	2018-12-09	22:10	7.682	0
135	141	2018-12-09	22:20	7.582	0
136	142	2018-12-09	22:30	7.481	0
137	143	2018-12-09	22:40	7.381	0
138	144	2018-12-09	22:50	7.28	0
139	145	2018-12-09	23:00	7.28	0
140	146	2018-12-09	23:10	7.179	0
141	147	2018-12-09	23:20	7.28	0
142	148	2018-12-09	23:30	7.28	0
143	149	2018-12-09	23:40	7.28	0
144	150	2018-12-09	23:50	7.28	0
145	151	2018-12-10	00:00	7.179	0
146	152	2018-12-10	00:10	7.179	0
147	153	2018-12-10	00:20	7.179	0
148	154	2018-12-10	00:30	7.179	0
149	155	2018-12-10	00:40	7.079	0
150	156	2018-12-10	00:50	7.079	0
151	157	2018-12-10	01:00	7.079	0
152	158	2018-12-10	01:10	6.978	0
153	159	2018-12-10	01:20	6.978	0
154	160	2018-12-10	01:30	6.877	0
155	161	2018-12-10	01:40	6.978	0
156	162	2018-12-10	01:50	6.978	0
157	163	2018-12-10	02:00	6.877	0
158	164	2018-12-10	02:10	6.877	0
159	165	2018-12-10	02:20	6.775	0
160	166	2018-12-10	02:30	6.877	0
161	167	2018-12-10	02:40	6.877	0
162	168	2018-12-10	02:50	6.877	0
163	169	2018-12-10	03:00	6.877	0
164	170	2018-12-10	03:10	6.877	0
165	171	2018-12-10	03:20	6.978	0
166	172	2018-12-10	03:30	6.978	0
167	173	2018-12-10	03:40	6.978	0
168	174	2018-12-10	03:50	7.079	0
169	175	2018-12-10	04:00	7.179	0
170	176	2018-12-10	04:10	7.179	0
171	177	2018-12-10	04:20	7.179	0
172	178	2018-12-10	04:30	7.179	0
173	179	2018-12-10	04:40	7.079	0
174	180	2018-12-10	04:50	7.079	0
175	181	2018-12-10	05:00	6.877	0
176	182	2018-12-10	05:10	6.573	0
177	183	2018-12-10	05:20	6.37	0
178	184	2018-12-10	05:30	6.166	0
179	185	2018-12-10	05:40	6.166	0
180	186	2018-12-10	05:50	6.268	0
181	187	2018-12-10	06:00	6.37	0
182	188	2018-12-10	06:10	6.37	0
183	189	2018-12-10	06:20	6.37	0
184	190	2018-12-10	06:30	6.268	0
185	191	2018-12-10	06:40	6.166	0
186	192	2018-12-10	06:50	6.064	0
187	193	2018-12-10	07:00	5.962	0
188	194	2018-12-10	07:10	5.962	0
189	195	2018-12-10	07:20	5.962	0
190	196	2018-12-10	07:30	5.962	0
191	197	2018-12-10	07:40	6.064	0
192	198	2018-12-10	07:50	6.064	0
193	199	2018-12-10	08:00	6.064	0
194	200	2018-12-10	08:10	6.064	10.8
195	201	2018-12-10	08:20	6.064	21.5
196	202	2018-12-10	08:30	6.166	43.1
197	203	2018-12-10	08:40	6.268	86.1
198	204	2018-12-10	08:50	6.268	183
199	205	2018-12-10	09:00	6.37	129.2
200	206	2018-12-10	09:10	6.471	161.5
201	207	2018-12-10	09:20	6.471	236.8
202	208	2018-12-10	09:30	6.268	279.9
203	209	2018-12-10	09:40	6.37	355.2
204	210	2018-12-10	09:50	6.471	409
205	211	2018-12-10	10:00	6.573	355.2
206	212	2018-12-10	10:10	6.674	290.6
207	213	2018-12-10	10:20	6.674	139.9
208	214	2018-12-10	10:30	6.674	269.1
209	215	2018-12-10	10:40	6.775	387.5
210	216	2018-12-10	10:50	6.877	549
211	217	2018-12-10	11:00	6.877	721.2
212	218	2018-12-10	11:10	6.877	688.9
213	219	2018-12-10	11:20	6.978	699.7
214	220	2018-12-10	11:30	7.079	839.6
215	221	2018-12-10	11:40	7.079	753.5
216	222	2018-12-10	11:50	7.28	516.7
217	223	2018-12-10	12:00	7.381	656.6
218	224	2018-12-10	12:10	7.381	753.5
219	225	2018-12-10	12:20	7.582	1184
220	226	2018-12-10	12:30	7.582	775
221	227	2018-12-10	12:40	7.481	904.2
222	228	2018-12-10	12:50	7.582	1280.9
223	229	2018-12-10	13:00	7.782	1808.3
224	230	2018-12-10	13:10	8.182	1722.2
225	231	2018-12-10	13:20	8.382	1636.1
226	232	2018-12-10	13:30	8.382	1463.9
227	233	2018-12-10	13:40	8.382	1141
