#HOBO_ID 10760706
#Location_Lat_Lon 48.040 7.868
#Alt_above_ground 1.2
#Exposition N
#Influence_class 2
id	date	hm	ta	lux
1	2018-12-09	00:00	NA	NA
2	2018-12-09	00:10	NA	NA
3	2018-12-09	00:20	NA	NA
4	2018-12-09	00:30	NA	NA
5	2018-12-09	00:40	NA	NA
6	2018-12-09	00:50	NA	NA
7	2018-12-09	01:00	NA	NA
8	2018-12-09	01:10	NA	NA
9	2018-12-09	01:20	NA	NA
10	2018-12-09	01:30	NA	NA
11	2018-12-09	01:40	NA	NA
12	2018-12-09	01:50	NA	NA
13	2018-12-09	02:00	NA	NA
14	2018-12-09	02:10	NA	NA
15	2018-12-09	02:20	NA	NA
16	2018-12-09	02:30	NA	NA
17	2018-12-09	02:40	NA	NA
18	2018-12-09	02:50	NA	NA
19	2018-12-09	03:00	NA	NA
20	2018-12-09	03:10	NA	NA
21	2018-12-09	03:20	NA	NA
22	2018-12-09	03:30	NA	NA
23	2018-12-09	03:40	NA	NA
24	2018-12-09	03:50	NA	NA
25	2018-12-09	04:00	NA	NA
26	2018-12-09	04:10	NA	NA
27	2018-12-09	04:20	NA	NA
28	2018-12-09	04:30	NA	NA
29	2018-12-09	04:40	NA	NA
30	2018-12-09	04:50	NA	NA
31	2018-12-09	05:00	NA	NA
32	2018-12-09	05:10	NA	NA
33	2018-12-09	05:20	NA	NA
34	2018-12-09	05:30	NA	NA
35	2018-12-09	05:40	NA	NA
36	2018-12-09	05:50	NA	NA
37	2018-12-09	06:00	NA	NA
38	2018-12-09	06:10	NA	NA
39	2018-12-09	06:20	NA	NA
40	2018-12-09	06:30	NA	NA
41	2018-12-09	06:40	NA	NA
42	2018-12-09	06:50	NA	NA
43	2018-12-09	07:00	NA	NA
44	2018-12-09	07:10	NA	NA
45	2018-12-09	07:20	NA	NA
46	2018-12-09	07:30	NA	NA
47	2018-12-09	07:40	NA	NA
48	2018-12-09	07:50	NA	NA
49	2018-12-09	08:00	NA	NA
50	2018-12-09	08:10	NA	NA
51	2018-12-09	08:20	NA	NA
52	2018-12-09	08:30	NA	NA
53	2018-12-09	08:40	NA	NA
54	2018-12-09	08:50	NA	NA
55	2018-12-09	09:00	NA	NA
56	2018-12-09	09:10	NA	NA
57	2018-12-09	09:20	NA	NA
58	2018-12-09	09:30	NA	NA
59	2018-12-09	09:40	NA	NA
60	2018-12-09	09:50	NA	NA
61	2018-12-09	10:00	NA	NA
62	2018-12-09	10:10	NA	NA
63	2018-12-09	10:20	NA	NA
64	2018-12-09	10:30	NA	NA
65	2018-12-09	10:40	NA	NA
66	2018-12-09	10:50	NA	NA
67	2018-12-09	11:00	NA	NA
68	2018-12-09	11:10	NA	NA
69	2018-12-09	11:20	NA	NA
70	2018-12-09	11:30	NA	NA
71	2018-12-09	11:40	NA	NA
72	2018-12-09	11:50	NA	NA
73	2018-12-09	12:00	NA	NA
74	2018-12-09	12:10	NA	NA
75	2018-12-09	12:20	NA	NA
76	2018-12-09	12:30	NA	NA
77	2018-12-09	12:40	NA	NA
78	2018-12-09	12:50	NA	NA
79	2018-12-09	13:00	NA	NA
80	2018-12-09	13:10	NA	NA
81	2018-12-09	13:20	NA	NA
82	2018-12-09	13:30	NA	NA
83	2018-12-09	13:40	NA	NA
84	2018-12-09	13:50	NA	NA
85	2018-12-09	14:00	NA	NA
86	2018-12-09	14:10	NA	NA
87	2018-12-09	14:20	NA	NA
88	2018-12-09	14:30	NA	NA
89	2018-12-09	14:40	NA	NA
90	2018-12-09	14:50	NA	NA
91	2018-12-09	15:00	NA	NA
92	2018-12-09	15:10	NA	NA
93	2018-12-09	15:20	NA	NA
94	2018-12-09	15:30	NA	NA
95	2018-12-09	15:40	NA	NA
96	2018-12-09	15:50	NA	NA
97	2018-12-09	16:00	NA	NA
98	2018-12-09	16:10	NA	NA
99	2018-12-09	16:20	NA	NA
100	2018-12-09	16:30	NA	NA
101	2018-12-09	16:40	NA	NA
102	2018-12-09	16:50	NA	NA
103	2018-12-09	17:00	NA	NA
104	2018-12-09	17:10	NA	NA
105	2018-12-09	17:20	NA	NA
106	2018-12-09	17:30	NA	NA
107	2018-12-09	17:40	NA	NA
108	2018-12-09	17:50	NA	NA
109	2018-12-09	18:00	NA	NA
110	2018-12-09	18:10	NA	NA
111	2018-12-09	18:20	NA	NA
112	2018-12-09	18:30	NA	NA
113	2018-12-09	18:40	NA	NA
114	2018-12-09	18:50	NA	NA
115	2018-12-09	19:00	NA	NA
116	2018-12-09	19:10	NA	NA
117	2018-12-09	19:20	NA	NA
118	2018-12-09	19:30	NA	NA
119	2018-12-09	19:40	NA	NA
120	2018-12-09	19:50	NA	NA
121	2018-12-09	20:00	NA	NA
122	2018-12-09	20:10	NA	NA
123	2018-12-09	20:20	NA	NA
124	2018-12-09	20:30	NA	NA
125	2018-12-09	20:40	NA	NA
126	2018-12-09	20:50	NA	NA
127	2018-12-09	21:00	NA	NA
128	2018-12-09	21:10	NA	NA
129	2018-12-09	21:20	NA	NA
130	2018-12-09	21:30	NA	NA
131	2018-12-09	21:40	NA	NA
132	2018-12-09	21:50	NA	NA
133	2018-12-09	22:00	NA	NA
134	2018-12-09	22:10	NA	NA
135	2018-12-09	22:20	NA	NA
136	2018-12-09	22:30	NA	NA
137	2018-12-09	22:40	NA	NA
138	2018-12-09	22:50	NA	NA
139	2018-12-09	23:00	NA	NA
140	2018-12-09	23:10	NA	NA
141	2018-12-09	23:20	NA	NA
142	2018-12-09	23:30	NA	NA
143	2018-12-09	23:40	NA	NA
144	2018-12-09	23:50	NA	NA
145	2018-12-10	00:00	NA	NA
146	2018-12-10	00:10	NA	NA
147	2018-12-10	00:20	NA	NA
148	2018-12-10	00:30	NA	NA
149	2018-12-10	00:40	NA	NA
150	2018-12-10	00:50	NA	NA
151	2018-12-10	01:00	NA	NA
152	2018-12-10	01:10	NA	NA
153	2018-12-10	01:20	NA	NA
154	2018-12-10	01:30	NA	NA
155	2018-12-10	01:40	NA	NA
156	2018-12-10	01:50	NA	NA
157	2018-12-10	02:00	NA	NA
158	2018-12-10	02:10	NA	NA
159	2018-12-10	02:20	NA	NA
160	2018-12-10	02:30	NA	NA
161	2018-12-10	02:40	NA	NA
162	2018-12-10	02:50	NA	NA
163	2018-12-10	03:00	NA	NA
164	2018-12-10	03:10	NA	NA
165	2018-12-10	03:20	NA	NA
166	2018-12-10	03:30	NA	NA
167	2018-12-10	03:40	NA	NA
168	2018-12-10	03:50	NA	NA
169	2018-12-10	04:00	NA	NA
170	2018-12-10	04:10	NA	NA
171	2018-12-10	04:20	NA	NA
172	2018-12-10	04:30	NA	NA
173	2018-12-10	04:40	NA	NA
174	2018-12-10	04:50	NA	NA
175	2018-12-10	05:00	NA	NA
176	2018-12-10	05:10	NA	NA
177	2018-12-10	05:20	NA	NA
178	2018-12-10	05:30	NA	NA
179	2018-12-10	05:40	NA	NA
180	2018-12-10	05:50	NA	NA
181	2018-12-10	06:00	NA	NA
182	2018-12-10	06:10	NA	NA
183	2018-12-10	06:20	NA	NA
184	2018-12-10	06:30	NA	NA
185	2018-12-10	06:40	NA	NA
186	2018-12-10	06:50	NA	NA
187	2018-12-10	07:00	NA	NA
188	2018-12-10	07:10	NA	NA
189	2018-12-10	07:20	NA	NA
190	2018-12-10	07:30	NA	NA
191	2018-12-10	07:40	NA	NA
192	2018-12-10	07:50	NA	NA
193	2018-12-10	08:00	NA	NA
194	2018-12-10	08:10	NA	NA
195	2018-12-10	08:20	NA	NA
196	2018-12-10	08:30	NA	NA
197	2018-12-10	08:40	NA	NA
198	2018-12-10	08:50	NA	NA
199	2018-12-10	09:00	NA	NA
200	2018-12-10	09:10	NA	NA
201	2018-12-10	09:20	NA	NA
202	2018-12-10	09:30	NA	NA
203	2018-12-10	09:40	NA	NA
204	2018-12-10	09:50	NA	NA
205	2018-12-10	10:00	NA	NA
206	2018-12-10	10:10	NA	NA
207	2018-12-10	10:20	NA	NA
208	2018-12-10	10:30	NA	NA
209	2018-12-10	10:40	NA	NA
210	2018-12-10	10:50	NA	NA
211	2018-12-10	11:00	NA	NA
212	2018-12-10	11:10	NA	NA
213	2018-12-10	11:20	NA	NA
214	2018-12-10	11:30	NA	NA
215	2018-12-10	11:40	NA	NA
216	2018-12-10	11:50	NA	NA
217	2018-12-10	12:00	NA	NA
218	2018-12-10	12:10	NA	NA
219	2018-12-10	12:20	NA	NA
220	2018-12-10	12:30	NA	NA
221	2018-12-10	12:40	NA	NA
222	2018-12-10	12:50	NA	NA
223	2018-12-10	13:00	NA	NA
224	2018-12-10	13:10	NA	NA
225	2018-12-10	13:20	NA	NA
226	2018-12-10	13:30	NA	NA
227	2018-12-10	13:40	NA	NA
228	2018-12-10	13:50	NA	NA
229	2018-12-10	14:00	NA	NA
230	2018-12-10	14:10	NA	NA
231	2018-12-10	14:20	NA	NA
