#HOBO_ID 10760763
#Location_Lat_Lon 48.0096 7.8662
#Alt_above_ground 4
#Exposition N
#Influence_class 1
id	date	hm	ta	lux
7	2018-12-09	00:00	10.259	0
8	2018-12-09	00:10	10.259	0
9	2018-12-09	00:20	10.357	0
10	2018-12-09	00:30	10.161	0
11	2018-12-09	00:40	10.259	0
12	2018-12-09	00:50	10.357	0
13	2018-12-09	01:00	10.259	0
14	2018-12-09	01:10	10.259	0
15	2018-12-09	01:20	10.063	0
16	2018-12-09	01:30	9.866	0
17	2018-12-09	01:40	9.669	0
18	2018-12-09	01:50	9.571	0
19	2018-12-09	02:00	9.472	0
20	2018-12-09	02:10	9.571	0
21	2018-12-09	02:20	9.669	0
22	2018-12-09	02:30	9.768	0
23	2018-12-09	02:40	10.063	0
24	2018-12-09	02:50	10.161	0
25	2018-12-09	03:00	10.259	0
26	2018-12-09	03:10	10.259	0
27	2018-12-09	03:20	10.259	0
28	2018-12-09	03:30	10.161	0
29	2018-12-09	03:40	10.161	0
30	2018-12-09	03:50	9.965	0
31	2018-12-09	04:00	10.063	0
32	2018-12-09	04:10	10.161	0
33	2018-12-09	04:20	10.259	0
34	2018-12-09	04:30	10.259	0
35	2018-12-09	04:40	10.161	0
36	2018-12-09	04:50	10.063	0
37	2018-12-09	05:00	9.866	0
38	2018-12-09	05:10	9.866	0
39	2018-12-09	05:20	9.768	0
40	2018-12-09	05:30	8.879	0
41	2018-12-09	05:40	6.37	0
42	2018-12-09	05:50	6.166	0
43	2018-12-09	06:00	6.37	0
44	2018-12-09	06:10	6.37	0
45	2018-12-09	06:20	6.37	0
46	2018-12-09	06:30	6.37	0
47	2018-12-09	06:40	6.37	0
48	2018-12-09	06:50	6.775	0
49	2018-12-09	07:00	7.179	0
50	2018-12-09	07:10	7.381	0
51	2018-12-09	07:20	7.782	0
52	2018-12-09	07:30	7.782	0
53	2018-12-09	07:40	7.782	0
54	2018-12-09	07:50	7.682	0
55	2018-12-09	08:00	7.682	21.5
56	2018-12-09	08:10	7.682	43.1
57	2018-12-09	08:20	7.782	96.9
58	2018-12-09	08:30	7.782	139.9
59	2018-12-09	08:40	7.882	236.8
60	2018-12-09	08:50	7.983	312.2
61	2018-12-09	09:00	7.882	592
62	2018-12-09	09:10	7.882	764.2
63	2018-12-09	09:20	7.983	592
64	2018-12-09	09:30	7.983	699.7
65	2018-12-09	09:40	8.182	882.6
66	2018-12-09	09:50	8.282	1377.8
67	2018-12-09	10:00	8.282	1377.8
68	2018-12-09	10:10	8.282	1894.5
69	2018-12-09	10:20	8.481	2583.4
70	2018-12-09	10:30	8.68	3444.5
71	2018-12-09	10:40	8.879	4650
72	2018-12-09	10:50	9.176	3961.1
73	2018-12-09	11:00	9.077	3100
74	2018-12-09	11:10	8.879	2669.5
75	2018-12-09	11:20	9.077	4305.6
76	2018-12-09	11:30	8.978	1808.3
77	2018-12-09	11:40	8.481	635.1
78	2018-12-09	11:50	8.082	1097.9
79	2018-12-09	12:00	8.082	1808.3
80	2018-12-09	12:10	8.282	1636.1
81	2018-12-09	12:20	8.481	1808.3
82	2018-12-09	12:30	8.68	3444.5
83	2018-12-09	12:40	8.879	2755.6
84	2018-12-09	12:50	8.68	2152.8
