#HOBO_ID 10760810
#Location_Lat_Lon 48.0122 7.853
#Alt_above_ground 4.5
#Exposition N
#Influence_class 2
id	date	time	ta	lux
1	2018-12-09	00:00:00	10.455	0
2	2018-12-09	00:10:00	10.553	0
3	2018-12-09	00:20:00	10.553	0
4	2018-12-09	00:30:00	10.455	0
5	2018-12-09	00:40:00	10.553	0
6	2018-12-09	00:50:00	10.553	0
7	2018-12-09	01:00:00	10.455	0
8	2018-12-09	01:10:00	10.357	0
9	2018-12-09	01:20:00	10.161	0
10	2018-12-09	01:30:00	9.965	0
11	2018-12-09	01:40:00	9.866	0
12	2018-12-09	01:50:00	9.669	0
13	2018-12-09	02:00:00	9.472	0
14	2018-12-09	02:10:00	9.373	0
15	2018-12-09	02:20:00	9.472	0
16	2018-12-09	02:30:00	9.768	0
17	2018-12-09	02:40:00	10.259	0
18	2018-12-09	02:50:00	10.357	0
19	2018-12-09	03:00:00	10.259	0
20	2018-12-09	03:10:00	10.357	0
21	2018-12-09	03:20:00	10.357	0
22	2018-12-09	03:30:00	10.357	0
23	2018-12-09	03:40:00	10.259	0
24	2018-12-09	03:50:00	10.063	0
25	2018-12-09	04:00:00	10.161	0
26	2018-12-09	04:10:00	10.161	0
27	2018-12-09	04:20:00	10.259	0
28	2018-12-09	04:30:00	10.259	0
29	2018-12-09	04:40:00	10.259	0
30	2018-12-09	04:50:00	10.161	0
31	2018-12-09	05:00:00	10.063	0
32	2018-12-09	05:10:00	9.965	0
33	2018-12-09	05:20:00	9.965	0
34	2018-12-09	05:30:00	9.373	0
35	2018-12-09	05:40:00	7.481	0
36	2018-12-09	05:50:00	6.877	0
37	2018-12-09	06:00:00	6.877	0
38	2018-12-09	06:10:00	6.775	0
39	2018-12-09	06:20:00	6.877	0
40	2018-12-09	06:30:00	6.877	0
41	2018-12-09	06:40:00	6.877	0
42	2018-12-09	06:50:00	7.179	0
43	2018-12-09	07:00:00	7.782	0
44	2018-12-09	07:10:00	7.782	0
45	2018-12-09	07:20:00	7.983	0
46	2018-12-09	07:30:00	8.082	0
47	2018-12-09	07:40:00	8.182	0
48	2018-12-09	07:50:00	8.082	0
49	2018-12-09	08:00:00	8.082	43.1
50	2018-12-09	08:10:00	8.082	139.9
51	2018-12-09	08:20:00	8.182	172.2
52	2018-12-09	08:30:00	8.182	258.3
53	2018-12-09	08:40:00	8.182	376.7
54	2018-12-09	08:50:00	8.382	387.5
55	2018-12-09	09:00:00	8.481	839.6
56	2018-12-09	09:10:00	8.481	1151.7
57	2018-12-09	09:20:00	8.481	914.9
58	2018-12-09	09:30:00	8.581	1065.6
59	2018-12-09	09:40:00	8.68	1065.6
60	2018-12-09	09:50:00	8.68	1894.5
61	2018-12-09	10:00:00	8.879	2152.8
62	2018-12-09	10:10:00	8.879	2755.6
63	2018-12-09	10:20:00	9.077	3788.9
64	2018-12-09	10:30:00	9.176	4477.8
65	2018-12-09	10:40:00	9.472	7233.4
66	2018-12-09	10:50:00	9.866	5338.9
67	2018-12-09	11:00:00	9.866	4305.6
68	2018-12-09	11:10:00	9.571	3100
69	2018-12-09	11:20:00	9.866	7233.4
70	2018-12-09	11:30:00	9.669	2152.8
71	2018-12-09	11:40:00	9.176	1184
