"ID","date","hour","th","origin"
"1",2018-12-10,0,7.049,"R"
"2",2018-12-10,1,7.749,"H"
"3",2018-12-10,2,7.615,"H"
"4",2018-12-10,3,6.721,"R"
"5",2018-12-10,4,6.339,"R"
"6",2018-12-10,5,5.574,"R"
"7",2018-12-10,6,5.383,"R"
"8",2018-12-10,7,6.742,"H"
"9",2018-12-10,8,6.961,"H"
"10",2018-12-10,9,6.029,"R"
"11",2018-12-10,10,6.175,"R"
"12",2018-12-10,11,6.621,"R"
"13",2018-12-10,12,6.976,"R"
"14",2018-12-10,13,7.995,"R"
"15",2018-12-10,14,7.758,"R"
"16",2018-12-10,15,6.839,"R"
"17",2018-12-10,16,6.284,"R"
"18",2018-12-10,17,7.532,"H"
"19",2018-12-10,18,7.531,"H"
"20",2018-12-10,19,7.615,"H"
"21",2018-12-10,20,7.632,"H"
"22",2018-12-10,21,7.246,"H"
"23",2018-12-10,22,7.062,"H"
"24",2018-12-10,23,6.624,"H"
"25",2018-12-11,0,6.556,"H"
"26",2018-12-11,1,6.216,"H"
"27",2018-12-11,2,5.894,"H"
"28",2018-12-11,3,5.501,"H"
"29",2018-12-11,4,5.295,"H"
"30",2018-12-11,5,4.986,"H"
"31",2018-12-11,6,4.049,"H"
"32",2018-12-11,7,3.12,"H"
"33",2018-12-11,8,2.463,"H"
"34",2018-12-11,9,2.035,"R"
"35",2018-12-11,10,3.482,"R"
"36",2018-12-11,11,5.028,"R"
"37",2018-12-11,12,5.638,"R"
"38",2018-12-11,13,6.048,"R"
"39",2018-12-11,14,5.684,"R"
"40",2018-12-11,15,6.139,"R"
"41",2018-12-11,16,5.808,"H"
"42",2018-12-11,17,5.244,"H"
"43",2018-12-11,18,4.831,"H"
"44",2018-12-11,19,4.432,"H"
"45",2018-12-11,20,4.259,"H"
"46",2018-12-11,21,2.924,"H"
"47",2018-12-11,22,1.746,"H"
"48",2018-12-11,23,1.021,"H"
"49",2018-12-12,0,0.563,"H"
"50",2018-12-12,1,0.195,"H"
"51",2018-12-12,2,-0.102,"H"
"52",2018-12-12,3,-0.418,"H"
"53",2018-12-12,4,-0.793,"H"
"54",2018-12-12,5,-0.977,"R"
"55",2018-12-12,6,-1.133,"H"
"56",2018-12-12,7,-1.285,"H"
"57",2018-12-12,8,-1.418,"H"
"58",2018-12-12,9,-0.859,"R"
"59",2018-12-12,10,0.47,"R"
"60",2018-12-12,11,2.28,"R"
"61",2018-12-12,12,3.081,"R"
"62",2018-12-12,13,3.345,"R"
"63",2018-12-12,14,4.637,"R"
"64",2018-12-12,15,5.019,"R"
"65",2018-12-12,16,2.729,"H"
"66",2018-12-12,17,2.392,"H"
"67",2018-12-12,18,2.015,"H"
"68",2018-12-12,19,1.53,"H"
"69",2018-12-12,20,0.451,"R"
"70",2018-12-12,21,1.039,"H"
"71",2018-12-12,22,0.526,"H"
"72",2018-12-12,23,0.084,"H"
"73",2018-12-13,0,0.765,"H"
"74",2018-12-13,1,0.083,"H"
"75",2018-12-13,2,0.195,"H"
"76",2018-12-13,3,0.526,"H"
"77",2018-12-13,4,0.139,"H"
"78",2018-12-13,5,-1.023,"R"
"79",2018-12-13,6,0.009,"H"
"80",2018-12-13,7,-0.232,"H"
"81",2018-12-13,8,-0.913,"R"
"82",2018-12-13,9,-0.686,"R"
"83",2018-12-13,10,0.033,"R"
"84",2018-12-13,11,1.243,"R"
"85",2018-12-13,12,2.599,"R"
"86",2018-12-13,13,2.79,"R"
"87",2018-12-13,14,3.136,"R"
"88",2018-12-13,15,2.999,"R"
"89",2018-12-13,16,3.031,"H"
"90",2018-12-13,17,2.553,"H"
"91",2018-12-13,18,2.226,"R"
"92",2018-12-13,19,2.162,"R"
"93",2018-12-13,20,1.584,"H"
"94",2018-12-13,21,1.257,"H"
"95",2018-12-13,22,1.148,"H"
"96",2018-12-13,23,0.948,"H"
"97",2018-12-14,0,0.508,"H"
"98",2018-12-14,1,0.121,"H"
"99",2018-12-14,2,-0.102,"H"
"100",2018-12-14,3,-0.306,"H"
"101",2018-12-14,4,-0.643,"H"
"102",2018-12-14,5,-0.944,"H"
"103",2018-12-14,6,-1.058,"H"
"104",2018-12-14,7,-1.228,"H"
"105",2018-12-14,8,-1.665,"H"
"106",2018-12-14,9,-1.705,"R"
"107",2018-12-14,10,-0.813,"R"
"108",2018-12-14,11,0.024,"R"
"109",2018-12-14,12,0.879,"R"
"110",2018-12-14,13,1.798,"R"
"111",2018-12-14,14,2.108,"R"
"112",2018-12-14,15,1.807,"R"
"113",2018-12-14,16,1.872,"H"
"114",2018-12-14,17,1.548,"H"
"115",2018-12-14,18,1.352,"R"
"116",2018-12-14,19,1.289,"R"
"117",2018-12-14,20,1.225,"R"
"118",2018-12-14,21,1.112,"H"
"119",2018-12-14,22,0.87,"R"
"120",2018-12-14,23,0.875,"H"
