date	hour	th	origin
2018-12-10	00	7.296	H
2018-12-10	01	7.263	H
2018-12-10	02	6.706	R
2018-12-10	03	7.213	H
2018-12-10	04	6.961	H
2018-12-10	05	6.809	H
2018-12-10	06	6.488	H
2018-12-10	07	6.183	H
2018-12-10	08	6.149	H
2018-12-10	09	6.335	H
2018-12-10	10	6.724	H
2018-12-10	11	7.363	H
2018-12-10	12	6.780	R
2018-12-10	13	9.126	H
2018-12-10	14	8.397	H
2018-12-10	15	7.615	H
2018-12-10	16	6.808	H
2018-12-10	17	6.572	H
2018-12-10	18	7.011	H
2018-12-10	19	7.011	H
2018-12-10	20	6.826	H
2018-12-10	21	6.961	H
2018-12-10	22	6.674	H
2018-12-10	23	6.131	H
2018-12-11	00	5.603	H
2018-12-11	01	3.919	R
2018-12-11	02	5.003	H
2018-12-11	03	4.865	H
2018-12-11	04	4.588	H
2018-12-11	05	3.980	H
2018-12-11	06	3.506	H
2018-12-11	07	2.409	H
2018-12-11	08	2.141	H
2018-12-11	09	1.736	R
2018-12-11	10	4.015	H
2018-12-11	11	5.002	H
2018-12-11	12	5.706	H
2018-12-11	13	6.301	H
2018-12-11	14	6.436	H
2018-12-11	15	6.775	H
2018-12-11	16	5.979	H
2018-12-11	17	5.122	H
2018-12-11	18	4.432	H
2018-12-11	19	4.171	H
2018-12-11	20	3.683	H
2018-12-11	21	3.030	H
2018-12-11	22	2.069	H
2018-12-11	23	1.565	H
2018-12-12	00	1.33	H
2018-12-12	01	0.984	H
2018-12-12	02	0.747	H
2018-12-12	03	0.397	H
2018-12-12	04	0.176	H
2018-12-12	05	-0.19	H
2018-12-12	06	-0.45	H
2018-12-12	07	-0.94	H
2018-12-12	08	-1.22	H
2018-12-12	09	-0.20	H
2018-12-12	10	1.583	H
2018-12-12	11	2.283	H
2018-12-12	12	3.542	H
2018-12-12	13	4.449	H
2018-12-12	14	4.432	H
2018-12-12	15	4.623	H
2018-12-12	16	2.730	R
2018-12-12	17	2.730	H
2018-12-12	18	2.320	H
2018-12-12	19	1.818	H
2018-12-12	20	1.728	H
2018-12-12	21	1.475	H
2018-12-12	22	0.837	H
2018-12-12	23	0.195	H
2018-12-13	00	0.250	H
2018-12-13	01	-0.10	H
2018-12-13	02	-0.02	H
2018-12-13	03	0.102	H
2018-12-13	04	-0.51	H
2018-12-13	05	-1.03	H
2018-12-13	06	-1.19	H
2018-12-13	07	-1.41	H
2018-12-13	08	-1.27	R
2018-12-13	09	-0.32	H
2018-12-13	10	1.072	H
2018-12-13	11	3.119	H
2018-12-13	12	4.118	H
2018-12-13	13	3.541	H
2018-12-13	14	3.066	H
2018-12-13	15	2.996	H
2018-12-13	16	2.765	H
2018-12-13	17	2.534	H
2018-12-13	18	1.931	R
2018-12-13	19	2.105	H
2018-12-13	20	1.8	H
2018-12-13	21	1.275	H
2018-12-13	22	1.33	H
2018-12-13	23	0.893	H
2018-12-14	00	0.547	R
2018-12-14	01	0.471	H
2018-12-14	02	-0.06	H
2018-12-14	03	-0.08	R
2018-12-14	04	-1.30	H
2018-12-14	05	-1.91	H
2018-12-14	06	-2.10	H
2018-12-14	07	-2.24	H
2018-12-14	08	-2.35	H
2018-12-14	09	-1.36	H
2018-12-14	10	0.854	H
2018-12-14	11	2.266	H
2018-12-14	12	2.033	H
2018-12-14	13	2.374	H
2018-12-14	14	1.811	R
2018-12-14	15	2.319	H
2018-12-14	16	1.926	H
2018-12-14	17	1.142	R
2018-12-14	18	1.782	H
2018-12-14	19	0.975	R
2018-12-14	20	0.910	R
2018-12-14	21	0.770	R
2018-12-14	22	0.547	R
2018-12-14	23	0.408	R
2018-12-15	00	0.547	R
2018-12-15	01	0.464	R
2018-12-15	02	0.501	R
2018-12-15	03	0.445	R
2018-12-15	04	0.362	R
2018-12-15	05	0.362	R
2018-12-15	06	0.250	R
2018-12-15	07	0.306	R
2018-12-15	08	0.655	H
2018-12-15	09	0.929	H
2018-12-15	10	1.853	H
2018-12-15	11	2.906	H
2018-12-15	12	3.313	H
2018-12-15	13	2.801	H
2018-12-15	14	2.906	H
2018-12-15	15	1.329	H
2018-12-15	16	0.249	H
2018-12-15	17	-0.62	H
2018-12-15	18	-1.22	H
2018-12-15	19	-1.41	H
2018-12-15	20	-2.03	R
2018-12-15	21	-1.32	H
2018-12-15	22	-0.94	H
2018-12-15	23	-0.45	H
2018-12-16	00	0.028	H
2018-12-16	01	0.287	H
2018-12-16	02	0.250	H
2018-12-16	03	0.342	H
2018-12-16	04	0.783	H
2018-12-16	05	0.729	H
2018-12-16	06	-0.17	R
2018-12-16	07	0.148	R
2018-12-16	08	3.139	R
2018-12-16	09	4.293	H
2018-12-16	10	5.517	H
2018-12-16	11	5.953	R
2018-12-16	12	7.548	H
2018-12-16	13	7.581	H
2018-12-16	14	7.698	H
2018-12-16	15	7.128	H
2018-12-16	16	5.431	H
2018-12-16	17	3.874	H
2018-12-16	18	3.102	H
2018-12-16	19	3.013	H
2018-12-16	20	3.031	H
2018-12-16	21	2.588	H
2018-12-16	22	2.409	H
2018-12-16	23	3.190	H
2018-12-17	00	2.783	H
2018-12-17	01	2.872	H
2018-12-17	02	3.243	H
2018-12-17	03	3.102	H
2018-12-17	04	3.049	H
2018-12-17	05	1.857	R
2018-12-17	06	3.243	H
2018-12-17	07	3.119	H
2018-12-17	08	2.783	H
2018-12-17	09	3.870	H
2018-12-17	10	6.250	H
2018-12-17	11	6.115	H
2018-12-17	12	6.471	H
2018-12-17	13	7.714	H
2018-12-17	14	7.162	H
2018-12-17	15	7.028	H
2018-12-17	16	6.572	H
2018-12-17	17	6.37	H
2018-12-17	18	6.910	R
2018-12-17	19	6.690	H
2018-12-17	20	6.657	H
2018-12-17	21	6.901	R
2018-12-17	22	6.386	H
2018-12-17	23	5.705	H
2018-12-18	00	4.691	H
2018-12-18	01	3.892	H
2018-12-18	02	3.472	H
2018-12-18	03	3.119	H
2018-12-18	04	2.801	H
2018-12-18	05	2.481	H
2018-12-18	06	1.979	H
2018-12-18	07	1.457	H
2018-12-18	08	1.130	H
2018-12-18	09	1.436	H
2018-12-18	10	2.730	H
2018-12-18	11	3.295	H
2018-12-18	12	4.758	H
2018-12-18	13	5.979	H
2018-12-18	14	5.518	H
2018-12-18	15	4.639	H
2018-12-18	16	3.857	H
2018-12-18	17	2.694	H
2018-12-18	18	2.033	H
2018-12-18	19	1.638	H
2018-12-18	20	1.384	H
2018-12-18	21	0.770	R
2018-12-18	22	1.130	H
2018-12-18	23	1.184	H
2018-12-19	00	1.584	H
2018-12-19	01	1.746	H
2018-12-19	02	1.782	H
2018-12-19	03	2.088	H
2018-12-19	04	3.585	R
2018-12-19	05	4.484	H
2018-12-19	06	5.192	R
2018-12-19	07	7.027	H
2018-12-19	08	7.814	H
2018-12-19	09	8.431	H
2018-12-19	10	8.547	H
2018-12-19	11	8.348	H
2018-12-19	12	8.729	H
2018-12-19	13	8.911	H
2018-12-19	14	9.389	H
2018-12-19	15	9.076	H
2018-12-19	16	8.231	H
2018-12-19	17	7.531	H
2018-12-19	18	7.179	H
2018-12-19	19	7.095	H
2018-12-19	20	6.944	H
2018-12-19	21	7.532	R
2018-12-19	22	7.212	H
2018-12-19	23	7.748	H
2018-12-20	00	7.698	H
2018-12-20	01	7.815	H
2018-12-20	02	7.949	H
2018-12-20	03	7.966	H
2018-12-20	04	7.966	H
2018-12-20	05	7.969	R
2018-12-20	06	7.698	H
2018-12-20	07	7.514	R
2018-12-20	08	7.384	R
2018-12-20	09	7.881	H
2018-12-20	10	9.224	H
2018-12-20	11	9.389	H
2018-12-20	12	9.652	H
2018-12-20	13	9.274	H
2018-12-20	14	9.060	H
2018-12-20	15	8.514	H
2018-12-20	16	7.715	H
2018-12-20	17	7.447	H
2018-12-20	18	7.665	H
2018-12-20	19	8.082	H
2018-12-20	20	8.182	H
2018-12-20	21	8.215	H
2018-12-20	22	8.182	H
2018-12-20	23	8.431	H
2018-12-21	00	8.630	H
2018-12-21	01	8.845	H
2018-12-21	02	8.978	H
2018-12-21	03	8.829	H
2018-12-21	04	9.258	H
