date	hour	th	origin	dthm
2018-12-10	0	7.095	H	2018-12-10T00:00:00Z
2018-12-10	1	7.095	H	2018-12-10T01:00:00Z
2018-12-10	2	7.012	H	2018-12-10T02:00:00Z
2018-12-10	3	6.91	H	2018-12-10T03:00:00Z
2018-12-10	4	6.911	H	2018-12-10T04:00:00Z
2018-12-10	5	6.25	H	2018-12-10T05:00:00Z
2018-12-10	6	5.757	H	2018-12-10T06:00:00Z
2018-12-10	7	5.569	H	2018-12-10T07:00:00Z
2018-12-10	8	5.809	H	2018-12-10T08:00:00Z
2018-12-10	9	6.285	H	2018-12-10T09:00:00Z
2018-12-10	10	6.64	H	2018-12-10T10:00:00Z
2018-12-10	11	7.414	H	2018-12-10T11:00:00Z
2018-12-10	12	7.849	H	2018-12-10T12:00:00Z
2018-12-10	13	9.373	H	2018-12-10T13:00:00Z
2018-12-10	14	8.777	H	2018-12-10T14:00:00Z
2018-12-10	15	7.33	H	2018-12-10T15:00:00Z
2018-12-10	16	6.826	H	2018-12-10T16:00:00Z
2018-12-10	17	6.505	H	2018-12-10T17:00:00Z
2018-12-10	18	6.624	H	2018-12-10T18:00:00Z
2018-12-10	19	6.843	H	2018-12-10T19:00:00Z
2018-12-10	20	6.792	H	2018-12-10T20:00:00Z
2018-12-10	21	6.539	H	2018-12-10T21:00:00Z
2018-12-10	22	6.694	R	2018-12-10T22:00:00Z
2018-12-10	23	5.106	H	2018-12-10T23:00:00Z
2018-12-11	0	5.296	H	2018-12-11T00:00:00Z
2018-12-11	1	5.295	H	2018-12-11T01:00:00Z
2018-12-11	2	4.831	H	2018-12-11T02:00:00Z
2018-12-11	3	4.479	R	2018-12-11T03:00:00Z
2018-12-11	4	4.536	H	2018-12-11T04:00:00Z
2018-12-11	5	4.085	H	2018-12-11T05:00:00Z
2018-12-11	6	3.682	H	2018-12-11T06:00:00Z
2018-12-11	7	2.907	H	2018-12-11T07:00:00Z
2018-12-11	8	2.713	H	2018-12-11T08:00:00Z
2018-12-11	9	2.664	R	2018-12-11T09:00:00Z
2018-12-11	10	4.467	H	2018-12-11T10:00:00Z
2018-12-11	11	5.637	H	2018-12-11T11:00:00Z
2018-12-11	12	7.413	H	2018-12-11T12:00:00Z
2018-12-11	13	8.282	H	2018-12-11T13:00:00Z
2018-12-11	14	7.346	H	2018-12-11T14:00:00Z
2018-12-11	15	8.513	H	2018-12-11T15:00:00Z
2018-12-11	16	6.554	H	2018-12-11T16:00:00Z
