date	hour	th	origin
2018-12-10	0	6.657	H
2018-12-10	1	6.572	H
2018-12-10	2	6.708	H
2018-12-10	3	6.758	H
2018-12-10	4	7.011	H
2018-12-10	5	4.9	R
2018-12-10	6	5.638	H
2018-12-10	7	5.62	H
2018-12-10	8	5.604	H
2018-12-10	9	6.251	H
2018-12-10	10	6.775	H
2018-12-10	11	7.749	H
2018-12-10	12	6.9	R
2018-12-10	13	8.4	R
2018-12-10	14	7.5	R
2018-12-10	15	6.5	R
2018-12-10	16	6.91	H
2018-12-10	17	6.42	H
2018-12-10	18	6.387	H
2018-12-10	19	6.758	H
2018-12-10	20	6.606	H
2018-12-10	21	6.115	H
2018-12-10	22	5.689	H
2018-12-10	23	4.848	H
2018-12-11	0	4.71	H
2018-12-11	1	4.779	H
2018-12-11	2	4.293	H
2018-12-11	3	4.015	H
2018-12-11	4	3.788	H
2018-12-11	5	3.243	H
2018-12-11	6	2.764	H
2018-12-11	7	2.353	H
2018-12-11	8	2.2	R
2018-12-11	9	3	R
2018-12-11	10	4.2	R
2018-12-11	11	5	R
2018-12-11	12	5.5	R
2018-12-11	13	6.6	R
2018-12-11	14	5.8	R
2018-12-11	15	8.247	H
2018-12-11	16	4.9	R
2018-12-11	17	5.807	H
2018-12-11	18	4.2	R
2018-12-11	19	4.398	H
2018-12-11	20	5.192	H
2018-12-11	21	5.208	H
2018-12-11	22	1.9	R
2018-12-11	23	1.2	R
2018-12-12	0	0.3	R
2018-12-12	1	0.379	H
2018-12-12	2	0.306	H
2018-12-12	3	0.01	H
2018-12-12	4	-0.362	H
2018-12-12	5	-0.624	H
2018-12-12	6	-1.21	H
2018-12-12	7	-1.418	H
2018-12-12	8	-1.02	H
2018-12-12	9	-0.5	R
2018-12-12	10	1	R
2018-12-12	11	1.6	R
2018-12-12	12	2.4	R
2018-12-12	13	4	R
2018-12-12	14	4.7	R
2018-12-12	15	3.7	R
2018-12-12	16	0.7	R
2018-12-12	17	1.075	H
2018-12-12	18	1.148	H
2018-12-12	19	0.765	H
2018-12-12	20	0.232	H
2018-12-12	21	-0.139	H
2018-12-12	22	-0.475	H
2018-12-12	23	-1.246	H
2018-12-13	0	-0.681	H
2018-12-13	1	-0.963	H
2018-12-13	2	-1.266	H
