date hour th origin
2018-12-10 0 5.874 R
2018-12-10 1 5.874 R
2018-12-10 2 5.615 R
2018-12-10 3 5.961 R
2018-12-10 4 5.615 R
2018-12-10 5 4.402 R
2018-12-10 6 4.662 R
2018-12-10 7 4.748 R
2018-12-10 8 5.095 R
2018-12-10 9 5.355 R
2018-12-10 10 5.701 R
2018-12-10 11 6.048 R
2018-12-10 12 6.134 R
2018-12-10 13 7.434 R
2018-12-10 14 6.654 R
2018-12-10 15 5.788 R
2018-12-10 16 5.874 R
2018-12-10 17 5.615 R
2018-12-10 18 5.701 R
2018-12-10 19 5.788 R
2018-12-10 20 5.701 R
2018-12-10 21 5.182 R
2018-12-10 22 4.748 R
2018-12-10 23 4.315 R
2018-12-11 0 4.142 R
2018-12-11 1 3.882 R
2018-12-11 2 3.536 R
2018-12-11 3 3.449 R
2018-12-11 4 3.276 R
2018-12-11 5 3.016 R
2018-12-11 6 2.67 R
2018-12-11 7 2.41 R
2018-12-11 8 2.063 R
2018-12-11 9 2.756 R
2018-12-11 10 3.796 R
2018-12-11 11 4.489 R
2018-12-11 12 4.922 R
2018-12-11 13 5.874 R
2018-12-11 14 5.182 R
2018-12-11 15 4.922 R
2018-12-11 16 4.402 R
2018-12-11 17 4.055 R
2018-12-11 18 3.796 R
2018-12-11 19 3.536 R
2018-12-11 20 3.276 R
2018-12-11 21 2.15 R
2018-12-11 22 1.803 R
2018-12-11 23 1.197 R
2018-12-12 0 1.111 H
2018-12-12 1 0.379 H
2018-12-12 2 0.331 R
2018-12-12 3 0.01 H
2018-12-12 4 -0.568 H
2018-12-12 5 -1.076 H
2018-12-12 6 -1.076 H
2018-12-12 7 -1.228 H
2018-12-12 8 -1.304 H
2018-12-12 9 -0.275 R
2018-12-12 10 1.024 R
2018-12-12 11 1.544 R
2018-12-12 12 2.236 R
2018-12-12 13 3.622 R
2018-12-12 14 3.7 H
2018-12-12 15 3.559 H
2018-12-12 16 1.382 H
2018-12-12 17 0.331 R
2018-12-12 18 0.71 H
2018-12-12 19 0.306 H
2018-12-12 20 0.01 H
2018-12-12 21 -0.139 H
2018-12-12 22 -0.907 H
2018-12-12 23 -1.228 H
2018-12-13 0 -0.622 R
2018-12-13 1 -1.142 R
2018-12-13 2 -1.095 H
2018-12-13 3 -0.699 H
2018-12-13 4 -0.624 H
2018-12-13 5 -1.039 H
2018-12-13 6 -0.437 H
2018-12-13 7 -0.57 H
2018-12-13 8 -0.813 H
2018-12-13 9 -0.512 H
2018-12-13 10 0.504 R
2018-12-13 11 1.457 R
2018-12-13 12 2.41 R
2018-12-13 13 2.034 H
2018-12-13 14 2.231 H
2018-12-13 15 2.159 H
2018-12-13 16 1.818 H
2018-12-13 17 1.602 H
2018-12-13 18 1.457 H
2018-12-13 19 1.294 H
2018-12-13 20 1.076 H
2018-12-13 21 0.875 H
2018-12-13 22 0.582 H
2018-12-13 23 1.024 R
2018-12-14 0 0.084 H
2018-12-14 1 -0.009 H
2018-12-14 2 -0.009 H
2018-12-14 3 -0.176 H
2018-12-14 4 -1.152 H
2018-12-14 5 -0.85 H
2018-12-14 6 -0.68 H
2018-12-14 7 -1.458 H
2018-12-14 8 -2.242 H
2018-12-14 9 -2.126 H
2018-12-14 10 -1.247 H
2018-12-14 11 0.418 R
2018-12-14 12 1.284 R
2018-12-14 13 2.15 R
2018-12-14 14 2.063 R
2018-12-14 15 1.872 H
2018-12-14 16 1.457 H
2018-12-14 17 1.185 H
2018-12-14 18 1.039 H
2018-12-14 19 0.838 H
2018-12-14 20 0.692 H
2018-12-14 21 0.656 H
2018-12-14 22 0.418 R
2018-12-14 23 0.49 H
2018-12-15 0 0.361 H
2018-12-15 1 0.244 R
2018-12-15 2 0.195 H
2018-12-15 3 0.176 H
2018-12-15 4 0.158 R
2018-12-15 5 0.047 H
2018-12-15 6 0.01 H
2018-12-15 7 0.158 R
2018-12-15 8 -0.009 H
2018-12-15 9 -0.158 H
