google_sheet_id,name,hobo_id,data_available,region,latitude,longitude,exposition,altitude,influence,description,,,,,,,,,,,,,,,,,
1,anonym1,10760815,no,Freiburg,48.0139,7.8573,E,3,low,"Attached to the window outside, no shielding, street lamp, heat loss from building ",,,,,,,,,,,,,,,,,
2,anonym2,10347346,yes,Freiburg,48.0207,7.8101,E,10,low,"shaded by roof, irregular artificial light influence during nighttime",,,,,,,,,,,,,,,,,
3,anonym3,10350004,yes,Freiburg,48.0093,7.8170,E,2,moderate,"Exposed to sunlight, influenced by intermitent artificial ligth during night ",,,,,,,,,,,,,,,,,
4,anonym4,10350070,yes,Freiburg,48.0106,7.8075,E,3,low,"balcony on 1st floor, light influenced by window",,,,,,,,,,,,,,,,,
5,anonym5,10347364,yes,Freiburg,48.0265,7.8048,E,1,high,"shaded by plant west, rain shaded by roof, morning sun influence",,,,,,,,,,,,,,,,,
6,anonym6,10347386,yes,Freiburg,47.9965,7.8287,E,1,low,"located on the balcony on the 1st floor, potential influences are heat loss of building and light during night (street lights)",,,,,,,,,,,,,,,,,
7,anonym7,10350090,yes,Freiburg,47.9895,7.8546,E,6,moderate,"balcony in 1st floor, shaded by roof, heat loss through kitchen door",,,,,,,,,,,,,,,,,
8,anonym8,10801134,yes,Freiburg,48.0132,7.8483,E,16,high,"balcony in 5th floor, sun protected, potential influence of heating and lightning of the building (next to a window)",,,,,,,,,,,,,,,,,
9,anonym9,10350033,yes,other,48.0649,7.9043,E,2,moderate,"attached to the branch of a leafless tree outside without direct shielding, partially shielded by nearby greenery",,,,,,,,,,,,,,,,,
10,anonym10,10350032,yes,Freiburg,47.9851,7.8885,E,1,low,in the garden on a tree,,,,,,,,,,,,,,,,,
11,anonym11,10350007,yes,Freiburg,47.9799,7.8922,E,6,moderate,"2nd floor balcony, shielded by a sage plant",,,,,,,,,,,,,,,,,
12,anonym12,10350056,no,Freiburg,47.9926,7.8315,E,3,very high,"in front of the window (indoor), close to the heating, shielded by an aluminium foil packing, influence of heating",,,,,,,,,,,,,,,,,
13,anonym13,10349994,yes,Freiburg,48.0265,7.8048,E,1,high,"shaded by plant west, rain shaded by roof, morning sun influence (second hobo)",,,,,,,,,,,,,,,,,
14,anonym14,10132405,yes,Freiburg,47.9979,7.8373,E,7,moderate,"shaded by balcony, street lamp, heat loss of building",,,,,,,,,,,,,,,,,
15,anonym15,10350049,yes,Freiburg,47.9851,7.8885,E,1,low,in the garden on a tree ,,,,,,,,,,,,,,,,,
16,anonym16,10350029,yes,Freiburg,47.9814,7.8985,E,2,low,"in the garden on a tree, shielded by trees and a wall in southern direction ",,,,,,,,,,,,,,,,,
17,anonym17,10350086,yes,Freiburg,47.9907,7.8717,N,3,moderate,"Balcony, 2th floor, heat loss of buliding",,,,,,,,,,,,,,,,,
18,anonym18,10350043,yes,Freiburg,47.9898,7.8629,N,6,moderate,"shaded by railing, light influence by bright windows at night ",,,,,,,,,,,,,,,,,
19,anonym19,10350009,yes,Freiburg,47.9980,7.8372,N,7,low,"heat loss of building, light during night possible",,,,,,,,,,,,,,,,,
20,anonym20,10350051,yes,Freiburg,48.0480,7.8120,N,16,high,"outside the window on the fifth floor, potential wind influence",,,,,,,,,,,,,,,,,
21,anonym21,10350083,yes,Freiburg,47.9944,7.8297,N,6,low,"on north facing window ledge, no shielding, heat loss from building (especially when window opened, which should not have been that often), light influence from window",,,,,,,,,,,,,,,,,
22,anonym22,10610853,yes,Freiburg,47.9797,7.8055,N,1,low,"backyard on a barred railing, shaded by carport, potential heat influence: window",,,,,,,,,,,,,,,,,
23,anonym23,10347335,failed,Freiburg,48.0057,7.8142,N,3,low,"balcony in 1st floor, windshaded by roof and veg. ",,,,,,,,,,,,,,,,,
24,anonym24,10347357,yes,Freiburg,48.0175,7.8234,N,4,moderate,"roof terrace balustrade, indirect cover by the balustrade and house, heat from building and street lamps influence as well as wind",,,,,,,,,,,,,,,,,
25,anonym25,10347392,yes,Freiburg,48.0038,7.8544,N,6,moderate,between some walls on a rooftop surrounded by higher buildings (like a courtyard) ,,,,,,,,,,,,,,,,,
26,anonym26,10350105,yes,Freiburg,47.9905,7.8627,N,10,moderate,"attached to the window outside, potential influence of heat loss of building and light during night",,,,,,,,,,,,,,,,,
27,anonym27,10347312,yes,Freiburg,47.9972,7.8307,N,4,moderate,"1st floor balcony, 1 meter away from the house, shielded by railing",,,,,,,,,,,,,,,,,
28,anonym28,10347531,yes,Freiburg,48.0070,7.8212,S,10,moderate,"Balcony, 3rd floor, close to the floor could increase average temperature",,,,,,,,,,,,,,,,,
29,anonym29,10347319,yes,Freiburg,47.9852,7.8360,S,16,low,"Balcony, 4th floor, shielded by pipe, light influence by bright windows at night ",,,,,,,,,,,,,,,,,
30,anonym30,10350048,yes,Freiburg,47.9852,7.8885,S,6,moderate,"Balcony, 1m distance from building",,,,,,,,,,,,,,,,,
31,anonym31,10760763,yes,Freiburg,47.9772,7.8192,S,10,low,"balcony 3rd floor, in a half-opened paper box, under a table",,,,,,,,,,,,,,,,,
32,anonym32,10350084,yes,Freiburg,48.0137,7.8599,S,1,low,"garden, under a roof 1m above ground and 1m to the southeast side of a house",,,,,,,,,,,,,,,,,
33,anonym33,10347391,yes,Freiburg,47.9987,7.8507,S,4,moderate,"balcony, side of a planter, possible heat loss of building",,,,,,,,,,,,,,,,,
34,anonym34,10350053,yes,other,47.9972,7.8306,S,4,moderate,"1st floor balcony, 1 meter away from the house, shielded by railing",,,,,,,,,,,,,,,,,
35,anonym35,10760706,yes,Freiburg,47.9750,7.8260,W,5,low,"On the terrace, shaded by big trees and shrubs",,,,,,,,,,,,,,,,,
36,anonym36,10347342,failed,Freiburg,47.9892,7.8562,W,3,low,"balcony f1st floor, shaded from direct sun",,,,,,,,,,,,,,,,,
37,anonym37,10350099,yes,Freiburg,47.9925,7.8340,W,5,high,"attached to the window outside, no shielding, heat loss from building and nearby windows, luminous advertising at night",,,,,,,,,,,,,,,,,
38,anonym38,10347337,yes,other,48.0460,7.5123,W,4,low,"Attached to the window outside on the first floor, no shielding.",,,,,,,,,,,,,,,,,
39,anonym39,10760820,yes,Freiburg,47.9894,7.8415,W,4,low,"balcony, 1st floor, heat loss of building",,,,,,,,,,,,,,,,,
40,anonym40,10350066,yes,other,48.4105,7.7657,W,3,low,"between two house, hanging free from a beam, partially covered by roof",,,,,,,,,,,,,,,,,
41,anonym41,10347359,yes,Freiburg,48.0031,7.8204,W,15,high,"6th floor, in front of my window, under yogurt lid",,,,,,,,,,,,,,,,,
42,anonym42,10347367,yes,Freiburg,47.9746,7.8364,W,1,low,"Garden, western slope, 20m away from any house, inside a yew bush",,,,,,,,,,,,,,,,,
43,anonym43,10234636,yes,Freiburg,48.0191,7.8045,W,2,low,"terrace, behind a tree",,,,,,,,,,,,,,,,,
