"Plot Title: 10349994"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10349994, SEN S/N: 10349994)","Intensity, Lux (LGR S/N: 10349994, SEN S/N: 10349994)","Host Connected (LGR S/N: 10349994)","Coupler Attached (LGR S/N: 10349994)","Stopped (LGR S/N: 10349994)","End Of File (LGR S/N: 10349994)"
1,12/14/2019 12:00:00 AM,5.655,0.0,,,,
2,12/14/2019 12:10:00 AM,5.757,0.0,,,,
3,12/14/2019 12:20:00 AM,5.655,0.0,,,,
4,12/14/2019 12:30:00 AM,5.552,0.0,,,,
5,12/14/2019 12:40:00 AM,5.860,0.0,,,,
6,12/14/2019 12:50:00 AM,5.860,0.0,,,,
7,12/14/2019 01:00:00 AM,6.064,0.0,,,,
8,12/14/2019 01:10:00 AM,6.268,0.0,,,,
9,12/14/2019 01:20:00 AM,6.268,0.0,,,,
10,12/14/2019 01:30:00 AM,6.471,0.0,,,,
11,12/14/2019 01:40:00 AM,6.370,0.0,,,,
12,12/14/2019 01:50:00 AM,6.471,0.0,,,,
13,12/14/2019 02:00:00 AM,6.268,0.0,,,,
14,12/14/2019 02:10:00 AM,6.064,0.0,,,,
15,12/14/2019 02:20:00 AM,5.860,0.0,,,,
16,12/14/2019 02:30:00 AM,5.860,0.0,,,,
17,12/14/2019 02:40:00 AM,5.962,0.0,,,,
18,12/14/2019 02:50:00 AM,6.064,0.0,,,,
19,12/14/2019 03:00:00 AM,6.064,0.0,,,,
20,12/14/2019 03:10:00 AM,6.166,0.0,,,,
21,12/14/2019 03:20:00 AM,6.166,0.0,,,,
22,12/14/2019 03:30:00 AM,6.268,0.0,,,,
23,12/14/2019 03:40:00 AM,6.370,0.0,,,,
24,12/14/2019 03:50:00 AM,6.370,0.0,,,,
25,12/14/2019 04:00:00 AM,6.268,0.0,,,,
26,12/14/2019 04:10:00 AM,6.573,0.0,,,,
27,12/14/2019 04:20:00 AM,6.573,0.0,,,,
28,12/14/2019 04:30:00 AM,6.573,0.0,,,,
29,12/14/2019 04:40:00 AM,6.775,0.0,,,,
30,12/14/2019 04:50:00 AM,7.079,0.0,,,,
31,12/14/2019 05:00:00 AM,7.381,0.0,,,,
32,12/14/2019 05:10:00 AM,7.682,0.0,,,,
33,12/14/2019 05:20:00 AM,8.082,0.0,,,,
34,12/14/2019 05:30:00 AM,8.282,0.0,,,,
35,12/14/2019 05:40:00 AM,8.680,0.0,,,,
36,12/14/2019 05:50:00 AM,8.680,0.0,,,,
37,12/14/2019 06:00:00 AM,8.680,0.0,,,,
38,12/14/2019 06:10:00 AM,8.680,0.0,,,,
39,12/14/2019 06:20:00 AM,8.779,0.0,,,,
40,12/14/2019 06:30:00 AM,8.779,0.0,,,,
41,12/14/2019 06:40:00 AM,8.680,0.0,,,,
42,12/14/2019 06:50:00 AM,8.680,0.0,,,,
43,12/14/2019 07:00:00 AM,8.481,0.0,,,,
44,12/14/2019 07:10:00 AM,8.581,0.0,,,,
45,12/14/2019 07:20:00 AM,8.481,0.0,,,,
46,12/14/2019 07:30:00 AM,8.680,0.0,,,,
47,12/14/2019 07:40:00 AM,8.879,0.0,,,,
48,12/14/2019 07:50:00 AM,8.978,0.0,,,,
49,12/14/2019 08:00:00 AM,9.176,32.3,,,,
50,12/14/2019 08:10:00 AM,9.176,53.8,,,,
51,12/14/2019 08:20:00 AM,9.176,129.2,,,,
52,12/14/2019 08:30:00 AM,9.275,129.2,,,,
53,12/14/2019 08:40:00 AM,9.571,193.8,,,,
54,12/14/2019 08:50:00 AM,9.373,150.7,,,,
55,12/14/2019 09:00:00 AM,9.373,484.4,,,,
56,12/14/2019 09:10:00 AM,9.472,538.2,,,,
57,12/14/2019 09:20:00 AM,9.176,516.7,,,,
58,12/14/2019 09:30:00 AM,8.978,312.2,,,,
59,12/14/2019 09:40:00 AM,8.680,419.8,,,,
60,12/14/2019 09:50:00 AM,8.581,559.7,,,,
61,12/14/2019 10:00:00 AM,8.879,495.1,,,,
62,12/14/2019 10:10:00 AM,9.077,731.9,,,,
63,12/14/2019 10:20:00 AM,9.472,1022.6,,,,
64,12/14/2019 10:30:00 AM,9.275,624.3,,,,
65,12/14/2019 10:40:00 AM,9.275,990.3,,,,
66,12/14/2019 10:50:00 AM,9.077,882.6,,,,
67,12/14/2019 11:00:00 AM,9.176,1377.8,,,,
68,12/14/2019 11:10:00 AM,9.768,9300.1,,,,
69,12/14/2019 11:20:00 AM,10.161,2238.9,,,,
70,12/14/2019 11:30:00 AM,9.965,710.4,,,,
71,12/14/2019 11:40:00 AM,9.571,1194.8,,,,
72,12/14/2019 11:50:00 AM,9.176,1722.2,,,,
73,12/14/2019 12:00:00 PM,9.472,2152.8,,,,
74,12/14/2019 12:10:00 PM,9.571,2497.2,,,,
75,12/14/2019 12:20:00 PM,10.063,6544.5,,,,
76,12/14/2019 12:30:00 PM,11.236,11711.2,,,,
77,12/14/2019 12:40:00 PM,16.713,10333.4,,,,
78,12/14/2019 12:50:00 PM,15.951,14466.8,,,,
79,12/14/2019 01:00:00 PM,19.472,14466.8,,,,
80,12/14/2019 01:10:00 PM,16.808,13089.0,,,,
81,12/14/2019 01:20:00 PM,18.806,13089.0,,,,
82,12/14/2019 01:30:00 PM,17.950,11711.2,,,,
83,12/14/2019 01:40:00 PM,13.076,1980.6,,,,
84,12/14/2019 01:50:00 PM,10.553,1722.2,,,,
85,12/14/2019 02:00:00 PM,10.063,1463.9,,,,
86,12/14/2019 02:10:00 PM,9.866,1722.2,,,,
87,12/14/2019 02:20:00 PM,9.965,1808.3,,,,
88,12/14/2019 02:30:00 PM,9.965,1808.3,,,,
89,12/14/2019 02:40:00 PM,10.259,1722.2,,,,
90,12/14/2019 02:50:00 PM,10.259,1894.5,,,,
91,12/14/2019 03:00:00 PM,10.651,2411.1,,,,
92,12/14/2019 03:10:00 PM,10.748,2066.7,,,,
93,12/14/2019 03:20:00 PM,11.041,2411.1,,,,
94,12/14/2019 03:30:00 PM,10.944,1894.5,,,,
95,12/14/2019 03:40:00 PM,10.553,1001.0,,,,
96,12/14/2019 03:50:00 PM,10.357,785.8,,,,
97,12/14/2019 04:00:00 PM,10.357,947.2,,,,
98,12/14/2019 04:10:00 PM,10.259,581.3,,,,
99,12/14/2019 04:20:00 PM,10.161,527.4,,,,
100,12/14/2019 04:30:00 PM,10.063,247.6,,,,
101,12/14/2019 04:40:00 PM,9.965,86.1,,,,
102,12/14/2019 04:50:00 PM,9.866,10.8,,,,
103,12/14/2019 05:00:00 PM,9.866,0.0,,,,
104,12/14/2019 05:10:00 PM,9.965,0.0,,,,
105,12/14/2019 05:20:00 PM,10.063,0.0,,,,
