"Plot Title: 10350004"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10350004, SEN S/N: 10350004)","Intensity, Lux (LGR S/N: 10350004, SEN S/N: 10350004)","Good Battery (LGR S/N: 10350004)","Coupler Attached (LGR S/N: 10350004)","Host Connected (LGR S/N: 10350004)","Stopped (LGR S/N: 10350004)","End Of File (LGR S/N: 10350004)"
1,12/14/2019 12:00:00 AM,6.064,0.0,Logged,,,,
2,12/14/2019 12:10:00 AM,6.064,0.0,,,,,
3,12/14/2019 12:20:00 AM,6.064,0.0,,,,,
4,12/14/2019 12:30:00 AM,5.860,0.0,,,,,
5,12/14/2019 12:40:00 AM,6.166,0.0,,,,,
6,12/14/2019 12:50:00 AM,6.166,0.0,,,,,
7,12/14/2019 01:00:00 AM,6.268,0.0,,,,,
8,12/14/2019 01:10:00 AM,6.268,0.0,,,,,
9,12/14/2019 01:20:00 AM,6.471,0.0,,,,,
10,12/14/2019 01:30:00 AM,6.573,0.0,,,,,
11,12/14/2019 01:40:00 AM,6.674,0.0,,,,,
12,12/14/2019 01:50:00 AM,6.674,0.0,,,,,
13,12/14/2019 02:00:00 AM,6.268,0.0,,,,,
14,12/14/2019 02:10:00 AM,6.268,0.0,,,,,
15,12/14/2019 02:20:00 AM,6.166,0.0,,,,,
16,12/14/2019 02:30:00 AM,6.166,0.0,,,,,
17,12/14/2019 02:40:00 AM,6.064,0.0,,,,,
18,12/14/2019 02:50:00 AM,6.064,0.0,,,,,
19,12/14/2019 03:00:00 AM,6.064,0.0,,,,,
20,12/14/2019 03:10:00 AM,6.268,0.0,,,,,
21,12/14/2019 03:20:00 AM,6.471,0.0,,,,,
22,12/14/2019 03:30:00 AM,6.573,0.0,,,,,
23,12/14/2019 03:40:00 AM,6.573,0.0,,,,,
24,12/14/2019 03:50:00 AM,6.674,0.0,,,,,
25,12/14/2019 04:00:00 AM,6.775,0.0,,,,,
26,12/14/2019 04:10:00 AM,6.877,0.0,,,,,
27,12/14/2019 04:20:00 AM,6.978,0.0,,,,,
28,12/14/2019 04:30:00 AM,6.978,0.0,,,,,
29,12/14/2019 04:40:00 AM,7.381,0.0,,,,,
30,12/14/2019 04:50:00 AM,7.582,0.0,,,,,
31,12/14/2019 05:00:00 AM,7.983,0.0,,,,,
32,12/14/2019 05:10:00 AM,8.282,0.0,,,,,
33,12/14/2019 05:20:00 AM,8.382,0.0,,,,,
34,12/14/2019 05:30:00 AM,8.680,0.0,,,,,
35,12/14/2019 05:40:00 AM,8.978,0.0,,,,,
36,12/14/2019 05:50:00 AM,8.978,0.0,,,,,
37,12/14/2019 06:00:00 AM,8.879,0.0,,,,,
38,12/14/2019 06:10:00 AM,8.879,0.0,,,,,
39,12/14/2019 06:20:00 AM,8.978,0.0,,,,,
40,12/14/2019 06:30:00 AM,8.978,0.0,,,,,
41,12/14/2019 06:40:00 AM,8.879,10.8,,,,,
42,12/14/2019 06:50:00 AM,8.779,0.0,,,,,
43,12/14/2019 07:00:00 AM,8.779,0.0,,,,,
44,12/14/2019 07:10:00 AM,8.779,0.0,,,,,
45,12/14/2019 07:20:00 AM,8.779,0.0,,,,,
46,12/14/2019 07:30:00 AM,8.680,0.0,,,,,
47,12/14/2019 07:40:00 AM,8.680,0.0,,,,,
48,12/14/2019 07:50:00 AM,8.680,10.8,,,,,
49,12/14/2019 08:00:00 AM,8.978,75.3,,,,,
50,12/14/2019 08:10:00 AM,8.879,150.7,,,,,
51,12/14/2019 08:20:00 AM,8.978,258.3,,,,,
52,12/14/2019 08:30:00 AM,9.176,247.6,,,,,
53,12/14/2019 08:40:00 AM,9.275,322.9,,,,,
54,12/14/2019 08:50:00 AM,9.077,193.8,,,,,
55,12/14/2019 09:00:00 AM,9.373,312.2,,,,,
56,12/14/2019 09:10:00 AM,9.275,1087.2,,,,,
57,12/14/2019 09:20:00 AM,9.077,1248.6,,,,,
58,12/14/2019 09:30:00 AM,8.879,731.9,,,,,
59,12/14/2019 09:40:00 AM,8.581,731.9,,,,,
60,12/14/2019 09:50:00 AM,8.680,828.8,,,,,
61,12/14/2019 10:00:00 AM,9.077,1033.3,,,,,
62,12/14/2019 10:10:00 AM,9.373,914.9,,,,,
63,12/14/2019 10:20:00 AM,9.373,1259.4,,,,,
64,12/14/2019 10:30:00 AM,9.275,688.9,,,,,
65,12/14/2019 10:40:00 AM,9.176,2497.2,,,,,
66,12/14/2019 10:50:00 AM,8.978,1550.0,,,,,
67,12/14/2019 11:00:00 AM,9.176,1636.1,,,,,
68,12/14/2019 11:10:00 AM,9.472,5166.7,,,,,
69,12/14/2019 11:20:00 AM,9.965,2927.8,,,,,
70,12/14/2019 11:30:00 AM,9.866,1377.8,,,,,
71,12/14/2019 11:40:00 AM,9.571,904.2,,,,,
72,12/14/2019 11:50:00 AM,9.077,1550.0,,,,,
73,12/14/2019 12:00:00 PM,9.176,4994.5,,,,,
74,12/14/2019 12:10:00 PM,9.373,3272.2,,,,,
75,12/14/2019 12:20:00 PM,9.472,3616.7,,,,,
76,12/14/2019 12:30:00 PM,9.768,3444.5,,,,,
77,12/14/2019 12:40:00 PM,9.768,3616.7,,,,,
78,12/14/2019 12:50:00 PM,9.866,5166.7,,,,,
79,12/14/2019 01:00:00 PM,9.965,4650.0,,,,,
80,12/14/2019 01:10:00 PM,10.161,4650.0,,,,,
81,12/14/2019 01:20:00 PM,10.357,4650.0,,,,,
82,12/14/2019 01:30:00 PM,10.651,5338.9,,,,,
83,12/14/2019 01:40:00 PM,10.161,3100.0,,,,,
84,12/14/2019 01:50:00 PM,9.965,1894.5,,,,,
85,12/14/2019 02:00:00 PM,9.866,1463.9,,,,,
86,12/14/2019 02:10:00 PM,9.768,2066.7,,,,,
87,12/14/2019 02:20:00 PM,9.866,2152.8,,,,,
88,12/14/2019 02:30:00 PM,10.063,2583.4,,,,,
89,12/14/2019 02:40:00 PM,10.161,2755.6,,,,,
90,12/14/2019 02:50:00 PM,10.259,2755.6,,,,,
91,12/14/2019 03:00:00 PM,10.455,2927.8,,,,,
92,12/14/2019 03:10:00 PM,10.651,2927.8,,,,,
93,12/14/2019 03:20:00 PM,10.748,2411.1,,,,,
94,12/14/2019 03:30:00 PM,10.748,2066.7,,,,,
95,12/14/2019 03:40:00 PM,10.748,1550.0,,,,,
96,12/14/2019 03:50:00 PM,10.553,785.8,,,,,
97,12/14/2019 04:00:00 PM,10.455,1184.0,,,,,
98,12/14/2019 04:10:00 PM,10.455,893.4,,,,,
99,12/14/2019 04:20:00 PM,10.455,473.6,,,,,
100,12/14/2019 04:30:00 PM,10.357,279.9,,,,,
101,12/14/2019 04:40:00 PM,10.259,75.3,,,,,
102,12/14/2019 04:50:00 PM,10.357,10.8,,,,,
103,12/14/2019 05:00:00 PM,10.357,0.0,,,,,
104,12/14/2019 05:10:00 PM,10.357,0.0,,,,,
105,12/14/2019 05:20:00 PM,10.553,0.0,,,,,
106,12/14/2019 05:30:00 PM,10.455,0.0,,,,,
107,12/14/2019 05:40:00 PM,10.357,0.0,,,,,
108,12/14/2019 05:50:00 PM,10.357,0.0,,,,,
109,12/14/2019 06:00:00 PM,10.259,0.0,,,,,
110,12/14/2019 06:10:00 PM,10.063,0.0,,,,,
111,12/14/2019 06:20:00 PM,10.063,0.0,,,,,
112,12/14/2019 06:30:00 PM,10.161,0.0,,,,,
113,12/14/2019 06:40:00 PM,10.259,0.0,,,,,
114,12/14/2019 06:50:00 PM,10.259,0.0,,,,,
115,12/14/2019 07:00:00 PM,10.357,0.0,,,,,
116,12/14/2019 07:10:00 PM,10.455,0.0,,,,,
117,12/14/2019 07:20:00 PM,10.357,0.0,,,,,
118,12/14/2019 07:30:00 PM,10.357,0.0,,,,,
119,12/14/2019 07:40:00 PM,10.455,0.0,,,,,
120,12/14/2019 07:50:00 PM,10.455,0.0,,,,,
121,12/14/2019 08:00:00 PM,10.357,0.0,,,,,
122,12/14/2019 08:10:00 PM,10.357,0.0,,,,,
123,12/14/2019 08:20:00 PM,10.553,0.0,,,,,
124,12/14/2019 08:30:00 PM,10.748,0.0,,,,,
125,12/14/2019 08:40:00 PM,10.846,0.0,,,,,
126,12/14/2019 08:50:00 PM,10.748,0.0,,,,,
127,12/14/2019 09:00:00 PM,10.553,0.0,,,,,
128,12/14/2019 09:10:00 PM,10.553,0.0,,,,,
129,12/14/2019 09:20:00 PM,10.748,0.0,,,,,
130,12/14/2019 09:30:00 PM,10.944,0.0,,,,,
131,12/14/2019 09:40:00 PM,10.944,0.0,,,,,
132,12/14/2019 09:50:00 PM,11.139,10.8,,,,,
133,12/14/2019 10:00:00 PM,11.139,0.0,,,,,
134,12/14/2019 10:10:00 PM,11.334,0.0,,,,,
135,12/14/2019 10:20:00 PM,11.528,0.0,,,,,
136,12/14/2019 10:30:00 PM,11.528,0.0,,,,,
137,12/14/2019 10:40:00 PM,11.625,0.0,,,,,
138,12/14/2019 10:50:00 PM,11.625,0.0,,,,,
139,12/14/2019 11:00:00 PM,11.625,0.0,,,,,
140,12/14/2019 11:10:00 PM,11.625,0.0,,,,,
141,12/14/2019 11:20:00 PM,11.528,0.0,,,,,
142,12/14/2019 11:30:00 PM,11.041,0.0,,,,,
143,12/14/2019 11:40:00 PM,10.944,0.0,,,,,
144,12/14/2019 11:50:00 PM,10.651,0.0,,,,,
145,12/15/2019 12:00:00 AM,10.357,0.0,,,,,
146,12/15/2019 12:10:00 AM,10.063,0.0,,,,,
147,12/15/2019 12:20:00 AM,9.866,0.0,,,,,
148,12/15/2019 12:30:00 AM,9.669,0.0,,,,,
149,12/15/2019 12:40:00 AM,9.571,0.0,,,,,
150,12/15/2019 12:50:00 AM,9.472,0.0,,,,,
151,12/15/2019 01:00:00 AM,9.373,0.0,,,,,
152,12/15/2019 01:10:00 AM,9.275,0.0,,,,,
153,12/15/2019 01:20:00 AM,9.176,0.0,,,,,
154,12/15/2019 01:30:00 AM,9.176,0.0,,,,,
155,12/15/2019 01:40:00 AM,9.176,0.0,,,,,
156,12/15/2019 01:50:00 AM,9.275,0.0,,,,,
157,12/15/2019 02:00:00 AM,9.768,0.0,,,,,
158,12/15/2019 02:10:00 AM,10.455,0.0,,,,,
159,12/15/2019 02:20:00 AM,10.944,0.0,,,,,
160,12/15/2019 02:30:00 AM,10.944,0.0,,,,,
161,12/15/2019 02:40:00 AM,11.041,0.0,,,,,
162,12/15/2019 02:50:00 AM,11.334,0.0,,,,,
163,12/15/2019 03:00:00 AM,11.625,0.0,,,,,
164,12/15/2019 03:10:00 AM,11.722,0.0,,,,,
165,12/15/2019 03:20:00 AM,12.013,0.0,,,,,
166,12/15/2019 03:30:00 AM,12.207,0.0,,,,,
167,12/15/2019 03:40:00 AM,12.304,0.0,,,,,
168,12/15/2019 03:50:00 AM,12.497,0.0,,,,,
169,12/15/2019 04:00:00 AM,12.594,0.0,,,,,
170,12/15/2019 04:10:00 AM,12.690,0.0,,,,,
171,12/15/2019 04:20:00 AM,12.690,0.0,,,,,
172,12/15/2019 04:30:00 AM,12.883,0.0,,,,,
173,12/15/2019 04:40:00 AM,12.883,0.0,,,,,
174,12/15/2019 04:50:00 AM,13.076,0.0,,,,,
175,12/15/2019 05:00:00 AM,13.076,0.0,,,,,
176,12/15/2019 05:10:00 AM,12.980,0.0,,,,,
177,12/15/2019 05:20:00 AM,12.980,0.0,,,,,
178,12/15/2019 05:30:00 AM,12.980,0.0,,,,,
179,12/15/2019 05:40:00 AM,12.980,0.0,,,,,
180,12/15/2019 05:50:00 AM,13.173,0.0,,,,,
181,12/15/2019 06:00:00 AM,13.269,0.0,,,,,
182,12/15/2019 06:10:00 AM,13.365,0.0,,,,,
183,12/15/2019 06:20:00 AM,13.461,0.0,,,,,
184,12/15/2019 06:30:00 AM,13.461,0.0,,,,,
185,12/15/2019 06:40:00 AM,13.365,0.0,,,,,
186,12/15/2019 06:50:00 AM,13.461,0.0,,,,,
187,12/15/2019 07:00:00 AM,13.461,0.0,,,,,
188,12/15/2019 07:10:00 AM,13.365,0.0,,,,,
189,12/15/2019 07:20:00 AM,13.558,0.0,,,,,
190,12/15/2019 07:30:00 AM,13.558,0.0,,,,,
191,12/15/2019 07:40:00 AM,13.558,0.0,,,,,
192,12/15/2019 07:50:00 AM,13.558,0.0,,,,,
193,12/15/2019 08:00:00 AM,13.558,21.5,,,,,
194,12/15/2019 08:10:00 AM,13.654,32.3,,,,,
195,12/15/2019 08:20:00 AM,13.750,53.8,,,,,
196,12/15/2019 08:30:00 AM,13.750,107.6,,,,,
197,12/15/2019 08:40:00 AM,13.654,193.8,,,,,
198,12/15/2019 08:50:00 AM,13.654,441.3,,,,,
199,12/15/2019 09:00:00 AM,13.654,742.7,,,,,
200,12/15/2019 09:10:00 AM,13.558,775.0,,,,,
