#HOBO_ID 10132405				
#Location_Lat_Lon 47.998 7.837				
#Alt_above_ground 7				
#Exposition E				
#Influence_class 2				
id	date	hm	ta	lux
1	14/12/19	00:00	6.268	0
2	14/12/19	00:10	6.268	0
3	14/12/19	00:20	6.268	0
4	14/12/19	00:30	6.268	0
5	14/12/19	00:40	6.37	0
6	14/12/19	00:50	6.268	0
7	14/12/19	01:00	6.37	0
8	14/12/19	01:10	6.471	0
9	14/12/19	01:20	6.37	0
10	14/12/19	01:30	6.471	0
11	14/12/19	01:40	6.674	0
12	14/12/19	01:50	6.674	0
13	14/12/19	02:00	6.674	0
14	14/12/19	02:10	6.37	0
15	14/12/19	02:20	5.86	0
16	14/12/19	02:30	5.86	0
17	14/12/19	02:40	5.86	0
18	14/12/19	02:50	5.962	0
19	14/12/19	03:00	5.962	0
20	14/12/19	03:10	6.166	0
21	14/12/19	03:20	6.37	0
22	14/12/19	03:30	6.471	0
23	14/12/19	03:40	6.573	0
24	14/12/19	03:50	6.775	0
25	14/12/19	04:00	6.978	0
26	14/12/19	04:10	7.381	0
27	14/12/19	04:20	7.682	0
28	14/12/19	04:30	8.082	0
29	14/12/19	04:40	8.282	0
30	14/12/19	04:50	8.382	0
31	14/12/19	05:00	8.779	0
32	14/12/19	05:10	8.978	0
33	14/12/19	05:20	9.176	0
34	14/12/19	05:30	9.472	0
35	14/12/19	05:40	9.571	0
36	14/12/19	05:50	9.472	0
37	14/12/19	06:00	9.275	0
38	14/12/19	06:10	9.275	0
39	14/12/19	06:20	9.373	0
40	14/12/19	06:30	9.373	0
41	14/12/19	06:40	9.275	0
42	14/12/19	06:50	9.077	0
43	14/12/19	07:00	8.879	0
44	14/12/19	07:10	8.879	0
45	14/12/19	07:20	9.176	0
46	14/12/19	07:30	9.275	0
47	14/12/19	07:40	9.373	0
48	14/12/19	07:50	9.275	0
49	14/12/19	08:00	8.978	21.5
50	14/12/19	08:10	9.275	64.6
51	14/12/19	08:20	9.472	129.2
52	14/12/19	08:30	9.472	258.3
53	14/12/19	08:40	9.373	107.6
54	14/12/19	08:50	9.275	86.1
55	14/12/19	09:00	9.275	118.4
56	14/12/19	09:10	9.176	462.9
57	14/12/19	09:20	8.68	376.7
58	14/12/19	09:30	8.481	624.3
59	14/12/19	09:40	8.581	775
60	14/12/19	09:50	9.077	602.8
61	14/12/19	10:00	9.373	871.9
62	14/12/19	10:10	9.571	764.2
63	14/12/19	10:20	9.571	1367
64	14/12/19	10:30	9.373	355.2
65	14/12/19	10:40	8.779	1377.8
66	14/12/19	10:50	8.779	1022.6
67	14/12/19	11:00	9.176	1065.6
68	14/12/19	11:10	9.373	2755.6
69	14/12/19	11:20	9.768	1722.2
70	14/12/19	11:30	9.669	549
71	14/12/19	11:40	9.571	667.4
72	14/12/19	11:50	8.382	731.9
73	14/12/19	12:00	8.382	1550
74	14/12/19	12:10	8.581	861.1
75	14/12/19	12:20	8.68	2325
76	14/12/19	12:30	9.077	3961.1
77	14/12/19	12:40	9.275	3616.7
78	14/12/19	12:50	9.472	4133.4
79	14/12/19	13:00	9.965	4305.6
80	14/12/19	13:10	10.846	4822.3
81	14/12/19	13:20	11.041	4822.3
82	14/12/19	13:30	11.334	5511.1
83	14/12/19	13:40	10.357	2238.9
84	14/12/19	13:50	10.063	1636.1
85	14/12/19	14:00	9.866	1356.3
86	14/12/19	14:10	9.866	1463.9
87	14/12/19	14:20	9.866	1463.9
88	14/12/19	14:30	10.063	1722.2
89	14/12/19	14:40	10.259	1980.6
90	14/12/19	14:50	10.357	1808.3
91	14/12/19	15:00	10.651	2152.8
92	14/12/19	15:10	10.944	1980.6
93	14/12/19	15:20	10.944	1550
94	14/12/19	15:30	11.139	1377.8
95	14/12/19	15:40	11.041	914.9
96	14/12/19	15:50	10.846	592
97	14/12/19	16:00	10.748	645.8
98	14/12/19	16:10	10.651	505.9
99	14/12/19	16:20	10.651	269.1
100	14/12/19	16:30	10.748	161.5
101	14/12/19	16:40	10.748	43.1
102	14/12/19	16:50	10.748	0
103	14/12/19	17:00	10.944	0
104	14/12/19	17:10	11.139	0
105	14/12/19	17:20	11.139	0
106	14/12/19	17:30	11.139	0
107	14/12/19	17:40	10.944	0
108	14/12/19	17:50	10.944	0
109	14/12/19	18:00	10.846	0
110	14/12/19	18:10	10.846	0
111	14/12/19	18:20	10.846	0
112	14/12/19	18:30	10.846	0
113	14/12/19	18:40	10.846	0
114	14/12/19	18:50	10.944	0
115	14/12/19	19:00	10.944	0
116	14/12/19	19:10	10.944	0
117	14/12/19	19:20	10.944	0
118	14/12/19	19:30	11.041	0
119	14/12/19	19:40	10.944	0
120	14/12/19	19:50	10.944	0
121	14/12/19	20:00	10.846	0
122	14/12/19	20:10	10.944	0
