#HOBO_ID 10347312
#Location_Lat_Lon 47.9971 7.8307
#Alt_above_ground 4
#Exposition N
#Influence_class  2
id	date	hm	ta	lux
1	2019-12-14	00:00	19.472	0
2	2019-12-14	00:10	19.472	0
3	2019-12-14	00:20	19.377	0
4	2019-12-14	00:30	19.282	0
5	2019-12-14	00:40	19.282	0
6	2019-12-14	00:50	19.187	0
7	2019-12-14	01:00	19.092	0
8	2019-12-14	01:10	18.996	0
9	2019-12-14	01:20	18.901	0
10	2019-12-14	01:30	18.806	0
11	2019-12-14	01:40	18.711	0
12	2019-12-14	01:50	18.521	0
13	2019-12-14	02:00	18.426	0
14	2019-12-14	02:10	18.331	0
15	2019-12-14	02:20	18.236	0
16	2019-12-14	02:30	18.14	0
17	2019-12-14	02:40	18.045	0
18	2019-12-14	02:50	17.95	0
19	2019-12-14	03:00	17.855	0
20	2019-12-14	03:10	17.76	0
21	2019-12-14	03:20	17.76	0
22	2019-12-14	03:30	17.665	0
23	2019-12-14	03:40	17.57	0
24	2019-12-14	03:50	17.475	0
25	2019-12-14	04:00	17.379	0
26	2019-12-14	04:10	17.379	0
27	2019-12-14	04:20	17.284	0
28	2019-12-14	04:30	17.284	0
29	2019-12-14	04:40	17.189	0
30	2019-12-14	04:50	17.189	0
31	2019-12-14	05:00	17.189	0
32	2019-12-14	05:10	17.189	0
33	2019-12-14	05:20	17.189	0
34	2019-12-14	05:30	17.284	0
35	2019-12-14	05:40	17.284	0
36	2019-12-14	05:50	17.284	0
37	2019-12-14	06:00	17.284	0
38	2019-12-14	06:10	17.284	0
39	2019-12-14	06:20	17.284	0
40	2019-12-14	06:30	17.284	0
41	2019-12-14	06:40	17.284	0
42	2019-12-14	06:50	17.189	0
43	2019-12-14	07:00	17.189	0
44	2019-12-14	07:10	17.189	0
45	2019-12-14	07:20	17.189	0
46	2019-12-14	07:30	17.189	0
47	2019-12-14	07:40	17.189	0
48	2019-12-14	07:50	17.189	0
49	2019-12-14	08:00	17.189	0
50	2019-12-14	08:10	17.189	0
51	2019-12-14	08:20	17.189	0
52	2019-12-14	08:30	17.189	0
53	2019-12-14	08:40	17.189	0
54	2019-12-14	08:50	17.094	0
55	2019-12-14	09:00	17.094	0
56	2019-12-14	09:10	17.094	0
57	2019-12-14	09:20	17.094	0
58	2019-12-14	09:30	17.094	0
59	2019-12-14	09:40	17.189	0
60	2019-12-14	09:50	17.189	0
61	2019-12-14	10:00	17.189	0
62	2019-12-14	10:10	17.189	0
63	2019-12-14	10:20	17.189	0
