#HOBO_ID 10350004
#Location_Lat_Lon 48.009 7.817
#Alt_above_ground 2
#Exposition E
#Influence_class 2
id	date	hm	ta	lux
1	2019-12-14	00:00	6.064	0
2	2019-12-14	00:10	6.064	0
3	2019-12-14	00:20	6.064	0
4	2019-12-14	00:30	5.86	0
5	2019-12-14	00:40	6.166	0
6	2019-12-14	00:50	6.166	0
7	2019-12-14	01:00	6.268	0
8	2019-12-14	01:10	6.268	0
9	2019-12-14	01:20	6.471	0
10	2019-12-14	01:30	6.573	0
11	2019-12-14	01:40	6.674	0
12	2019-12-14	01:50	6.674	0
13	2019-12-14	02:00	6.268	0
14	2019-12-14	02:10	6.268	0
15	2019-12-14	02:20	6.166	0
16	2019-12-14	02:30	6.166	0
17	2019-12-14	02:40	6.064	0
18	2019-12-14	02:50	6.064	0
19	2019-12-14	03:00	6.064	0
20	2019-12-14	03:10	6.268	0
21	2019-12-14	03:20	6.471	0
22	2019-12-14	03:30	6.573	0
23	2019-12-14	03:40	6.573	0
24	2019-12-14	03:50	6.674	0
25	2019-12-14	04:00	6.775	0
26	2019-12-14	04:10	6.877	0
27	2019-12-14	04:20	6.978	0
28	2019-12-14	04:30	6.978	0
29	2019-12-14	04:40	7.381	0
30	2019-12-14	04:50	7.582	0
31	2019-12-14	05:00	7.983	0
32	2019-12-14	05:10	8.282	0
33	2019-12-14	05:20	8.382	0
34	2019-12-14	05:30	8.68	0
35	2019-12-14	05:40	8.978	0
36	2019-12-14	05:50	8.978	0
37	2019-12-14	06:00	8.879	0
38	2019-12-14	06:10	8.879	0
39	2019-12-14	06:20	8.978	0
40	2019-12-14	06:30	8.978	0
41	2019-12-14	06:40	8.879	10.8
42	2019-12-14	06:50	8.779	0
43	2019-12-14	07:00	8.779	0
44	2019-12-14	07:10	8.779	0
45	2019-12-14	07:20	8.779	0
46	2019-12-14	07:30	8.68	0
47	2019-12-14	07:40	8.68	0
48	2019-12-14	07:50	8.68	10.8
49	2019-12-14	08:00	8.978	75.3
50	2019-12-14	08:10	8.879	150.7
51	2019-12-14	08:20	8.978	258.3
52	2019-12-14	08:30	9.176	247.6
53	2019-12-14	08:40	9.275	322.9
54	2019-12-14	08:50	9.077	193.8
55	2019-12-14	09:00	9.373	312.2
56	2019-12-14	09:10	9.275	1087.2
57	2019-12-14	09:20	9.077	1248.6
58	2019-12-14	09:30	8.879	731.9
59	2019-12-14	09:40	8.581	731.9
60	2019-12-14	09:50	8.68	828.8
61	2019-12-14	10:00	9.077	1033.3
62	2019-12-14	10:10	9.373	914.9
63	2019-12-14	10:20	9.373	1259.4
64	2019-12-14	10:30	9.275	688.9
65	2019-12-14	10:40	9.176	2497.2
66	2019-12-14	10:50	8.978	1550
67	2019-12-14	11:00	9.176	1636.1
68	2019-12-14	11:10	9.472	5166.7
69	2019-12-14	11:20	9.965	2927.8
70	2019-12-14	11:30	9.866	1377.8
71	2019-12-14	11:40	9.571	904.2
72	2019-12-14	11:50	9.077	1550
73	2019-12-14	12:00	9.176	4994.5
74	2019-12-14	12:10	9.373	3272.2
75	2019-12-14	12:20	9.472	3616.7
76	2019-12-14	12:30	9.768	3444.5
77	2019-12-14	12:40	9.768	3616.7
78	2019-12-14	12:50	9.866	5166.7
79	2019-12-14	13:00	9.965	4650
80	2019-12-14	13:10	10.161	4650
81	2019-12-14	13:20	10.357	4650
82	2019-12-14	13:30	10.651	5338.9
83	2019-12-14	13:40	10.161	3100
84	2019-12-14	13:50	9.965	1894.5
85	2019-12-14	14:00	9.866	1463.9
86	2019-12-14	14:10	9.768	2066.7
87	2019-12-14	14:20	9.866	2152.8
88	2019-12-14	14:30	10.063	2583.4
