#HOBO_ID 10350048				
#Location_Lat_Lon 47.985 7.888				
#Alt_above_ground 6				
#Exposition S				
#Influence_class 3				
id	date	hm	ta	lux
1	2019-12-14	00:00:00	5.86	0
2	2019-12-14	00:10:00	5.962	0
3	2019-12-14	00:20:00	5.86	0
4	2019-12-14	00:30:00	5.757	0
5	2019-12-14	00:40:00	5.962	0
6	2019-12-14	00:50:00	5.86	0
7	2019-12-14	01:00:00	5.86	0
8	2019-12-14	01:10:00	5.962	0
9	2019-12-14	01:20:00	6.064	0
10	2019-12-14	01:30:00	6.166	0
11	2019-12-14	01:40:00	6.166	0
12	2019-12-14	01:50:00	6.268	0
13	2019-12-14	02:00:00	5.962	0
14	2019-12-14	02:10:00	5.45	0
15	2019-12-14	02:20:00	5.347	0
16	2019-12-14	02:30:00	5.244	0
17	2019-12-14	02:40:00	5.244	0
18	2019-12-14	02:50:00	5.45	0
19	2019-12-14	03:00:00	5.552	0
20	2019-12-14	03:10:00	5.655	0
21	2019-12-14	03:20:00	5.757	0
22	2019-12-14	03:30:00	5.962	0
23	2019-12-14	03:40:00	6.166	0
24	2019-12-14	03:50:00	6.674	0
25	2019-12-14	04:00:00	6.978	0
26	2019-12-14	04:10:00	7.179	0
27	2019-12-14	04:20:00	7.882	0
28	2019-12-14	04:30:00	7.983	0
29	2019-12-14	04:40:00	8.082	0
30	2019-12-14	04:50:00	8.481	0
31	2019-12-14	05:00:00	8.879	0
32	2019-12-14	05:10:00	9.176	0
33	2019-12-14	05:20:00	9.373	0
34	2019-12-14	05:30:00	9.571	0
35	2019-12-14	05:40:00	9.571	0
36	2019-12-14	05:50:00	9.472	0
37	2019-12-14	06:00:00	9.373	0
38	2019-12-14	06:10:00	9.472	0
39	2019-12-14	06:20:00	9.472	0
40	2019-12-14	06:30:00	9.571	0
41	2019-12-14	06:40:00	9.275	0
42	2019-12-14	06:50:00	9.275	0
43	2019-12-14	07:00:00	9.077	0
44	2019-12-14	07:10:00	8.978	0
45	2019-12-14	07:20:00	9.275	0
46	2019-12-14	07:30:00	9.275	0
47	2019-12-14	07:40:00	9.373	0
48	2019-12-14	07:50:00	9.275	0
49	2019-12-14	08:00:00	9.275	86.1
50	2019-12-14	08:10:00	9.176	161.5
51	2019-12-14	08:20:00	9.275	258.3
52	2019-12-14	08:30:00	9.373	505.9
53	2019-12-14	08:40:00	9.373	226
54	2019-12-14	08:50:00	9.077	215.3
55	2019-12-14	09:00:00	9.176	312.2
56	2019-12-14	09:10:00	8.978	1033.3
57	2019-12-14	09:20:00	8.282	914.9
58	2019-12-14	09:30:00	7.983	1980.6
59	2019-12-14	09:40:00	8.481	2152.8
60	2019-12-14	09:50:00	8.879	1636.1
61	2019-12-14	10:00:00	8.978	1894.5
62	2019-12-14	10:10:00	9.275	2497.2
63	2019-12-14	10:20:00	9.866	3961.1
64	2019-12-14	10:30:00	9.176	861.1
65	2019-12-14	10:40:00	8.68	1722.2
66	2019-12-14	10:50:00	8.382	2238.9
