#HOBO_ID 10350070
#Location_Lat_Lon 48.011 7.808
#Alt_above_ground 3
#Exposition E
#Influnece-class 2
id	date	hm	ta	lux
1	2019-12-14	00:00	6.064	0
2	2019-12-14	00:10	6.064	0
3	2019-12-14	00:20	5.962	0
4	2019-12-14	00:30	5.962	0
5	2019-12-14	00:40	6.166	0
6	2019-12-14	00:50	6.268	0
7	2019-12-14	01:00	6.471	0
8	2019-12-14	01:10	6.471	0
9	2019-12-14	01:20	6.674	0
10	2019-12-14	01:30	6.775	0
11	2019-12-14	01:40	6.775	0
12	2019-12-14	01:50	6.573	0
13	2019-12-14	02:00	5.757	0
14	2019-12-14	02:10	6.064	0
15	2019-12-14	02:20	5.86	0
16	2019-12-14	02:30	6.166	0
17	2019-12-14	02:40	6.268	0
18	2019-12-14	02:50	6.166	0
19	2019-12-14	03:00	6.166	0
20	2019-12-14	03:10	6.268	0
21	2019-12-14	03:20	6.268	0
22	2019-12-14	03:30	6.166	0
23	2019-12-14	03:40	6.37	0
24	2019-12-14	03:50	6.674	0
25	2019-12-14	04:00	6.573	0
26	2019-12-14	04:10	6.877	0
27	2019-12-14	04:20	6.775	0
28	2019-12-14	04:30	7.179	0
29	2019-12-14	04:40	7.481	0
30	2019-12-14	04:50	7.782	0
31	2019-12-14	05:00	8.082	0
32	2019-12-14	05:10	8.382	0
33	2019-12-14	05:20	8.68	0
34	2019-12-14	05:30	8.879	0
35	2019-12-14	05:40	8.978	0
36	2019-12-14	05:50	9.077	0
37	2019-12-14	06:00	8.879	0
38	2019-12-14	06:10	8.879	0
39	2019-12-14	06:20	9.077	0
40	2019-12-14	06:30	8.879	0
41	2019-12-14	06:40	8.581	0
42	2019-12-14	06:50	8.581	0
43	2019-12-14	07:00	8.68	0
44	2019-12-14	07:10	8.779	0
45	2019-12-14	07:20	9.077	0
46	2019-12-14	07:30	9.077	0
47	2019-12-14	07:40	8.978	0
48	2019-12-14	07:50	9.176	0
49	2019-12-14	08:00	9.275	10.8
50	2019-12-14	08:10	9.275	21.5
51	2019-12-14	08:20	9.472	43.1
52	2019-12-14	08:30	9.669	21.5
53	2019-12-14	08:40	9.571	53.8
54	2019-12-14	08:50	9.669	21.5
55	2019-12-14	09:00	9.669	43.1
56	2019-12-14	09:10	9.472	129.2
57	2019-12-14	09:20	9.176	215.3
58	2019-12-14	09:30	8.978	172.2
59	2019-12-14	09:40	8.68	204.5
60	2019-12-14	09:50	8.978	193.8
61	2019-12-14	10:00	9.077	269.1
62	2019-12-14	10:10	9.472	258.3
63	2019-12-14	10:20	9.472	236.8
64	2019-12-14	10:30	9.275	161.5
65	2019-12-14	10:40	8.978	473.6
66	2019-12-14	10:50	9.077	430.6
67	2019-12-14	11:00	9.176	419.8
68	2019-12-14	11:10	9.866	1636.1
69	2019-12-14	11:20	9.866	516.7
70	2019-12-14	11:30	9.866	193.8
71	2019-12-14	11:40	9.571	183
72	2019-12-14	11:50	8.581	333.7
73	2019-12-14	12:00	9.275	1194.8
74	2019-12-14	12:10	9.373	613.5
75	2019-12-14	12:20	13.076	2238.9
76	2019-12-14	12:30	13.269	9644.5
77	2019-12-14	12:40	18.426	12400.1
78	2019-12-14	12:50	17.665	12400.1
79	2019-12-14	13:00	17.284	12400.1
80	2019-12-14	13:10	16.808	12400.1
81	2019-12-14	13:20	17.855	12400.1
82	2019-12-14	13:30	18.236	13777.9
83	2019-12-14	13:40	12.401	1291.7
84	2019-12-14	13:50	10.357	527.4
85	2019-12-14	14:00	10.161	484.4
86	2019-12-14	14:10	10.161	624.3
87	2019-12-14	14:20	10.161	602.8
88	2019-12-14	14:30	10.357	818.1
