#HOBO_ID 10350083
#Location_Lat_Lon 47.994 7.83
#Alt_above_ground 6
#Exposition N
#Influence_class 1
id	date	hm	ta	lux
1	"2019-12-14"	"00:00"	NA	NA
2	"2019-12-14"	"00:10"	NA	NA
3	"2019-12-14"	"00:20"	NA	NA
4	"2019-12-14"	"00:30"	NA	NA
5	"2019-12-14"	"00:40"	NA	NA
6	"2019-12-14"	"00:50"	NA	NA
7	"2019-12-14"	"01:00"	NA	NA
8	"2019-12-14"	"01:10"	NA	NA
9	"2019-12-14"	"01:20"	NA	NA
10	"2019-12-14"	"01:30"	NA	NA
11	"2019-12-14"	"01:40"	NA	NA
12	"2019-12-14"	"01:50"	NA	NA
13	"2019-12-14"	"02:00"	NA	NA
14	"2019-12-14"	"02:10"	NA	NA
15	"2019-12-14"	"02:20"	NA	NA
16	"2019-12-14"	"02:30"	NA	NA
17	"2019-12-14"	"02:40"	NA	NA
18	"2019-12-14"	"02:50"	NA	NA
19	"2019-12-14"	"03:00"	NA	NA
20	"2019-12-14"	"03:10"	NA	NA
21	"2019-12-14"	"03:20"	NA	NA
22	"2019-12-14"	"03:30"	NA	NA
23	"2019-12-14"	"03:40"	NA	NA
24	"2019-12-14"	"03:50"	NA	NA
25	"2019-12-14"	"04:00"	NA	NA
26	"2019-12-14"	"04:10"	NA	NA
27	"2019-12-14"	"04:20"	NA	NA
28	"2019-12-14"	"04:30"	NA	NA
29	"2019-12-14"	"04:40"	NA	NA
30	"2019-12-14"	"04:50"	NA	NA
31	"2019-12-14"	"05:00"	NA	NA
32	"2019-12-14"	"05:10"	NA	NA
33	"2019-12-14"	"05:20"	NA	NA
34	"2019-12-14"	"05:30"	NA	NA
35	"2019-12-14"	"05:40"	NA	NA
36	"2019-12-14"	"05:50"	NA	NA
37	"2019-12-14"	"06:00"	NA	NA
38	"2019-12-14"	"06:10"	NA	NA
39	"2019-12-14"	"06:20"	NA	NA
40	"2019-12-14"	"06:30"	NA	NA
41	"2019-12-14"	"06:40"	NA	NA
42	"2019-12-14"	"06:50"	NA	NA
43	"2019-12-14"	"07:00"	NA	NA
44	"2019-12-14"	"07:10"	NA	NA
45	"2019-12-14"	"07:20"	NA	NA
46	"2019-12-14"	"07:30"	NA	NA
47	"2019-12-14"	"07:40"	NA	NA
48	"2019-12-14"	"07:50"	NA	NA
49	"2019-12-14"	"08:00"	NA	NA
50	"2019-12-14"	"08:10"	NA	NA
51	"2019-12-14"	"08:20"	NA	NA
52	"2019-12-14"	"08:30"	NA	NA
53	"2019-12-14"	"08:40"	NA	NA
54	"2019-12-14"	"08:50"	NA	NA
55	"2019-12-14"	"09:00"	NA	NA
56	"2019-12-14"	"09:10"	NA	NA
57	"2019-12-14"	"09:20"	NA	NA
58	"2019-12-14"	"09:30"	NA	NA
59	"2019-12-14"	"09:40"	NA	NA
60	"2019-12-14"	"09:50"	NA	NA
61	"2019-12-14"	"10:00"	NA	NA
62	"2019-12-14"	"10:10"	NA	NA
63	"2019-12-14"	"10:20"	NA	NA
64	"2019-12-14"	"10:30"	NA	NA
65	"2019-12-14"	"10:40"	NA	NA
66	"2019-12-14"	"10:50"	NA	NA
67	"2019-12-14"	"11:00"	NA	NA
68	"2019-12-14"	"11:10"	NA	NA
69	"2019-12-14"	"11:20"	NA	NA
70	"2019-12-14"	"11:30"	NA	NA
71	"2019-12-14"	"11:40"	NA	NA
72	"2019-12-14"	"11:50"	NA	NA
73	"2019-12-14"	"12:00"	NA	NA
74	"2019-12-14"	"12:10"	NA	NA
75	"2019-12-14"	"12:20"	NA	NA
76	"2019-12-14"	"12:30"	NA	NA
77	"2019-12-14"	"12:40"	NA	NA
78	"2019-12-14"	"12:50"	NA	NA
79	"2019-12-14"	"13:00"	NA	NA
80	"2019-12-14"	"13:10"	NA	NA
81	"2019-12-14"	"13:20"	NA	NA
82	"2019-12-14"	"13:30"	NA	NA
83	"2019-12-14"	"13:40"	NA	NA
84	"2019-12-14"	"13:50"	NA	NA
85	"2019-12-14"	"14:00"	NA	NA
86	"2019-12-14"	"14:10"	NA	NA
87	"2019-12-14"	"14:20"	NA	NA
88	"2019-12-14"	"14:30"	NA	NA
