#HOBO_ID 10350099,,,,
#Location_Lat_Lon 47.993 7.834,,,,
#Alt_above_ground 5,,,,
#Exposition W,,,,
#Influence_class 3,,,,
id,date,hm,ta,lux
1,2019-12-14,0:00,NA,NA
2,2019-12-14,0:10,NA,NA
3,2019-12-14,0:20,NA,NA
4,2019-12-14,0:30,NA,NA
5,2019-12-14,0:40,NA,NA
6,2019-12-14,0:50,NA,NA
7,2019-12-14,1:00,NA,NA
8,2019-12-14,1:10,NA,NA
9,2019-12-14,1:20,NA,NA
10,2019-12-14,1:30,NA,NA
11,2019-12-14,1:40,NA,NA
12,2019-12-14,1:50,NA,NA
13,2019-12-14,2:00,NA,NA
14,2019-12-14,2:10,NA,NA
15,2019-12-14,2:20,NA,NA
16,2019-12-14,2:30,NA,NA
17,2019-12-14,2:40,NA,NA
18,2019-12-14,2:50,NA,NA
19,2019-12-14,3:00,NA,NA
20,2019-12-14,3:10,NA,NA
21,2019-12-14,3:20,NA,NA
22,2019-12-14,3:30,NA,NA
23,2019-12-14,3:40,NA,NA
24,2019-12-14,3:50,NA,NA
25,2019-12-14,4:00,NA,NA
26,2019-12-14,4:10,NA,NA
27,2019-12-14,4:20,NA,NA
28,2019-12-14,4:30,NA,NA
29,2019-12-14,4:40,NA,NA
30,2019-12-14,4:50,NA,NA
31,2019-12-14,5:00,NA,NA
32,2019-12-14,5:10,NA,NA
33,2019-12-14,5:20,NA,NA
34,2019-12-14,5:30,NA,NA
35,2019-12-14,5:40,NA,NA
36,2019-12-14,5:50,NA,NA
37,2019-12-14,6:00,NA,NA
38,2019-12-14,6:10,NA,NA
39,2019-12-14,6:20,NA,NA
40,2019-12-14,6:30,NA,NA
41,2019-12-14,6:40,NA,NA
42,2019-12-14,6:50,NA,NA
43,2019-12-14,7:00,NA,NA
44,2019-12-14,7:10,NA,NA
45,2019-12-14,7:20,NA,NA
46,2019-12-14,7:30,NA,NA
47,2019-12-14,7:40,NA,NA
48,2019-12-14,7:50,NA,NA
49,2019-12-14,8:00,NA,NA
50,2019-12-14,8:10,NA,NA
51,2019-12-14,8:20,NA,NA
52,2019-12-14,8:30,NA,NA
53,2019-12-14,8:40,NA,NA
54,2019-12-14,8:50,NA,NA
55,2019-12-14,9:00,NA,NA
56,2019-12-14,9:10,NA,NA
57,2019-12-14,9:20,NA,NA
58,2019-12-14,9:30,NA,NA
59,2019-12-14,9:40,NA,NA
60,2019-12-14,9:50,NA,NA
61,2019-12-14,10:00,NA,NA
62,2019-12-14,10:10,NA,NA
63,2019-12-14,10:20,NA,NA
64,2019-12-14,10:30,NA,NA
65,2019-12-14,10:40,NA,NA
66,2019-12-14,10:50,NA,NA
67,2019-12-14,11:00,NA,NA
68,2019-12-14,11:10,NA,NA
69,2019-12-14,11:20,NA,NA
70,2019-12-14,11:30,NA,NA
71,2019-12-14,11:40,NA,NA
72,2019-12-14,11:50,NA,NA
73,2019-12-14,12:00,NA,NA
74,2019-12-14,12:10,NA,NA
75,2019-12-14,12:20,NA,NA
76,2019-12-14,12:30,NA,NA
77,2019-12-14,12:40,NA,NA
78,2019-12-14,12:50,NA,NA
79,2019-12-14,13:00,NA,NA
80,2019-12-14,13:10,NA,NA
81,2019-12-14,13:20,NA,NA
82,2019-12-14,13:30,NA,NA
83,2019-12-14,13:40,NA,NA
84,2019-12-14,13:50,NA,NA
85,2019-12-14,14:00,NA,NA
86,2019-12-14,14:10,NA,NA
87,2019-12-14,14:20,NA,NA
88,2019-12-14,14:30,NA,NA
89,2019-12-14,14:40,NA,NA
90,2019-12-14,14:50,NA,NA
91,2019-12-14,15:00,NA,NA
92,2019-12-14,15:10,NA,NA
93,2019-12-14,15:20,NA,NA
94,2019-12-14,15:30,NA,NA
95,2019-12-14,15:40,NA,NA
96,2019-12-14,15:50,NA,NA
97,2019-12-14,16:00,NA,NA
98,2019-12-14,16:10,NA,NA
99,2019-12-14,16:20,NA,NA
100,2019-12-14,16:30,NA,NA
101,2019-12-14,16:40,NA,NA
102,2019-12-14,16:50,NA,NA
103,2019-12-14,17:00,NA,NA
104,2019-12-14,17:10,NA,NA
105,2019-12-14,17:20,NA,NA
106,2019-12-14,17:30,NA,NA
107,2019-12-14,17:40,NA,NA
108,2019-12-14,17:50,NA,NA
109,2019-12-14,18:00,NA,NA
110,2019-12-14,18:10,NA,NA
111,2019-12-14,18:20,NA,NA
112,2019-12-14,18:30,NA,NA
113,2019-12-14,18:40,NA,NA
114,2019-12-14,18:50,NA,NA
115,2019-12-14,19:00,NA,NA
116,2019-12-14,19:10,NA,NA
117,2019-12-14,19:20,NA,NA
118,2019-12-14,19:30,NA,NA
119,2019-12-14,19:40,NA,NA
120,2019-12-14,19:50,NA,NA
121,2019-12-14,20:00,NA,NA
122,2019-12-14,20:10,NA,NA
123,2019-12-14,20:20,NA,NA
124,2019-12-14,20:30,NA,NA
125,2019-12-14,20:40,NA,NA
126,2019-12-14,20:50,NA,NA
127,2019-12-14,21:00,NA,NA
128,2019-12-14,21:10,NA,NA
129,2019-12-14,21:20,NA,NA
130,2019-12-14,21:30,NA,NA
131,2019-12-14,21:40,NA,NA
132,2019-12-14,21:50,NA,NA
133,2019-12-14,22:00,NA,NA
134,2019-12-14,22:10,NA,NA
135,2019-12-14,22:20,NA,NA
136,2019-12-14,22:30,NA,NA
137,2019-12-14,22:40,NA,NA
138,2019-12-14,22:50,NA,NA
139,2019-12-14,23:00,NA,NA
140,2019-12-14,23:10,NA,NA
141,2019-12-14,23:20,NA,NA
142,2019-12-14,23:30,NA,NA
143,2019-12-14,23:40,NA,NA
144,2019-12-14,23:50,NA,NA
145,2019-12-15,0:00,10.846,0
146,2019-12-15,0:10,10.748,0
147,2019-12-15,0:20,10.553,0
148,2019-12-15,0:30,10.161,0
149,2019-12-15,0:40,10.161,0
150,2019-12-15,0:50,10.063,0
151,2019-12-15,1:00,9.965,0
152,2019-12-15,1:10,9.669,0
153,2019-12-15,1:20,9.571,0
154,2019-12-15,1:30,9.571,0
155,2019-12-15,1:40,9.472,0
156,2019-12-15,1:50,10.161,0
157,2019-12-15,2:00,11.041,0
158,2019-12-15,2:10,11.431,0
159,2019-12-15,2:20,11.625,0
160,2019-12-15,2:30,11.722,0
161,2019-12-15,2:40,11.819,0
162,2019-12-15,2:50,12.11,0
163,2019-12-15,3:00,12.207,0
164,2019-12-15,3:10,12.594,0
165,2019-12-15,3:20,12.69,0
166,2019-12-15,3:30,12.69,0
167,2019-12-15,3:40,12.883,0
