#HOBO_ID 10760820
#Location_Lat_Lon 47.989 7.841
#Alt_above_ground 4
#Exposition W
#Influence_class 1
id	date	hm	ta	lux
1	2019-12-14	00:00	6.268	0
2	2019-12-14	00:10	6.268	0
3	2019-12-14	00:20	6.268	0
4	2019-12-14	00:30	6.166	0
5	2019-12-14	00:40	6.268	0
6	2019-12-14	00:50	6.268	0
7	2019-12-14	01:00	6.37	0
8	2019-12-14	01:10	6.471	0
9	2019-12-14	01:20	6.471	0
10	2019-12-14	01:30	6.573	0
11	2019-12-14	01:40	6.573	0
12	2019-12-14	01:50	6.573	0
13	2019-12-14	02:00	6.674	0
14	2019-12-14	02:10	6.573	0
15	2019-12-14	02:20	6.37	0
16	2019-12-14	02:30	6.268	0
17	2019-12-14	02:40	6.166	0
18	2019-12-14	02:50	6.268	0
19	2019-12-14	03:00	6.268	0
20	2019-12-14	03:10	6.37	0
21	2019-12-14	03:20	6.37	0
22	2019-12-14	03:30	6.471	0
23	2019-12-14	03:40	6.573	0
24	2019-12-14	03:50	6.674	0
25	2019-12-14	04:00	6.775	0
26	2019-12-14	04:10	7.079	0
27	2019-12-14	04:20	7.381	0
28	2019-12-14	04:30	7.782	0
29	2019-12-14	04:40	8.082	0
30	2019-12-14	04:50	8.382	0
31	2019-12-14	05:00	8.68	0
32	2019-12-14	05:10	8.879	0
33	2019-12-14	05:20	9.077	0
34	2019-12-14	05:30	9.275	0
35	2019-12-14	05:40	9.472	0
36	2019-12-14	05:50	9.373	0
37	2019-12-14	06:00	9.373	0
38	2019-12-14	06:10	9.373	0
39	2019-12-14	06:20	9.373	0
40	2019-12-14	06:30	9.472	0
41	2019-12-14	06:40	9.472	0
42	2019-12-14	06:50	9.472	0
43	2019-12-14	07:00	9.373	0
44	2019-12-14	07:10	9.373	0
45	2019-12-14	07:20	9.373	0
46	2019-12-14	07:30	9.373	0
47	2019-12-14	07:40	9.373	0
48	2019-12-14	07:50	9.275	0
49	2019-12-14	08:00	9.176	0
50	2019-12-14	08:10	9.176	21.5
51	2019-12-14	08:20	9.275	53.8
