#HOBO_ID 10801134
#Location_Lat_Lon 48.013,7.848
#Alt_above_ground 16
#Exposition E
#Influence_class 4
id	date	hm	ta	lux
1	2019-12-14	00:00	6.573	0
2	2019-12-14	00:10	6.573	0
3	2019-12-14	00:20	6.674	0
4	2019-12-14	00:30	6.674	0
5	2019-12-14	00:40	6.775	0
6	2019-12-14	00:50	6.674	0
7	2019-12-14	01:00	6.775	0
8	2019-12-14	01:10	6.877	0
9	2019-12-14	01:20	6.877	0
10	2019-12-14	01:30	6.978	0
11	2019-12-14	01:40	7.079	0
12	2019-12-14	01:50	7.079	0
13	2019-12-14	02:00	7.079	0
14	2019-12-14	02:10	6.978	0
15	2019-12-14	02:20	6.775	0
16	2019-12-14	02:30	6.573	0
17	2019-12-14	02:40	6.471	0
18	2019-12-14	02:50	6.471	0
19	2019-12-14	03:00	6.573	0
20	2019-12-14	03:10	6.573	0
21	2019-12-14	03:20	6.674	0
22	2019-12-14	03:30	6.877	0
23	2019-12-14	03:40	6.877	0
24	2019-12-14	03:50	6.978	0
25	2019-12-14	04:00	7.179	0
26	2019-12-14	04:10	7.481	0
27	2019-12-14	04:20	7.682	0
28	2019-12-14	04:30	7.983	0
29	2019-12-14	04:40	8.282	0
30	2019-12-14	04:50	8.382	0
31	2019-12-14	05:00	8.779	0
32	2019-12-14	05:10	8.978	0
33	2019-12-14	05:20	9.077	0
34	2019-12-14	05:30	9.472	0
35	2019-12-14	05:40	9.571	0
36	2019-12-14	05:50	9.571	0
37	2019-12-14	06:00	9.472	0
38	2019-12-14	06:10	9.472	0
39	2019-12-14	06:20	9.472	0
40	2019-12-14	06:30	9.472	0
41	2019-12-14	06:40	9.472	0
42	2019-12-14	06:50	9.472	0
43	2019-12-14	07:00	9.373	0
44	2019-12-14	07:10	9.373	0
45	2019-12-14	07:20	9.472	0
46	2019-12-14	07:30	9.472	0
47	2019-12-14	07:40	9.472	0
48	2019-12-14	07:50	9.472	0
49	2019-12-14	08:00	9.571	21.5
50	2019-12-14	08:10	9.571	32.3
51	2019-12-14	08:20	9.669	64.6
52	2019-12-14	08:30	9.768	75.3
53	2019-12-14	08:40	9.768	53.8
54	2019-12-14	08:50	9.768	32.3
55	2019-12-14	09:00	9.866	53.8
56	2019-12-14	09:10	9.768	215.3
57	2019-12-14	09:20	9.669	193.8
58	2019-12-14	09:30	9.571	301.4
59	2019-12-14	09:40	9.373	312.2
60	2019-12-14	09:50	9.373	236.8
61	2019-12-14	10:00	9.571	409
62	2019-12-14	10:10	9.768	312.2
63	2019-12-14	10:20	9.965	549
64	2019-12-14	10:30	9.768	150.7
65	2019-12-14	10:40	9.571	549
66	2019-12-14	10:50	9.373	430.6
67	2019-12-14	11:00	9.472	409
68	2019-12-14	11:10	9.768	2325
69	2019-12-14	11:20	10.259	1054.9
70	2019-12-14	11:30	10.161	376.7
71	2019-12-14	11:40	10.063	419.8
72	2019-12-14	11:50	9.866	538.2
73	2019-12-14	12:00	10.259	914.9
74	2019-12-14	12:10	10.259	430.6
75	2019-12-14	12:20	10.748	39955.8
76	2019-12-14	12:30	15.187	41333.6
77	2019-12-14	12:40	18.14	39955.8
78	2019-12-14	12:50	20.996	37200.2
79	2019-12-14	13:00	21.473	39955.8
80	2019-12-14	13:10	19.758	38578
81	2019-12-14	13:20	21.76	41333.6
82	2019-12-14	13:30	19.472	19289
83	2019-12-14	13:40	16.046	2927.8
84	2019-12-14	13:50	13.076	1227.1
85	2019-12-14	14:00	11.625	1065.6
86	2019-12-14	14:10	11.041	1227.1
87	2019-12-14	14:20	10.748	1227.1
88	2019-12-14	14:30	10.748	1550
89	2019-12-14	14:40	10.944	1808.3
90	2019-12-14	14:50	11.139	1980.6
91	2019-12-14	15:00	11.431	2325
92	2019-12-14	15:10	11.625	2152.8
93	2019-12-14	15:20	11.625	1550
94	2019-12-14	15:30	11.819	6200
95	2019-12-14	15:40	11.819	1044.1
96	2019-12-14	15:50	11.528	527.4
97	2019-12-14	16:00	11.334	570.5
98	2019-12-14	16:10	11.139	441.3
