#HOBO_ID 10350048				
#Location_Lat_Lon 47.985 7.888				
#Alt_above_ground 6				
#Exposition S				
#Influence_class 2				
Plot Title: 10350048				
id	date	hm	ta	lux
1	14.12.2019	00:00	5.86	0
2	14.12.2019	00:10	5.962	0
3	14.12.2019	00:20	5.86	0
4	14.12.2019	00:30	5.757	0
5	14.12.2019	00:40	5.962	0
6	14.12.2019	00:50	5.86	0
7	14.12.2019	01:00	5.86	0
8	14.12.2019	01:10	5.962	0
9	14.12.2019	01:20	6.064	0
10	14.12.2019	01:30	6.166	0
11	14.12.2019	01:40	6.166	0
12	14.12.2019	01:50	6.268	0
13	14.12.2019	02:00	5.962	0
14	14.12.2019	02:10	5.45	0
15	14.12.2019	02:20	5.347	0
16	14.12.2019	02:30	5.244	0
17	14.12.2019	02:40	5.244	0
18	14.12.2019	02:50	5.45	0
19	14.12.2019	03:00	5.552	0
20	14.12.2019	03:10	5.655	0
21	14.12.2019	03:20	5.757	0
22	14.12.2019	03:30	5.962	0
23	14.12.2019	03:40	6.166	0
24	14.12.2019	03:50	6.674	0
25	14.12.2019	04:00	6.978	0
26	14.12.2019	04:10	7.179	0
27	14.12.2019	04:20	7.882	0
28	14.12.2019	04:30	7.983	0
29	14.12.2019	04:40	8.082	0
30	14.12.2019	04:50	8.481	0
31	14.12.2019	05:00	8.879	0
32	14.12.2019	05:10	9.176	0
33	14.12.2019	05:20	9.373	0
34	14.12.2019	05:30	9.571	0
35	14.12.2019	05:40	9.571	0
36	14.12.2019	05:50	9.472	0
37	14.12.2019	06:00	9.373	0
38	14.12.2019	06:10	9.472	0
39	14.12.2019	06:20	9.472	0
40	14.12.2019	06:30	9.571	0
41	14.12.2019	06:40	9.275	0
42	14.12.2019	06:50	9.275	0
43	14.12.2019	07:00	9.077	0
44	14.12.2019	07:10	8.978	0
45	14.12.2019	07:20	9.275	0
46	14.12.2019	07:30	9.275	0
47	14.12.2019	07:40	9.373	0
48	14.12.2019	07:50	9.275	0
49	14.12.2019	08:00	9.275	86.1
50	14.12.2019	08:10	9.176	161.5
51	14.12.2019	08:20	9.275	258.3
52	14.12.2019	08:30	9.373	505.9
53	14.12.2019	08:40	9.373	226
54	14.12.2019	08:50	9.077	215.3
55	14.12.2019	09:00	9.176	312.2
56	14.12.2019	09:10	8.978	1033.3
57	14.12.2019	09:20	8.282	914.9
58	14.12.2019	09:30	7.983	1980.6
59	14.12.2019	09:40	8.481	2152.8
60	14.12.2019	09:50	8.879	1636.1
61	14.12.2019	10:00	8.978	1894.5
62	14.12.2019	10:10	9.275	2497.2
63	14.12.2019	10:20	9.866	3961.1
64	14.12.2019	10:30	9.176	861.1
65	14.12.2019	10:40	8.68	1722.2
66	14.12.2019	10:50	8.382	2238.9
67	14.12.2019	11:00	8.779	2411.1
68	14.12.2019	11:10	9.275	5166.7
69	14.12.2019	11:20	9.571	3444.5
70	14.12.2019	11:30	9.373	1227.1
71	14.12.2019	11:40	9.275	1980.6
