#HOBO_ID 10347312
#Location_Lat_Lon 47.9971 7.8307
#Alt_above_ground 4
#Exposition N
#Influence_class  2
date	hour	th	origin
2019-12-14	0	6.2	R
2019-12-14	1	6.5	R
2019-12-14	2	6	R
2019-12-14	3	6.6	R
2019-12-14	4	8.5	R
2019-12-14	5	9.5	R
2019-12-14	6	9.1	R
2019-12-14	7	9.4	R
2019-12-14	8	9.6	R
2019-12-14	9	9.1	R
2019-12-14	10	8.8	R
2019-12-14	11	8.4	R
2019-12-14	12	9.1	R
2019-12-14	13	9.7	R
2019-12-14	14	10.1	R
2019-12-14	15	10.7	R
2019-12-14	16	10.7	R
2019-12-14	17	10.9	R
2019-12-14	18	10.9	R
2019-12-14	19	10.9	R
2019-12-14	20	11.1	R
2019-12-14	21	11.4	R
2019-12-14	22	12	R
2019-12-14	23	11.4	R
2019-12-15	0	9.9	R
2019-12-15	1	9.5	R
2019-12-15	2	12.3	R
2019-12-15	3	13.1	R
2019-12-15	4	13.3	R
2019-12-15	5	13.6	R
2019-12-15	6	13.9	R
2019-12-15	7	14.1	R
2019-12-15	8	14.5	R
2019-12-15	9	14.7	R
2019-12-15	10	14.3	R
2019-12-15	11	14.1	R
2019-12-15	12	13.9	R
2019-12-15	13	13.3	R
2019-12-15	14	13	R
2019-12-15	15	12.7	R
2019-12-15	16	12	R
2019-12-15	17	10.9	R
2019-12-15	18	10.4	R
2019-12-15	19	10.3	R
2019-12-15	20	10.4	R
2019-12-15	21	10.1	R
2019-12-15	22	10.1	R
2019-12-15	23	9.7	R
2019-12-16	0	9.7	R
2019-12-16	1	9.8	R
2019-12-16	2	9.6	R
2019-12-16	3	11.6	R
2019-12-16	4	10.6	R
2019-12-16	5	10.3	R
2019-12-16	6	9.7	R
2019-12-16	7	9.6	R
2019-12-16	8	10.2	R
2019-12-16	9	11.1	R
2019-12-16	10	12.5	R
2019-12-16	11	13.3	R
2019-12-16	12	13.4	R
2019-12-16	13	13	R
2019-12-16	14	12.9	R
2019-12-16	15	12.5	R
2019-12-16	16	12.3	R
2019-12-16	17	11.3	R
2019-12-16	18	9.8	R
2019-12-16	19	9.7	R
2019-12-16	20	8.7	R
2019-12-16	21	8.6	R
2019-12-16	22	8	R
2019-12-16	23	7.6	R
2019-12-17	0	7.1	R
2019-12-17	1	6.9	R
2019-12-17	2	7	R
2019-12-17	3	7.4	R
2019-12-17	4	6.8	R
2019-12-17	5	6.7	R
2019-12-17	6	7	R
2019-12-17	7	7.8	R
2019-12-17	8	7.3	R
2019-12-17	9	8	R
2019-12-17	10	9.4	R
2019-12-17	11	13.3	R
2019-12-17	12	13.75	H
2019-12-17	13	14.133	H
2019-12-17	14	14.517	H
2019-12-17	15	13.043	H
2019-12-17	16	11.252	H
2019-12-17	17	12.059	H
2019-12-17	18	11.607	H
2019-12-17	19	9.817	H
2019-12-17	20	9.488	H
2019-12-17	21	9.817	H
2019-12-17	22	9.883	H
2019-12-17	23	9.653	H
2019-12-18	0	11.588	H
2019-12-18	1	13.477	H
2019-12-18	2	13.557	H
2019-12-18	3	13.557	H
2019-12-18	4	13.173	H
2019-12-18	5	12.352	H
2019-12-18	6	12.013	H
2019-12-18	7	11.479	H
2019-12-18	8	11.204	H
2019-12-18	9	11.512	H
2019-12-18	10	12.062	H
2019-12-18	11	12.851	H
2019-12-18	12	14.245	H
2019-12-18	13	14.677	H
2019-12-18	14	14.82	H
2019-12-18	15	14.645	H
2019-12-18	16	13.557	H
2019-12-18	17	12.094	H
2019-12-18	18	11.236	H
2019-12-18	19	11.074	H
2019-12-18	20	10.21	H
2019-12-18	21	9.34	H
2019-12-18	22	8.165	H
2019-12-18	23	7.263	H
2019-12-19	0	7.313	H
2019-12-19	1	7.364	H
2019-12-19	2	6.843	H
2019-12-19	3	6.656	H
2019-12-19	4	5.928	H
2019-12-19	5	5.192	H
2019-12-19	6	4.779	H
2019-12-19	7	5.363	H
2019-12-19	8	6.742	H
2019-12-19	9	6.59	H
2019-12-19	10	7.347	H
2019-12-19	11	7.699	H
2019-12-19	12	9.371	H
2019-12-19	13	10.406	H
2019-12-19	14	10.422	H
2019-12-19	15	10.341	H
2019-12-19	16	9.899	H
2019-12-19	17	9.06	H
2019-12-19	18	9.209	H
2019-12-19	19	8.694	H
2019-12-19	20	7.981	H
2019-12-19	21	7.246	H
2019-12-19	22	6.132	H
2019-12-19	23	5.261	H
2019-12-20	0	6.012	H
2019-12-20	1	7.396	H
2019-12-20	2	7.61	H
2019-12-20	3	3.804	H
2019-12-20	4	2.996	H
2019-12-20	5	2.428	H
2019-12-20	6	2.588	H
2019-12-20	7	2.89	H
2019-12-20	8	2.996	H
2019-12-20	9	3.47	H
2019-12-20	10	6.874	H
2019-12-20	11	8.115	H
2019-12-20	12	8.53	H
2019-12-20	13	7.213	H
2019-12-20	14	7.112	H
2019-12-20	15	8.777	H
2019-12-20	16	9.406	H
2019-12-20	17	8.928	H
2019-12-20	18	8.382	H
2019-12-20	19	7.816	H
2019-12-20	20	7.582	H
2019-12-20	21	7.532	H
2019-12-20	22	7.314	H
2019-12-20	23	6.961	H
2019-12-21	0	6.42	H
2019-12-21	1	6.319	H
2019-12-21	2	6.234	H
2019-12-21	3	5.945	H
2019-12-21	4	5.569	H
2019-12-21	5	5.501	H
2019-12-21	6	5.518	H
2019-12-21	7	5.141	H
2019-12-21	8	4.9	H
2019-12-21	9	5.14	H
2019-12-21	10	6.335	H
2019-12-21	11	7.33	H
2019-12-21	12	8.895	H
2019-12-21	13	9.258	H
2019-12-21	14	9.126	H
2019-12-21	15	8.315	H
2019-12-21	16	7.832	H
2019-12-21	17	6.859	H
2019-12-21	18	6.115	H
2019-12-21	19	5.774	H
2019-12-21	20	5.996	H
2019-12-21	21	6.301	H
2019-12-21	22	6.012	H
2019-12-21	23	5.859	H
2019-12-22	0	7.313	H
2019-12-22	1	8.795	H
2019-12-22	2	9.291	H
2019-12-22	3	9.422	H
2019-12-22	4	9.554	H
2019-12-22	5	9.423	H
2019-12-22	6	9.472	H
2019-12-22	7	10.243	H
2019-12-22	8	9.833	H
2019-12-22	9	9.505	H
2019-12-22	10	9.751	H
2019-12-22	11	9.817	H
2019-12-22	12	9.669	H
2019-12-22	13	9.489	H
2019-12-22	14	8.829	H
2019-12-22	15	8.265	H
2019-12-22	16	8.382	H
2019-12-22	17	7.749	H
2019-12-22	18	7.648	H
2019-12-22	19	7.448	H
2019-12-22	20	7.548	H
2019-12-22	21	7.749	H
2019-12-22	22	7.631	H
2019-12-22	23	6.944	H
2019-12-23	0	7.146	H
2019-12-23	1	6.877	H
2019-12-23	2	6.928	H
2019-12-23	3	6.708	H
2019-12-23	4	6.944	H
2019-12-23	5	6.742	H
2019-12-23	6	6.792	H
2019-12-23	7	7.028	H
2019-12-23	8	6.91	H
2019-12-23	9	7.196	H
2019-12-23	10	7.632	H
2019-12-23	11	7.765	H
2019-12-23	12	7.582	H
2019-12-23	13	7.966	H
2019-12-23	14	7.949	H
2019-12-23	15	8.082	H
2019-12-23	16	7.899	H
2019-12-23	17	7.33	H
2019-12-23	18	7.331	H
2019-12-23	19	7.162	H
2019-12-23	20	6.792	H
2019-12-23	21	6.505	H
2019-12-23	22	6.335	H
2019-12-23	23	6.928	H
2019-12-24	0	6.927	H
2019-12-24	1	7.162	H
2019-12-24	2	7.095	H
2019-12-24	3	6.641	H
2019-12-24	4	6.86	H
2019-12-24	5	6.894	H
2019-12-24	6	7.247	H
2019-12-24	7	7.548	H
2019-12-24	8	7.364	H
2019-12-24	9	7.414	H
2019-12-24	10	7.598	H
2019-12-24	11	8.794	H
2019-12-24	12	10.079	H
2019-12-24	13	10.275	H
2019-12-24	14	10.39	H
2019-12-24	15	10.976	H
2019-12-24	16	10.764	H
2019-12-24	17	9.768	H
2019-12-24	18	9.915	H
2019-12-24	19	9.932	H
2019-12-24	20	9.834	H
2019-12-24	21	9.817	H
2019-12-24	22	9.505	H
2019-12-24	23	9.472	H
2019-12-25	0	9.209	H
2019-12-25	1	9.077	H
2019-12-25	2	9.027	H
2019-12-25	3	9.193	H
2019-12-25	4	9.291	H
2019-12-25	5	9.275	H
2019-12-25	6	9.242	H
2019-12-25	7	9.127	H
2019-12-25	8	9.143	H
2019-12-25	9	9.159	H
2019-12-25	10	9.226	H
2019-12-25	11	9.011	H
2019-12-25	12	8.581	H
2019-12-25	13	8.578	H
2019-12-25	14	7.514	H
2019-12-25	15	7.548	H
2019-12-25	16	7.095	H
2019-12-25	17	6.454	H
2019-12-25	18	5.843	H
2019-12-25	19	5.809	H
2019-12-25	20	5.398	H
