date	hour	th	origin
2019-12-14	0	6.064	H
2019-12-14	1	6.488	H
2019-12-14	2	6.166	H
2019-12-14	3	6.437	H
2019-12-14	4	7.095	H
2019-12-14	5	8.547	H
2019-12-14	6	8.895	H
2019-12-14	7	8.729	H
2019-12-14	8	9.06	H
2019-12-14	9	8.978	H
2019-12-14	10	9.209	H
2019-12-14	11	7.531	R
2019-12-14	12	8.198	R
2019-12-14	13	8.77	R
2019-12-14	14	9.997	H
2019-12-14	15	10.65	H
2019-12-14	16	10.39	H
2019-12-14	17	10.406	H
2019-12-14	18	10.177	H
2019-12-14	19	10.406	H
2019-12-14	20	10.601	H
2019-12-14	21	10.813	H
2019-12-14	22	11.463	H
2019-12-14	23	11.236	H
2019-12-15	0	9.833	H
2019-12-15	1	9.242	H
2019-12-15	2	10.748	H
2019-12-15	3	12.061	H
2019-12-15	4	12.803	H
2019-12-15	5	13.028	H
2019-12-15	6	13.397	H
2019-12-15	7	13.51	H
2019-12-15	8	13.67	H
2019-12-15	9	13.75	H
2019-12-15	10	14.198	H
2019-12-15	11	14.134	H
2019-12-15	12	14.038	H
2019-12-15	13	13.542	H
2019-12-15	14	12.996	H
2019-12-15	15	12.739	H
2019-12-15	16	12.062	H
2019-12-15	17	10.992	H
2019-12-15	18	10.21	H
2019-12-15	19	9.948	H
2019-12-15	20	9.571	H
2019-12-15	21	9.143	H
2019-12-15	22	9.62	H
2019-12-15	23	9.405	H
2019-12-16	0	8.862	H
2019-12-16	1	9.652	H
2019-12-16	2	9.175	H
2019-12-16	3	8.298	H
2019-12-16	4	7.815	H
2019-12-16	5	8.398	H
2019-12-16	6	8.912	H
2019-12-16	7	8.995	H
2019-12-16	8	9.109	H
2019-12-16	9	10.134	R
2019-12-16	10	11.468	R
2019-12-16	11	12.23	R
2019-12-16	12	12.326	R
2019-12-16	13	11.946	R
2019-12-16	14	11.851	R
2019-12-16	15	11.463	H
2019-12-16	16	9.783	H
2019-12-16	17	8.613	H
2019-12-16	18	7.33	H
2019-12-16	19	7.263	H
2019-12-16	20	7.381	H
2019-12-16	21	7.145	H
2019-12-16	22	6.96	H
2019-12-16	23	5.962	H
2019-12-17	0	5.672	H
2019-12-17	1	5.278	H
2019-12-17	2	5.089	H
2019-12-17	3	5.261	H
2019-12-17	4	5.003	H
2019-12-17	5	4.951	H
2019-12-17	6	5.175	H
2019-12-17	7	5.638	H
2019-12-17	8	4.951	H
2019-12-17	9	5.739	H
2019-12-17	10	8.533	R
2019-12-17	11	12.247	R
2019-12-17	12	12.343	R
2019-12-17	13	13.772	R
2019-12-17	14	14.153	R
2019-12-17	15	11.819	H
2019-12-17	16	10.144	H
2019-12-17	17	10.661	H
2019-12-17	18	10.108	H
2019-12-17	19	8.746	H
2019-12-17	20	7.296	H
2019-12-17	21	6.386	H
2019-12-17	22	6.283	H
2019-12-17	23	7.127	H
2019-12-18	0	13.208	R
2019-12-18	1	13.718	H
2019-12-18	2	13.782	H
2019-12-18	3	13.525	H
2019-12-18	4	13.076	H
2019-12-18	5	12.255	H
2019-12-18	6	12.191	H
2019-12-18	7	11.057	H
2019-12-18	8	10.879	H
2019-12-18	9	11.009	H
2019-12-18	10	11.495	H
2019-12-18	11	12.263	R
2019-12-18	12	13.502	R
2019-12-18	13	14.264	R
2019-12-18	14	14.421	H
2019-12-18	15	13.958	H
2019-12-18	16	12.077	H
2019-12-18	17	10.6	H
2019-12-18	18	9.225	H
2019-12-18	19	8.845	H
2019-12-18	20	8.265	H
2019-12-18	21	7.932	H
2019-12-18	22	6.42	H
2019-12-18	23	5.706	H
2019-12-19	0	5.296	H
2019-12-19	1	5.02	H
2019-12-19	2	5.33	H
2019-12-19	3	4.363	H
2019-12-19	4	3.893	H
2019-12-19	5	3.578	H
2019-12-19	6	3.543	H
2019-12-19	7	3.595	H
2019-12-19	8	3.893	H
2019-12-19	9	5.277	H
2019-12-19	10	6.64	H
2019-12-19	11	7.234	R
2019-12-19	12	9.71	R
2019-12-19	13	10.014	H
2019-12-19	14	10.079	H
2019-12-19	15	9.784	H
2019-12-19	16	9.01	H
2019-12-19	17	7.698	H
2019-12-19	18	7.146	H
2019-12-19	19	6.352	H
2019-12-19	20	5.808	H
2019-12-19	21	5.638	H
2019-12-19	22	4.813	H
2019-12-19	23	3.927	H
2019-12-20	0	3.137	H
2019-12-20	1	2.766	H
2019-12-20	2	2.641	H
2019-12-20	3	1.854	H
2019-12-20	4	2.231	H
2019-12-20	5	1.944	H
2019-12-20	6	1.602	H
2019-12-20	7	1.548	H
2019-12-20	8	1.98	H
2019-12-20	9	2.941	H
2019-12-20	10	4.95	H
2019-12-20	11	10.297	R
2019-12-20	12	7.632	R
2019-12-20	13	6.708	H
2019-12-20	14	6.994	H
2019-12-20	15	8.824	H
2019-12-20	16	9.932	H
2019-12-20	17	9.192	H
2019-12-20	18	8.647	H
2019-12-20	19	8.399	H
2019-12-20	20	8.415	H
2019-12-20	21	8.315	H
2019-12-20	22	7.999	H
2019-12-20	23	7.246	H
2019-12-21	0	6.538	H
