"date"	"hour"	"th"	"origin"
"2019-12-14"	0	7.97	"R"
"2019-12-14"	1	8.183	"R"
"2019-12-14"	2	7.828	"R"
"2019-12-14"	3	8.254	"R"
"2019-12-14"	4	9.603	"R"
"2019-12-14"	5	10.313	"R"
"2019-12-14"	6	10.029	"R"
"2019-12-14"	7	10.242	"R"
"2019-12-14"	8	10.384	"R"
"2019-12-14"	9	10.029	"R"
"2019-12-14"	10	9.816	"R"
"2019-12-14"	11	9.532	"R"
"2019-12-14"	12	10.029	"R"
"2019-12-14"	13	10.456	"R"
"2019-12-14"	14	10.739	"R"
"2019-12-14"	15	11.165	"R"
"2019-12-14"	16	11.165	"R"
"2019-12-14"	17	11.307	"R"
"2019-12-14"	18	11.307	"R"
"2019-12-14"	19	11.307	"R"
"2019-12-14"	20	11.45	"R"
"2019-12-14"	21	11.662	"R"
"2019-12-14"	22	12.089	"R"
"2019-12-14"	23	11.662	"R"
"2019-12-15"	0	10.598	"R"
"2019-12-15"	1	11.139	"H"
"2019-12-15"	2	11.528	"H"
"2019-12-15"	3	12.078	"H"
"2019-12-15"	4	12.481	"H"
"2019-12-15"	5	12.578	"H"
"2019-12-15"	6	12.819	"H"
"2019-12-15"	7	12.931	"H"
"2019-12-15"	8	13.157	"H"
"2019-12-15"	9	13.59	"H"
"2019-12-15"	10	14.006	"H"
"2019-12-15"	11	14.198	"H"
"2019-12-15"	12	14.182	"H"
"2019-12-15"	13	13.99	"H"
"2019-12-15"	14	13.766	"H"
"2019-12-15"	15	12.586	"R"
"2019-12-15"	16	13.317	"H"
"2019-12-15"	17	13.06	"H"
"2019-12-15"	18	12.867	"H"
"2019-12-15"	19	12.707	"H"
"2019-12-15"	20	12.384	"H"
"2019-12-15"	21	12.223	"H"
"2019-12-15"	22	12.013	"H"
"2019-12-15"	23	11.706	"H"
"2019-12-16"	0	11.69	"H"
"2019-12-16"	1	11.754	"H"
"2019-12-16"	2	10.384	"R"
"2019-12-16"	3	11.771	"H"
"2019-12-16"	4	11.528	"H"
"2019-12-16"	5	11.171	"H"
"2019-12-16"	6	11.041	"H"
"2019-12-16"	7	10.879	"H"
"2019-12-16"	8	10.879	"H"
"2019-12-16"	9	11.269	"H"
"2019-12-16"	10	11.964	"H"
"2019-12-16"	11	12.401	"H"
"2019-12-16"	12	12.674	"H"
"2019-12-16"	13	13.044	"H"
"2019-12-16"	14	12.98	"H"
"2019-12-16"	15	12.899	"H"
"2019-12-16"	16	12.368	"H"
"2019-12-16"	17	11.835	"H"
"2019-12-16"	18	11.366	"H"
"2019-12-16"	19	11.074	"H"
"2019-12-16"	20	10.781	"H"
"2019-12-16"	21	10.52	"H"
"2019-12-16"	22	10.341	"H"
"2019-12-16"	23	10.063	"H"
"2019-12-17"	0	9.784	"H"
"2019-12-17"	1	9.537	"H"
"2019-12-17"	2	9.39	"H"
"2019-12-17"	3	9.538	"H"
"2019-12-17"	4	9.604	"H"
"2019-12-17"	5	9.341	"H"
"2019-12-17"	6	9.472	"H"
"2019-12-17"	7	9.505	"H"
"2019-12-17"	8	9.423	"H"
"2019-12-17"	9	9.571	"H"
"2019-12-17"	10	10.194	"H"
"2019-12-17"	11	11.656	"H"
"2019-12-17"	12	12.69	"H"
"2019-12-17"	13	13.204	"H"
"2019-12-17"	14	13.285	"H"
"2019-12-17"	15	12.674	"H"
"2019-12-17"	16	12.175	"H"
"2019-12-17"	17	12.255	"H"
"2019-12-17"	18	11.884	"H"
"2019-12-17"	19	11.285	"H"
"2019-12-17"	20	10.944	"H"
"2019-12-17"	21	10.862	"H"
"2019-12-17"	22	10.748	"H"
"2019-12-17"	23	10.732	"H"
"2019-12-18"	0	11.689	"H"
"2019-12-18"	1	12.594	"H"
"2019-12-18"	2	12.899	"H"
"2019-12-18"	3	13.028	"H"
"2019-12-18"	4	12.996	"H"
"2019-12-18"	5	12.799	"R"
"2019-12-18"	6	12.915	"H"
"2019-12-18"	7	12.787	"H"
"2019-12-18"	8	12.578	"H"
"2019-12-18"	9	12.851	"H"
"2019-12-18"	10	13.285	"H"
"2019-12-18"	11	13.798	"H"
"2019-12-18"	12	14.581	"H"
"2019-12-18"	13	14.437	"H"
"2019-12-18"	14	14.29	"R"
"2019-12-18"	15	13.935	"R"
"2019-12-18"	16	13.766	"H"
"2019-12-18"	17	13.108	"H"
"2019-12-18"	18	12.562	"H"
"2019-12-18"	19	12.175	"H"
"2019-12-18"	20	11.787	"H"
"2019-12-18"	21	11.496	"H"
"2019-12-18"	22	11.009	"H"
"2019-12-18"	23	10.602	"H"
"2019-12-19"	0	10.21	"H"
"2019-12-19"	1	9.866	"H"
"2019-12-19"	2	9.604	"H"
"2019-12-19"	3	9.341	"H"
