date	hour	th	origin
2019-12-14	0	6.347	R
2019-12-14	1	6.626	R
2019-12-14	2	6.181	R
2019-12-14	3	6.434	R
2019-12-14	4	7.909	R
2019-12-14	5	9.332	R
2019-12-14	6	9.472	R
2019-12-14	7	9.568	R
2019-12-14	8	9.62	R
2019-12-14	9	8.721	R
2019-12-14	10	8.791	R
2019-12-14	11	9.026	R
2019-12-14	12	8.581	R
2019-12-14	13	9.28	R
2019-12-14	14	9.981	H
2019-12-14	15	10.634	H
2019-12-14	16	10.39	H
2019-12-14	17	10.602	H
2019-12-14	18	10.635	H
2019-12-14	19	10.554	R
2019-12-14	20	10.878	H
2019-12-14	21	11.041	H
2019-12-14	22	11.609	H
2019-12-14	23	11.365	H
2019-12-15	0	9.866	H
2019-12-15	1	9.373	H
2019-12-15	2	10.763	H
2019-12-15	3	12.271	H
2019-12-15	4	12.883	H
2019-12-15	5	13.221	H
2019-12-15	6	13.59	H
2019-12-15	7	13.702	H
2019-12-15	8	14.006	H
2019-12-15	9	14.309	H
2019-12-15	10	14.373	H
2019-12-15	11	14.198	H
2019-12-15	12	13.91	H
2019-12-15	13	13.413	H
2019-12-15	14	12.915	H
2019-12-15	15	12.771	H
2019-12-15	16	12.287	H
2019-12-15	17	11.204	H
2019-12-15	18	10.357	H
2019-12-15	19	10.03	H
2019-12-15	20	9.686	H
2019-12-15	21	9.8	H
2019-12-15	22	9.735	H
2019-12-15	23	9.308	H
2019-12-16	0	9.06	H
2019-12-16	1	9.027	H
2019-12-16	2	8.686	R
2019-12-16	3	9.044	H
2019-12-16	4	8.862	H
2019-12-16	5	8.431	H
2019-12-16	6	9.258	H
2019-12-16	7	9.554	H
2019-12-16	8	9.833	H
2019-12-16	9	10.275	H
2019-12-16	10	11.431	H
2019-12-16	11	12.126	H
2019-12-16	12	12.803	H
2019-12-16	13	13.782	H
2019-12-16	14	13.172	H
2019-12-16	15	12.109	H
2019-12-16	16	10.372	H
2019-12-16	17	8.911	H
2019-12-16	18	7.915	H
2019-12-16	19	7.381	H
2019-12-16	20	7.615	H
2019-12-16	21	7.246	H
2019-12-16	22	7.246	H
2019-12-16	23	6.437	H
2019-12-17	0	6.047	H
2019-12-17	1	5.825	H
2019-12-17	2	5.655	H
2019-12-17	3	5.672	H
2019-12-17	4	5.638	H
2019-12-17	5	5.501	H
2019-12-17	6	5.637	H
2019-12-17	7	5.962	H
2019-12-17	8	5.467	H
2019-12-17	9	5.893	H
2019-12-17	10	7.614	H
2019-12-17	11	10.142	H
2019-12-17	12	12.529	H
2019-12-17	13	12.849	R
2019-12-17	14	14.028	R
2019-12-17	15	11.435	R
2019-12-17	16	10.634	H
2019-12-17	17	10.062	H
2019-12-17	18	10.079	H
2019-12-17	19	8.679	H
2019-12-17	20	7.397	H
2019-12-17	21	6.674	H
2019-12-17	22	6.387	H
2019-12-17	23	6.775	H
2019-12-18	0	13.687	R
2019-12-18	1	13.205	H
2019-12-18	2	13.012	H
2019-12-18	3	12.947	H
2019-12-18	4	12.561	H
2019-12-18	5	11.835	H
2019-12-18	6	11.625	H
2019-12-18	7	10.976	H
2019-12-18	8	10.781	H
2019-12-18	9	10.764	H
2019-12-18	10	11.09	H
2019-12-18	11	12.141	H
2019-12-18	12	14.309	H
2019-12-18	13	14.211	R
2019-12-18	14	15.775	H
2019-12-18	15	14.037	H
2019-12-18	16	12.045	H
2019-12-18	17	11.04	H
2019-12-18	18	9.62	H
2019-12-18	19	8.912	H
2019-12-18	20	8.448	H
2019-12-18	21	7.949	H
2019-12-18	22	7.163	H
2019-12-18	23	6.573	H
2019-12-19	0	6.234	H
2019-12-19	1	5.894	H
2019-12-19	2	5.809	H
2019-12-19	3	5.45	H
2019-12-19	4	5.003	H
2019-12-19	5	4.727	H
2019-12-19	6	4.467	H
2019-12-19	7	4.363	H
2019-12-19	8	4.727	H
2019-12-19	9	6.215	H
2019-12-19	10	7.414	H
2019-12-19	11	8.215	H
2019-12-19	12	9.749	H
2019-12-19	13	10.44	R
2019-12-19	14	11.494	H
2019-12-19	15	10.846	H
2019-12-19	16	10.128	H
2019-12-19	17	8.928	H
2019-12-19	18	8.431	H
2019-12-19	19	7.949	H
2019-12-19	20	7.179	H
2019-12-19	21	7.33	H
2019-12-19	22	6.977	H
2019-12-19	23	6.369	H
2019-12-20	0	6.098	H
2019-12-20	1	5.876	H
2019-12-20	2	5.91	H
2019-12-20	3	4.898	H
2019-12-20	4	5.106	H
2019-12-20	5	4.744	H
2019-12-20	6	4.467	H
2019-12-20	7	4.154	H
2019-12-20	8	5.261	H
2019-12-20	9	5.123	H
2019-12-20	10	6.3	H
2019-12-20	11	8.33	H
2019-12-20	12	9.832	H
2019-12-20	13	7.881	H
2019-12-20	14	7.631	H
2019-12-20	15	9.175	H
2019-12-20	16	9.669	H
2019-12-20	17	9.159	H
2019-12-20	18	8.63	H
2019-12-20	19	8.066	H
2019-12-20	20	7.665	H
2019-12-20	21	7.448	H
2019-12-20	22	7.196	H
2019-12-20	23	6.758	H
2019-12-21	0	6.285	H
2019-12-21	1	5.928	H
2019-12-21	2	6.2	H
2019-12-21	3	5.278	H
2019-12-21	4	5.175	H
2019-12-21	5	4.899	H
2019-12-21	6	4.519	H
2019-12-21	7	4.831	H
2019-12-21	8	4.45	H
2019-12-21	9	4.623	H
2019-12-21	10	5.568	H
2019-12-21	11	7.295	H
2019-12-21	12	9.142	H
2019-12-21	13	8.686	R
2019-12-21	14	8.433	R
2019-12-21	15	8.023	R
2019-12-21	16	8.199	H
2019-12-21	17	6.741	H
2019-12-21	18	5.501	H
2019-12-21	19	5.02	H
2019-12-21	20	5.037	H
2019-12-21	21	5.244	H
2019-12-21	22	5.809	H
2019-12-21	23	6.182	H
2019-12-22	0	7.748	H
2019-12-22	1	8.713	H
2019-12-22	2	9.422	H
2019-12-22	3	9.768	H
2019-12-22	4	9.801	H
2019-12-22	5	9.422	H
2019-12-22	6	9.587	H
2019-12-22	7	10.357	H
2019-12-22	8	9.652	H
2019-12-22	9	9.439	H
2019-12-22	10	9.768	H
2019-12-22	11	9.8	H
2019-12-22	12	9.686	H
2019-12-22	13	9.423	H
2019-12-22	14	9.011	H
2019-12-22	15	8.514	H
2019-12-22	16	8.514	H
