"Plot Title: 10350066"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10350066, SEN S/N: 10350066)","Intensity, Lux (LGR S/N: 10350066, SEN S/N: 10350066)","Host Connected (LGR S/N: 10350066)","Coupler Attached (LGR S/N: 10350066)","Stopped (LGR S/N: 10350066)","End Of File (LGR S/N: 10350066)"
1,12/14/2019 12:00:00 AM,5.962,0.0,,,,
2,12/14/2019 12:10:00 AM,5.860,0.0,,,,
3,12/14/2019 12:20:00 AM,5.757,0.0,,,,
4,12/14/2019 12:30:00 AM,5.757,0.0,,,,
5,12/14/2019 12:40:00 AM,5.757,0.0,,,,
6,12/14/2019 12:50:00 AM,5.757,0.0,,,,
7,12/14/2019 01:00:00 AM,5.757,0.0,,,,
8,12/14/2019 01:10:00 AM,5.757,0.0,,,,
9,12/14/2019 01:20:00 AM,5.860,0.0,,,,
10,12/14/2019 01:30:00 AM,5.757,0.0,,,,
11,12/14/2019 01:40:00 AM,5.655,0.0,,,,
12,12/14/2019 01:50:00 AM,5.655,0.0,,,,
13,12/14/2019 02:00:00 AM,5.757,0.0,,,,
14,12/14/2019 02:10:00 AM,5.757,0.0,,,,
15,12/14/2019 02:20:00 AM,5.757,0.0,,,,
16,12/14/2019 02:30:00 AM,5.757,0.0,,,,
17,12/14/2019 02:40:00 AM,5.757,0.0,,,,
18,12/14/2019 02:50:00 AM,5.860,0.0,,,,
19,12/14/2019 03:00:00 AM,5.757,0.0,,,,
20,12/14/2019 03:10:00 AM,5.757,0.0,,,,
21,12/14/2019 03:20:00 AM,5.757,0.0,,,,
22,12/14/2019 03:30:00 AM,5.552,0.0,,,,
23,12/14/2019 03:40:00 AM,5.552,0.0,,,,
24,12/14/2019 03:50:00 AM,5.655,0.0,,,,
25,12/14/2019 04:00:00 AM,5.655,0.0,,,,
26,12/14/2019 04:10:00 AM,5.655,0.0,,,,
27,12/14/2019 04:20:00 AM,5.757,0.0,,,,
28,12/14/2019 04:30:00 AM,5.655,0.0,,,,
29,12/14/2019 04:40:00 AM,5.757,0.0,,,,
30,12/14/2019 04:50:00 AM,5.860,0.0,,,,
31,12/14/2019 05:00:00 AM,5.962,0.0,,,,
32,12/14/2019 05:10:00 AM,5.860,0.0,,,,
33,12/14/2019 05:20:00 AM,5.860,0.0,,,,
34,12/14/2019 05:30:00 AM,5.962,0.0,,,,
35,12/14/2019 05:40:00 AM,6.166,0.0,,,,
36,12/14/2019 05:50:00 AM,6.268,0.0,,,,
37,12/14/2019 06:00:00 AM,6.370,0.0,,,,
38,12/14/2019 06:10:00 AM,6.674,0.0,,,,
39,12/14/2019 06:20:00 AM,7.179,0.0,,,,
40,12/14/2019 06:30:00 AM,7.682,0.0,,,,
41,12/14/2019 06:40:00 AM,7.782,0.0,,,,
42,12/14/2019 06:50:00 AM,8.182,0.0,,,,
43,12/14/2019 07:00:00 AM,8.382,0.0,,,,
44,12/14/2019 07:10:00 AM,8.978,0.0,,,,
45,12/14/2019 07:20:00 AM,8.978,0.0,,,,
46,12/14/2019 07:30:00 AM,9.176,0.0,,,,
47,12/14/2019 07:40:00 AM,9.275,0.0,,,,
48,12/14/2019 07:50:00 AM,9.176,0.0,,,,
49,12/14/2019 08:00:00 AM,9.176,0.0,,,,
50,12/14/2019 08:10:00 AM,9.077,0.0,,,,
51,12/14/2019 08:20:00 AM,8.978,21.5,,,,
52,12/14/2019 08:30:00 AM,8.978,10.8,,,,
53,12/14/2019 08:40:00 AM,9.176,21.5,,,,
54,12/14/2019 08:50:00 AM,9.176,75.3,,,,
55,12/14/2019 09:00:00 AM,9.176,96.9,,,,
56,12/14/2019 09:10:00 AM,9.077,150.7,,,,
57,12/14/2019 09:20:00 AM,9.077,161.5,,,,
58,12/14/2019 09:30:00 AM,8.978,226.0,,,,
59,12/14/2019 09:40:00 AM,8.978,150.7,,,,
60,12/14/2019 09:50:00 AM,8.879,96.9,,,,
61,12/14/2019 10:00:00 AM,8.779,107.6,,,,
62,12/14/2019 10:10:00 AM,8.481,96.9,,,,
63,12/14/2019 10:20:00 AM,8.282,172.2,,,,
64,12/14/2019 10:30:00 AM,8.779,505.9,,,,
65,12/14/2019 10:40:00 AM,9.275,462.9,,,,
66,12/14/2019 10:50:00 AM,9.571,602.8,,,,
67,12/14/2019 11:00:00 AM,9.472,226.0,,,,
68,12/14/2019 11:10:00 AM,9.275,688.9,,,,
69,12/14/2019 11:20:00 AM,9.373,409.0,,,,
70,12/14/2019 11:30:00 AM,9.373,430.6,,,,
71,12/14/2019 11:40:00 AM,9.275,699.7,,,,
72,12/14/2019 11:50:00 AM,9.176,688.9,,,,
73,12/14/2019 12:00:00 PM,9.077,1205.6,,,,
74,12/14/2019 12:10:00 PM,8.978,581.3,,,,
75,12/14/2019 12:20:00 PM,8.978,807.3,,,,
76,12/14/2019 12:30:00 PM,9.176,914.9,,,,
77,12/14/2019 12:40:00 PM,9.176,538.2,,,,
78,12/14/2019 12:50:00 PM,9.077,699.7,,,,
79,12/14/2019 01:00:00 PM,9.176,753.5,,,,
80,12/14/2019 01:10:00 PM,9.176,1011.8,,,,
81,12/14/2019 01:20:00 PM,9.275,753.5,,,,
82,12/14/2019 01:30:00 PM,9.373,656.6,,,,
83,12/14/2019 01:40:00 PM,9.373,635.1,,,,
84,12/14/2019 01:50:00 PM,9.472,505.9,,,,
85,12/14/2019 02:00:00 PM,9.571,581.3,,,,
86,12/14/2019 02:10:00 PM,9.768,484.4,,,,
87,12/14/2019 02:20:00 PM,9.866,549.0,,,,
88,12/14/2019 02:30:00 PM,9.866,505.9,,,,
89,12/14/2019 02:40:00 PM,9.866,441.3,,,,
90,12/14/2019 02:50:00 PM,9.866,269.1,,,,
91,12/14/2019 03:00:00 PM,9.866,419.8,,,,
92,12/14/2019 03:10:00 PM,9.866,495.1,,,,
93,12/14/2019 03:20:00 PM,9.866,322.9,,,,
94,12/14/2019 03:30:00 PM,9.768,269.1,,,,
95,12/14/2019 03:40:00 PM,9.768,301.4,,,,
96,12/14/2019 03:50:00 PM,9.768,204.5,,,,
97,12/14/2019 04:00:00 PM,9.866,172.2,,,,
98,12/14/2019 04:10:00 PM,9.866,150.7,,,,
99,12/14/2019 04:20:00 PM,9.965,86.1,,,,
100,12/14/2019 04:30:00 PM,9.965,43.1,,,,
101,12/14/2019 04:40:00 PM,10.063,43.1,,,,
102,12/14/2019 04:50:00 PM,9.866,0.0,,,,
103,12/14/2019 05:00:00 PM,9.768,0.0,,,,
104,12/14/2019 05:10:00 PM,9.669,0.0,,,,
105,12/14/2019 05:20:00 PM,9.571,0.0,,,,
106,12/14/2019 05:30:00 PM,9.472,0.0,,,,
107,12/14/2019 05:40:00 PM,9.472,0.0,,,,
108,12/14/2019 05:50:00 PM,9.275,0.0,,,,
109,12/14/2019 06:00:00 PM,9.373,0.0,,,,
110,12/14/2019 06:10:00 PM,9.373,0.0,,,,
111,12/14/2019 06:20:00 PM,9.472,0.0,,,,
112,12/14/2019 06:30:00 PM,9.472,0.0,,,,
113,12/14/2019 06:40:00 PM,9.373,0.0,,,,
114,12/14/2019 06:50:00 PM,9.373,0.0,,,,
115,12/14/2019 07:00:00 PM,9.373,0.0,,,,
116,12/14/2019 07:10:00 PM,9.373,0.0,,,,
117,12/14/2019 07:20:00 PM,9.275,0.0,,,,
118,12/14/2019 07:30:00 PM,9.373,0.0,,,,
