id,date-time,temp,lux
1,2020-11-30 00:00:00,"-0,662",0
2,2020-11-30 00:10:00,"-0,549",0
3,2020-11-30 00:20:00,"-0,549",0
4,2020-11-30 00:30:00,"-0,437",0
5,2020-11-30 00:40:00,"-0,325",0
6,2020-11-30 00:50:00,"-0,213",0
7,2020-11-30 01:00:00,"-0,102",0
8,2020-11-30 01:10:00,"-0,102",0
9,2020-11-30 01:20:00,"-0,102",0
10,2020-11-30 01:30:00,"-0,102",0
11,2020-11-30 01:40:00,"-0,213",0
12,2020-11-30 01:50:00,"-0,325",0
13,2020-11-30 02:00:00,"-0,549",0
14,2020-11-30 02:10:00,"-0,662",0
15,2020-11-30 02:20:00,"-0,887",0
16,2020-11-30 02:30:00,"-1,001",0
17,2020-11-30 02:40:00,"-1,114",0
18,2020-11-30 02:50:00,"-1,228",0
19,2020-11-30 03:00:00,"-1,341",0
20,2020-11-30 03:10:00,"-1,341",0
21,2020-11-30 03:20:00,"-1,456",0
22,2020-11-30 03:30:00,"-1,456",0
23,2020-11-30 03:40:00,"-1,456",0
24,2020-11-30 03:50:00,"-1,57",0
25,2020-11-30 04:00:00,"-1,57",0
26,2020-11-30 04:10:00,"-1,57",0
27,2020-11-30 04:20:00,"-1,57",0
28,2020-11-30 04:30:00,"-1,57",0
29,2020-11-30 04:40:00,"-1,456",0
30,2020-11-30 04:50:00,"-1,456",0
31,2020-11-30 05:00:00,"-1,456",0
32,2020-11-30 05:10:00,"-1,456",0
33,2020-11-30 05:20:00,"-1,341",0
34,2020-11-30 05:30:00,"-1,341",0
35,2020-11-30 05:40:00,"-1,341",0
36,2020-11-30 05:50:00,"-1,456",0
37,2020-11-30 06:00:00,"-1,456",0
38,2020-11-30 06:10:00,"-1,57",0
39,2020-11-30 06:20:00,"-1,57",0
40,2020-11-30 06:30:00,"-1,684",0
41,2020-11-30 06:40:00,"-1,684",0
42,2020-11-30 06:50:00,"-1,799",0
43,2020-11-30 07:00:00,"-1,914",0
44,2020-11-30 07:10:00,"-2,03",0
45,2020-11-30 07:20:00,"-1,914",0
46,2020-11-30 07:30:00,"-1,799",0
47,2020-11-30 07:40:00,"-1,57","10,8"
48,2020-11-30 07:50:00,"-1,456","43,1"
49,2020-11-30 08:00:00,"-1,456","96,9"
50,2020-11-30 08:10:00,"-1,456","204,5"
51,2020-11-30 08:20:00,"-1,341","398,3"
52,2020-11-30 08:30:00,"-1,114","613,5"
53,2020-11-30 08:40:00,"-0,774","1280,9"
54,2020-11-30 08:50:00,"-0,213",3100
55,2020-11-30 09:00:00,"0,343","3272,2"
56,2020-11-30 09:10:00,"0,343",3100
57,2020-11-30 09:20:00,"0,674","3444,5"
58,2020-11-30 09:30:00,"0,674","3272,2"
59,2020-11-30 09:40:00,"1,221","4822,3"
60,2020-11-30 09:50:00,"2,088","4477,8"
61,2020-11-30 10:00:00,"1,656","4133,4"
62,2020-11-30 10:10:00,"1,872","5166,7"
63,2020-11-30 10:20:00,"4,519","22044,6"
64,2020-11-30 10:30:00,"10,455","35822,5"
65,2020-11-30 10:40:00,"17,379","46844,8"
66,2020-11-30 10:50:00,"21,091","55111,5"
67,2020-11-30 11:00:00,"23,1","52355,9"
