name,hobo_id,data_available,region,latitude,longitude,exposition,altitude,influence,description
anonym1,10350049,yes,Freiburg,47.999699999999997,7.8129,N,2.5,low,garden behind garage
anonym2,10760820,yes,Freiburg,47.991912999999997,7.8155853000000004,W,10,medium,"balcony under the roof, 50cm distance from the wall, sheltered from rain, but not all sunlight"
anonym3,10350090,yes,Freiburg,47.995699999999999,7.8342000000000001,E,3,high,"balcony, partly shaded by tree, possibly influenced by heat radiating from house, protected from rain"
anonym4,10350043,yes,Freiburg,47.991399999999999,7.8449,S,2,low,Shack in garden behind the house
anonym5,10350000,yes,Freiburg,47.989400000000003,7.8216999999999999,E,5,high,"balcony to the backyard, 1. floor, 30 cm next to a wall with direkt sunlight, sheltered from rain"
anonym6,10350068,yes,Freiburg,47.998699999999999,7.8506999999999998,S,1.5,medium,"balcony, 1 floor, 50cm above ground, no direct sunlight, underneath a gardentable"
anonym7,10347320,yes,Freiburg,47.985790000000001,7.8160999999999996,W,1.5,low,"terrace, ground floor, on wall, niche, next to door/window"
anonym8,10350101,yes,Freiburg,47.997990000000001,7.8377800000000004,N,12,medium,sensor hanging from balcony railing under roof
anonym9,10347367,yes,Freiburg,47.9806,7.8464,N,1,medium,under wooden construction in garden
anonym10,10760763,yes,Freiburg,48.0291,7.8648999999999996,S,6,high,"balcony, 2nd floor, 1m above ground 30cm before wall under eaves, direct sunlight from south 3-5pm / indirect roomlight after dawn"
anonym11,10350081,yes,Freiburg,47.998899999999999,7.7917300000000003,N,12,medium,"balcony, 4th floor, hanging near wall 30cm above floor, shielded from radiation and rain with yoghurt cup"
anonym12,10350032,yes,Freiburg,48.022599999999997,7.8608000000000002,E,6,low,"balcony on 1st floor, sensor located near balustrades, shielded by aluminum foil"
anonym13,10347318,yes,Freiburg,47.9849,7.8360000000000003,W,20,high,"balcony, shelterd, not exposed to rain, max. 2 hours of direct sunlight, artificial light, heat from building"
anonym14,10801132,yes,Freiburg,47.984859999999998,7.8360500000000002,S,6,medium,"balcony on second floor, in shade next to wall"
anonym15,10347325,yes,Freiburg,47.989100000000001,7.8669000000000002,E,4,medium,"balcony towards backyard, 1st floor, 1m distance to wall and floor"
anonym16,10347371,yes,Freiburg,47.978720000000003,7.8730599999999997,N,1.2,medium,"slope in the woods, near surrounding =~ 4m high newgrowth, 7.5cm off the trunk "
anonym17,10347310,yes,Freiburg,47.973100000000002,7.8297999999999996,W,10,medium,"balcony third floor, 1 m distance to the building, rain protection trough bottle"
anonym18,10350017,yes,Freiburg,47.996400000000001,7.8342000000000001,W,10,low,"balcony, third floor, two cm under flower box"
anonym19,10760823,yes,Freiburg,48.002099999999999,7.8453999999999997,N,4,low,"out side the window, next to the wall, may be some rain-influence"
anonym20,10349994,yes,Freiburg,47.984699999999997,7.8361999999999998,E,6,low,"balcony, 1st floor, direct radiation before 10 am possible, 15 cm from wall, sheltered from rain/snow"
anonym21,10760810,yes,Freiburg,47.999600000000001,7.8371000000000004,E,4,low,"balcony, 1. floor, sensor hanging 30cm from bottom of balcony above, shelterd from rain and direct sunlight"
anonym22,10760710,yes,Freiburg,48.005600000000001,7.8277000000000001,E,2.5,medium,"balcony (ground floor), sensor hanging 50 cm from ceiling"
anonym23,10347377,yes,Freiburg,48.009500000000003,7.8551000000000002,E,4,medium,"1. floor balcony, free hanging (>15 cm away from wall), all day in shadow"
anonym24,10347342,yes,Freiburg,47.986711,7.8387229999999999,W,4,low,under railings on balcony (1. floor) towards backyard
anonym25,10350070,yes,Freiburg,48.005200000000002,7.8253000000000004,W,3,medium,"balcony, 1. floor, sensor hanging 80 cm above bottom of balcony, 120 cm away from wall"
anonym26,10350072,yes,Kirchzarten,47.956009999999999,7.9489900000000002,N,2,medium,"hanging under balcony, first floor, sheltered from rain, vegetation around and river (Brugga) 1m next to it"
anonym27,10350075,yes,Freiburg,47.992899999999999,7.8450,N,3,low,"hanging outside at a window grille above a grassy area (1st floor), free-hanging, protected environment "
anonym28,10350064,no,Freiburg,NA,NA,NA,NA,NA,NA
anonym29,10347357,yes,Freiburg,47.995002999999997,7.8568059999999997,S,10,low,balcony 2. floor hanging under flower box
anonym30,10347394,yes,Freiburg,47.9846,7.8360000000000003,W,6,low,"balcony, 1st floor, hanging free from ceiling, sheltered from rain/snow or direct sunlight"
anonym31,10088310,yes,Freiburg,48.005600000000001,7.8489000000000004,N,10,medium,"balcony, 2nd floor, 1m below upper balcony, 50 cm away from wall (window), may influenced by light from the room"
anonym32,10350028,yes,Freiburg,47.976900000000001,7.8209,N,15,medium,"Rooftop hanging under photovoltaic panels, radiation shield: ceramic pot."
anonym33,10801134,yes,Freiburg,47.989100000000001,7.8185000000000002,S,6,medium,"balcony, 1. floor, direct sunlight until midday"
anonym34,10350007,yes,Freiburg,48.008000000000003,7.8624000000000001,E,8,low,"balcony, 2.floor, 20 cm below roof, 40 cm from the wall, bathroom and kitchen window nearby, direkt sun at most 30 min in the morning, blinking light (Sensor?) in the direktion of the windows"
anonym35,10347335,yes,Freiburg,48.005600000000001,7.8277000000000001,E,2,medium,"balcony (ground floor), sensor hanging 50 cm from ceiling"
anonym36,10760823,yes,Freiburg,48.002099999999999,7.8453999999999997,N,4,low,"out side the window, next to the wall, may be some rain-influence"
anonym37,10350087,yes,Freiburg,47.996400000000001,7.8152999999999997,N,7,low,"out side the window, next to the wall, influence by some rain and light from the room"
