date_time,temp,origin
2020-11-30 00:00:00,0.37,R
2020-11-30 01:00:00,0.619,H
2020-11-30 02:00:00,-0.046,H
2020-11-30 03:00:00,-0.643,H
2020-11-30 04:00:00,-0.755,H
2020-11-30 05:00:00,-0.22,R
2020-11-30 06:00:00,-1.058,H
2020-11-30 07:00:00,-0.888,H
2020-11-30 08:00:00,-0.39,R
2020-11-30 09:00:00,-0.015,R
2020-11-30 10:00:00,1.148,R
2020-11-30 11:00:00,2.686,R
2020-11-30 12:00:00,3.285,R
2020-11-30 13:00:00,7.557,H
2020-11-30 14:00:00,4.778,H
2020-11-30 15:00:00,3.648,H
2020-11-30 16:00:00,2.836,H
2020-11-30 17:00:00,1.638,H
2020-11-30 18:00:00,1.057,H
2020-11-30 19:00:00,0.948,H
2020-11-30 20:00:00,0.747,H
2020-11-30 21:00:00,0.453,H
2020-11-30 22:00:00,0.158,H
2020-11-30 23:00:00,0.96,R
2020-12-01 00:00:00,0.747,H
2020-12-01 01:00:00,0.985,H
2020-12-01 02:00:00,1.602,H
2020-12-01 03:00:00,2.016,H
2020-12-01 04:00:00,3.048,H
2020-12-01 05:00:00,3.736,H
2020-12-01 06:00:00,2.693,H
2020-12-01 07:00:00,1.854,H
2020-12-01 08:00:00,1.8,H
2020-12-01 09:00:00,2.213,H
2020-12-01 10:00:00,2.712,H
2020-12-01 11:00:00,3.303,R
2020-12-01 12:00:00,3.594,H
2020-12-01 13:00:00,4.015,H
2020-12-01 14:00:00,4.398,H
2020-12-01 15:00:00,4.328,H
2020-12-01 16:00:00,3.858,H
2020-12-01 17:00:00,3.42,H
2020-12-01 18:00:00,3.768,R
2020-12-01 19:00:00,3.595,H
2020-12-01 20:00:00,3.437,H
2020-12-01 21:00:00,3.42,H
2020-12-01 22:00:00,3.625,R
2020-12-01 23:00:00,3.367,H
2020-12-02 00:00:00,3.12,H
2020-12-02 01:00:00,2.695,H
2020-12-02 02:00:00,2.89,H
2020-12-02 03:00:00,3.375,R
2020-12-02 04:00:00,2.925,H
2020-12-02 05:00:00,3.258,R
2020-12-02 06:00:00,3.33,R
2020-12-02 07:00:00,3.419,R
2020-12-02 08:00:00,3.544,R
2020-12-02 09:00:00,3.367,H
2020-12-02 10:00:00,3.893,H
2020-12-02 11:00:00,4.153,R
2020-12-02 12:00:00,4.439,R
2020-12-02 13:00:00,6.149,H
2020-12-02 14:00:00,6.471,H
2020-12-02 15:00:00,5.312,H
2020-12-02 16:00:00,4.38,H
2020-12-02 17:00:00,3.736,H
2020-12-02 18:00:00,3.56,H
2020-12-02 19:00:00,3.384,R
