"date","th","origin"
"2020-11-30 00:00:00",-0.474,"H"
"2020-11-30 01:00:00",-0.681,"H"
"2020-11-30 02:00:00",-1.361,"H"
"2020-11-30 03:00:00",-1.991,"H"
"2020-11-30 04:00:00",-1.742,"H"
"2020-11-30 05:00:00",-1.857,"H"
"2020-11-30 06:00:00",-2.301,"H"
"2020-11-30 07:00:00",-2.787,"H"
"2020-11-30 08:00:00",-1.438,"H"
"2020-11-30 09:00:00",-0.603,"R"
"2020-11-30 10:00:00",0.74,"R"
"2020-11-30 11:00:00",1.359,"R"
"2020-11-30 12:00:00",6.674,"H"
"2020-11-30 13:00:00",6.216,"H"
"2020-11-30 14:00:00",5.14,"H"
"2020-11-30 15:00:00",3.787,"H"
"2020-11-30 16:00:00",1.994,"H"
"2020-11-30 17:00:00",0.836,"H"
"2020-11-30 18:00:00",0.489,"H"
"2020-11-30 19:00:00",0.306,"H"
"2020-11-30 20:00:00",0.453,"H"
"2020-11-30 21:00:00",0.194,"H"
"2020-11-30 22:00:00",-0.4,"H"
"2020-11-30 23:00:00",-0.103,"H"
"2020-12-01 00:00:00",0.783,"H"
"2020-12-01 01:00:00",0.984,"H"
"2020-12-01 02:00:00",1.039,"H"
"2020-12-01 03:00:00",1.583,"H"
"2020-12-01 04:00:00",2.8,"H"
"2020-12-01 05:00:00",3.402,"H"
"2020-12-01 06:00:00",2.978,"H"
"2020-12-01 07:00:00",1.62,"H"
"2020-12-01 08:00:00",1.602,"H"
"2020-12-01 09:00:00",1.908,"H"
"2020-12-01 10:00:00",2.499,"H"
"2020-12-01 11:00:00",2.624,"H"
"2020-12-01 12:00:00",2.819,"H"
"2020-12-01 13:00:00",3.296,"H"
"2020-12-01 14:00:00",3.998,"H"
"2020-12-01 15:00:00",3.7,"H"
"2020-12-01 16:00:00",3.102,"H"
"2020-12-01 17:00:00",2.659,"H"
"2020-12-01 18:00:00",2.588,"H"
"2020-12-01 19:00:00",2.553,"H"
"2020-12-01 20:00:00",2.321,"H"
"2020-12-01 21:00:00",2.392,"H"
"2020-12-01 22:00:00",3.012,"R"
"2020-12-01 23:00:00",2.321,"H"
"2020-12-02 00:00:00",1.98,"H"
"2020-12-02 01:00:00",1.493,"H"
"2020-12-02 02:00:00",1.908,"H"
"2020-12-02 03:00:00",1.876,"R"
"2020-12-02 04:00:00",1.979,"R"
"2020-12-02 05:00:00",2.177,"H"
"2020-12-02 06:00:00",2.285,"H"
"2020-12-02 07:00:00",2.356,"H"
"2020-12-02 08:00:00",2.606,"H"
"2020-12-02 09:00:00",2.961,"H"
"2020-12-02 10:00:00",3.331,"H"
"2020-12-02 11:00:00",3.909,"H"
"2020-12-02 12:00:00",4.172,"H"
"2020-12-02 13:00:00",4.778,"H"
"2020-12-02 14:00:00",4.899,"H"
"2020-12-02 15:00:00",4.154,"H"
"2020-12-02 16:00:00",3.63,"H"
"2020-12-02 17:00:00",3.279,"H"
"2020-12-02 18:00:00",2.978,"H"
"2020-12-02 19:00:00",2.659,"H"
"2020-12-02 20:00:00",2.41,"H"
"2020-12-02 21:00:00",2.285,"H"
"2020-12-02 22:00:00",2.267,"H"
"2020-12-02 23:00:00",2.016,"H"
"2020-12-03 00:00:00",1.782,"H"
"2020-12-03 01:00:00",1.89,"H"
"2020-12-03 02:00:00",2.034,"H"
"2020-12-03 03:00:00",1.908,"H"
"2020-12-03 04:00:00",1.818,"H"
"2020-12-03 05:00:00",1.998,"H"
"2020-12-03 06:00:00",2.034,"H"
"2020-12-03 07:00:00",2.677,"H"
"2020-12-03 08:00:00",3.119,"H"
"2020-12-03 09:00:00",3.384,"H"
"2020-12-03 10:00:00",3.822,"H"
"2020-12-03 11:00:00",4.398,"H"
"2020-12-03 12:00:00",5.072,"H"
"2020-12-03 13:00:00",7.176,"H"
"2020-12-03 14:00:00",7.38,"H"
"2020-12-03 15:00:00",7.061,"H"
"2020-12-03 16:00:00",5.139,"H"
"2020-12-03 17:00:00",3.875,"H"
"2020-12-03 18:00:00",3.419,"H"
"2020-12-03 19:00:00",4.172,"H"
"2020-12-03 20:00:00",4.536,"H"
"2020-12-03 21:00:00",5.003,"H"
"2020-12-03 22:00:00",5.808,"H"
"2020-12-03 23:00:00",5.84,"H"
"2020-12-04 00:00:00",8.115,"H"
"2020-12-04 01:00:00",8.597,"H"
"2020-12-04 02:00:00",8.581,"H"
"2020-12-04 03:00:00",8.498,"H"
"2020-12-04 04:00:00",8.597,"H"
"2020-12-04 05:00:00",8.763,"H"
"2020-12-04 06:00:00",7.798,"H"
