"","date","th","origin"
"1",2020-11-30 00:00:00,-1.45583333333333,"H"
"2",2020-11-30 01:00:00,-1.19,"H"
"3",2020-11-30 02:00:00,-1.68533333333333,"H"
"4",2020-11-30 03:00:00,-2.62966666666667,"H"
"5",2020-11-30 04:00:00,-2.7665,"H"
"6",2020-11-30 05:00:00,-2.59116666666667,"H"
"7",2020-11-30 06:00:00,-2.728,"H"
"8",2020-11-30 07:00:00,-3.574,"H"
"9",2020-11-30 08:00:00,-2.37833333333333,"H"
"10",2020-11-30 09:00:00,-1.60816666666667,"H"
"11",2020-11-30 10:00:00,-0.6835,"H"
"12",2020-11-30 11:00:00,1.20166666666667,"H"
"13",2020-11-30 12:00:00,2.06966666666667,"H"
"14",2020-11-30 13:00:00,2.03366666666667,"H"
"15",2020-11-30 14:00:00,2.4455,"H"
"16",2020-11-30 15:00:00,2.30233333333333,"H"
"17",2020-11-30 16:00:00,0.338833333333333,"H"
"18",2020-11-30 17:00:00,-0.643166666666667,"H"
"19",2020-11-30 18:00:00,-1.09533333333333,"H"
"20",2020-11-30 19:00:00,-1.34166666666667,"H"
"21",2020-11-30 20:00:00,-1.36066666666667,"H"
"22",2020-11-30 21:00:00,-1.68516666666667,"H"
"23",2020-11-30 22:00:00,-1.57,"H"
"24",2020-11-30 23:00:00,-1.19083333333333,"H"
"25",2020-12-01 00:00:00,-0.493166666666667,"H"
"26",2020-12-01 01:00:00,-0.176,"H"
"27",2020-12-01 02:00:00,0.250333333333333,"H"
"28",2020-12-01 03:00:00,1.30983333333333,"H"
"29",2020-12-01 04:00:00,3.08416666666667,"H"
"30",2020-12-01 05:00:00,3.57783333333333,"H"
"31",2020-12-01 06:00:00,2.67466666666667,"H"
"32",2020-12-01 07:00:00,1.38433333333333,"H"
"33",2020-12-01 08:00:00,1.33,"H"
"34",2020-12-01 09:00:00,1.602,"H"
"35",2020-12-01 10:00:00,1.908,"H"
"36",2020-12-01 11:00:00,2.267,"H"
"37",2020-12-01 12:00:00,2.57033333333333,"H"
"38",2020-12-01 13:00:00,2.99566666666667,"H"
"39",2020-12-01 14:00:00,3.48966666666667,"H"
"40",2020-12-01 15:00:00,3.314,"H"
"41",2020-12-01 16:00:00,2.73,"H"
"42",2020-12-01 17:00:00,2.231,"H"
"43",2020-12-01 18:00:00,2.052,"H"
"44",2020-12-01 19:00:00,1.944,"H"
"45",2020-12-01 20:00:00,2.016,"H"
"46",2020-12-01 21:00:00,1.962,"H"
"47",2020-12-01 22:00:00,1.998,"H"
"48",2020-12-01 23:00:00,2.052,"H"
"49",2020-12-02 00:00:00,1.60066666666667,"H"
"50",2020-12-02 01:00:00,1.29366666666667,"H"
"51",2020-12-02 02:00:00,1.692,"H"
"52",2020-12-02 03:00:00,1.68353247337571,"R"
"53",2020-12-02 04:00:00,1.602,"H"
"54",2020-12-02 05:00:00,1.55442556452489,"R"
"55",2020-12-02 06:00:00,1.63387596997155,"R"
"56",2020-12-02 07:00:00,1.8,"H"
"57",2020-12-02 08:00:00,1.962,"H"
"58",2020-12-02 09:00:00,2.05183333333333,"H"
"59",2020-12-02 10:00:00,2.41,"H"
"60",2020-12-02 11:00:00,2.72966666666667,"H"
"61",2020-12-02 12:00:00,3.6815,"H"
"62",2020-12-02 13:00:00,3.92766666666667,"H"
"63",2020-12-02 14:00:00,4.31083333333333,"H"
"64",2020-12-02 15:00:00,3.80533333333333,"H"
"65",2020-12-02 16:00:00,3.084,"H"
"66",2020-12-02 17:00:00,2.42783333333333,"H"
"67",2020-12-02 18:00:00,2.1415,"H"
"68",2020-12-02 19:00:00,1.872,"H"
"69",2020-12-02 20:00:00,1.764,"H"
"70",2020-12-02 21:00:00,1.62394466929072,"R"
"71",2020-12-02 22:00:00,1.5295,"H"
"72",2020-12-02 23:00:00,1.25733333333333,"H"
"73",2020-12-03 00:00:00,1.02116666666667,"H"
"74",2020-12-03 01:00:00,1.1665,"H"
"75",2020-12-03 02:00:00,1.33,"H"
"76",2020-12-03 03:00:00,1.221,"H"
"77",2020-12-03 04:00:00,1.1665,"H"
"78",2020-12-03 05:00:00,1.71,"H"
"79",2020-12-03 06:00:00,1.782,"H"
"80",2020-12-03 07:00:00,1.998,"H"
"81",2020-12-03 08:00:00,2.19533333333333,"H"
"82",2020-12-03 09:00:00,2.499,"H"
"83",2020-12-03 10:00:00,3.64583333333333,"H"
"84",2020-12-03 11:00:00,4.39766666666667,"H"
"85",2020-12-03 12:00:00,4.9165,"H"
"86",2020-12-03 13:00:00,5.75683333333333,"H"
"87",2020-12-03 14:00:00,6.7415,"H"
"88",2020-12-03 15:00:00,6.14866666666667,"H"
"89",2020-12-03 16:00:00,3.87133333333333,"H"
"90",2020-12-03 17:00:00,2.5165,"H"
"91",2020-12-03 18:00:00,2.249,"H"
"92",2020-12-03 19:00:00,1.8,"H"
"93",2020-12-03 20:00:00,1.475,"H"
"94",2020-12-03 21:00:00,1.67383333333333,"H"
"95",2020-12-03 22:00:00,2.10533333333333,"H"
"96",2020-12-03 23:00:00,2.73016666666667,"H"
"97",2020-12-04 00:00:00,4.11716666666667,"H"
"98",2020-12-04 01:00:00,6.284,"H"
"99",2020-12-04 02:00:00,7.07716666666667,"H"
"100",2020-12-04 03:00:00,7.715,"H"
"101",2020-12-04 04:00:00,8.31516666666667,"H"
"102",2020-12-04 05:00:00,7.49783333333333,"H"
"103",2020-12-04 06:00:00,7.09466666666667,"H"
"104",2020-12-04 07:00:00,6.99416666666667,"H"
"105",2020-12-04 08:00:00,6.30116666666667,"H"
"106",2020-12-04 09:00:00,5.70583333333333,"H"
"107",2020-12-04 10:00:00,5.50083333333333,"H"
"108",2020-12-04 11:00:00,5.14066666666667,"H"
"109",2020-12-04 12:00:00,5.22633333333333,"H"
"110",2020-12-04 13:00:00,5.535,"H"
"111",2020-12-04 14:00:00,5.089,"H"
"112",2020-12-04 15:00:00,5.26116666666667,"H"
"113",2020-12-04 16:00:00,4.7265,"H"
"114",2020-12-04 17:00:00,4.363,"H"
"115",2020-12-04 18:00:00,3.99783333333333,"H"
"116",2020-12-04 19:00:00,3.54266666666667,"H"
"117",2020-12-04 20:00:00,3.525,"H"
"118",2020-12-04 21:00:00,3.43716666666667,"H"
"119",2020-12-04 22:00:00,3.24333333333333,"H"
"120",2020-12-04 23:00:00,3.19033333333333,"H"
