,date,th,origin
1,2020-11-30 00:00:00,20.758,R
2,2020-11-30 01:00:00,20.408,R
3,2020-11-30 02:00:00,11.551,R
4,2020-11-30 03:00:00,21.06,R
5,2020-11-30 04:00:00,13.572,R
6,2020-11-30 05:00:00,5.363,R
7,2020-11-30 06:00:00,5.928,R
8,2020-11-30 07:00:00,6.079,R
9,2020-11-30 08:00:00,6.077,R
10,2020-11-30 09:00:00,6.454,R
11,2020-11-30 10:00:00,7.672,R
12,2020-11-30 11:00:00,7.707,R
13,2020-11-30 12:00:00,7.832,R
14,2020-11-30 13:00:00,7.933,R
15,2020-11-30 14:00:00,8.265,R
16,2020-11-30 15:00:00,8.432,R
17,2020-11-30 16:00:00,9.006,R
18,2020-11-30 17:00:00,10.125,R
19,2020-11-30 18:00:00,7.714,R
20,2020-11-30 19:00:00,7.313,R
21,2020-11-30 20:00:00,7.464,R
22,2020-11-30 21:00:00,7.33,R
23,2020-11-30 22:00:00,8.066,R
24,2020-11-30 23:00:00,7.973,R
25,2020-12-01 00:00:00,6.539,R
26,2020-12-01 01:00:00,11.551,R
27,2020-12-01 02:00:00,7.715,R
28,2020-12-01 03:00:00,7.042,R
29,2020-12-01 04:00:00,7.263,R
30,2020-12-01 05:00:00,6.147,R
31,2020-12-01 06:00:00,5.94,R
32,2020-12-01 07:00:00,5.94,R
33,2020-12-01 08:00:00,5.996,R
34,2020-12-01 09:00:00,5.535,R
35,2020-12-01 10:00:00,4.727,R
36,2020-12-01 11:00:00,4.83,R
37,2020-12-01 12:00:00,4.848,R
38,2020-12-01 13:00:00,4.276,R
39,2020-12-01 14:00:00,4.45,R
40,2020-12-01 15:00:00,4.536,R
41,2020-12-01 16:00:00,4.31,R
42,2020-12-01 17:00:00,4.778,R
43,2020-12-01 18:00:00,4.259,R
44,2020-12-01 19:00:00,4.398,R
45,2020-12-01 20:00:00,5.312,R
46,2020-12-01 21:00:00,6.094,R
47,2020-12-01 22:00:00,7.308,R
48,2020-12-01 23:00:00,11.551,R
49,2020-12-02 00:00:00,6.674,R
50,2020-12-02 01:00:00,7.042,R
51,2020-12-02 02:00:00,5.962,R
52,2020-12-02 03:00:00,5.604,R
53,2020-12-02 04:00:00,5.535,R
54,2020-12-02 05:00:00,5.94,R
55,2020-12-02 06:00:00,5.706,R
56,2020-12-02 07:00:00,5.996,R
57,2020-12-02 08:00:00,5.5,R
58,2020-12-02 09:00:00,5.569,R
59,2020-12-02 10:00:00,4.968,R
60,2020-12-02 11:00:00,5.363,R
61,2020-12-02 12:00:00,5.535,R
62,2020-12-02 13:00:00,5.175,R
63,2020-12-02 14:00:00,4.822,R
64,2020-12-02 15:00:00,4.968,R
65,2020-12-02 16:00:00,4.484,R
66,2020-12-02 17:00:00,4.571,R
67,2020-12-02 18:00:00,4.727,R
