date,th,origin
2020-11-30 00:00:00,2.844,R
2020-11-30 01:00:00,2.801,R
2020-11-30 02:00:00,2.368,R
2020-11-30 03:00:00,2.033,R
2020-11-30 04:00:00,1.947,R
2020-11-30 05:00:00,1.99,R
2020-11-30 06:00:00,1.88,R
2020-11-30 07:00:00,1.772,R
2020-11-30 08:00:00,1.863,R
2020-11-30 09:00:00,2.321,R
2020-11-30 10:00:00,3.215,R
2020-11-30 11:00:00,5.106,R
2020-11-30 12:00:00,6.596,R
2020-11-30 13:00:00,7.026,R
2020-11-30 14:00:00,6.912,R
2020-11-30 15:00:00,6.039,R
2020-11-30 16:00:00,5.2,R
2020-11-30 17:00:00,4.173,R
2020-11-30 18:00:00,3.711,R
2020-11-30 19:00:00,4.241,H
2020-11-30 20:00:00,3.928,H
2020-11-30 21:00:00,3.42,H
2020-11-30 22:00:00,3.56,H
2020-11-30 23:00:00,3.455,H
2020-12-01 00:00:00,3.507,H
2020-12-01 01:00:00,3.805,H
2020-12-01 02:00:00,3.154,H
2020-12-01 03:00:00,3.384,H
2020-12-01 04:00:00,4.032,H
2020-12-01 05:00:00,4.484,H
2020-12-01 06:00:00,4.831,H
2020-12-01 07:00:00,3.909,H
2020-12-01 08:00:00,2.961,H
2020-12-01 09:00:00,2.996,H
2020-12-01 10:00:00,3.314,H
2020-12-01 11:00:00,4.032,H
2020-12-01 12:00:00,4.45,H
2020-12-01 13:00:00,5.089,H
2020-12-01 14:00:00,5.774,H
2020-12-01 15:00:00,6.421,H
2020-12-01 16:00:00,6.421,H
2020-12-01 17:00:00,6.217,H
2020-12-01 18:00:00,6.217,H
2020-12-01 19:00:00,6.42,H
2020-12-01 20:00:00,6.302,H
2020-12-01 21:00:00,6.2,H
2020-12-01 22:00:00,6.081,H
2020-12-01 23:00:00,6.081,H
2020-12-02 00:00:00,6.234,H
2020-12-02 01:00:00,6.132,H
2020-12-02 02:00:00,5.398,H
2020-12-02 03:00:00,5.089,H
2020-12-02 04:00:00,4.986,H
2020-12-02 05:00:00,4.986,H
2020-12-02 06:00:00,4.814,H
2020-12-02 07:00:00,4.968,H
2020-12-02 08:00:00,5.054,H
2020-12-02 09:00:00,5.278,H
2020-12-02 10:00:00,5.467,H
2020-12-02 11:00:00,5.552,H
2020-12-02 12:00:00,6.234,H
2020-12-02 13:00:00,6.404,H
2020-12-02 14:00:00,6.623,H
2020-12-02 15:00:00,7.162,H
2020-12-02 16:00:00,6.775,H
2020-12-02 17:00:00,5.979,H
2020-12-02 18:00:00,5.33,H
2020-12-02 19:00:00,5.158,H
2020-12-02 20:00:00,5.089,H
2020-12-02 21:00:00,4.865,H
2020-12-02 22:00:00,4.865,H
2020-12-02 23:00:00,4.796,H
2020-12-03 00:00:00,4.882,H
2020-12-03 01:00:00,4.831,H
2020-12-03 02:00:00,4.484,H
2020-12-03 03:00:00,4.38,H
2020-12-03 04:00:00,4.865,H
2020-12-03 05:00:00,5.192,H
2020-12-03 06:00:00,5.21,H
2020-12-03 07:00:00,5.158,H
2020-12-03 08:00:00,5.244,H
2020-12-03 09:00:00,5.278,H
2020-12-03 10:00:00,5.261,H
2020-12-03 11:00:00,5.944,H
2020-12-03 12:00:00,6.386,H
2020-12-03 13:00:00,6.944,H
2020-12-03 14:00:00,7.565,H
2020-12-03 15:00:00,7.866,H
2020-12-03 16:00:00,8.199,H
2020-12-03 17:00:00,7.263,H
2020-12-03 18:00:00,6.08,H
2020-12-03 19:00:00,5.33,H
2020-12-03 20:00:00,5.996,H
2020-12-03 21:00:00,6.217,H
2020-12-03 22:00:00,6.674,H
2020-12-03 23:00:00,7.078,H
2020-12-04 00:00:00,7.582,H
2020-12-04 01:00:00,8.729,H
2020-12-04 02:00:00,9.373,H
2020-12-04 03:00:00,9.538,H
2020-12-04 04:00:00,9.521,H
2020-12-04 05:00:00,9.571,H
2020-12-04 06:00:00,9.488,H
2020-12-04 07:00:00,9.06,H
2020-12-04 08:00:00,8.895,H
2020-12-04 09:00:00,7.966,H
2020-12-04 10:00:00,8.165,H
2020-12-04 11:00:00,8.049,H
2020-12-04 12:00:00,7.866,H
2020-12-04 13:00:00,8.232,H
2020-12-04 14:00:00,8.63,H
2020-12-04 15:00:00,7.732,H
2020-12-04 16:00:00,7.582,H
2020-12-04 17:00:00,7.732,H
2020-12-04 18:00:00,7.699,H
2020-12-04 19:00:00,7.481,H
2020-12-04 20:00:00,6.978,H
2020-12-04 21:00:00,6.742,H
2020-12-04 22:00:00,6.944,H
2020-12-04 23:00:00,6.64,H
2020-12-05 00:00:00,6.42,H
2020-12-05 01:00:00,5.398,H
2020-12-05 02:00:00,5.261,H
2020-12-05 03:00:00,5.399,H
2020-12-05 04:00:00,5.312,H
2020-12-05 05:00:00,5.774,H
2020-12-05 06:00:00,5.757,H
2020-12-05 07:00:00,5.877,H
2020-12-05 08:00:00,5.791,H
2020-12-05 09:00:00,5.45,H
2020-12-05 10:00:00,6.2,H
2020-12-05 11:00:00,6.64,H
2020-12-05 12:00:00,7.598,H
2020-12-05 13:00:00,8.099,H
2020-12-05 14:00:00,7.876,R
2020-12-05 15:00:00,7.966,H
2020-12-05 16:00:00,7.364,H
2020-12-05 17:00:00,6.86,H
2020-12-05 18:00:00,6.59,H
2020-12-05 19:00:00,6.741,H
2020-12-05 20:00:00,6.59,H
2020-12-05 21:00:00,6.758,H
2020-12-05 22:00:00,6.775,H
2020-12-05 23:00:00,6.522,H
2020-12-06 00:00:00,6.404,H
2020-12-06 01:00:00,6.336,H
2020-12-06 02:00:00,6.404,H
2020-12-06 03:00:00,6.59,H
2020-12-06 04:00:00,6.691,H
2020-12-06 05:00:00,6.674,H
2020-12-06 06:00:00,6.657,H
2020-12-06 07:00:00,6.437,H
2020-12-06 08:00:00,6.302,H
2020-12-06 09:00:00,6.285,H
2020-12-06 10:00:00,6.285,H
2020-12-06 11:00:00,6.556,H
2020-12-06 12:00:00,7.028,H
2020-12-06 13:00:00,7.012,H
2020-12-06 14:00:00,7.23,H
2020-12-06 15:00:00,7.129,H
2020-12-06 16:00:00,7.364,H
2020-12-06 17:00:00,7.414,H
2020-12-06 18:00:00,7.431,H
2020-12-06 19:00:00,7.297,H
2020-12-06 20:00:00,6.994,H
2020-12-06 21:00:00,6.91,H
2020-12-06 22:00:00,7.079,H
2020-12-06 23:00:00,6.894,H
2020-12-07 00:00:00,6.826,H
2020-12-07 01:00:00,6.944,H
2020-12-07 02:00:00,7.162,H
2020-12-07 03:00:00,7.28,H
2020-12-07 04:00:00,7.162,H
2020-12-07 05:00:00,6.86,H
2020-12-07 06:00:00,6.522,H
2020-12-07 07:00:00,6.64,H
2020-12-07 08:00:00,6.64,H
2020-12-07 09:00:00,6.217,H
2020-12-07 10:00:00,6.943,H
2020-12-07 11:00:00,7.581,H
2020-12-07 12:00:00,9.553,H
2020-12-07 13:00:00,9.997,H
2020-12-07 14:00:00,8.828,H
2020-12-07 15:00:00,8.049,H
2020-12-07 16:00:00,8.116,H
2020-12-07 17:00:00,7.999,H
2020-12-07 18:00:00,8.099,H
2020-12-07 19:00:00,8.498,H
2020-12-07 20:00:00,7.481,H
2020-12-07 21:00:00,6.556,H
2020-12-07 22:00:00,6.081,H
2020-12-07 23:00:00,5.123,H
2020-12-08 00:00:00,5.518,H
2020-12-08 01:00:00,5.774,H
2020-12-08 02:00:00,5.175,H
