id,dttm,temp,lux
1,2021-12-13 00:00:00,4.207,0
2,2021-12-13 00:10:00,4.102,0
3,2021-12-13 00:20:00,4.207,0
4,2021-12-13 00:30:00,4.207,0
5,2021-12-13 00:40:00,4.207,0
6,2021-12-13 00:50:00,4.207,0
7,2021-12-13 01:00:00,4.311,0
8,2021-12-13 01:10:00,4.415,0
9,2021-12-13 01:20:00,4.415,0
10,2021-12-13 01:30:00,4.415,0
11,2021-12-13 01:40:00,4.519,0
12,2021-12-13 01:50:00,4.519,0
13,2021-12-13 02:00:00,4.519,0
14,2021-12-13 02:10:00,4.415,0
15,2021-12-13 02:20:00,4.415,0
16,2021-12-13 02:30:00,4.311,0
17,2021-12-13 02:40:00,4.311,0
18,2021-12-13 02:50:00,4.415,0
19,2021-12-13 03:00:00,4.311,0
20,2021-12-13 03:10:00,4.311,0
21,2021-12-13 03:20:00,4.311,0
22,2021-12-13 03:30:00,4.311,0
23,2021-12-13 03:40:00,4.311,0
24,2021-12-13 03:50:00,4.415,0
25,2021-12-13 04:00:00,4.415,0
26,2021-12-13 04:10:00,4.207,0
27,2021-12-13 04:20:00,3.893,0
28,2021-12-13 04:30:00,3.788,0
29,2021-12-13 04:40:00,3.578,0
30,2021-12-13 04:50:00,3.049,0
31,2021-12-13 05:00:00,2.624,0
32,2021-12-13 05:10:00,2.41,0
33,2021-12-13 05:20:00,2.303,0
34,2021-12-13 05:30:00,2.303,0
35,2021-12-13 05:40:00,2.41,0
36,2021-12-13 05:50:00,2.41,0
37,2021-12-13 06:00:00,2.088,0
38,2021-12-13 06:10:00,1.98,0
39,2021-12-13 06:20:00,1.98,0
40,2021-12-13 06:30:00,1.98,0
41,2021-12-13 06:40:00,1.98,0
42,2021-12-13 06:50:00,1.98,0
43,2021-12-13 07:00:00,1.98,0
44,2021-12-13 07:10:00,1.656,0
45,2021-12-13 07:20:00,1.439,0
46,2021-12-13 07:30:00,1.439,0
47,2021-12-13 07:40:00,1.548,0
48,2021-12-13 07:50:00,1.439,0
49,2021-12-13 08:00:00,1.439,10.8
50,2021-12-13 08:10:00,1.439,43.1
51,2021-12-13 08:20:00,1.548,64.6
52,2021-12-13 08:30:00,1.656,107.6
53,2021-12-13 08:40:00,1.548,150.7
54,2021-12-13 08:50:00,1.656,355.2
55,2021-12-13 09:00:00,1.764,452.1
56,2021-12-13 09:10:00,1.872,570.5
57,2021-12-13 09:20:00,2.195,699.7
58,2021-12-13 09:30:00,2.624,1216.3
59,2021-12-13 09:40:00,2.837,925.7
60,2021-12-13 09:50:00,3.261,1151.7
61,2021-12-13 10:00:00,3.683,1324
62,2021-12-13 10:10:00,4.102,1377.8
63,2021-12-13 10:20:00,4.415,1550
64,2021-12-13 10:30:00,4.831,1808.3
65,2021-12-13 10:40:00,8.581,33066.9
66,2021-12-13 10:50:00,14.517,33066.9
67,2021-12-13 11:00:00,16.427,24800.2
68,2021-12-13 11:10:00,16.808,18600.1
69,2021-12-13 11:20:00,14.325,5511.1
70,2021-12-13 11:30:00,8.481,3100
71,2021-12-13 11:40:00,7.381,1894.5
72,2021-12-13 11:50:00,8.68,2583.4
73,2021-12-13 12:00:00,7.582,2411.1
74,2021-12-13 12:10:00,7.481,3100
75,2021-12-13 12:20:00,7.782,4477.8
76,2021-12-13 12:30:00,8.082,5166.7
77,2021-12-13 12:40:00,8.182,5511.1
78,2021-12-13 12:50:00,8.382,5166.7
79,2021-12-13 13:00:00,8.082,3961.1
80,2021-12-13 13:10:00,8.082,1980.6
81,2021-12-13 13:20:00,7.983,1377.8
82,2021-12-13 13:30:00,8.182,1334.7
83,2021-12-13 13:40:00,8.182,1248.6
84,2021-12-13 13:50:00,8.182,1141
85,2021-12-13 14:00:00,8.082,1087.2
86,2021-12-13 14:10:00,8.182,1054.9
87,2021-12-13 14:20:00,8.282,1065.6
88,2021-12-13 14:30:00,8.182,1076.4
89,2021-12-13 14:40:00,8.182,1033.3
90,2021-12-13 14:50:00,8.082,1291.7
91,2021-12-13 15:00:00,11.722,4650
92,2021-12-13 15:10:00,9.768,861.1
93,2021-12-13 15:20:00,9.077,1291.7
94,2021-12-13 15:30:00,8.779,1022.6
95,2021-12-13 15:40:00,8.082,1130.2
96,2021-12-13 15:50:00,7.582,925.7
97,2021-12-13 16:00:00,6.674,613.5
98,2021-12-13 16:10:00,6.268,118.4
99,2021-12-13 16:20:00,5.86,86.1
100,2021-12-13 16:30:00,5.45,53.8
101,2021-12-13 16:40:00,5.141,21.5
102,2021-12-13 16:50:00,4.831,0
103,2021-12-13 17:00:00,4.727,0
104,2021-12-13 17:10:00,4.519,0
105,2021-12-13 17:20:00,4.311,0
106,2021-12-13 17:30:00,4.102,0
107,2021-12-13 17:40:00,3.893,0
108,2021-12-13 17:50:00,3.788,0
109,2021-12-13 18:00:00,3.683,0
110,2021-12-13 18:10:00,3.683,0
111,2021-12-13 18:20:00,3.683,0
112,2021-12-13 18:30:00,3.472,0
113,2021-12-13 18:40:00,3.472,0
114,2021-12-13 18:50:00,3.261,0
115,2021-12-13 19:00:00,3.049,0
116,2021-12-13 19:10:00,2.943,0
117,2021-12-13 19:20:00,2.837,0
118,2021-12-13 19:30:00,2.73,0
119,2021-12-13 19:40:00,2.624,0
120,2021-12-13 19:50:00,2.41,0
121,2021-12-13 20:00:00,2.303,0
122,2021-12-13 20:10:00,2.303,0
123,2021-12-13 20:20:00,2.088,0
124,2021-12-13 20:30:00,1.98,0
125,2021-12-13 20:40:00,1.872,0
126,2021-12-13 20:50:00,1.98,0
127,2021-12-13 21:00:00,2.088,0
128,2021-12-13 21:10:00,1.872,0
129,2021-12-13 21:20:00,1.656,0
130,2021-12-13 21:30:00,1.439,0
131,2021-12-13 21:40:00,1.548,0
132,2021-12-13 21:50:00,1.439,0
133,2021-12-13 22:00:00,1.439,0
134,2021-12-13 22:10:00,1.656,0
135,2021-12-13 22:20:00,1.548,0
136,2021-12-13 22:30:00,1.548,0
137,2021-12-13 22:40:00,1.548,0
138,2021-12-13 22:50:00,1.548,0
139,2021-12-13 23:00:00,1.548,0
140,2021-12-13 23:10:00,1.548,0
141,2021-12-13 23:20:00,1.439,0
142,2021-12-13 23:30:00,1.439,0
143,2021-12-13 23:40:00,1.548,0
144,2021-12-13 23:50:00,1.439,0
145,2021-12-14 00:00:00,1.439,0
146,2021-12-14 00:10:00,1.221,0
147,2021-12-14 00:20:00,0.893,0
148,2021-12-14 00:30:00,0.784,0
149,2021-12-14 00:40:00,0.674,0
150,2021-12-14 00:50:00,0.563,0
151,2021-12-14 01:00:00,0.563,0
152,2021-12-14 01:10:00,0.453,0
153,2021-12-14 01:20:00,0.453,0
154,2021-12-14 01:30:00,0.453,0
155,2021-12-14 01:40:00,0.453,0
156,2021-12-14 01:50:00,0.453,0
157,2021-12-14 02:00:00,0.453,0
158,2021-12-14 02:10:00,0.453,0
159,2021-12-14 02:20:00,0.343,0
160,2021-12-14 02:30:00,0.343,0
161,2021-12-14 02:40:00,0.232,0
162,2021-12-14 02:50:00,0.232,0
163,2021-12-14 03:00:00,0.232,0
164,2021-12-14 03:10:00,0.121,0
165,2021-12-14 03:20:00,0.232,0
166,2021-12-14 03:30:00,0.453,0
167,2021-12-14 03:40:00,0.563,0
168,2021-12-14 03:50:00,0.453,0
169,2021-12-14 04:00:00,0.343,0
170,2021-12-14 04:10:00,0.343,0
171,2021-12-14 04:20:00,0.453,0
172,2021-12-14 04:30:00,0.563,0
173,2021-12-14 04:40:00,0.453,0
174,2021-12-14 04:50:00,0.343,0
175,2021-12-14 05:00:00,0.674,0
176,2021-12-14 05:10:00,0.784,0
