"id","dttm","temp","lux"
1,2021-12-11 01:00:00,4.207,0
2,2021-12-11 01:10:00,4.207,0
3,2021-12-11 01:20:00,4.207,0
4,2021-12-11 01:30:00,4.207,0
5,2021-12-11 01:40:00,4.207,0
6,2021-12-11 01:50:00,4.207,0
7,2021-12-11 02:00:00,4.207,0
8,2021-12-11 02:10:00,4.207,0
9,2021-12-11 02:20:00,4.207,0
10,2021-12-11 02:30:00,4.207,0
11,2021-12-11 02:40:00,4.207,0
12,2021-12-11 02:50:00,4.207,0
13,2021-12-11 03:00:00,4.207,0
14,2021-12-11 03:10:00,4.207,0
15,2021-12-11 03:20:00,4.207,0
16,2021-12-11 03:30:00,4.207,0
17,2021-12-11 03:40:00,4.207,0
18,2021-12-11 03:50:00,4.207,0
19,2021-12-11 04:00:00,4.207,0
20,2021-12-11 04:10:00,4.207,0
21,2021-12-11 04:20:00,4.207,0
22,2021-12-11 04:30:00,4.207,0
23,2021-12-11 04:40:00,4.102,0
24,2021-12-11 04:50:00,4.102,0
25,2021-12-11 05:00:00,4.102,0
26,2021-12-11 05:10:00,3.998,0
27,2021-12-11 05:20:00,3.893,0
28,2021-12-11 05:30:00,3.788,0
29,2021-12-11 05:40:00,3.788,0
30,2021-12-11 05:50:00,3.683,0
31,2021-12-11 06:00:00,3.683,0
32,2021-12-11 06:10:00,3.578,0
33,2021-12-11 06:20:00,3.578,0
34,2021-12-11 06:30:00,3.578,0
35,2021-12-11 06:40:00,3.578,0
36,2021-12-11 06:50:00,3.472,0
37,2021-12-11 07:00:00,3.472,0
38,2021-12-11 07:10:00,3.472,0
39,2021-12-11 07:20:00,3.472,0
40,2021-12-11 07:30:00,3.578,0
41,2021-12-11 07:40:00,3.578,0
42,2021-12-11 07:50:00,3.683,0
43,2021-12-11 08:00:00,3.683,0
44,2021-12-11 08:10:00,3.683,0
45,2021-12-11 08:20:00,3.578,0
46,2021-12-11 08:30:00,3.472,10.8
47,2021-12-11 08:40:00,3.472,32.3
48,2021-12-11 08:50:00,3.472,43.1
49,2021-12-11 09:00:00,3.472,64.6
50,2021-12-11 09:10:00,3.578,86.1
51,2021-12-11 09:20:00,3.683,118.4
52,2021-12-11 09:30:00,3.683,215.3
53,2021-12-11 09:40:00,3.683,183
54,2021-12-11 09:50:00,3.683,215.3
55,2021-12-11 10:00:00,3.683,344.4
56,2021-12-11 10:10:00,3.683,430.6
57,2021-12-11 10:20:00,3.683,549
58,2021-12-11 10:30:00,3.788,484.4
59,2021-12-11 10:40:00,3.788,613.5
60,2021-12-11 10:50:00,3.893,419.8
61,2021-12-11 11:00:00,4.102,592
62,2021-12-11 11:10:00,4.311,473.6
63,2021-12-11 11:20:00,4.311,505.9
64,2021-12-11 11:30:00,4.311,441.3
65,2021-12-11 11:40:00,4.519,376.7
66,2021-12-11 11:50:00,4.519,290.6
67,2021-12-11 12:00:00,4.623,258.3
68,2021-12-11 12:10:00,4.623,344.4
69,2021-12-11 12:20:00,4.623,290.6
70,2021-12-11 12:30:00,4.623,258.3
71,2021-12-11 12:40:00,4.519,269.1
72,2021-12-11 12:50:00,4.519,226
73,2021-12-11 13:00:00,4.623,355.2
74,2021-12-11 13:10:00,4.727,376.7
75,2021-12-11 13:20:00,4.727,322.9
76,2021-12-11 13:30:00,4.519,279.9
77,2021-12-11 13:40:00,4.519,333.7
78,2021-12-11 13:50:00,4.623,419.8
79,2021-12-11 14:00:00,4.519,279.9
80,2021-12-11 14:10:00,4.623,258.3
81,2021-12-11 14:20:00,4.623,204.5
82,2021-12-11 14:30:00,4.727,204.5
83,2021-12-11 14:40:00,4.727,161.5
84,2021-12-11 14:50:00,4.727,150.7
85,2021-12-11 15:00:00,4.727,118.4
86,2021-12-11 15:10:00,4.727,107.6
87,2021-12-11 15:20:00,4.727,75.3
88,2021-12-11 15:30:00,4.727,75.3
89,2021-12-11 15:40:00,4.727,53.8
90,2021-12-11 15:50:00,4.727,32.3
91,2021-12-11 16:00:00,4.727,32.3
92,2021-12-11 16:10:00,4.727,10.8
93,2021-12-11 16:20:00,4.623,10.8
94,2021-12-11 16:30:00,4.727,0
95,2021-12-11 16:40:00,4.623,0
96,2021-12-11 16:50:00,4.623,0
97,2021-12-11 17:00:00,4.623,0
98,2021-12-11 17:10:00,4.519,0
99,2021-12-11 17:20:00,4.623,0
100,2021-12-11 17:30:00,4.623,0
101,2021-12-11 17:40:00,4.623,0
102,2021-12-11 17:50:00,4.623,0
103,2021-12-11 18:00:00,4.623,0
104,2021-12-11 18:10:00,4.519,0
105,2021-12-11 18:20:00,4.415,0
106,2021-12-11 18:30:00,4.415,0
107,2021-12-11 18:40:00,4.519,0
108,2021-12-11 18:50:00,4.519,0
109,2021-12-11 19:00:00,4.623,0
110,2021-12-11 19:10:00,4.623,0
111,2021-12-11 19:20:00,4.623,0
112,2021-12-11 19:30:00,4.623,0
113,2021-12-11 19:40:00,4.623,0
114,2021-12-11 19:50:00,4.623,0
115,2021-12-11 20:00:00,4.519,0
116,2021-12-11 20:10:00,4.519,0
117,2021-12-11 20:20:00,4.519,0
118,2021-12-11 20:30:00,4.415,0
119,2021-12-11 20:40:00,4.311,0
120,2021-12-11 20:50:00,4.311,0
121,2021-12-11 21:00:00,4.311,0
122,2021-12-11 21:10:00,4.311,0
123,2021-12-11 21:20:00,4.207,0
124,2021-12-11 21:30:00,4.207,0
125,2021-12-11 21:40:00,4.102,0
126,2021-12-11 21:50:00,3.893,0
127,2021-12-11 22:00:00,3.788,0
128,2021-12-11 22:10:00,3.683,0
129,2021-12-11 22:20:00,3.578,0
130,2021-12-11 22:30:00,3.472,0
131,2021-12-11 22:40:00,3.472,0
132,2021-12-11 22:50:00,3.578,0
133,2021-12-11 23:00:00,3.683,0
134,2021-12-11 23:10:00,3.683,0
135,2021-12-11 23:20:00,3.578,0
136,2021-12-11 23:30:00,3.578,0
137,2021-12-11 23:40:00,3.472,0
138,2021-12-11 23:50:00,3.578,0
139,2021-12-12 00:00:00,3.578,0
140,2021-12-12 00:10:00,3.578,0
141,2021-12-12 00:20:00,3.472,0
142,2021-12-12 00:30:00,3.472,0
143,2021-12-12 00:40:00,3.472,0
144,2021-12-12 00:50:00,3.367,0
145,2021-12-12 01:00:00,3.261,0
146,2021-12-12 01:10:00,3.155,0
147,2021-12-12 01:20:00,3.155,0
148,2021-12-12 01:30:00,3.049,0
149,2021-12-12 01:40:00,3.049,0
150,2021-12-12 01:50:00,3.049,0
151,2021-12-12 02:00:00,2.943,0
152,2021-12-12 02:10:00,2.837,0
153,2021-12-12 02:20:00,2.73,0
154,2021-12-12 02:30:00,2.73,0
155,2021-12-12 02:40:00,2.624,0
156,2021-12-12 02:50:00,2.517,0
