name,hobo_id,github_name,data_available,region,latitude,longitude,exposition,altitude,influence,description,,,,,,,,,,,,,,,,,
anonym1,10760763,anonym1,no,Freiburg,48.006999999999998,7.8213999999999997,N,7,moderate,Suspended in the air at precisely 70cm from the balcony floor in 2nd floor and slightly shielded by the wall atleast 1 inch.,,,,,,,,,,,,,,,,,
anonym2,10347320,anonym2,yes,Freiburg,48.012700000000002,7.8278999999999996,N,6,moderate,the hobo was placed at the outside area of a window in the second floor. Due to the placement directly at the transparent area of the window we might see influences of room light or heat fluxes from the building. There was no prodection from direct sun radiation. The hobo also is placed nearby a street which is used by cars quite frequently plus more light effects by the lanterns during the night.,,,,,,,,,,,,,,,,,
anonym3,10088310,anonym3,yes,Freiburg,47.984699999999997,7.8383000000000003,E,11,low,"Balcony, 2. floor, next to the wall under the roof, maybe influenced by window light during night",,,,,,,,,,,,,,,,,
anonym4,10234637,anonym4,yes,Freiburg,47.980699999999999,7.9019000000000004,W,17,moderate,Under roof at 4th floor. Hung up in a cut open TetraPak. Might be influenced by window light during night or heat loss of building,,,,,,,,,,,,,,,,,
anonym5,10760769,anonym5,yes,Freiburg,48.005499999999998,7.8239000000000001,S,7,low,"Shady place at the balcony, 1,5 m distance wall - HOBO, influended by window light",,,,,,,,,,,,,,,,,
anonym6,10347368,anonym6,yes,Freiburg,48.006999999999998,7.8219000000000003,N,8,moderate,"Balcony at the second floor,facing northern side and the place affected a little bit by rain",,,,,,,,,,,,,,,,,
anonym7,10347328,anonym7,yes,Freiburg,48.007199999999997,7.8211000000000004,W,13,moderate,"Shady place at balcony at the sixth floor, facing W, protected by nearby wall (distance 20 cm), influenced by nearby window (distance 70 cm)",,,,,,,,,,,,,,,,,
anonym8,10801141,anonym8,yes,Freiburg,47.993299999999998,7.8322000000000003,E,6,low,"Loggia on the second floor, protected by side cladding",,,,,,,,,,,,,,,,,
anonym9,10347362,anonym9,yes,Freiburg,47.992600000000003,7.8691000000000004,W,2,moderate,"Placed in garden a few meters beside the house. Quite shadowy place, no direct sensor shielding but corrugated sheet roof above. Lantern in front of neighbours house migth influence the light intensity measurement",,,,,,,,,,,,,,,,,
anonym10,10350016,anonym10,no,Freiburg,48.008099999999999,7.8545999999999996,W,8,moderate,"Balcony at third floor, attached to a clothesline",,,,,,,,,,,,,,,,,
anonym11,10347366,anonym11,yes,Freiburg,48.005299999999998,7.8487999999999998,S,5,high,"sensor 40 cm below window sill, covered by joghurt cup, sensor on the wall, construction scafolding infront of the wall",,,,,,,,,,,,,,,,,
anonym12,10760820,anonym12,yes,Freiburg,47.997199999999999,7.8169000000000004,W,13,moderate,well shaded on a balcony. >1m distance to the nearest window. High light influences due to the living room window,,,,,,,,,,,,,,,,,
anonym13,10347313,anonym13,yes,Freiburg,47.990299999999998,7.8695000000000004,W,2,high,"Balcony at first floor, attached to railing, influenced a little by rain/snow and heat loss of building",,,,,,,,,,,,,,,,,
anonym14,10350049,anonym14,no,Freiburg,48.007800000000003,7.8174999999999999,S,15,moderate,"Balcony at sixth floor, under a table",,,,,,,,,,,,,,,,,
anonym15,10347384,anonym15,yes,Freiburg,47.985700000000001,7.8524000000000003,E,13,moderate,Outside of the kitchen window. Hanging below the roof. aprox. 30cm from ceiling and 30cm from window,,,,,,,,,,,,,,,,,
anonym16,10347321,anonym16,yes,Freiburg,48.006900000000002,7.8219000000000003,S,8,moderate,"Balcony at the second floor,attached to a net found outside the balcony.",,,,,,,,,,,,,,,,,
anonym17,10760822,anonym17,yes,Freiburg,47.970100000000002,7.8284000000000002,E,4,moderate,Hanging from the windowsill at the first floor; near the house wall (maybe influenced by heat loss); relatively well protected from the sun by surrounding buildings except in the morning; influenced by artificial light during the evening (protection by blind) and maybe in the night for short times because of motion detectors,,,,,,,,,,,,,,,,,
anonym18,10350002,anonym18,yes,Freiburg,48.005699999999997,7.7763999999999998,N,3,low,"Nature protection area, lined up trees next to a creak surrounded by meadows, attached to the tree stem",,,,,,,,,,,,,,,,,
anonym19,10347327,anonym19,yes,Freiburg,48.005699999999997,7.7759,N,2.5,moderate,"Nature protection area, lined up trees next to a creak surrounded by meadows, attached to the tree stem",,,,,,,,,,,,,,,,,
anonym20,10350005,anonym20,yes,Freiburg,47.994999999999997,7.8131000000000004,N,8,moderate,"Balcony at the third floor, attached to side wall, construction works during measurement period",,,,,,,,,,,,,,,,,
anonym21,10347355,anonym21,yes,Freiburg,47.990299999999998,7.8696000000000002,W,2,high,"Balcony at first floor, attached to railing, influenced a little by rain/snow and heat loss of building",,,,,,,,,,,,,,,,,
