dttm,my_hobo
2021-12-13 00:00:00,NA
2021-12-13 01:00:00,NA
2021-12-13 02:00:00,6.132
2021-12-13 03:00:00,5.962
2021-12-13 04:00:00,5.2438
2021-12-13 05:00:00,4.2228
2021-12-13 06:00:00,3.1545
2021-12-13 07:00:00,3.1195
2021-12-13 08:00:00,2.6943
2021-12-13 09:00:00,2.4812
2021-12-13 10:00:00,3.855
2021-12-13 11:00:00,5.9957
2021-12-13 12:00:00,6.657
2021-12-13 13:00:00,7.4475
2021-12-13 14:00:00,8.182
2021-12-13 15:00:00,8.5147
2021-12-13 16:00:00,8.149
2021-12-13 17:00:00,7.1108
2021-12-13 18:00:00,5.5682
2021-12-13 19:00:00,4.5708
2021-12-13 20:00:00,4.1713
2021-12-13 21:00:00,3.8745
2021-12-13 22:00:00,3.208
2021-12-13 23:00:00,2.6415
2021-12-14 00:00:00,2.659
2021-12-14 01:00:00,3.2787
2021-12-14 02:00:00,2.9428
2021-12-14 03:00:00,2.8013
2021-12-14 04:00:00,2.2842
2021-12-14 05:00:00,1.5113
2021-12-14 06:00:00,1.8353
2021-12-14 07:00:00,2.0875
2021-12-14 08:00:00,2.2848
2021-12-14 09:00:00,2.8542
2021-12-14 10:00:00,3.8915
2021-12-14 11:00:00,5.0698
2021-12-14 12:00:00,6.3353
2021-12-14 13:00:00,6.3688
2021-12-14 14:00:00,6.4368
2021-12-14 15:00:00,6.2847
2021-12-14 16:00:00,5.398
2021-12-14 17:00:00,4.5708
2021-12-14 18:00:00,4.3972
2021-12-14 19:00:00,3.6823
2021-12-14 20:00:00,3.6128
2021-12-14 21:00:00,3.8755
2021-12-14 22:00:00,4.0152
2021-12-14 23:00:00,4.0672
2021-12-15 00:00:00,4.05
2021-12-15 01:00:00,4.1545
2021-12-15 02:00:00,4.2243
2021-12-15 03:00:00,4.1893
2021-12-15 04:00:00,4.3803
2021-12-15 05:00:00,4.3977
2021-12-15 06:00:00,4.3803
2021-12-15 07:00:00,4.3977
2021-12-15 08:00:00,4.3803
2021-12-15 09:00:00,4.5017
2021-12-15 10:00:00,4.5017
2021-12-15 11:00:00,4.8302
2021-12-15 12:00:00,5.6207
2021-12-15 13:00:00,5.6205
2021-12-15 14:00:00,5.689
2021-12-15 15:00:00,5.7402
2021-12-15 16:00:00,5.3985
2021-12-15 17:00:00,5.2097
2021-12-15 18:00:00,5.2783
2021-12-15 19:00:00,5.2955
2021-12-15 20:00:00,5.5522
2021-12-15 21:00:00,5.4327
2021-12-15 22:00:00,5.3127
2021-12-15 23:00:00,5.1407
2021-12-16 00:00:00,5.1753
2021-12-16 01:00:00,4.9857
2021-12-16 02:00:00,4.9683
2021-12-16 03:00:00,4.8135
2021-12-16 04:00:00,4.6057
2021-12-16 05:00:00,4.3977
2021-12-16 06:00:00,4.3457
2021-12-16 07:00:00,3.875
2021-12-16 08:00:00,3.7003
2021-12-16 09:00:00,3.9975
2021-12-16 10:00:00,5.1227
2021-12-16 11:00:00,6.3008
2021-12-16 12:00:00,7.2463
2021-12-16 13:00:00,7.028
2021-12-16 14:00:00,7.0283
2021-12-16 15:00:00,6.961
2021-12-16 16:00:00,6.4033
2021-12-16 17:00:00,5.8595
2021-12-16 18:00:00,5.1062
2021-12-16 19:00:00,4.8307
2021-12-16 20:00:00,4.0493
2021-12-16 21:00:00,3.2605
2021-12-16 22:00:00,2.606
2021-12-16 23:00:00,2.1413
2021-12-17 00:00:00,1.5655
2021-12-17 01:00:00,1.0025
2021-12-17 02:00:00,0.6367
2021-12-17 03:00:00,0.8932
2021-12-17 04:00:00,0.9478
2021-12-17 05:00:00,0.8567
2021-12-17 06:00:00,0.4347
2021-12-17 07:00:00,0.0467
2021-12-17 08:00:00,-0.662
2021-12-17 09:00:00,-0.065
2021-12-17 10:00:00,1.0535
2021-12-17 11:00:00,2.4623
2021-12-17 12:00:00,4.049
2021-12-17 13:00:00,5.0717
2021-12-17 14:00:00,4.778
2021-12-17 15:00:00,4.7433
2021-12-17 16:00:00,3.8052
2021-12-17 17:00:00,3.0842
2021-12-17 18:00:00,2.7657
2021-12-17 19:00:00,2.3382
2021-12-17 20:00:00,1.9797
2021-12-17 21:00:00,1.2017
2021-12-17 22:00:00,0.25
2021-12-17 23:00:00,0.158
2021-12-18 00:00:00,0.453
2021-12-18 01:00:00,0.6187
2021-12-18 02:00:00,0.7472
2021-12-18 03:00:00,0.8565
2021-12-18 04:00:00,1.0028
2021-12-18 05:00:00,0.9845
2021-12-18 06:00:00,0.5267
2021-12-18 07:00:00,0.4347
2021-12-18 08:00:00,0.453
2021-12-18 09:00:00,0.4347
2021-12-18 10:00:00,0.4347
2021-12-18 11:00:00,1.0028
2021-12-18 12:00:00,1.9618
2021-12-18 13:00:00,2.4635
2021-12-18 14:00:00,2.4278
2021-12-18 15:00:00,3.0488
2021-12-18 16:00:00,2.9247
2021-12-18 17:00:00,1.7093
2021-12-18 18:00:00,1.9792
2021-12-18 19:00:00,2.6058
2021-12-18 20:00:00,3.1197
2021-12-18 21:00:00,3.243
2021-12-18 22:00:00,2.9607
2021-12-18 23:00:00,2.748
2021-12-19 00:00:00,2.8013
2021-12-19 01:00:00,2.748
2021-12-19 02:00:00,2.5705
2021-12-19 03:00:00,2.3385
2021-12-19 04:00:00,2.1593
2021-12-19 05:00:00,1.98
2021-12-19 06:00:00,1.908
2021-12-19 07:00:00,1.8
2021-12-19 08:00:00,1.5657
2021-12-19 09:00:00,1.62
2021-12-19 10:00:00,2.0698
2021-12-19 11:00:00,2.588
2021-12-19 12:00:00,2.872
2021-12-19 13:00:00,3.1197
2021-12-19 14:00:00,2.5875
2021-12-19 15:00:00,2.0155
2021-12-19 16:00:00,1.4205
2021-12-19 17:00:00,1.2028
2021-12-19 18:00:00,0.8568
2021-12-19 19:00:00,0.7473
2021-12-19 20:00:00,0.7473
2021-12-19 21:00:00,0.637
2021-12-19 22:00:00,0.6555
2021-12-19 23:00:00,0.7473
2021-12-20 00:00:00,0.4898
2021-12-20 01:00:00,0.453
2021-12-20 02:00:00,0.306
2021-12-20 03:00:00,0.4897
2021-12-20 04:00:00,0.692
2021-12-20 05:00:00,0.8568
2021-12-20 06:00:00,0.6367
2021-12-20 07:00:00,0.0093
2021-12-20 08:00:00,-0.3065
2021-12-20 09:00:00,0.1193
2021-12-20 10:00:00,1.6188
2021-12-20 11:00:00,1.9795
2021-12-20 12:00:00,3.715
2021-12-20 13:00:00,4.171
2021-12-20 14:00:00,3.6302
2021-12-20 15:00:00,4.6573
2021-12-20 16:00:00,3.7313
2021-12-20 17:00:00,1.7265
2021-12-20 18:00:00,1.3842
2021-12-20 19:00:00,1.13
2021-12-20 20:00:00,0.1017
2021-12-20 21:00:00,-0.5685
2021-12-20 22:00:00,-0.7373
2021-12-20 23:00:00,-1.1333
2021-12-21 00:00:00,-1.8378
2021-12-21 01:00:00,-2.3197
2021-12-21 02:00:00,-2.766
2021-12-21 03:00:00,-3.0012
2021-12-21 04:00:00,-3.7122
2021-12-21 05:00:00,-3.6923
2021-12-21 06:00:00,-3.4342
2021-12-21 07:00:00,-3.474
2021-12-21 08:00:00,-3.4737
2021-12-21 09:00:00,-3.5138
2021-12-21 10:00:00,-2.885
2021-12-21 11:00:00,-2.1457
2021-12-21 12:00:00,-1.2852
2021-12-21 13:00:00,-0.7183
2021-12-21 14:00:00,-0.55
2021-12-21 15:00:00,-1.1902
2021-12-21 16:00:00,-1.7035
2021-12-21 17:00:00,-1.494
2021-12-21 18:00:00,-1.3037
2021-12-21 19:00:00,-1.3035
2021-12-21 20:00:00,-1.4177
2021-12-21 21:00:00,-1.5892
2021-12-21 22:00:00,-1.7798
2021-12-21 23:00:00,-1.9527
2021-12-22 00:00:00,-2.3583
2021-12-22 01:00:00,-2.9622
2021-12-22 02:00:00,-3.9922
2021-12-22 03:00:00,-4.963
2021-12-22 04:00:00,-5.891
2021-12-22 05:00:00,-6.1423
2021-12-22 06:00:00,-6.5627
2021-12-22 07:00:00,-6.0582
2021-12-22 08:00:00,-6.6688
2021-12-22 09:00:00,-6.7753
2021-12-22 10:00:00,-5.976
2021-12-22 11:00:00,-4.4553
2021-12-22 12:00:00,-3.0022
2021-12-22 13:00:00,-2.0508
2021-12-22 14:00:00,-1.0197
2021-12-22 15:00:00,-0.7368
2021-12-22 16:00:00,-0.9628
2021-12-22 17:00:00,-1.9935
2021-12-22 18:00:00,-3.1982
2021-12-22 19:00:00,-3.6923
2021-12-22 20:00:00,-4.2322
2021-12-22 21:00:00,-4.6158
2021-12-22 22:00:00,-5.1257
2021-12-22 23:00:00,-5.29
2021-12-23 00:00:00,-5.434
2021-12-23 01:00:00,-5.3928
2021-12-23 02:00:00,-5.105
2021-12-23 03:00:00,-4.5347
2021-12-23 04:00:00,-4.232
2021-12-23 05:00:00,-4.192
2021-12-23 06:00:00,-4.7783
2021-12-23 07:00:00,-4.5553
2021-12-23 08:00:00,-4.1518
2021-12-23 09:00:00,NA
2021-12-23 10:00:00,0.7727
2021-12-23 11:00:00,NA
2021-12-23 12:00:00,7.4637
2021-12-23 13:00:00,8.6613
2021-12-23 14:00:00,9.388
2021-12-23 15:00:00,9.4882
2021-12-23 16:00:00,9.3403
2021-12-23 17:00:00,9.554
2021-12-23 18:00:00,10.063
2021-12-23 19:00:00,9.9812
2021-12-23 20:00:00,10.3733
2021-12-23 21:00:00,10.732
2021-12-23 22:00:00,10.3243
2021-12-23 23:00:00,NA
2021-12-24 00:00:00,10.7808
2021-12-24 01:00:00,11.0087
2021-12-24 02:00:00,10.5688
2021-12-24 03:00:00,10.4385
2021-12-24 04:00:00,10.6833
2021-12-24 05:00:00,10.5367
2021-12-24 06:00:00,10.4877
2021-12-24 07:00:00,10.3407
2021-12-24 08:00:00,9.9977
2021-12-24 09:00:00,9.4717
2021-12-24 10:00:00,8.7793
2021-12-24 11:00:00,8.9118
2021-12-24 12:00:00,9.4062
2021-12-24 13:00:00,9.7842
2021-12-24 14:00:00,9.9813
2021-12-24 15:00:00,9.9482
2021-12-24 16:00:00,9.9317
2021-12-24 17:00:00,10.1773
2021-12-24 18:00:00,10.308
2021-12-24 19:00:00,10.03
2021-12-24 20:00:00,10.3243
2021-12-24 21:00:00,10.4713
2021-12-24 22:00:00,10.1937
2021-12-24 23:00:00,10.1283
2021-12-25 00:00:00,10.063
2021-12-25 01:00:00,10.1773
2021-12-25 02:00:00,10.6995
2021-12-25 03:00:00,10.9435
2021-12-25 04:00:00,11.2037
2021-12-25 05:00:00,10.9925
2021-12-25 06:00:00,10.9112
2021-12-25 07:00:00,10.7808
2021-12-25 08:00:00,10.6995
2021-12-25 09:00:00,10.7482
2021-12-25 10:00:00,10.96
2021-12-25 11:00:00,11.3335
2021-12-25 12:00:00,11.7543
2021-12-25 13:00:00,12.0775
2021-12-25 14:00:00,12.433
2021-12-25 15:00:00,12.1423
2021-12-25 16:00:00,11.4467
2021-12-25 17:00:00,10.4222
2021-12-25 18:00:00,9.8828
2021-12-25 19:00:00,9.8005
2021-12-25 20:00:00,9.505
2021-12-25 21:00:00,9.406
2021-12-25 22:00:00,9.11
2021-12-25 23:00:00,9.077
2021-12-26 00:00:00,8.8622
2021-12-26 01:00:00,6.8238
2021-12-26 02:00:00,5.5348
2021-12-26 03:00:00,4.7785
2021-12-26 04:00:00,4.467
2021-12-26 05:00:00,4.363
2021-12-26 06:00:00,4.207
2021-12-26 07:00:00,NA
2021-12-26 08:00:00,4.2763
2021-12-26 09:00:00,4.3283
2021-12-26 10:00:00,4.968
2021-12-26 11:00:00,6.5037
