dttm,temp
2021-12-13 00:00:00,5.586
2021-12-13 01:00:00,5.364
2021-12-13 02:00:00,5.02
2021-12-13 03:00:00,4.623
2021-12-13 04:00:00,3.962
2021-12-13 05:00:00,3.225
2021-12-13 06:00:00,2.996
2021-12-13 07:00:00,2.925
2021-12-13 08:00:00,2.766
2021-12-13 09:00:00,NA
2021-12-13 10:00:00,NA
2021-12-13 11:00:00,NA
2021-12-13 12:00:00,8.214
2021-12-13 13:00:00,8.613
2021-12-13 14:00:00,8.697
2021-12-13 15:00:00,8.199
2021-12-13 16:00:00,6.909
2021-12-13 17:00:00,5.945
2021-12-13 18:00:00,5.603
2021-12-13 19:00:00,4.814
2021-12-13 20:00:00,4.224
2021-12-13 21:00:00,4.085
2021-12-13 22:00:00,3.753
2021-12-13 23:00:00,3.348
2021-12-14 00:00:00,3.612
2021-12-14 01:00:00,2.659
2021-12-14 02:00:00,2.499
2021-12-14 03:00:00,2.034
2021-12-14 04:00:00,1.184
2021-12-14 05:00:00,1.402
2021-12-14 06:00:00,2.07
2021-12-14 07:00:00,2.285
2021-12-14 08:00:00,2.73
2021-12-14 09:00:00,3.682
2021-12-14 10:00:00,5.085
2021-12-14 11:00:00,6.368
2021-12-14 12:00:00,5.467
2021-12-14 13:00:00,5.483
2021-12-14 14:00:00,5.295
2021-12-14 15:00:00,5.14
2021-12-14 16:00:00,4.553
2021-12-14 17:00:00,4.12
2021-12-14 18:00:00,3.613
2021-12-14 19:00:00,3.613
2021-12-14 20:00:00,NA
2021-12-14 21:00:00,3.928
2021-12-14 22:00:00,4.067
2021-12-14 23:00:00,NA
2021-12-15 00:00:00,4.067
2021-12-15 01:00:00,NA
2021-12-15 02:00:00,4.085
2021-12-15 03:00:00,4.015
2021-12-15 04:00:00,4.05
2021-12-15 05:00:00,3.893
2021-12-15 06:00:00,3.946
2021-12-15 07:00:00,3.981
2021-12-15 08:00:00,4.241
2021-12-15 09:00:00,4.189
2021-12-15 10:00:00,4.415
2021-12-15 11:00:00,5.123
2021-12-15 12:00:00,5.364
2021-12-15 13:00:00,5.21
2021-12-15 14:00:00,5.175
2021-12-15 15:00:00,5.054
2021-12-15 16:00:00,5.003
2021-12-15 17:00:00,5.192
2021-12-15 18:00:00,5.192
2021-12-15 19:00:00,5.21
2021-12-15 20:00:00,5.192
2021-12-15 21:00:00,4.968
2021-12-15 22:00:00,5.003
2021-12-15 23:00:00,5.072
2021-12-16 00:00:00,4.865
2021-12-16 01:00:00,4.606
2021-12-16 02:00:00,4.727
2021-12-16 03:00:00,4.45
2021-12-16 04:00:00,4.259
2021-12-16 05:00:00,4.189
2021-12-16 06:00:00,3.753
2021-12-16 07:00:00,3.595
2021-12-16 08:00:00,4.155
2021-12-16 09:00:00,4.985
2021-12-16 10:00:00,5.689
2021-12-16 11:00:00,6.792
2021-12-16 12:00:00,6.437
2021-12-16 13:00:00,6.438
2021-12-16 14:00:00,6.59
2021-12-16 15:00:00,6.302
2021-12-16 16:00:00,5.945
2021-12-16 17:00:00,5.45
2021-12-16 18:00:00,5.415
2021-12-16 19:00:00,4.726
2021-12-16 20:00:00,4.067
2021-12-16 21:00:00,3.384
2021-12-16 22:00:00,3.119
2021-12-16 23:00:00,2.446
2021-12-17 00:00:00,2.052
2021-12-17 01:00:00,1.638
2021-12-17 02:00:00,1.818
2021-12-17 03:00:00,1.746
2021-12-17 04:00:00,1.548
2021-12-17 05:00:00,1.039
2021-12-17 06:00:00,0.305
2021-12-17 07:00:00,-0.288
2021-12-17 08:00:00,0.342
2021-12-17 09:00:00,NA
2021-12-17 10:00:00,3.119
2021-12-17 11:00:00,NA
2021-12-17 12:00:00,NA
2021-12-17 13:00:00,5.072
2021-12-17 14:00:00,4.779
2021-12-17 15:00:00,3.963
2021-12-17 16:00:00,3.261
2021-12-17 17:00:00,2.872
2021-12-17 18:00:00,2.428
2021-12-17 19:00:00,1.764
2021-12-17 20:00:00,1.075
2021-12-17 21:00:00,0.635
2021-12-17 22:00:00,0.306
2021-12-17 23:00:00,0.692
2021-12-18 00:00:00,0.472
2021-12-18 01:00:00,0.911
2021-12-18 02:00:00,0.857
2021-12-18 03:00:00,1.021
2021-12-18 04:00:00,0.911
2021-12-18 05:00:00,0.71
2021-12-18 06:00:00,0.435
2021-12-18 07:00:00,0.287
2021-12-18 08:00:00,0.232
2021-12-18 09:00:00,0.619
2021-12-18 10:00:00,0.784
2021-12-18 11:00:00,1.547
2021-12-18 12:00:00,1.854
2021-12-18 13:00:00,2.321
2021-12-18 14:00:00,2.587
2021-12-18 15:00:00,NA
2021-12-18 16:00:00,2.373
2021-12-18 17:00:00,2.034
2021-12-18 18:00:00,2.285
2021-12-18 19:00:00,2.784
2021-12-18 20:00:00,2.766
2021-12-18 21:00:00,2.588
2021-12-18 22:00:00,2.464
2021-12-18 23:00:00,2.463
2021-12-19 00:00:00,2.374
2021-12-19 01:00:00,2.213
2021-12-19 02:00:00,2.088
2021-12-19 03:00:00,NA
2021-12-19 04:00:00,1.926
2021-12-19 05:00:00,1.854
2021-12-19 06:00:00,1.872
2021-12-19 07:00:00,1.42
2021-12-19 08:00:00,1.312
2021-12-19 09:00:00,1.548
2021-12-19 10:00:00,1.746
2021-12-19 11:00:00,1.908
2021-12-19 12:00:00,2.267
2021-12-19 13:00:00,2.374
2021-12-19 14:00:00,1.944
2021-12-19 15:00:00,1.457
2021-12-19 16:00:00,1.221
2021-12-19 17:00:00,0.893
2021-12-19 18:00:00,0.692
2021-12-19 19:00:00,0.692
2021-12-19 20:00:00,0.711
2021-12-19 21:00:00,0.766
2021-12-19 22:00:00,0.637
2021-12-19 23:00:00,0.545
2021-12-20 00:00:00,0.471
2021-12-20 01:00:00,0.435
2021-12-20 02:00:00,0.287
2021-12-20 03:00:00,0.287
2021-12-20 04:00:00,0.545
2021-12-20 05:00:00,0.38
2021-12-20 06:00:00,-0.232
2021-12-20 07:00:00,-0.794
2021-12-20 08:00:00,-0.607
2021-12-20 09:00:00,1.311
2021-12-20 10:00:00,NA
2021-12-20 11:00:00,NA
2021-12-20 12:00:00,5.31
2021-12-20 13:00:00,4.467
2021-12-20 14:00:00,4.986
2021-12-20 15:00:00,4.205
2021-12-20 16:00:00,2.765
2021-12-20 17:00:00,2.267
2021-12-20 18:00:00,1.782
2021-12-20 19:00:00,1.51
2021-12-20 20:00:00,0.508
2021-12-20 21:00:00,-0.009
2021-12-20 22:00:00,-0.232
2021-12-20 23:00:00,-0.907
2021-12-21 00:00:00,-1.247
2021-12-21 01:00:00,-1.684
2021-12-21 02:00:00,-2.204
2021-12-21 03:00:00,-3.198
