date_time,th
2021-12-13 00:00:00,NA
2021-12-13 01:00:00,4.015
2021-12-13 02:00:00,3.753
2021-12-13 03:00:00,2.96
2021-12-13 04:00:00,1.745
2021-12-13 05:00:00,0.764
2021-12-13 06:00:00,0.176
2021-12-13 07:00:00,-0.251
2021-12-13 08:00:00,-0.591
2021-12-13 09:00:00,NA
2021-12-13 10:00:00,NA
2021-12-13 11:00:00,NA
2021-12-13 12:00:00,NA
2021-12-13 13:00:00,10.665
2021-12-13 14:00:00,9.669
2021-12-13 15:00:00,9.143
2021-12-13 16:00:00,6.954
2021-12-13 17:00:00,3.96
2021-12-13 18:00:00,2.3
2021-12-13 19:00:00,1.438
2021-12-13 20:00:00,0.544
2021-12-13 21:00:00,0.25
2021-12-13 22:00:00,0.119
2021-12-13 23:00:00,-0.7
2021-12-14 00:00:00,-0.512
2021-12-14 01:00:00,-0.774
2021-12-14 02:00:00,-0.926
2021-12-14 03:00:00,-0.907
2021-12-14 04:00:00,-0.964
2021-12-14 05:00:00,-0.065
2021-12-14 06:00:00,0.416
2021-12-14 07:00:00,0.6
2021-12-14 08:00:00,0.911
2021-12-14 09:00:00,1.835
2021-12-14 10:00:00,3.101
2021-12-14 11:00:00,3.997
2021-12-14 12:00:00,3.665
2021-12-14 13:00:00,4.154
2021-12-14 14:00:00,4.085
2021-12-14 15:00:00,3.945
2021-12-14 16:00:00,3.243
2021-12-14 17:00:00,3.084
2021-12-14 18:00:00,2.624
2021-12-14 19:00:00,2.872
2021-12-14 20:00:00,3.19
2021-12-14 21:00:00,3.367
2021-12-14 22:00:00,3.367
2021-12-14 23:00:00,NA
2021-12-15 00:00:00,NA
2021-12-15 01:00:00,NA
2021-12-15 02:00:00,NA
2021-12-15 03:00:00,NA
2021-12-15 04:00:00,NA
2021-12-15 05:00:00,3.137
2021-12-15 06:00:00,NA
2021-12-15 07:00:00,NA
2021-12-15 08:00:00,2.996
2021-12-15 09:00:00,3.261
2021-12-15 10:00:00,3.472
2021-12-15 11:00:00,4.224
2021-12-15 12:00:00,4.554
2021-12-15 13:00:00,4.484
2021-12-15 14:00:00,4.328
