dttm, th,origin
2021-12-13 00:00:00,4.588,H
2021-12-13 01:00:00,4.675,H
2021-12-13 02:00:00,5.434,R
2021-12-13 03:00:00,4.658,H
2021-12-13 04:00:00,4.066,H
2021-12-13 05:00:00,2.819,H
2021-12-13 06:00:00,2.285,H
2021-12-13 07:00:00,1.854,H
2021-12-13 08:00:00,1.746,H
2021-12-13 09:00:00,2.408,H
2021-12-13 10:00:00,3.787,H
2021-12-13 11:00:00,5.362,H
2021-12-13 12:00:00,8.705,R
2021-12-13 13:00:00,10.099,R
2021-12-13 14:00:00,10.145,R
2021-12-13 15:00:00,7.781,H
2021-12-13 16:00:00,6.029,H
2021-12-13 17:00:00,4.605,H
2021-12-13 18:00:00,3.788,H
2021-12-13 19:00:00,3.049,H
2021-12-13 20:00:00,2.356,H
2021-12-13 21:00:00,1.836,H
2021-12-13 22:00:00,1.674,H
2021-12-13 23:00:00,1.493,H
2021-12-14 00:00:00,0.875,H
2021-12-14 01:00:00,0.563,H
2021-12-14 02:00:00,0.25,H
2021-12-14 03:00:00,0.084,H
2021-12-14 04:00:00,0.416,H
2021-12-14 05:00:00,1.13,H
2021-12-14 06:00:00,1.439,H
2021-12-14 07:00:00,1.62,H
2021-12-14 08:00:00,2.213,H
2021-12-14 09:00:00,2.534,H
2021-12-14 10:00:00,3.418,H
2021-12-14 11:00:00,5.38,H
2021-12-14 12:00:00,5.483,H
2021-12-14 13:00:00,7.295,H
2021-12-14 14:00:00,5.586,H
2021-12-14 15:00:00,5.484,H
2021-12-14 16:00:00,4.553,H
2021-12-14 17:00:00,3.543,H
2021-12-14 18:00:00,3.648,H
2021-12-14 19:00:00,3.455,H
2021-12-14 20:00:00,3.402,H
2021-12-14 21:00:00,3.261,H
2021-12-14 22:00:00,3.208,H
2021-12-14 23:00:00,3.349,H
2021-12-15 00:00:00,3.762,R
2021-12-15 01:00:00,3.622,R
2021-12-15 02:00:00,3.622,R
2021-12-15 03:00:00,3.613,H
2021-12-15 04:00:00,3.665,H
2021-12-15 05:00:00,3.665,H
2021-12-15 06:00:00,3.56,H
2021-12-15 07:00:00,3.786,R
2021-12-15 08:00:00,3.332,H
2021-12-15 09:00:00,3.49,H
2021-12-15 10:00:00,3.788,H
2021-12-15 11:00:00,4.346,H
2021-12-15 12:00:00,4.398,H
2021-12-15 13:00:00,4.415,H
2021-12-15 14:00:00,4.716,R
2021-12-15 15:00:00,4.554,H
2021-12-15 16:00:00,4.432,H
2021-12-15 17:00:00,4.346,H
2021-12-15 18:00:00,4.276,H
2021-12-15 19:00:00,4.755,R
2021-12-15 20:00:00,4.639,R
2021-12-15 21:00:00,4.12,H
2021-12-15 22:00:00,4.481,R
2021-12-15 23:00:00,4.525,R
2021-12-16 00:00:00,3.98,H
2021-12-16 01:00:00,4.221,R
2021-12-16 02:00:00,4.163,R
2021-12-16 03:00:00,3.63,H
2021-12-16 04:00:00,3.454,H
2021-12-16 05:00:00,3.296,H
2021-12-16 06:00:00,3.014,H
2021-12-16 07:00:00,2.374,H
