dttm,th,pred
2021-12-13 00:00:00,4.102,4.30475749776264
2021-12-13 01:00:00,3.910,4.32398120499625
2021-12-13 02:00:00,3.665,4.11252042542648
2021-12-13 03:00:00,3.031,3.59348033011886
2021-12-13 04:00:00,1.925,3.0263809667272
2021-12-13 05:00:00,1.002,2.49772901780277
2021-12-13 06:00:00,0.342,2.20937340929853
2021-12-13 07:00:00,-0.010,2.13247858036407
2021-12-13 08:00:00,-0.531,1.88257038632707
2021-12-13 09:00:00,2.280,2.05558375142961
2021-12-13 10:00:00,5.448,4.04523745010883
2021-12-13 11:00:00,7.362,5.17943617689215
2021-12-13 12:00:00,8.431,6.41936529346036
2021-12-13 13:00:00,9.274,7.63045884917814
2021-12-13 14:00:00,9.143,8.16872265171938
2021-12-13 15:00:00,8.878,8.04376855470088
2021-12-13 16:00:00,7.088,6.64043792664693
2021-12-13 17:00:00,3.977,5.07370578710726
2021-12-13 18:00:00,2.212,3.70882257352055
2021-12-13 19:00:00,1.583,3.13211135651208
2021-12-13 20:00:00,0.710,2.75724906545658
2021-12-13 21:00:00,0.453,2.03636004419599
2021-12-13 22:00:00,0.378,2.16131414121449
2021-12-13 23:00:00,-0.475,1.71916887484133
2021-12-14 00:00:00,-0.400,1.24818804761775
2021-12-14 01:00:00,-0.530,0.988667999963938
2021-12-14 02:00:00,-0.737,0.767595366777358
2021-12-14 03:00:00,-0.757,0.604193855291625
2021-12-14 04:00:00,-0.964,-0.0013529225672676
2021-12-14 05:00:00,-0.121,0.373509368488237
2021-12-14 06:00:00,0.453,1.10401024336563
2021-12-14 07:00:00,0.581,1.54615550973879
2021-12-14 08:00:00,0.893,1.65188589952368
2021-12-14 09:00:00,1.745,1.94985336164472
2021-12-14 10:00:00,2.942,2.5457882858868
2021-12-14 11:00:00,3.753,3.1513350637457
2021-12-14 12:00:00,3.384,2.32471565270022
2021-12-14 13:00:00,3.735,3.01676911311039
2021-12-14 14:00:00,4.067,3.4012432577827
2021-12-14 15:00:00,3.805,3.92028335309032
2021-12-14 16:00:00,3.137,3.53580920841801
2021-12-14 17:00:00,2.961,3.35318398969866
2021-12-14 18:00:00,2.499,3.34357213608185
2021-12-14 19:00:00,2.766,2.90142686970869
2021-12-14 20:00:00,3.102,2.65151867567169
2021-12-14 21:00:00,3.279,2.26704453099938
2021-12-14 22:00:00,3.349,2.39199862801788
2021-12-14 23:00:00,3.155,2.44005789610192
2021-12-15 00:00:00,3.261,2.63229496843807
2021-12-15 01:00:00,3.367,2.72841350460615
2021-12-15 02:00:00,3.279,2.67074238290531
2021-12-15 03:00:00,2.536,2.53617643227
2021-12-15 04:00:00,2.613,2.61307126120446
2021-12-15 05:00:00,3.084,2.67074238290531
2021-12-15 06:00:00,2.719,2.71880165098935
2021-12-15 07:00:00,2.961,2.6611305292885
2021-12-15 08:00:00,2.315,2.31510379908342
2021-12-15 09:00:00,3.208,2.19014970206491
2021-12-15 10:00:00,3.490,2.80530833354062
2021-12-15 11:00:00,4.207,3.13211135651208
2021-12-15 12:00:00,4.380,3.63192774458609
2021-12-15 13:00:00,4.415,3.94911891394075
2021-12-15 14:00:00,4.294,3.85300037777267
2021-12-15 15:00:00,3.718,3.71843442713736
2021-12-15 16:00:00,4.050,3.87222408500628
2021-12-15 17:00:00,4.033,3.8914477922399
2021-12-15 18:00:00,3.843,3.84338852415586
2021-12-15 19:00:00,4.120,3.8914477922399
2021-12-15 20:00:00,3.766,3.7664936952214
2021-12-15 21:00:00,3.603,3.60309218373566
2021-12-15 22:00:00,4.015,3.54542106203482
2021-12-15 23:00:00,3.593,3.59348033011886
2021-12-16 00:00:00,4.015,3.48774994033397
2021-12-16 01:00:00,3.858,3.42046696501632
2021-12-16 02:00:00,3.858,3.37240769693228
2021-12-16 03:00:00,3.753,3.19939433182974
2021-12-16 04:00:00,3.420,2.87259130885827
2021-12-16 05:00:00,3.402,2.70918979737254
2021-12-16 06:00:00,3.243,2.62268311482127
2021-12-16 07:00:00,3.014,2.23820897014895
2021-12-16 08:00:00,2.209,2.20937340929853
2021-12-16 09:00:00,4.120,3.05521652757762
2021-12-16 10:00:00,4.588,3.69921071990374
2021-12-16 11:00:00,5.501,4.21825081521137
