date_time,th
2021-12-13 00:00:00,NA
2021-12-13 01:00:00,8.531
2021-12-13 02:00:00,8.5143
2021-12-13 03:00:00,8.2485
2021-12-13 04:00:00,7.6315
2021-12-13 05:00:00,7.2298
2021-12-13 06:00:00,6.9443
2021-12-13 07:00:00,6.6065
2021-12-13 08:00:00,6.4373
2021-12-13 09:00:00,7.1603
2021-12-13 10:00:00,8.811
2021-12-13 11:00:00,10.7637
2021-12-13 12:00:00,12.2872
2021-12-13 13:00:00,11.2032
2021-12-13 14:00:00,10.5367
2021-12-13 15:00:00,10.7808
2021-12-13 16:00:00,10.6503
2021-12-13 17:00:00,9.8825
2021-12-13 18:00:00,9.1922
2021-12-13 19:00:00,8.4315
2021-12-13 20:00:00,7.932
2021-12-13 21:00:00,7.6485
2021-12-13 22:00:00,7.2295
2021-12-13 23:00:00,7.0113
2021-12-14 00:00:00,6.8598
2021-12-14 01:00:00,6.2338
2021-12-14 02:00:00,5.6888
2021-12-14 03:00:00,5.5353
2021-12-14 04:00:00,4.9683
2021-12-14 05:00:00,4.7613
2021-12-14 06:00:00,4.8133
2021-12-14 07:00:00,4.9342
2021-12-14 08:00:00,5.0202
2021-12-14 09:00:00,5.4497
2021-12-14 10:00:00,6.267
2021-12-14 11:00:00,7.8313
2021-12-14 12:00:00,7.6317
2021-12-14 13:00:00,7.5315
2021-12-14 14:00:00,7.548
2021-12-14 15:00:00,7.4982
2021-12-14 16:00:00,7.196
2021-12-14 17:00:00,6.826
2021-12-14 18:00:00,6.6572
2021-12-14 19:00:00,6.081
2021-12-14 20:00:00,6.166
2021-12-14 21:00:00,NA
2021-12-14 22:00:00,6.2
2021-12-14 23:00:00,6.4037
2021-12-15 00:00:00,6.4543
2021-12-15 01:00:00,6.6067
2021-12-15 02:00:00,6.302
2021-12-15 03:00:00,6.081
2021-12-15 04:00:00,6.064
2021-12-15 05:00:00,5.962
2021-12-15 06:00:00,6.251
2021-12-15 07:00:00,6.674
2021-12-15 08:00:00,6.6067
2021-12-15 09:00:00,6.5898
2021-12-15 10:00:00,6.6742
2021-12-15 11:00:00,7.0285
2021-12-15 12:00:00,7.0115
2021-12-15 13:00:00,7.0117
2021-12-15 14:00:00,7.1958
2021-12-15 15:00:00,6.8767
2021-12-15 16:00:00,6.9945
2021-12-15 17:00:00,7.6152
2021-12-15 18:00:00,7.7488
2021-12-15 19:00:00,7.7153
2021-12-15 20:00:00,7.9487
2021-12-15 21:00:00,7.1288
2021-12-15 22:00:00,7.4477
2021-12-15 23:00:00,7.4477
2021-12-16 00:00:00,6.9433
2021-12-16 01:00:00,6.961
2021-12-16 02:00:00,6.9098
2021-12-16 03:00:00,6.7918
2021-12-16 04:00:00,6.978
2021-12-16 05:00:00,6.8428
2021-12-16 06:00:00,5.533
2021-12-16 07:00:00,5.7057
2021-12-16 08:00:00,6.3358
2021-12-16 09:00:00,6.6403
2021-12-16 10:00:00,7.2298
2021-12-16 11:00:00,7.6485
2021-12-16 12:00:00,7.8488
2021-12-16 13:00:00,8.0325
2021-12-16 14:00:00,8.182
2021-12-16 15:00:00,7.9658
2021-12-16 16:00:00,7.732
2021-12-16 17:00:00,7.632
2021-12-16 18:00:00,7.632
2021-12-16 19:00:00,7.4812
2021-12-16 20:00:00,7.0617
2021-12-16 21:00:00,6.6402
2021-12-16 22:00:00,6.2848
2021-12-16 23:00:00,5.9277
2021-12-17 00:00:00,5.518
2021-12-17 01:00:00,5.1752
2021-12-17 02:00:00,5.2612
2021-12-17 03:00:00,4.9858
2021-12-17 04:00:00,4.6403
2021-12-17 05:00:00,4.3628
2021-12-17 06:00:00,4.2413
2021-12-17 07:00:00,3.6303
2021-12-17 08:00:00,3.7705
2021-12-17 09:00:00,4.3792
2021-12-17 10:00:00,5.4498
2021-12-17 11:00:00,7.2098
2021-12-17 12:00:00,8.5307
2021-12-17 13:00:00,7.8485
2021-12-17 14:00:00,7.2465
2021-12-17 15:00:00,7.1118
2021-12-17 16:00:00,6.4543
2021-12-17 17:00:00,5.8423
2021-12-17 18:00:00,5.3127
2021-12-17 19:00:00,4.9168
2021-12-17 20:00:00,4.3275
2021-12-17 21:00:00,3.9102
2021-12-17 22:00:00,3.6475
2021-12-17 23:00:00,NA
2021-12-18 00:00:00,3.4373
2021-12-18 01:00:00,3.3843
2021-12-18 02:00:00,3.4723
2021-12-18 03:00:00,3.4547
2021-12-18 04:00:00,3.49
2021-12-18 05:00:00,3.2787
2021-12-18 06:00:00,2.9607
2021-12-18 07:00:00,NA
2021-12-18 08:00:00,2.8547
2021-12-18 09:00:00,NA
2021-12-18 10:00:00,2.8368
2021-12-18 11:00:00,3.1372
2021-12-18 12:00:00,3.893
2021-12-18 13:00:00,3.9455
2021-12-18 14:00:00,4.2935
2021-12-18 15:00:00,4.7438
2021-12-18 16:00:00,4.865
2021-12-18 17:00:00,4.744
2021-12-18 18:00:00,4.5537
2021-12-18 19:00:00,NA
2021-12-18 20:00:00,4.3283
2021-12-18 21:00:00,4.571
2021-12-18 22:00:00,4.7093
2021-12-18 23:00:00,5.0545
2021-12-19 00:00:00,4.467
2021-12-19 01:00:00,4.189
2021-12-19 02:00:00,4.2588
2021-12-19 03:00:00,4.3802
2021-12-19 04:00:00,3.7705
2021-12-19 05:00:00,4.172
2021-12-19 06:00:00,4.2067
2021-12-19 07:00:00,3.4015
2021-12-19 08:00:00,3.3313
2021-12-19 09:00:00,3.63
2021-12-19 10:00:00,3.7353
2021-12-19 11:00:00,4.137
2021-12-19 12:00:00,4.2762
2021-12-19 13:00:00,4.6577
2021-12-19 14:00:00,4.3455
2021-12-19 15:00:00,3.9277
2021-12-19 16:00:00,3.753
2021-12-19 17:00:00,3.437
2021-12-19 18:00:00,3.2608
2021-12-19 19:00:00,3.4372
2021-12-19 20:00:00,3.49
2021-12-19 21:00:00,3.208
2021-12-19 22:00:00,3.402
2021-12-19 23:00:00,3.3492
2021-12-20 00:00:00,3.3138
2021-12-20 01:00:00,3.3493
2021-12-20 02:00:00,3.1197
2021-12-20 03:00:00,2.7658
2021-12-20 04:00:00,2.7835
2021-12-20 05:00:00,2.4445
2021-12-20 06:00:00,1.998
2021-12-20 07:00:00,1.692
2021-12-20 08:00:00,1.6737
2021-12-20 09:00:00,2.8538
2021-12-20 10:00:00,4.0125
2021-12-20 11:00:00,6.5195
2021-12-20 12:00:00,8.2982
2021-12-20 13:00:00,7.1107
2021-12-20 14:00:00,6.5558
2021-12-20 15:00:00,6.9105
2021-12-20 16:00:00,5.8593
2021-12-20 17:00:00,5.689
2021-12-20 18:00:00,5.672
2021-12-20 19:00:00,5.6375
2021-12-20 20:00:00,5.2778
2021-12-20 21:00:00,4.8307
2021-12-20 22:00:00,4.519
2021-12-20 23:00:00,4.2762
2021-12-21 00:00:00,3.5598
2021-12-21 01:00:00,2.943
