dttm,th,origin
2021-12-13 00:00:00,5.162145974063775,R
2021-12-13 01:00:00,5.179677668924961,R
2021-12-13 02:00:00,5.2955,H
2021-12-13 03:00:00,5.003,H
2021-12-13 04:00:00,4.48416666666667,H
2021-12-13 05:00:00,3.384,H
2021-12-13 06:00:00,3.251191234194616,R
2021-12-13 07:00:00,2.4095,H
2021-12-13 08:00:00,2.24883333333333,H
2021-12-13 09:00:00,2.659,H
2021-12-13 10:00:00,4.925468093437779,R
2021-12-13 11:00:00,5.95983809024769,R
2021-12-13 12:00:00,7.09063240879412,R
2021-12-13 13:00:00,8.04783333333333,H
2021-12-13 14:00:00,7.682,H
2021-12-13 15:00:00,7.27883333333333,H
2021-12-13 16:00:00,5.448,H
2021-12-13 17:00:00,4.276,H
2021-12-13 18:00:00,3.66533333333333,H
2021-12-13 19:00:00,3.66533333333333,H
2021-12-13 20:00:00,4.0325,H
2021-12-13 21:00:00,3.64716666666667,H
2021-12-13 22:00:00,2.83666666666667,H
2021-12-13 23:00:00,2.33833333333333,H
2021-12-14 00:00:00,1.97983333333333,H
2021-12-14 01:00:00,1.782,H
2021-12-14 02:00:00,1.764,H
2021-12-14 03:00:00,1.998,H
2021-12-14 04:00:00,1.2350463251583466,R
2021-12-14 05:00:00,2.19516666666667,H
2021-12-14 06:00:00,2.32066666666667,H
2021-12-14 07:00:00,2.5525,H
2021-12-14 08:00:00,2.92533333333333,H
2021-12-14 09:00:00,3.43633333333333,H
2021-12-14 10:00:00,4.29283333333333,H
2021-12-14 11:00:00,5.77266666666667,H
2021-12-14 12:00:00,5.75716666666667,H
2021-12-14 13:00:00,3.987522418364384,R
2021-12-14 14:00:00,4.3381563155880825,R
2021-12-14 15:00:00,5.46666666666667,H
2021-12-14 16:00:00,5.05466666666667,H
2021-12-14 17:00:00,4.53633333333333,H
2021-12-14 18:00:00,3.96266666666667,H
2021-12-14 19:00:00,3.7355,H
2021-12-14 20:00:00,3.6544202160018697,R
2021-12-14 21:00:00,3.40183333333333,H
2021-12-14 22:00:00,3.402,H
2021-12-14 23:00:00,3.5425,H
2021-12-15 00:00:00,3.7005,H
2021-12-15 01:00:00,3.9105,H
2021-12-15 02:00:00,4.01533333333333,H
2021-12-15 03:00:00,4.172,H
2021-12-15 04:00:00,3.6193568262794997,R
2021-12-15 05:00:00,3.6719519108630547,R
2021-12-15 06:00:00,3.715781148016017,R
2021-12-15 07:00:00,3.663186063432462,R
2021-12-15 08:00:00,4.172,H
2021-12-15 09:00:00,4.29366666666667,H
2021-12-15 10:00:00,4.467,H
2021-12-15 11:00:00,5.14066666666667,H
2021-12-15 12:00:00,5.15783333333333,H
2021-12-15 13:00:00,5.17533333333333,H
2021-12-15 14:00:00,5.38133333333333,H
2021-12-15 15:00:00,5.1925,H
2021-12-15 16:00:00,4.767682839687113,R
2021-12-15 17:00:00,4.785214534548299,R
2021-12-15 18:00:00,4.741385297395336,R
2021-12-15 19:00:00,5.1925,H
2021-12-15 20:00:00,4.671258517950596,R
2021-12-15 21:00:00,5.2095,H
2021-12-15 22:00:00,4.46964402704697,R
2021-12-15 23:00:00,5.14083333333333,H
2021-12-16 00:00:00,5.10633333333333,H
2021-12-16 01:00:00,4.96833333333333,H
2021-12-16 02:00:00,4.311858773296305,R
2021-12-16 03:00:00,4.154073519545641,R
2021-12-16 04:00:00,3.8560347069054965,R
2021-12-16 05:00:00,3.7070153005854247,R
2021-12-16 06:00:00,4.24116666666667,H
2021-12-16 07:00:00,3.437,H
2021-12-16 08:00:00,3.47216666666667,H
2021-12-16 09:00:00,4.43166666666667,H
2021-12-16 10:00:00,5.62016666666667,H
2021-12-16 11:00:00,6.268,H
2021-12-16 12:00:00,6.234,H
2021-12-16 13:00:00,6.302,H
2021-12-16 14:00:00,6.353,H
2021-12-16 15:00:00,6.217,H
2021-12-16 16:00:00,5.92783333333333,H
2021-12-16 17:00:00,5.48383333333333,H
