,dttm,th,origin
1,2021-12-13 00:00:00,4.89966666666667,H
2,2021-12-13 01:00:00,4.95116666666667,H
3,2021-12-13 02:00:00,4.8825,H
4,2021-12-13 03:00:00,4.34533333333333,H
5,2021-12-13 04:00:00,3.62983333333333,H
6,2021-12-13 05:00:00,2.39116666666667,H
7,2021-12-13 06:00:00,1.54766666666667,H
8,2021-12-13 07:00:00,1.36633333333333,H
9,2021-12-13 08:00:00,1.14833333333333,H
10,2021-12-13 09:00:00,1.70966666666667,H
11,2021-12-13 10:00:00,3.383,H
12,2021-12-13 11:00:00,4.744,H
13,2021-12-13 12:00:00,5.757,H
14,2021-12-13 13:00:00,6.64016666666667,H
15,2021-12-13 14:00:00,6.99483333333333,H
16,2021-12-13 15:00:00,6.50466666666667,H
17,2021-12-13 16:00:00,5.2945,H
18,2021-12-13 17:00:00,3.97983333333333,H
19,2021-12-13 18:00:00,3.17266666666667,H
20,2021-12-13 19:00:00,2.517,H
21,2021-12-13 20:00:00,1.9975,H
22,2021-12-13 21:00:00,1.43866666666667,H
23,2021-12-13 22:00:00,1.6735,H
24,2021-12-13 23:00:00,1.45633333333333,H
25,2021-12-14 00:00:00,1.00266666666667,H
26,2021-12-14 01:00:00,0.7465,H
27,2021-12-14 02:00:00,0.3425,H
28,2021-12-14 03:00:00,-0.0646666666666667,H
29,2021-12-14 04:00:00,0.138666666666667,H
30,2021-12-14 05:00:00,0.966333333333333,H
31,2021-12-14 06:00:00,1.60133333333333,H
32,2021-12-14 07:00:00,2.052,H
33,2021-12-14 08:00:00,2.28466666666667,H
34,2021-12-14 09:00:00,3.083,H
35,2021-12-14 10:00:00,4.7255,H
36,2021-12-14 11:00:00,5.97816666666667,H
37,2021-12-14 12:00:00,4.8475,H
38,2021-12-14 13:00:00,5.58633333333333,H
39,2021-12-14 14:00:00,5.41533333333333,H
40,2021-12-14 15:00:00,4.96866666666667,H
41,2021-12-14 16:00:00,4.58833333333333,H
42,2021-12-14 17:00:00,3.8755,H
43,2021-12-14 18:00:00,4.276,H
44,2021-12-14 19:00:00,4.18933333333333,H
45,2021-12-14 20:00:00,3.99766666666667,H
46,2021-12-14 21:00:00,3.384,H
47,2021-12-14 22:00:00,3.08433333333333,H
48,2021-12-14 23:00:00,3.20783333333333,H
49,2021-12-15 00:00:00,3.56016666666667,H
50,2021-12-15 01:00:00,3.648,H
51,2021-12-15 02:00:00,3.54266666666667,H
52,2021-12-15 03:00:00,3.47216666666667,H
53,2021-12-15 04:00:00,3.718,H
54,2021-12-15 05:00:00,3.683,H
55,2021-12-15 06:00:00,3.7705,H
56,2021-12-15 07:00:00,3.086838,R
57,2021-12-15 08:00:00,3.48983333333333,H
58,2021-12-15 09:00:00,3.59516666666667,H
