"Plot Title: 14_REF_700"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10347328, SEN S/N: 10347328)","Intensity, Lux (LGR S/N: 10347328, SEN S/N: 10347328)","Host Connected (LGR S/N: 10347328)","Coupler Attached (LGR S/N: 10347328)","Stopped (LGR S/N: 10347328)","End Of File (LGR S/N: 10347328)"
1,11/12/2021 01:00:00,4.207,0.0,,,,
2,11/12/2021 01:10:00,4.102,0.0,,,,
3,11/12/2021 01:20:00,4.102,0.0,,,,
4,11/12/2021 01:30:00,4.102,0.0,,,,
5,11/12/2021 01:40:00,3.998,0.0,,,,
6,11/12/2021 01:50:00,3.998,0.0,,,,
7,11/12/2021 02:00:00,4.102,0.0,,,,
8,11/12/2021 02:10:00,4.102,0.0,,,,
9,11/12/2021 02:20:00,4.102,0.0,,,,
10,11/12/2021 02:30:00,4.102,0.0,,,,
11,11/12/2021 02:40:00,4.102,0.0,,,,
12,11/12/2021 02:50:00,4.102,0.0,,,,
13,11/12/2021 03:00:00,4.102,0.0,,,,
14,11/12/2021 03:10:00,4.102,0.0,,,,
15,11/12/2021 03:20:00,4.102,0.0,,,,
16,11/12/2021 03:30:00,4.102,0.0,,,,
17,11/12/2021 03:40:00,3.998,0.0,,,,
18,11/12/2021 03:50:00,3.998,0.0,,,,
19,11/12/2021 04:00:00,3.998,0.0,,,,
20,11/12/2021 04:10:00,4.102,0.0,,,,
21,11/12/2021 04:20:00,3.998,0.0,,,,
22,11/12/2021 04:30:00,3.998,0.0,,,,
23,11/12/2021 04:40:00,3.998,0.0,,,,
24,11/12/2021 04:50:00,3.998,0.0,,,,
25,11/12/2021 05:00:00,3.893,0.0,,,,
26,11/12/2021 05:10:00,3.788,0.0,,,,
27,11/12/2021 05:20:00,3.788,0.0,,,,
28,11/12/2021 05:30:00,3.683,0.0,,,,
29,11/12/2021 05:40:00,3.578,0.0,,,,
30,11/12/2021 05:50:00,3.578,0.0,,,,
31,11/12/2021 06:00:00,3.472,0.0,,,,
32,11/12/2021 06:10:00,3.472,0.0,,,,
33,11/12/2021 06:20:00,3.472,0.0,,,,
34,11/12/2021 06:30:00,3.578,0.0,,,,
35,11/12/2021 06:40:00,3.472,0.0,,,,
36,11/12/2021 06:50:00,3.472,0.0,,,,
37,11/12/2021 07:00:00,3.472,0.0,,,,
38,11/12/2021 07:10:00,3.367,0.0,,,,
39,11/12/2021 07:20:00,3.367,0.0,,,,
40,11/12/2021 07:30:00,3.367,0.0,,,,
41,11/12/2021 07:40:00,3.367,0.0,,,,
42,11/12/2021 07:50:00,3.367,0.0,,,,
43,11/12/2021 08:00:00,3.683,0.0,,,,
44,11/12/2021 08:10:00,3.472,10.8,,,,
45,11/12/2021 08:20:00,3.261,53.8,,,,
46,11/12/2021 08:30:00,3.261,64.6,,,,
47,11/12/2021 08:40:00,3.367,204.5,,,,
48,11/12/2021 08:50:00,3.367,193.8,,,,
49,11/12/2021 09:00:00,3.367,193.8,,,,
50,11/12/2021 09:10:00,3.367,376.7,,,,
51,11/12/2021 09:20:00,3.472,538.2,,,,
52,11/12/2021 09:30:00,3.578,807.3,,,,
53,11/12/2021 09:40:00,3.578,581.3,,,,
54,11/12/2021 09:50:00,3.683,958.0,,,,
55,11/12/2021 10:00:00,3.788,914.9,,,,
56,11/12/2021 10:10:00,3.998,1636.1,,,,
57,11/12/2021 10:20:00,4.102,1636.1,,,,
58,11/12/2021 10:30:00,4.207,1550.0,,,,
59,11/12/2021 10:40:00,4.415,1377.8,,,,
60,11/12/2021 10:50:00,4.207,947.2,,,,
61,11/12/2021 11:00:00,4.311,2238.9,,,,
62,11/12/2021 11:10:00,4.519,2238.9,,,,
63,11/12/2021 11:20:00,4.519,1808.3,,,,
64,11/12/2021 11:30:00,4.623,1324.0,,,,
65,11/12/2021 11:40:00,4.519,1237.9,,,,
