"Plot Title: 10610854"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10610854, SEN S/N: 10610854)","Intensity, Lux (LGR S/N: 10610854, SEN S/N: 10610854)","Coupler Attached (LGR S/N: 10610854)","Host Connected (LGR S/N: 10610854)","Coupler Detached (LGR S/N: 10610854)","Stopped (LGR S/N: 10610854)","End Of File (LGR S/N: 10610854)"
1,11/12/2021 01:00:00,5.655,0.0,,,,,
2,11/12/2021 01:10:00,5.655,0.0,,,,,
3,11/12/2021 01:20:00,5.655,0.0,,,,,
4,11/12/2021 01:30:00,5.655,0.0,,,,,
5,11/12/2021 01:40:00,5.757,0.0,,,,,
6,11/12/2021 01:50:00,5.655,0.0,,,,,
7,11/12/2021 02:00:00,5.655,0.0,,,,,
8,11/12/2021 02:10:00,5.655,0.0,,,,,
9,11/12/2021 02:20:00,5.757,0.0,,,,,
10,11/12/2021 02:30:00,5.655,0.0,,,,,
11,11/12/2021 02:40:00,5.655,0.0,,,,,
12,11/12/2021 02:50:00,5.655,0.0,,,,,
13,11/12/2021 03:00:00,5.655,0.0,,,,,
14,11/12/2021 03:10:00,5.655,0.0,,,,,
15,11/12/2021 03:20:00,5.552,0.0,,,,,
16,11/12/2021 03:30:00,5.552,0.0,,,,,
17,11/12/2021 03:40:00,5.552,0.0,,,,,
18,11/12/2021 03:50:00,5.552,0.0,,,,,
19,11/12/2021 04:00:00,5.450,0.0,,,,,
20,11/12/2021 04:10:00,5.450,0.0,,,,,
21,11/12/2021 04:20:00,5.450,0.0,,,,,
22,11/12/2021 04:30:00,5.347,0.0,,,,,
23,11/12/2021 04:40:00,5.347,0.0,,,,,
24,11/12/2021 04:50:00,5.450,0.0,,,,,
25,11/12/2021 05:00:00,5.347,0.0,,,,,
26,11/12/2021 05:10:00,5.347,0.0,,,,,
27,11/12/2021 05:20:00,5.244,0.0,,,,,
28,11/12/2021 05:30:00,5.141,0.0,,,,,
29,11/12/2021 05:40:00,5.037,0.0,,,,,
30,11/12/2021 05:50:00,5.141,0.0,,,,,
31,11/12/2021 06:00:00,5.037,0.0,,,,,
32,11/12/2021 06:10:00,4.934,0.0,,,,,
33,11/12/2021 06:20:00,5.141,0.0,,,,,
34,11/12/2021 06:30:00,5.244,0.0,,,,,
35,11/12/2021 06:40:00,5.450,0.0,,,,,
36,11/12/2021 06:50:00,5.450,0.0,,,,,
37,11/12/2021 07:00:00,5.552,0.0,,,,,
38,11/12/2021 07:10:00,5.655,0.0,,,,,
39,11/12/2021 07:20:00,5.552,0.0,,,,,
40,11/12/2021 07:30:00,5.347,0.0,,,,,
41,11/12/2021 07:40:00,5.347,0.0,,,,,
42,11/12/2021 07:50:00,5.450,0.0,,,,,
43,11/12/2021 08:00:00,5.347,0.0,,,,,
44,11/12/2021 08:10:00,5.244,10.8,,,,,
45,11/12/2021 08:20:00,5.037,43.1,,,,,
46,11/12/2021 08:30:00,5.037,43.1,,,,,
47,11/12/2021 08:40:00,4.934,150.7,,,,,
48,11/12/2021 08:50:00,5.037,139.9,,,,,
49,11/12/2021 09:00:00,4.934,204.5,,,,,
50,11/12/2021 09:10:00,5.141,236.8,,,,,
51,11/12/2021 09:20:00,5.244,366.0,,,,,
52,11/12/2021 09:30:00,5.244,678.1,,,,,
53,11/12/2021 09:40:00,5.244,624.3,,,,,
54,11/12/2021 09:50:00,5.347,613.5,,,,,
55,11/12/2021 10:00:00,5.450,936.5,,,,,
56,11/12/2021 10:10:00,5.655,1087.2,,,,,
57,11/12/2021 10:20:00,5.962,1184.0,,,,,
58,11/12/2021 10:30:00,5.962,1151.7,,,,,
59,11/12/2021 10:40:00,5.962,1463.9,,,,,
60,11/12/2021 10:50:00,6.268,1270.1,,,,,
61,11/12/2021 11:00:00,6.370,1377.8,,,,,
62,11/12/2021 11:10:00,6.573,1313.2,,,,,
63,11/12/2021 11:20:00,6.674,1184.0,,,,,
64,11/12/2021 11:30:00,6.775,742.7,,,,,
65,11/12/2021 11:40:00,6.775,1216.3,,,,,
66,11/12/2021 11:50:00,6.674,796.5,,,,,
67,11/12/2021 12:00:00,6.573,699.7,,,,,
68,11/12/2021 12:10:00,6.471,925.7,,,,,
69,11/12/2021 12:20:00,6.674,818.1,,,,,
70,11/12/2021 12:30:00,6.674,721.2,,,,,
71,11/12/2021 12:40:00,6.775,538.2,,,,,
72,11/12/2021 12:50:00,6.674,484.4,,,,,
73,11/12/2021 13:00:00,6.775,807.3,,,,,
74,11/12/2021 13:10:00,6.573,979.5,,,,,
75,11/12/2021 13:20:00,6.471,710.4,,,,,
76,11/12/2021 13:30:00,6.471,958.0,,,,,
77,11/12/2021 13:40:00,6.674,1001.0,,,,,
78,11/12/2021 13:50:00,6.674,968.8,,,,,
79,11/12/2021 14:00:00,6.674,742.7,,,,,
80,11/12/2021 14:10:00,6.775,570.5,,,,,
81,11/12/2021 14:20:00,6.674,505.9,,,,,
82,11/12/2021 14:30:00,6.775,419.8,,,,,
83,11/12/2021 14:40:00,6.978,312.2,,,,,
84,11/12/2021 14:50:00,6.978,473.6,,,,,
85,11/12/2021 15:00:00,6.877,279.9,,,,,
86,11/12/2021 15:10:00,6.877,344.4,,,,,
87,11/12/2021 15:20:00,6.674,366.0,,,,,
88,11/12/2021 15:30:00,6.573,183.0,,,,,
89,11/12/2021 15:40:00,6.573,161.5,,,,,
90,11/12/2021 15:50:00,6.573,129.2,,,,,
91,11/12/2021 16:00:00,6.573,96.9,,,,,
92,11/12/2021 16:10:00,6.674,43.1,,,,,
93,11/12/2021 16:20:00,6.674,32.3,,,,,
94,11/12/2021 16:30:00,6.877,10.8,,,,,
95,11/12/2021 16:40:00,6.877,0.0,,,,,
96,11/12/2021 16:50:00,6.775,0.0,,,,,
97,11/12/2021 17:00:00,6.775,0.0,,,,,
98,11/12/2021 17:10:00,7.079,0.0,,,,,
99,11/12/2021 17:20:00,6.877,0.0,,,,,
100,11/12/2021 17:30:00,6.877,0.0,,,,,
101,11/12/2021 17:40:00,6.978,0.0,,,,,
102,11/12/2021 17:50:00,6.877,0.0,,,,,
103,11/12/2021 18:00:00,7.079,0.0,,,,,
104,11/12/2021 18:10:00,7.179,0.0,,,,,
105,11/12/2021 18:20:00,7.079,0.0,,,,,
106,11/12/2021 18:30:00,7.079,0.0,,,,,
107,11/12/2021 18:40:00,7.179,0.0,,,,,
108,11/12/2021 18:50:00,7.381,0.0,,,,,
109,11/12/2021 19:00:00,7.582,0.0,,,,,
110,11/12/2021 19:10:00,7.381,0.0,,,,,
111,11/12/2021 19:20:00,7.381,0.0,,,,,
112,11/12/2021 19:30:00,7.179,0.0,,,,,
113,11/12/2021 19:40:00,7.179,0.0,,,,,
114,11/12/2021 19:50:00,7.381,0.0,,,,,
115,11/12/2021 20:00:00,7.582,0.0,,,,,
116,11/12/2021 20:10:00,7.682,0.0,,,,,
117,11/12/2021 20:20:00,7.582,0.0,,,,,
118,11/12/2021 20:30:00,7.481,0.0,,,,,
119,11/12/2021 20:40:00,7.381,0.0,,,,,
120,11/12/2021 20:50:00,7.381,0.0,,,,,
121,11/12/2021 21:00:00,7.280,0.0,,,,,
122,11/12/2021 21:10:00,7.179,0.0,,,,,
123,11/12/2021 21:20:00,7.079,0.0,,,,,
124,11/12/2021 21:30:00,7.280,0.0,,,,,
125,11/12/2021 21:40:00,7.079,0.0,,,,,
126,11/12/2021 21:50:00,6.978,0.0,,,,,
127,11/12/2021 22:00:00,6.877,0.0,,,,,
128,11/12/2021 22:10:00,6.877,0.0,,,,,
129,11/12/2021 22:20:00,6.877,0.0,,,,,
130,11/12/2021 22:30:00,6.978,0.0,,,,,
131,11/12/2021 22:40:00,6.978,0.0,,,,,
132,11/12/2021 22:50:00,7.079,0.0,,,,,
133,11/12/2021 23:00:00,6.877,0.0,,,,,
134,11/12/2021 23:10:00,7.079,0.0,,,,,
135,11/12/2021 23:20:00,6.877,0.0,,,,,
136,11/12/2021 23:30:00,6.877,0.0,,,,,
137,11/12/2021 23:40:00,6.978,0.0,,,,,
138,11/12/2021 23:50:00,6.877,0.0,,,,,
139,12/12/2021 00:00:00,6.877,0.0,,,,,
140,12/12/2021 00:10:00,6.978,0.0,,,,,
141,12/12/2021 00:20:00,6.877,0.0,,,,,
142,12/12/2021 00:30:00,6.775,0.0,,,,,
143,12/12/2021 00:40:00,6.877,0.0,,,,,
144,12/12/2021 00:50:00,6.775,0.0,,,,,
145,12/12/2021 01:00:00,6.674,0.0,,,,,
146,12/12/2021 01:10:00,6.471,0.0,,,,,
147,12/12/2021 01:20:00,6.370,0.0,,,,,
148,12/12/2021 01:30:00,6.268,0.0,,,,,
149,12/12/2021 01:40:00,6.268,0.0,,,,,
150,12/12/2021 01:50:00,6.268,0.0,,,,,
151,12/12/2021 02:00:00,6.166,0.0,,,,,
152,12/12/2021 02:10:00,5.962,0.0,,,,,
153,12/12/2021 02:20:00,5.962,0.0,,,,,
