"Plot Title: 15_FPV_750"
"#","Date Time, GMT+01:00","Line 2 Closed (LGR S/N: 10760769)","Coupler Detached (LGR S/N: 10760769)","Line 1 Open (LGR S/N: 10760769)","Started (LGR S/N: 10760769)","Line 1 Closed (LGR S/N: 10760769)","Coupler Attached (LGR S/N: 10760769)","New Sensor Cap (LGR S/N: 10760769)","Line 2 Open (LGR S/N: 10760769)","Bad Battery (LGR S/N: 10760769)","Host Connected (LGR S/N: 10760769)","Good Battery (LGR S/N: 10760769)","Ext. Line Event (LGR S/N: 10760769)","Undefined (LGR S/N: 10760769)","Stopped (LGR S/N: 10760769)","Line 3 Closed (LGR S/N: 10760769)","Line 3 Open (LGR S/N: 10760769)","End Of File (LGR S/N: 10760769)"
1,01/12/2021 10:34:57,Logged,Logged,,,,,,,,,,,,,,,
2,10/12/2021 13:14:17,Logged,Logged,,,,,,,,,,,,,,,
3,10/12/2021 16:28:25,Logged,,,,,,,,,,,,,,,,
4,17/02/2046 22:39:05,,Logged,,,,,,,,,,,,,,,
5,17/02/2046 22:42:41,,Logged,,,,,,,,,,,,,,,
6,27/02/2046 01:22:00,Logged,Logged,,,,,,,,,,,,,,,
7,08/03/2046 04:01:19,Logged,Logged,,,,,,,,,,,,,,,
8,08/03/2046 07:15:27,Logged,,,,,,,,,,,,,,,,
9,16/05/2070 13:26:07,,Logged,,,,,,,,,,,,,,,
10,16/05/2070 13:29:43,,Logged,,,,,,,,,,,,,,,
11,16/05/2070 16:43:51,Logged,,,,,,,,,,,,,,,,
12,06/08/2094 02:10:51,,Logged,,,,,,,,,,,,,,,
13,06/08/2094 02:14:29,,Logged,,,,,,,,,,,,,,,
14,29/12/2094 20:44:53,Logged,,,,,,,,,,,,,,,,
15,21/05/2119 22:33:37,,Logged,,,,,,,,,,,,,,,
16,21/05/2119 22:37:20,,Logged,,,,,,,,,,,,,,,
17,09/10/2125 06:56:32,Logged,,,,,,,,,,,,,,,,
18,18/05/2128 10:54:36,,,,,,,,,,Logged,,,,,,,
19,13/06/2084 21:54:26,,,,,,,,,,Logged,,,,,,,
20,26/05/2128 13:16:49,,,,,,,,,,,Logged,,,,,,
21,27/02/2132 15:15:44,Logged,,,,,,,,,,,,,,,,
22,08/07/2132 03:01:17,,,,,,,,,,,Logged,,,,,,
23,17/07/2138 23:39:12,Logged,,,,,,,,,,,,,,,,
24,21/08/2138 21:03:39,Logged,,Logged,,,,,,,,,,,,,,
25,21/08/2138 21:07:23,,Logged,,,,,,,,,,,,,,,
26,25/09/2138 18:32:06,Logged,,,,,,,,,,,,,,,,
27,25/09/2138 20:09:43,,,Logged,,,,,,,,,,,,,,
28,12/02/2139 14:37:41,,Logged,,,,,,,,,,,,,,,
29,12/02/2139 14:37:44,,,,Logged,,,,,,,,,,,,,
30,08/07/2139 22:31:36,,,,,,,,,,,,Logged,Logged,,,,
31,19/08/2144 05:06:25,,,,,,,,,Logged,,,,,,,,
32,21/11/2084 22:33:43,,,,,,,,,Logged,,,,,,,,
33,22/11/2084 03:59:05,,,,,,,,,Logged,,,,,,,,
34,23/03/2155 00:44:26,,,,,,,,,Logged,,,,,,,,
35,23/03/2155 00:45:41,,,,,,,,,,,,,,Logged,,,
36,30/07/2161 22:50:26,,,,,,,,,,,,,,,Logged,,
37,07/01/2162 18:18:15,,Logged,,,,,,,,,,,,,,,
38,11/02/2162 02:03:30,,,,,,,,,,Logged,Logged,,,,,,
39,11/02/2162 02:07:02,,Logged,,,,,,,,,,,,,,,
40,11/02/2162 02:19:06,,Logged,,,,,,,,,,,,,,,
41,14/02/2162 03:20:14,,Logged,,,,,,,,,,,,,,,
42,14/02/2162 03:32:18,,Logged,,,,,,,,,,,,,,,
43,14/02/2162 03:44:22,,Logged,,,,,,,,,,,,,,,
44,14/02/2162 03:56:26,,Logged,,,,,,,,,,,,,,,
45,14/02/2162 04:08:30,,Logged,,,,,,,,,,,,,,,
46,14/02/2162 04:20:34,,Logged,,,,,,,,,,,,,,,
47,14/02/2162 04:32:39,,Logged,,,,,,,,,,,,,,,
48,17/02/2162 05:33:48,,Logged,,,,,,,,,,,,,,,
49,20/02/2162 06:34:58,,Logged,,,,,,,,,,,,,,,
50,01/03/2162 09:14:18,,Logged,,,,,,,,,,,,,,,
51,23/08/2169 17:16:17,,,,,,,Logged,,,,,,,,,,
52,14/11/2169 17:05:48,,,,,,,,Logged,,,,,,,,,
53,19/07/2171 13:40:50,,,,,,,,,Logged,,,,,,,,
54,29/02/2176 02:46:11,Logged,,Logged,,,,,,,,,,,,,,
55,02/07/2139 07:57:42,Logged,,,,,,,,,,,,,,,,
56,11/02/2162 02:19:06,Logged,,,,,,,,,,,,,,,,
57,14/02/2162 03:20:14,Logged,,,,,,,,,,,,,,,,
58,14/02/2162 03:32:18,Logged,,,,,,,,,,,,,,,,
59,14/02/2162 03:44:22,Logged,,,,,,,,,,,,,,,,
60,14/02/2162 03:56:26,Logged,,,,,,,,,,,,,,,,
61,14/02/2162 04:08:30,Logged,,,,,,,,,,,,,,,,
62,14/02/2162 04:20:34,Logged,,,,,,,,,,,,,,,,
63,14/02/2162 04:32:39,Logged,,,,,,,,,,,,,,,,
64,17/02/2162 05:33:48,Logged,,,,,,,,,,,,,,,,
65,20/02/2162 06:34:58,Logged,,,,,,,,,,,,,,,,
66,01/03/2162 09:14:18,Logged,Logged,,,,,,,,,,,,,,,
67,19/04/2162 01:33:46,Logged,,,,,,,,,,,,,,,,
68,17/08/2176 05:35:39,,,,,Logged,Logged,,,,,,,,,,,
69,21/11/2084 22:37:40,,,,,,Logged,,,,,,,,,,,
70,07/01/2162 18:18:15,,,,,,Logged,,,,,,,,,,,
71,14/08/2186 20:49:50,,Logged,,,,,,,,,,,,,,,
72,14/08/2186 20:53:32,,Logged,,,,,,,,,,,,,,,
73,02/01/2193 05:08:28,Logged,,,,,,,,,,,,,,,,
74,06/04/2197 19:58:04,Logged,,,,,,,,,,,,,,,,
75,25/05/2199 17:26:36,Logged,,,,,,,,,,,,,,,,
76,29/08/2203 08:24:44,Logged,,,,,,,,,,,,,,,,
77,03/10/2203 05:49:11,Logged,,,,,,,,,,,,,,,,
78,03/10/2203 06:01:28,,Logged,Logged,,,,,,,,,,,,,,
79,15/11/2237 18:11:15,Logged,,,,,,,,,,,,,,,,
80,31/05/2239 19:43:56,,,Logged,,,,,,,,,,,,,,
81,17/12/2240 16:17:58,,,,Logged,,,,,,,,,,,,Logged,
82,09/07/2242 13:41:05,,,Logged,Logged,,,,,,,,,,,,,
83,30/01/2244 05:16:29,,Logged,,Logged,,,,,,,,,,,,,
84,24/01/2269 17:59:13,,,,Logged,,,,,,,,,,,,,
85,24/01/2269 18:03:15,,Logged,,,,,,,,,,,,,,,
86,07/02/2286 11:20:05,Logged,,,,,,,,,,,,,,,,Logged
