"Plot Title: 5_REF_250"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10760810, SEN S/N: 10760810)","Intensity, Lux (LGR S/N: 10760810, SEN S/N: 10760810)","Coupler Attached (LGR S/N: 10760810)","Host Connected (LGR S/N: 10760810)","Stopped (LGR S/N: 10760810)","End Of File (LGR S/N: 10760810)"
1,11/12/2021 01:00:00,4.727,0.0,,,,
2,11/12/2021 01:10:00,4.727,0.0,,,,
3,11/12/2021 01:20:00,4.623,0.0,,,,
4,11/12/2021 01:30:00,4.623,0.0,,,,
5,11/12/2021 01:40:00,4.623,0.0,,,,
6,11/12/2021 01:50:00,4.623,0.0,,,,
7,11/12/2021 02:00:00,4.623,0.0,,,,
8,11/12/2021 02:10:00,4.727,0.0,,,,
9,11/12/2021 02:20:00,4.623,0.0,,,,
10,11/12/2021 02:30:00,4.623,0.0,,,,
11,11/12/2021 02:40:00,4.727,0.0,,,,
12,11/12/2021 02:50:00,4.727,0.0,,,,
13,11/12/2021 03:00:00,4.727,0.0,,,,
14,11/12/2021 03:10:00,4.727,0.0,,,,
15,11/12/2021 03:20:00,4.727,0.0,,,,
16,11/12/2021 03:30:00,4.727,0.0,,,,
17,11/12/2021 03:40:00,4.727,0.0,,,,
18,11/12/2021 03:50:00,4.727,0.0,,,,
19,11/12/2021 04:00:00,4.727,0.0,,,,
20,11/12/2021 04:10:00,4.727,0.0,,,,
21,11/12/2021 04:20:00,4.727,0.0,,,,
22,11/12/2021 04:30:00,4.727,0.0,,,,
23,11/12/2021 04:40:00,4.623,0.0,,,,
24,11/12/2021 04:50:00,4.623,0.0,,,,
25,11/12/2021 05:00:00,4.623,0.0,,,,
26,11/12/2021 05:10:00,4.519,0.0,,,,
27,11/12/2021 05:20:00,4.415,0.0,,,,
28,11/12/2021 05:30:00,4.415,0.0,,,,
29,11/12/2021 05:40:00,4.415,0.0,,,,
30,11/12/2021 05:50:00,4.415,0.0,,,,
31,11/12/2021 06:00:00,4.311,0.0,,,,
32,11/12/2021 06:10:00,4.311,0.0,,,,
33,11/12/2021 06:20:00,4.311,0.0,,,,
34,11/12/2021 06:30:00,4.311,0.0,,,,
35,11/12/2021 06:40:00,4.207,0.0,,,,
36,11/12/2021 06:50:00,4.207,0.0,,,,
37,11/12/2021 07:00:00,4.207,0.0,,,,
38,11/12/2021 07:10:00,4.207,0.0,,,,
39,11/12/2021 07:20:00,4.102,0.0,,,,
40,11/12/2021 07:30:00,4.102,0.0,,,,
41,11/12/2021 07:40:00,4.207,0.0,,,,
42,11/12/2021 07:50:00,4.207,0.0,,,,
43,11/12/2021 08:00:00,4.311,0.0,,,,
44,11/12/2021 08:10:00,4.311,21.5,,,,
45,11/12/2021 08:20:00,4.102,64.6,,,,
46,11/12/2021 08:30:00,4.207,86.1,,,,
47,11/12/2021 08:40:00,4.102,204.5,,,,
48,11/12/2021 08:50:00,4.102,290.6,,,,
49,11/12/2021 09:00:00,4.102,376.7,,,,
50,11/12/2021 09:10:00,4.207,398.3,,,,
51,11/12/2021 09:20:00,4.519,592.0,,,,
52,11/12/2021 09:30:00,4.311,968.8,,,,
53,11/12/2021 09:40:00,4.415,1022.6,,,,
54,11/12/2021 09:50:00,4.415,1108.7,,,,
55,11/12/2021 10:00:00,4.623,1463.9,,,,
56,11/12/2021 10:10:00,4.831,1550.0,,,,
57,11/12/2021 10:20:00,4.934,2066.7,,,,
58,11/12/2021 10:30:00,5.141,2755.6,,,,
59,11/12/2021 10:40:00,5.244,3444.5,,,,
60,11/12/2021 10:50:00,5.347,2927.8,,,,
61,11/12/2021 11:00:00,5.347,2238.9,,,,
62,11/12/2021 11:10:00,5.347,1808.3,,,,
63,11/12/2021 11:20:00,5.450,2238.9,,,,
64,11/12/2021 11:30:00,5.450,1636.1,,,,
65,11/12/2021 11:40:00,5.347,1808.3,,,,
66,11/12/2021 11:50:00,5.347,1227.1,,,,
67,11/12/2021 12:00:00,5.347,968.8,,,,
68,11/12/2021 12:10:00,5.450,1345.5,,,,
69,11/12/2021 12:20:00,5.450,1334.7,,,,
70,11/12/2021 12:30:00,5.552,1367.0,,,,
71,11/12/2021 12:40:00,5.552,968.8,,,,
72,11/12/2021 12:50:00,5.450,850.4,,,,
73,11/12/2021 13:00:00,5.552,1248.6,,,,
74,11/12/2021 13:10:00,5.450,1280.9,,,,
75,11/12/2021 13:20:00,5.244,1205.6,,,,
76,11/12/2021 13:30:00,5.244,1377.8,,,,
77,11/12/2021 13:40:00,5.450,1463.9,,,,
78,11/12/2021 13:50:00,5.347,1377.8,,,,
79,11/12/2021 14:00:00,5.347,1162.5,,,,
80,11/12/2021 14:10:00,5.450,947.2,,,,
81,11/12/2021 14:20:00,5.450,893.4,,,,
82,11/12/2021 14:30:00,5.450,624.3,,,,
83,11/12/2021 14:40:00,5.347,505.9,,,,
84,11/12/2021 14:50:00,5.552,667.4,,,,
85,11/12/2021 15:00:00,5.655,516.7,,,,
86,11/12/2021 15:10:00,5.552,409.0,,,,
87,11/12/2021 15:20:00,5.655,516.7,,,,
88,11/12/2021 15:30:00,5.655,290.6,,,,
89,11/12/2021 15:40:00,5.655,236.8,,,,
90,11/12/2021 15:50:00,5.655,150.7,,,,
91,11/12/2021 16:00:00,5.655,150.7,,,,
92,11/12/2021 16:10:00,5.655,86.1,,,,
93,11/12/2021 16:20:00,5.552,53.8,,,,
94,11/12/2021 16:30:00,5.655,21.5,,,,
95,11/12/2021 16:40:00,5.552,10.8,,,,
96,11/12/2021 16:50:00,5.655,0.0,,,,
97,11/12/2021 17:00:00,5.552,0.0,,,,
98,11/12/2021 17:10:00,5.552,0.0,,,,
99,11/12/2021 17:20:00,5.450,0.0,,,,
100,11/12/2021 17:30:00,5.552,0.0,,,,
101,11/12/2021 17:40:00,5.450,0.0,,,,
102,11/12/2021 17:50:00,5.450,0.0,,,,
103,11/12/2021 18:00:00,5.347,0.0,,,,
104,11/12/2021 18:10:00,5.347,0.0,,,,
105,11/12/2021 18:20:00,5.450,0.0,,,,
106,11/12/2021 18:30:00,5.347,0.0,,,,
107,11/12/2021 18:40:00,5.347,0.0,,,,
108,11/12/2021 18:50:00,5.347,0.0,,,,
109,11/12/2021 19:00:00,5.450,0.0,,,,
110,11/12/2021 19:10:00,5.450,0.0,,,,
111,11/12/2021 19:20:00,5.450,0.0,,,,
112,11/12/2021 19:30:00,5.450,0.0,,,,
113,11/12/2021 19:40:00,5.450,0.0,,,,
114,11/12/2021 19:50:00,5.552,0.0,,,,
115,11/12/2021 20:00:00,5.450,0.0,,,,
116,11/12/2021 20:10:00,5.450,0.0,,,,
117,11/12/2021 20:20:00,5.450,0.0,,,,
118,11/12/2021 20:30:00,5.450,0.0,,,,
119,11/12/2021 20:40:00,5.450,0.0,,,,
