"id","dttm","temp","lux"
1,"2022-12-01 00:00",7.114,0
2,"2022-12-01 00:10",6.912,0
3,"2022-12-01 00:20",6.812,0
4,"2022-12-01 00:30",6.812,0
5,"2022-12-01 00:40",6.912,0
6,"2022-12-01 00:50",6.912,0
7,"2022-12-01 01:00",6.912,0
8,"2022-12-01 01:10",6.912,0
9,"2022-12-01 01:20",6.812,0
10,"2022-12-01 01:30",6.812,0
11,"2022-12-01 01:40",6.711,0
12,"2022-12-01 01:50",6.812,0
13,"2022-12-01 02:00",6.711,0
14,"2022-12-01 02:10",6.812,0
15,"2022-12-01 02:20",6.912,0
16,"2022-12-01 02:30",6.711,0
17,"2022-12-01 02:40",6.508,0
18,"2022-12-01 02:50",6.306,0
19,"2022-12-01 03:00",6.103,0
20,"2022-12-01 03:10",6.001,0
21,"2022-12-01 03:20",5.797,0
22,"2022-12-01 03:30",5.695,0
23,"2022-12-01 03:40",5.49,0
24,"2022-12-01 03:50",5.388,0
25,"2022-12-01 04:00",5.285,0
26,"2022-12-01 04:10",5.183,0
27,"2022-12-01 04:20",5.183,0
28,"2022-12-01 04:30",5.08,0
29,"2022-12-01 04:40",5.08,0
30,"2022-12-01 04:50",4.977,0
31,"2022-12-01 05:00",4.874,0
32,"2022-12-01 05:10",4.977,0
33,"2022-12-01 05:20",4.977,0
34,"2022-12-01 05:30",4.977,0
35,"2022-12-01 05:40",4.77,0
36,"2022-12-01 05:50",4.667,0
37,"2022-12-01 06:00",4.564,0
38,"2022-12-01 06:10",4.564,0
39,"2022-12-01 06:20",4.46,0
40,"2022-12-01 06:30",4.356,0
41,"2022-12-01 06:40",4.564,0
42,"2022-12-01 06:50",4.667,0
43,"2022-12-01 07:00",4.667,0
44,"2022-12-01 07:10",4.77,0
45,"2022-12-01 07:20",4.77,0
46,"2022-12-01 07:30",4.667,0
47,"2022-12-01 07:40",4.77,0
48,"2022-12-01 07:50",4.667,0
49,"2022-12-01 08:00",4.564,0
50,"2022-12-01 08:10",4.46,0
51,"2022-12-01 08:20",4.356,0
52,"2022-12-01 08:30",4.46,10.8
53,"2022-12-01 08:40",4.667,10.8
54,"2022-12-01 08:50",4.77,10.8
55,"2022-12-01 09:00",4.667,21.5
56,"2022-12-01 09:10",4.77,43.1
57,"2022-12-01 09:20",4.77,43.1
58,"2022-12-01 09:30",4.77,64.6
59,"2022-12-01 09:40",4.874,64.6
60,"2022-12-01 09:50",5.08,96.9
61,"2022-12-01 10:00",5.285,96.9
