"dttm","th","origin"
"2022.12.01 00:00:00",6.051,"R"
"2022.12.01 01:00:00",5.865,"H"
"2022.12.01 02:00:00",5.814,"H"
"2022.12.01 03:00:00",5.336,"H"
"2022.12.01 04:00:00",4.633,"H"
"2022.12.01 05:00:00",4.408,"H"
"2022.12.01 06:00:00",4.131,"H"
"2022.12.01 07:00:00",4.079,"H"
"2022.12.01 08:00:00",4.009,"H"
"2022.12.01 09:00:00",4.131,"H"
"2022.12.01 10:00:00",4.425,"H"
"2022.12.01 11:00:00",4.356,"H"
"2022.12.01 12:00:00",4.373,"H"
"2022.12.01 13:00:00",4.443,"H"
"2022.12.01 14:00:00",4.512,"H"
"2022.12.01 15:00:00",4.165,"H"
"2022.12.01 16:00:00",3.922,"H"
"2022.12.01 17:00:00",3.696,"H"
"2022.12.01 18:00:00",3.503,"H"
"2022.12.01 19:00:00",3.346,"H"
"2022.12.01 20:00:00",3.258,"H"
"2022.12.01 21:00:00",3.223,"H"
"2022.12.01 22:00:00",3.205,"H"
"2022.12.01 23:00:00",3.135,"H"
"2022.12.02 00:00:00",3.17,"H"
"2022.12.02 01:00:00",3.17,"H"
"2022.12.02 02:00:00",2.959,"H"
"2022.12.02 03:00:00",2.976,"H"
"2022.12.02 04:00:00",2.976,"H"
"2022.12.02 05:00:00",2.976,"H"
"2022.12.02 06:00:00",3.029,"H"
"2022.12.02 07:00:00",3.1,"H"
"2022.12.02 08:00:00",3.188,"H"
"2022.12.02 09:00:00",3.24,"H"
"2022.12.02 10:00:00",3.416,"H"
"2022.12.02 11:00:00",3.608,"H"
"2022.12.02 12:00:00",3.713,"H"
"2022.12.02 13:00:00",3.748,"H"
"2022.12.02 14:00:00",3.905,"H"
"2022.12.02 15:00:00",4.131,"H"
"2022.12.02 16:00:00",4.131,"H"
"2022.12.02 17:00:00",3.94,"H"
"2022.12.02 18:00:00",3.748,"H"
"2022.12.02 19:00:00",3.591,"H"
"2022.12.02 20:00:00",3.644,"H"
"2022.12.02 21:00:00",3.608,"H"
"2022.12.02 22:00:00",3.538,"H"
"2022.12.02 23:00:00",3.503,"H"
"2022.12.03 00:00:00",3.029,"H"
"2022.12.03 01:00:00",2.339,"H"
"2022.12.03 02:00:00",2.286,"H"
"2022.12.03 03:00:00",1.731,"H"
"2022.12.03 04:00:00",1.605,"H"
"2022.12.03 05:00:00",1.857,"H"
"2022.12.03 06:00:00",1.659,"H"
"2022.12.03 07:00:00",1.695,"H"
"2022.12.03 08:00:00",1.641,"H"
"2022.12.03 09:00:00",1.461,"H"
"2022.12.03 10:00:00",1.856,"H"
"2022.12.03 11:00:00",1.964,"H"
"2022.12.03 12:00:00",2.285,"H"
"2022.12.03 13:00:00",2.428,"H"
"2022.12.03 14:00:00",2.552,"H"
"2022.12.03 15:00:00",2.694,"H"
"2022.12.03 16:00:00",2.782,"H"
"2022.12.03 17:00:00",2.8,"H"
"2022.12.03 18:00:00",2.729,"H"
"2022.12.03 19:00:00",2.676,"H"
"2022.12.03 20:00:00",2.64,"H"
"2022.12.03 21:00:00",2.356,"H"
"2022.12.03 22:00:00",1.893,"H"
"2022.12.03 23:00:00",1.298,"H"
"2022.12.04 00:00:00",1.263,"H"
"2022.12.04 01:00:00",1.154,"H"
"2022.12.04 02:00:00",1.154,"H"
"2022.12.04 03:00:00",1.317,"H"
"2022.12.04 04:00:00",1.19,"H"
"2022.12.04 05:00:00",1.281,"H"
"2022.12.04 06:00:00",0.972,"H"
"2022.12.04 07:00:00",0.881,"H"
"2022.12.04 08:00:00",1.027,"H"
"2022.12.04 09:00:00",1.371,"H"
"2022.12.04 10:00:00",1.533,"H"
"2022.12.04 11:00:00",1.892,"H"
"2022.12.04 12:00:00",1.982,"H"
"2022.12.04 13:00:00",1.946,"H"
"2022.12.04 14:00:00",1.964,"H"
"2022.12.04 15:00:00",2.018,"H"
"2022.12.04 16:00:00",1.928,"H"
"2022.12.04 17:00:00",1.928,"H"
"2022.12.04 18:00:00",1.946,"H"
"2022.12.04 19:00:00",2.036,"H"
"2022.12.04 20:00:00",2.054,"H"
"2022.12.04 21:00:00",2.214,"H"
"2022.12.04 22:00:00",2.41,"H"
"2022.12.04 23:00:00",2.321,"H"
"2022.12.05 00:00:00",2.392,"H"
"2022.12.05 01:00:00",2.463,"H"
"2022.12.05 02:00:00",2.392,"H"
"2022.12.05 03:00:00",2.623,"H"
"2022.12.05 04:00:00",2.764,"H"
"2022.12.05 05:00:00",4.06,"H"
"2022.12.05 06:00:00",4.753,"H"
"2022.12.05 07:00:00",4.77,"H"
"2022.12.05 08:00:00",4.977,"H"
"2022.12.05 09:00:00",5.251,"H"
"2022.12.05 10:00:00",5.746,"H"
"2022.12.05 11:00:00",6.474,"H"
"2022.12.05 12:00:00",6.71,"H"
"2022.12.05 13:00:00",6.576,"H"
"2022.12.05 14:00:00",6.441,"H"
"2022.12.05 15:00:00",6.828,"H"
"2022.12.05 16:00:00",6.187,"H"
"2022.12.05 17:00:00",5.729,"H"
"2022.12.05 18:00:00",5.336,"H"
"2022.12.05 19:00:00",5.029,"H"
"2022.12.05 20:00:00",4.753,"H"
"2022.12.05 21:00:00",4.165,"H"
"2022.12.05 22:00:00",3.275,"H"
"2022.12.05 23:00:00",2.764,"H"
"2022.12.06 00:00:00",2.764,"H"
"2022.12.06 01:00:00",2.071,"H"
"2022.12.06 02:00:00",1.892,"H"
"2022.12.06 03:00:00",2.071,"H"
"2022.12.06 04:00:00",1.785,"H"
"2022.12.06 05:00:00",2.071,"H"
"2022.12.06 06:00:00",2.268,"H"
"2022.12.06 07:00:00",2.357,"H"
"2022.12.06 08:00:00",2.463,"H"
"2022.12.06 09:00:00",2.8,"H"
"2022.12.06 10:00:00",3.608,"H"
"2022.12.06 11:00:00",4.77,"H"
"2022.12.06 12:00:00",5.507,"H"
"2022.12.06 13:00:00",5.984,"H"
"2022.12.06 14:00:00",5.371,"H"
"2022.12.06 15:00:00",5.097,"H"
"2022.12.06 16:00:00",4.736,"H"
"2022.12.06 17:00:00",4.044,"H"
"2022.12.06 18:00:00",3.748,"H"
"2022.12.06 19:00:00",3.679,"H"
"2022.12.06 20:00:00",3.556,"H"
"2022.12.06 21:00:00",3.364,"H"
"2022.12.06 22:00:00",3.258,"H"
"2022.12.06 23:00:00",3.1,"H"
"2022.12.07 00:00:00",3.1,"H"
"2022.12.07 01:00:00",3.152,"H"
"2022.12.07 02:00:00",3.258,"H"
"2022.12.07 03:00:00",3.205,"H"
"2022.12.07 04:00:00",2.994,"H"
"2022.12.07 05:00:00",2.976,"H"
"2022.12.07 06:00:00",3.047,"H"
"2022.12.07 07:00:00",2.552,"H"
"2022.12.07 08:00:00",1.749,"H"
"2022.12.07 09:00:00",1.694,"H"
"2022.12.07 10:00:00",3.01,"H"
"2022.12.07 11:00:00",4.304,"H"
"2022.12.07 12:00:00",5.249,"H"
"2022.12.07 13:00:00",5.933,"H"
"2022.12.07 14:00:00",5.61,"H"
"2022.12.07 15:00:00",5.319,"H"
"2022.12.07 16:00:00",4.563,"H"
"2022.12.07 17:00:00",3.433,"H"
"2022.12.07 18:00:00",2.605,"H"
"2022.12.07 19:00:00",2.427,"H"
"2022.12.07 20:00:00",1.641,"H"
"2022.12.07 21:00:00",1.262,"H"
"2022.12.07 22:00:00",1.136,"H"
"2022.12.07 23:00:00",1.407,"H"
"2022.12.08 00:00:00",1.551,"H"
"2022.12.08 01:00:00",0.699,"H"
"2022.12.08 02:00:00",0.241,"H"
"2022.12.08 03:00:00",-0.294,"H"
"2022.12.08 04:00:00",-0.76,"H"
"2022.12.08 05:00:00",-0.499,"H"
"2022.12.08 06:00:00",-0.873,"H"
"2022.12.08 07:00:00",-0.967,"H"
"2022.12.08 08:00:00",-0.555,"H"
"2022.12.08 09:00:00",-0.201,"H"
"2022.12.08 10:00:00",0.406,"H"
"2022.12.08 11:00:00",1.655,"H"
"2022.12.08 12:00:00",0.589,"H"
"2022.12.08 13:00:00",1.172,"H"
"2022.12.08 14:00:00",2.937,"H"
"2022.12.08 15:00:00",3.292,"H"
"2022.12.08 16:00:00",2.356,"H"
"2022.12.08 17:00:00",1.171,"H"
"2022.12.08 18:00:00",0.425,"H"
"2022.12.08 19:00:00",0.112,"H"
"2022.12.08 20:00:00",-0.387,"H"
"2022.12.08 21:00:00",-1.116,"H"
"2022.12.08 22:00:00",-1.362,"H"
"2022.12.08 23:00:00",-1.4,"H"
"2022.12.09 00:00:00",-1.324,"H"
"2022.12.09 01:00:00",-1.742,"H"
"2022.12.09 02:00:00",-2.124,"H"
"2022.12.09 03:00:00",-2.528,"H"
"2022.12.09 04:00:00",-2.354,"H"
"2022.12.09 05:00:00",-2.393,"H"
"2022.12.09 06:00:00",-2.374,"H"
"2022.12.09 07:00:00",-2.104,"H"
"2022.12.09 08:00:00",-1.951,"H"
"2022.12.09 09:00:00",-1.571,"H"
"2022.12.09 10:00:00",-1.324,"H"
"2022.12.09 11:00:00",-0.686,"H"
"2022.12.09 12:00:00",-0.22,"H"
"2022.12.09 13:00:00",-0.164,"H"
"2022.12.09 14:00:00",-0.072,"H"
"2022.12.09 15:00:00",-0.09,"H"
"2022.12.09 16:00:00",-0.313,"H"
"2022.12.09 17:00:00",-0.294,"H"
"2022.12.09 18:00:00",-0.238,"H"
"2022.12.09 19:00:00",-0.146,"H"
"2022.12.09 20:00:00",-0.016,"H"
"2022.12.09 21:00:00",0.113,"H"
"2022.12.09 22:00:00",0.149,"H"
"2022.12.09 23:00:00",0.094,"H"
"2022.12.10 00:00:00",0.186,"H"
"2022.12.10 01:00:00",0.223,"H"
"2022.12.10 02:00:00",0.278,"H"
"2022.12.10 03:00:00",0.186,"H"
"2022.12.10 04:00:00",0.168,"H"
"2022.12.10 05:00:00",0.094,"H"
"2022.12.10 06:00:00",0.186,"H"
"2022.12.10 07:00:00",0.094,"H"
"2022.12.10 08:00:00",0.076,"H"
"2022.12.10 09:00:00",0.113,"H"
"2022.12.10 10:00:00",0.186,"H"
"2022.12.10 11:00:00",0.186,"H"
"2022.12.10 12:00:00",0.241,"H"
"2022.12.10 13:00:00",0.149,"H"
"2022.12.10 14:00:00",0.131,"H"
"2022.12.10 15:00:00",0.076,"H"
"2022.12.10 16:00:00",0.002,"H"
"2022.12.10 17:00:00",-0.09,"H"
"2022.12.10 18:00:00",-0.146,"H"
"2022.12.10 19:00:00",-0.072,"H"
"2022.12.10 20:00:00",-0.276,"H"
"2022.12.10 21:00:00",-0.667,"H"
"2022.12.10 22:00:00",-0.816,"H"
"2022.12.10 23:00:00",-1.324,"H"
"2022.12.11 00:00:00",-1.457,"H"
"2022.12.11 01:00:00",-1.514,"H"
"2022.12.11 02:00:00",-1.59,"H"
"2022.12.11 03:00:00",-1.799,"H"
"2022.12.11 04:00:00",-1.685,"H"
"2022.12.11 05:00:00",-1.933,"H"
"2022.12.11 06:00:00",-2.277,"H"
"2022.12.11 07:00:00",-2.664,"H"
"2022.12.11 08:00:00",-3.484,"H"
"2022.12.11 09:00:00",-3.17,"H"
"2022.12.11 10:00:00",-2.8,"H"
"2022.12.11 11:00:00",-2.143,"H"
"2022.12.11 12:00:00",-1.704,"H"
"2022.12.11 13:00:00",-1.876,"H"
"2022.12.11 14:00:00",-2.316,"H"
"2022.12.11 15:00:00",-2.413,"H"
"2022.12.11 16:00:00",-2.78,"H"
"2022.12.11 17:00:00",-2.8,"H"
"2022.12.11 18:00:00",-3.308,"H"
"2022.12.11 19:00:00",-3.78,"H"
"2022.12.11 20:00:00",-4.079,"H"
"2022.12.11 21:00:00",-4.218,"H"
"2022.12.11 22:00:00",-4.399,"H"
"2022.12.11 23:00:00",-4.741,"H"
"2022.12.12 00:00:00",-4.781,"H"
"2022.12.12 01:00:00",-5.455,"H"
"2022.12.12 02:00:00",-6.199,"H"
"2022.12.12 03:00:00",-6.346,"H"
"2022.12.12 04:00:00",-6.682,"H"
"2022.12.12 05:00:00",-6.451,"H"
"2022.12.12 06:00:00",-6.324,"H"
"2022.12.12 07:00:00",-6.387,"H"
"2022.12.12 08:00:00",-6.809,"H"
"2022.12.12 09:00:00",-6.576,"H"
"2022.12.12 10:00:00",-5.971,"H"
"2022.12.12 11:00:00",-5.249,"H"
"2022.12.12 12:00:00",-5.086,"H"
"2022.12.12 13:00:00",-4.802,"H"
"2022.12.12 14:00:00",-4.338,"H"
"2022.12.12 15:00:00",-4.539,"H"
"2022.12.12 16:00:00",-4.781,"H"
"2022.12.12 17:00:00",-5.147,"H"
"2022.12.12 18:00:00",-5.127,"H"
"2022.12.12 19:00:00",-5.909,"H"
"2022.12.12 20:00:00",-6.054,"H"
"2022.12.12 21:00:00",-5.929,"H"
"2022.12.12 22:00:00",-5.681,"H"
"2022.12.12 23:00:00",-5.722,"H"
"2022.12.13 00:00:00",-5.825,"H"
"2022.12.13 01:00:00",-6.054,"H"
"2022.12.13 02:00:00",-5.97,"H"
"2022.12.13 03:00:00",-6.095,"H"
"2022.12.13 04:00:00",-5.929,"H"
"2022.12.13 05:00:00",-5.949,"H"
"2022.12.13 06:00:00",-6.22,"H"
"2022.12.13 07:00:00",-6.387,"H"
"2022.12.13 08:00:00",-6.22,"H"
"2022.12.13 09:00:00",-6.074,"H"
"2022.12.13 10:00:00",-5.619,"H"
"2022.12.13 11:00:00",-5.045,"H"
"2022.12.13 12:00:00",-4.822,"H"
"2022.12.13 13:00:00",-4.781,"H"
"2022.12.13 14:00:00",-4.56,"H"
"2022.12.13 15:00:00",-4.138,"H"
"2022.12.13 16:00:00",-4.198,"H"
"2022.12.13 17:00:00",-4.099,"H"
"2022.12.13 18:00:00",-3.84,"H"
"2022.12.13 19:00:00",-3.681,"H"
"2022.12.13 20:00:00",-3.425,"H"
"2022.12.13 21:00:00",-3.268,"H"
"2022.12.13 22:00:00",-3.385,"H"
"2022.12.13 23:00:00",-3.229,"H"
"2022.12.14 00:00:00",-3.111,"H"
"2022.12.14 01:00:00",-2.8,"H"
"2022.12.14 02:00:00",-2.49,"H"
"2022.12.14 03:00:00",-2.451,"H"
"2022.12.14 04:00:00",-2.605,"H"
"2022.12.14 05:00:00",-2.432,"H"
"2022.12.14 06:00:00",-2.162,"H"
"2022.12.14 07:00:00",-2.2,"H"
"2022.12.14 08:00:00",-1.99,"H"
"2022.12.14 09:00:00",-1.799,"H"
"2022.12.14 10:00:00",-1.419,"H"
"2022.12.14 11:00:00",-1.06,"H"
"2022.12.14 12:00:00",-0.835,"H"
"2022.12.14 13:00:00",-0.704,"H"
"2022.12.14 14:00:00",-0.555,"H"
"2022.12.14 15:00:00",-0.461,"H"
"2022.12.14 16:00:00",-0.369,"H"
"2022.12.14 17:00:00",-0.499,"H"
"2022.12.14 18:00:00",-0.48,"H"
"2022.12.14 19:00:00",-0.369,"H"
"2022.12.14 20:00:00",-0.257,"H"
"2022.12.14 21:00:00",-0.35,"H"
"2022.12.14 22:00:00",-0.555,"H"
"2022.12.14 23:00:00",-0.629,"H"
"2022.12.15 00:00:00",-0.835,"H"
"2022.12.15 01:00:00",-0.966,"H"
"2022.12.15 02:00:00",-0.985,"H"
"2022.12.15 03:00:00",-1.097,"H"
"2022.12.15 04:00:00",-1.154,"H"
"2022.12.15 05:00:00",-1.324,"H"
"2022.12.15 06:00:00",-1.419,"H"
"2022.12.15 07:00:00",-1.647,"H"
"2022.12.15 08:00:00",-1.856,"H"
"2022.12.15 09:00:00",-1.932,"H"
"2022.12.15 10:00:00",-1.761,"H"
"2022.12.15 11:00:00",-1.666,"H"
"2022.12.15 12:00:00",-1.647,"H"
"2022.12.15 13:00:00",-1.533,"H"
"2022.12.15 14:00:00",-1.476,"H"
"2022.12.15 15:00:00",-1.457,"H"
"2022.12.15 16:00:00",-1.59,"H"
"2022.12.15 17:00:00",-1.723,"H"
"2022.12.15 18:00:00",-1.666,"H"
"2022.12.15 19:00:00",-1.608,"H"
"2022.12.15 20:00:00",-1.608,"H"
"2022.12.15 21:00:00",-1.818,"H"
"2022.12.15 22:00:00",-2.104,"H"
"2022.12.15 23:00:00",-2.22,"H"
"2022.12.16 00:00:00",-2.22,"H"
"2022.12.16 01:00:00",-2.393,"H"
"2022.12.16 02:00:00",-2.297,"H"
"2022.12.16 03:00:00",-2.374,"H"
"2022.12.16 04:00:00",-2.354,"H"
"2022.12.16 05:00:00",-2.412,"H"
"2022.12.16 06:00:00",-2.412,"H"
"2022.12.16 07:00:00",-2.47,"H"
"2022.12.16 08:00:00",-2.528,"H"
"2022.12.16 09:00:00",-2.451,"H"
"2022.12.16 10:00:00",-2.47,"H"
"2022.12.16 11:00:00",-2.451,"H"
"2022.12.16 12:00:00",-2.297,"H"
"2022.12.16 13:00:00",-2.143,"H"
"2022.12.16 14:00:00",-2.2,"H"
"2022.12.16 15:00:00",-2.316,"H"
"2022.12.16 16:00:00",-2.567,"H"
"2022.12.16 17:00:00",-2.644,"H"
"2022.12.16 18:00:00",-2.567,"H"
"2022.12.16 19:00:00",-2.877,"H"
"2022.12.16 20:00:00",-2.877,"H"
"2022.12.16 21:00:00",-2.955,"H"
"2022.12.16 22:00:00",-3.091,"H"
"2022.12.16 23:00:00",-2.974,"H"
"2022.12.17 00:00:00",-3.229,"H"
"2022.12.17 01:00:00",-3.346,"H"
"2022.12.17 02:00:00",-3.92,"H"
"2022.12.17 03:00:00",-4.499,"H"
"2022.12.17 04:00:00",-5.107,"H"
"2022.12.17 05:00:00",-5.722,"H"
"2022.12.17 06:00:00",-5.866,"H"
"2022.12.17 07:00:00",-6.262,"H"
"2022.12.17 08:00:00",-6.408,"H"
"2022.12.17 09:00:00",-6.095,"H"
"2022.12.17 10:00:00",-5.516,"H"
"2022.12.17 11:00:00",-5.27,"H"
"2022.12.17 12:00:00",-5.352,"H"
"2022.12.17 13:00:00",-5.106,"H"
"2022.12.17 14:00:00",-5.086,"H"
"2022.12.17 15:00:00",-5.086,"H"
"2022.12.17 16:00:00",-5.536,"H"
"2022.12.17 17:00:00",-5.619,"H"
"2022.12.17 18:00:00",-5.68,"H"
"2022.12.17 19:00:00",-6.012,"H"
"2022.12.17 20:00:00",-6.179,"H"
"2022.12.17 21:00:00",-6.074,"H"
"2022.12.17 22:00:00",-5.929,"H"
"2022.12.17 23:00:00",-6.012,"H"
"2022.12.18 00:00:00",-6.074,"H"
"2022.12.18 01:00:00",-6.598,"H"
"2022.12.18 02:00:00",-6.788,"H"
"2022.12.18 03:00:00",-7.17,"H"
"2022.12.18 04:00:00",-7.471,"H"
"2022.12.18 05:00:00",-7.989,"H"
"2022.12.18 06:00:00",-8.339,"H"
"2022.12.18 07:00:00",-8.692,"H"
"2022.12.18 08:00:00",-8.692,"H"
"2022.12.18 09:00:00",-8.781,"H"
"2022.12.18 10:00:00",-7.686,"H"
"2022.12.18 11:00:00",-5.996,"H"
"2022.12.18 12:00:00",-4.883,"H"
"2022.12.18 13:00:00",-3.82,"H"
"2022.12.18 14:00:00",-3.015,"H"
"2022.12.18 15:00:00",-2.897,"H"
"2022.12.18 16:00:00",-3.209,"H"
"2022.12.18 17:00:00",-3.17,"H"
"2022.12.18 18:00:00",-2.994,"H"
"2022.12.18 19:00:00",-2.722,"H"
"2022.12.18 20:00:00",-2.625,"H"
"2022.12.18 21:00:00",-2.278,"H"
"2022.12.18 22:00:00",-2.336,"H"
"2022.12.18 23:00:00",-1.837,"H"
"2022.12.19 00:00:00",-1.419,"H"
"2022.12.19 01:00:00",-1.249,"H"
"2022.12.19 02:00:00",-1.135,"H"
"2022.12.19 03:00:00",-0.816,"H"
"2022.12.19 04:00:00",0.694,"H"
"2022.12.19 05:00:00",1.459,"H"
