id,dttm,temp,lux
1,2022-12-01 00:00,NA,NA
2,2022-12-01 01:00,6.481,0
3,2022-12-01 02:00,6.261,0
4,2022-12-01 03:00,5.617,0
5,2022-12-01 04:00,5.053,0
6,2022-12-01 05:00,4.727,0
7,2022-12-01 06:00,4.641,0
8,2022-12-01 07:00,4.399,0
9,2022-12-01 08:00,4.192,48.433
10,2022-12-01 09:00,4.174,218.867
11,2022-12-01 10:00,4.4,432.383
12,2022-12-01 11:00,4.606,574.083
13,2022-12-01 12:00,4.727,581.267
14,2022-12-01 13:00,5.104,773.217
15,2022-12-01 14:00,4.813,653
16,2022-12-01 15:00,4.486,202.717
17,2022-12-01 16:00,4.174,26.9
18,2022-12-01 17:00,NA,NA
19,2022-12-01 18:00,3.949,0
20,2022-12-01 19:00,3.914,0
21,2022-12-01 20:00,3.792,0
22,2022-12-01 21:00,3.792,0
23,2022-12-01 22:00,3.897,0
24,2022-12-01 23:00,3.74,0
25,2022-12-02 00:00,3.583,0
26,2022-12-02 01:00,3.566,0
27,2022-12-02 02:00,3.461,0
28,2022-12-02 03:00,3.478,0
29,2022-12-02 04:00,3.426,0
30,2022-12-02 05:00,3.531,0
31,2022-12-02 06:00,NA,NA
32,2022-12-02 07:00,NA,NA
33,2022-12-02 08:00,NA,NA
34,2022-12-02 09:00,3.845,398.267
35,2022-12-02 10:00,4.088,635.1
36,2022-12-02 11:00,4.244,669.167
37,2022-12-02 12:00,4.486,685.283
38,2022-12-02 13:00,4.606,918.517
39,2022-12-02 14:00,4.675,667.35
40,2022-12-02 15:00,4.744,733.75
41,2022-12-02 16:00,4.382,174.033
42,2022-12-02 17:00,4.088,0
43,2022-12-02 18:00,4.053,0
44,2022-12-02 19:00,3.914,0
45,2022-12-02 20:00,3.984,0
46,2022-12-02 21:00,NA,NA
47,2022-12-02 22:00,NA,NA
48,2022-12-02 23:00,3.792,0
49,2022-12-03 00:00,3.758,0
50,2022-12-03 01:00,3.548,0
51,2022-12-03 02:00,3.461,0
52,2022-12-03 03:00,3.11,0
53,2022-12-03 04:00,2.881,0
54,2022-12-03 05:00,2.616,0
55,2022-12-03 06:00,2.51,0
56,2022-12-03 07:00,2.297,0
57,2022-12-03 08:00,2.386,57.433
58,2022-12-03 09:00,2.686,583.067
59,2022-12-03 10:00,3.004,961.583
60,2022-12-03 11:00,3.04,755.283
61,2022-12-03 12:00,2.687,922.117
62,2022-12-03 13:00,2.916,853.933
63,2022-12-03 14:00,3.426,475.4
64,2022-12-03 15:00,3.443,310.367
65,2022-12-03 16:00,3.356,69.95
66,2022-12-03 17:00,3.303,0
67,2022-12-03 18:00,2.97,0
68,2022-12-03 19:00,2.934,0
69,2022-12-03 20:00,2.705,0
70,2022-12-03 21:00,2.546,0
71,2022-12-03 22:00,2.35,0
72,2022-12-03 23:00,1.725,0
73,2022-12-04 00:00,1.618,0
74,2022-12-04 01:00,1.672,0
75,2022-12-04 02:00,1.69,0
76,2022-12-04 03:00,1.6,0
77,2022-12-04 04:00,1.582,0
78,2022-12-04 05:00,1.582,0
79,2022-12-04 06:00,1.456,0
80,2022-12-04 07:00,1.33,0
81,2022-12-04 08:00,1.528,95.083
82,2022-12-04 09:00,1.726,579.45
83,2022-12-04 10:00,2.083,841.367
84,2022-12-04 11:00,2.208,722.983
85,2022-12-04 12:00,2.333,683.517
86,2022-12-04 13:00,2.581,791.15
87,2022-12-04 14:00,2.634,548.967
88,2022-12-04 15:00,2.493,324.683
89,2022-12-04 16:00,NA,NA
90,2022-12-04 17:00,NA,NA
91,2022-12-04 18:00,2.386,0
92,2022-12-04 19:00,2.333,0
93,2022-12-04 20:00,NA,NA
94,2022-12-04 21:00,NA,NA
95,2022-12-04 22:00,2.492,0
96,2022-12-04 23:00,2.422,0
97,2022-12-05 00:00,2.457,0
98,2022-12-05 01:00,2.546,0
99,2022-12-05 02:00,2.563,0
100,2022-12-05 03:00,2.775,0
101,2022-12-05 04:00,2.669,0
102,2022-12-05 05:00,3.476,0
103,2022-12-05 06:00,4.348,0
104,2022-12-05 07:00,4.452,0
105,2022-12-05 08:00,NA,NA
106,2022-12-05 09:00,5.242,1169.683
107,2022-12-05 10:00,5.923,2626.383
108,2022-12-05 11:00,6.985,5425.033
109,2022-12-05 12:00,7.67,7405.617
110,2022-12-05 13:00,7.77,6788.467
111,2022-12-05 14:00,7.002,2640.767
112,2022-12-05 15:00,NA,NA
113,2022-12-05 16:00,NA,NA
114,2022-12-05 17:00,5.821,73.55
115,2022-12-05 18:00,5.293,0
116,2022-12-05 19:00,5.088,0
117,2022-12-05 20:00,4.71,0
118,2022-12-05 21:00,4.226,0
119,2022-12-05 22:00,3.949,0
120,2022-12-05 23:00,3.356,0
121,2022-12-06 00:00,2.881,0
122,2022-12-06 01:00,2.74,0
123,2022-12-06 02:00,2.546,0
124,2022-12-06 03:00,2.367,0
125,2022-12-06 04:00,2.101,0
126,2022-12-06 05:00,2.474,0
127,2022-12-06 06:00,2.243,0
128,2022-12-06 07:00,2.333,0
129,2022-12-06 08:00,2.297,206.3
130,2022-12-06 09:00,2.969,1349.083
131,2022-12-06 10:00,NA,NA
132,2022-12-06 11:00,9.453,12859.367
133,2022-12-06 12:00,11.247,14466.783
134,2022-12-06 13:00,NA,NA
135,2022-12-06 14:00,NA,NA
136,2022-12-06 15:00,NA,NA
137,2022-12-06 16:00,6.312,156.067
138,2022-12-06 17:00,5.156,0
139,2022-12-06 18:00,4.572,0
140,2022-12-06 19:00,4.744,0
141,2022-12-06 20:00,4.692,0
142,2022-12-06 21:00,4.572,0
143,2022-12-06 22:00,4.399,0
144,2022-12-06 23:00,4.192,0
145,2022-12-07 00:00,4.105,0
146,2022-12-07 01:00,3.949,0
147,2022-12-07 02:00,3.88,0
148,2022-12-07 03:00,3.792,0
149,2022-12-07 04:00,3.792,0
150,2022-12-07 05:00,3.827,0
151,2022-12-07 06:00,3.583,0
152,2022-12-07 07:00,3.268,1.8
153,2022-12-07 08:00,2.616,378.55
154,2022-12-07 09:00,4.137,5539.85
155,2022-12-07 10:00,NA,NA
156,2022-12-07 11:00,8.807,13203.783
157,2022-12-07 12:00,NA,NA
158,2022-12-07 13:00,9.618,6171.3
159,2022-12-07 14:00,8.45,3831.967
160,2022-12-07 15:00,7.269,1578.7
161,2022-12-07 16:00,6.261,355.217
162,2022-12-07 17:00,5.001,1.8
163,2022-12-07 18:00,4.105,0
164,2022-12-07 19:00,3.513,0
165,2022-12-07 20:00,2.704,0
166,2022-12-07 21:00,2.35,0
167,2022-12-07 22:00,2.845,0
168,2022-12-07 23:00,3.022,0
169,2022-12-08 00:00,2.208,0
170,2022-12-08 01:00,0.985,0
171,2022-12-08 02:00,0.404,0
172,2022-12-08 03:00,0.128,0
173,2022-12-08 04:00,-0.13,0
174,2022-12-08 05:00,0.146,0
175,2022-12-08 06:00,-0.52,0
176,2022-12-08 07:00,-0.575,1.8
177,2022-12-08 08:00,-0.26,556.15
178,2022-12-08 09:00,1.145,5999.133
179,2022-12-08 10:00,2.473,9845.45
180,2022-12-08 11:00,0.348,2210.2
181,2022-12-08 12:00,0.713,2425.467
182,2022-12-08 13:00,0.859,1693.517
183,2022-12-08 14:00,NA,NA
184,2022-12-08 15:00,NA,NA
185,2022-12-08 16:00,NA,NA
186,2022-12-08 17:00,1.095,3.583
187,2022-12-08 18:00,0.347,0
188,2022-12-08 19:00,-0.725,0
189,2022-12-08 20:00,-1.838,0
190,2022-12-08 21:00,-2.836,0
191,2022-12-08 22:00,-2.759,0
192,2022-12-08 23:00,-2.353,0
193,2022-12-09 00:00,-2.585,0
194,2022-12-09 01:00,-2.914,0
195,2022-12-09 02:00,-2.953,0
196,2022-12-09 03:00,-2.623,0
197,2022-12-09 04:00,-2.72,0
198,2022-12-09 05:00,-2.681,0
199,2022-12-09 06:00,-2.604,0
200,2022-12-09 07:00,-2.334,0
201,2022-12-09 08:00,-2.008,43.05
202,2022-12-09 09:00,-1.552,405.433
203,2022-12-09 10:00,-1.268,584.85
204,2022-12-09 11:00,-0.557,1182.25
205,2022-12-09 12:00,-0.223,1067.433
206,2022-12-09 13:00,-0.093,733.75
207,2022-12-09 14:00,0.054,656.583
208,2022-12-09 15:00,0.146,365.967
209,2022-12-09 16:00,0.036,57.4
210,2022-12-09 17:00,0.164,0
211,2022-12-09 18:00,0.018,0
212,2022-12-09 19:00,0.146,0
213,2022-12-09 20:00,0.385,0
214,2022-12-09 21:00,0.349,0
215,2022-12-09 22:00,0.294,0
216,2022-12-09 23:00,NA,NA
217,2022-12-10 00:00,0.275,0
218,2022-12-10 01:00,0.531,0
219,2022-12-10 02:00,0.531,0
220,2022-12-10 03:00,0.586,0
221,2022-12-10 04:00,0.586,0
222,2022-12-10 05:00,0.549,0
223,2022-12-10 06:00,NA,NA
224,2022-12-10 07:00,0.44,0
225,2022-12-10 08:00,0.513,19.733
226,2022-12-10 09:00,0.677,236.817
227,2022-12-10 10:00,NA,NA
228,2022-12-10 11:00,0.823,513.083
229,2022-12-10 12:00,0.986,627.883
230,2022-12-10 13:00,0.932,520.25
231,2022-12-10 14:00,NA,NA
232,2022-12-10 15:00,0.75,373.167
233,2022-12-10 16:00,0.549,48.433
234,2022-12-10 17:00,0.458,0
235,2022-12-10 18:00,0.44,0
236,2022-12-10 19:00,NA,NA
237,2022-12-10 20:00,NA,NA
238,2022-12-10 21:00,-0.039,0
239,2022-12-10 22:00,0.183,0
240,2022-12-10 23:00,-0.669,0
241,2022-12-11 00:00,-1.193,0
242,2022-12-11 01:00,-1.326,0
243,2022-12-11 02:00,-1.439,0
244,2022-12-11 03:00,-2.103,0
245,2022-12-11 04:00,-1.932,0
246,2022-12-11 05:00,-2.027,0
247,2022-12-11 06:00,-2.123,0
248,2022-12-11 07:00,-2.856,0
249,2022-12-11 08:00,-2.856,134.55
250,2022-12-11 09:00,-2.353,717.583
251,2022-12-11 10:00,NA,NA
252,2022-12-11 11:00,NA,NA
253,2022-12-11 12:00,NA,NA
254,2022-12-11 13:00,-0.302,3487.5
255,2022-12-11 14:00,-1.799,1399.317
