date_time,th,origin
2022-12-01 00:00:00,6.36,R
2022-12-01 01:00:00,5.9655,H
2022-12-01 02:00:00,6.085,H
2022-12-01 03:00:00,5.7085,H
2022-12-01 04:00:00,5.1062,H
2022-12-01 05:00:00,4.9157,H
2022-12-01 06:00:00,4.8117,H
2022-12-01 07:00:00,4.8117,H
2022-12-01 08:00:00,4.7943,H
2022-12-01 09:00:00,5.0023,H
2022-12-01 10:00:00,5.0543,H
2022-12-01 11:00:00,5.0197,H
2022-12-01 12:00:00,5.037,H
2022-12-01 13:00:00,5.0717,H
2022-12-01 14:00:00,5.1582,H
2022-12-01 15:00:00,4.6903,H
2022-12-01 16:00:00,4.4815,H
2022-12-01 17:00:00,4.3072,H
2022-12-01 18:00:00,4.01,H
2022-12-01 19:00:00,3.9047,H
2022-12-01 20:00:00,3.7815,H
2022-12-01 21:00:00,3.6583,H
2022-12-01 22:00:00,3.623,H
2022-12-01 23:00:00,3.6407,H
2022-12-02 00:00:00,3.676,H
2022-12-02 01:00:00,3.6053,H
2022-12-02 02:00:00,3.4817,H
2022-12-02 03:00:00,3.411,H
2022-12-02 04:00:00,3.3933,H
2022-12-02 05:00:00,3.4463,H
2022-12-02 06:00:00,3.517,H
2022-12-02 07:00:00,3.6053,H
2022-12-02 08:00:00,3.6407,H
2022-12-02 09:00:00,3.7288,H
2022-12-02 10:00:00,4.0623,H
2022-12-02 11:00:00,4.255,H
2022-12-02 12:00:00,4.29,H
2022-12-02 13:00:00,4.255,H
2022-12-02 14:00:00,4.464,H
2022-12-02 15:00:00,4.7077,H
2022-12-02 16:00:00,4.5338,H
2022-12-02 17:00:00,4.3073,H
2022-12-02 18:00:00,4.08,H
2022-12-02 19:00:00,4.045,H
2022-12-02 20:00:00,4.0625,H
2022-12-02 21:00:00,3.9222,H
2022-12-02 22:00:00,3.8517,H
2022-12-02 23:00:00,3.7638,H
2022-12-03 00:00:00,2.8942,H
2022-12-03 01:00:00,1.7827,H
2022-12-03 02:00:00,2,H
2022-12-03 03:00:00,1.819,H
2022-12-03 04:00:00,2.0358,H
2022-12-03 05:00:00,2.216,H
2022-12-03 06:00:00,2.054,H
2022-12-03 07:00:00,2.198,H
2022-12-03 08:00:00,2.072,H
2022-12-03 09:00:00,2.324,H
2022-12-03 10:00:00,2.4317,H
2022-12-03 11:00:00,2.7183,H
2022-12-03 12:00:00,2.95,H
2022-12-03 13:00:00,3.0212,H
2022-12-03 14:00:00,3.2873,H
2022-12-03 15:00:00,3.358,H
2022-12-03 16:00:00,3.4463,H
2022-12-03 17:00:00,3.3403,H
2022-12-03 18:00:00,3.2163,H
2022-12-03 19:00:00,2.9857,H
2022-12-03 20:00:00,2.5393,H
2022-12-03 21:00:00,2.1618,H
2022-12-03 22:00:00,1.5465,H
2022-12-03 23:00:00,1.273,H
2022-12-04 00:00:00,1.401,H
2022-12-04 01:00:00,1.2553,H
2022-12-04 02:00:00,1.2917,H
2022-12-04 03:00:00,1.4922,H
2022-12-04 04:00:00,1.3647,H
2022-12-04 05:00:00,1.4558,H
2022-12-04 06:00:00,1.1457,H
2022-12-04 07:00:00,1.0727,H
2022-12-04 08:00:00,1.3282,H
2022-12-04 09:00:00,1.692,H
2022-12-04 10:00:00,2.0177,H
2022-12-04 11:00:00,2.432,H
2022-12-04 12:00:00,2.5213,H
2022-12-04 13:00:00,2.5035,H
2022-12-04 14:00:00,2.396,H
2022-12-04 15:00:00,2.378,H
2022-12-04 16:00:00,2.378,H
2022-12-04 17:00:00,2.36,H
2022-12-04 18:00:00,2.342,H
2022-12-04 19:00:00,2.36,H
2022-12-04 20:00:00,2.4678,H
2022-12-04 21:00:00,2.557,H
2022-12-04 22:00:00,2.647,H
2022-12-04 23:00:00,2.647,H
2022-12-05 00:00:00,2.7185,H
2022-12-05 01:00:00,2.6288,H
2022-12-05 02:00:00,2.5393,H
2022-12-05 03:00:00,2.7363,H
2022-12-05 04:00:00,2.8077,H
2022-12-05 05:00:00,3.586,H
2022-12-05 06:00:00,4.6207,H
2022-12-05 07:00:00,4.9677,H
2022-12-05 08:00:00,5.0888,H
2022-12-05 09:00:00,5.4682,H
2022-12-05 10:00:00,6.2725,H
2022-12-05 11:00:00,7.7252,H
2022-12-05 12:00:00,8.0935,H
2022-12-05 13:00:00,7.6922,H
2022-12-05 14:00:00,7.1542,H
2022-12-05 15:00:00,7.5578,H
2022-12-05 16:00:00,6.8665,H
2022-12-05 17:00:00,6.1533,H
2022-12-05 18:00:00,5.3993,H
2022-12-05 19:00:00,5.1922,H
2022-12-05 20:00:00,5.0523,H
2022-12-05 21:00:00,3.6225,H
2022-12-05 22:00:00,2.2695,H
2022-12-05 23:00:00,1.9275,H
2022-12-06 00:00:00,1.8007,H
2022-12-06 01:00:00,0.9985,H
2022-12-06 02:00:00,0.4272,H
2022-12-06 03:00:00,1.0535,H
2022-12-06 04:00:00,1.3465,H
2022-12-06 05:00:00,1.7645,H
2022-12-06 06:00:00,2.18,H
2022-12-06 07:00:00,2.4857,H
2022-12-06 08:00:00,2.6287,H
2022-12-06 09:00:00,3.393,H
2022-12-06 10:00:00,5.276,H
2022-12-06 11:00:00,6.9827,H
2022-12-06 12:00:00,7.1675,H
2022-12-06 13:00:00,7.4703,H
2022-12-06 14:00:00,6.102,H
2022-12-06 15:00:00,5.7603,H
2022-12-06 16:00:00,5.1748,H
2022-12-06 17:00:00,4.1843,H
2022-12-06 18:00:00,4.15,H
2022-12-06 19:00:00,4.15,H
2022-12-06 20:00:00,4.045,H
2022-12-06 21:00:00,3.8518,H
2022-12-06 22:00:00,3.6053,H
2022-12-06 23:00:00,3.5347,H
2022-12-07 00:00:00,3.5877,H
2022-12-07 01:00:00,3.5523,H
2022-12-07 02:00:00,3.5877,H
2022-12-07 03:00:00,3.5877,H
2022-12-07 04:00:00,3.3403,H
2022-12-07 05:00:00,3.1098,H
2022-12-07 06:00:00,2.7538,H
2022-12-07 07:00:00,1.655,H
2022-12-07 08:00:00,0.8325,H
2022-12-07 09:00:00,1.718,H
2022-12-07 10:00:00,4.6983,H
2022-12-07 11:00:00,7.369,H
2022-12-07 12:00:00,7.4735,H
2022-12-07 13:00:00,6.6467,H
2022-12-07 14:00:00,6.2045,H
2022-12-07 15:00:00,5.8115,H
2022-12-07 16:00:00,4.9148,H
2022-12-07 17:00:00,2.6243,H
2022-12-07 18:00:00,1.1637,H
2022-12-07 19:00:00,0.8332,H
2022-12-07 20:00:00,0.4272,H
2022-12-07 21:00:00,0.371,H
2022-12-07 22:00:00,-0.225,H
2022-12-07 23:00:00,0.6853,H
2022-12-08 00:00:00,0.7407,H
2022-12-08 01:00:00,-0.319,H
2022-12-08 02:00:00,-1.2845,H
2022-12-08 03:00:00,-1.8412,H
2022-12-08 04:00:00,-1.7642,H
2022-12-08 05:00:00,-1.3415,H
2022-12-08 06:00:00,-1.8225,H
2022-12-08 07:00:00,-1.7457,H
2022-12-08 08:00:00,-1.0757,H
2022-12-08 09:00:00,0.3152,H
2022-12-08 10:00:00,2.2818,H
2022-12-08 11:00:00,3.9512,H
2022-12-08 12:00:00,3.3642,H
2022-12-08 13:00:00,5.8425,H
2022-12-08 14:00:00,3.6753,H
2022-12-08 15:00:00,3.7285,H
2022-12-08 16:00:00,2.7325,H
2022-12-08 17:00:00,0.5918,H
2022-12-08 18:00:00,-0.7903,H
2022-12-08 19:00:00,-1.132,H
2022-12-08 20:00:00,-1.5338,H
2022-12-08 21:00:00,-1.9377,H
2022-12-08 22:00:00,-2.0932,H
2022-12-08 23:00:00,-1.9183,H
2022-12-09 00:00:00,-2.1317,H
2022-12-09 01:00:00,-2.7765,H
2022-12-09 02:00:00,-3.0722,H
2022-12-09 03:00:00,-2.678,H
2022-12-09 04:00:00,-2.5605,H
2022-12-09 05:00:00,-2.5605,H
2022-12-09 06:00:00,-2.3652,H
2022-12-09 07:00:00,-1.9958,H
2022-12-09 08:00:00,-1.8218,H
2022-12-09 09:00:00,-1.3225,H
2022-12-09 10:00:00,-0.961,H
2022-12-09 11:00:00,-0.1125,H
2022-12-09 12:00:00,0.2417,H
2022-12-09 13:00:00,0.0927,H
2022-12-09 14:00:00,0.316,H
2022-12-09 15:00:00,0.3347,H
2022-12-09 16:00:00,0.0928,H
2022-12-09 17:00:00,0.1303,H
2022-12-09 18:00:00,0.093,H
2022-12-09 19:00:00,0.2045,H
2022-12-09 20:00:00,0.3347,H
2022-12-09 21:00:00,0.483,H
2022-12-09 22:00:00,0.483,H
2022-12-09 23:00:00,0.5015,H
2022-12-10 00:00:00,0.594,H
2022-12-10 01:00:00,0.594,H
2022-12-10 02:00:00,0.6865,H
2022-12-10 03:00:00,0.705,H
2022-12-10 04:00:00,0.668,H
2022-12-10 05:00:00,0.5385,H
2022-12-10 06:00:00,0.483,H
2022-12-10 07:00:00,0.483,H
2022-12-10 08:00:00,0.52,H
2022-12-10 09:00:00,0.594,H
2022-12-10 10:00:00,0.6495,H
2022-12-10 11:00:00,0.7417,H
2022-12-10 12:00:00,0.668,H
2022-12-10 13:00:00,0.594,H
2022-12-10 14:00:00,0.5755,H
2022-12-10 15:00:00,0.52,H
2022-12-10 16:00:00,0.4275,H
2022-12-10 17:00:00,0.3347,H
2022-12-10 18:00:00,0.26,H
2022-12-10 19:00:00,0.26,H
2022-12-10 20:00:00,-0.2267,H
2022-12-10 21:00:00,-1.2653,H
2022-12-10 22:00:00,-1.0938,H
2022-12-10 23:00:00,-1.8218,H
2022-12-11 00:00:00,-1.5907,H
2022-12-11 01:00:00,-1.4947,H
2022-12-11 02:00:00,-1.265,H
2022-12-11 03:00:00,-1.5912,H
2022-12-11 04:00:00,-1.7833,H
2022-12-11 05:00:00,-2.0347,H
2022-12-11 06:00:00,-2.1513,H
2022-12-11 07:00:00,-3.1925,H
2022-12-11 08:00:00,-3.6497,H
2022-12-11 09:00:00,-2.7183,H
2022-12-11 10:00:00,-1.3445,H
2022-12-11 11:00:00,-0.5097,H
2022-12-11 12:00:00,-0.4335,H
2022-12-11 13:00:00,-1.0367,H
2022-12-11 14:00:00,-1.4945,H
2022-12-11 15:00:00,-1.7063,H
2022-12-11 16:00:00,-2.6015,H
2022-12-11 17:00:00,-3.61,H
2022-12-11 18:00:00,-4.2945,H
2022-12-11 19:00:00,-4.7843,H
2022-12-11 20:00:00,-5.0722,H
2022-12-11 21:00:00,-4.295,H
2022-12-11 22:00:00,-4.1122,H
2022-12-11 23:00:00,-4.4775,H
2022-12-12 00:00:00,-4.8462,H
2022-12-12 01:00:00,-5.2582,H
2022-12-12 02:00:00,-5.2997,H
2022-12-12 03:00:00,-5.4663,H
2022-12-12 04:00:00,-6.074,H
2022-12-12 05:00:00,-6.3282,H
2022-12-12 06:00:00,-6.456,H
2022-12-12 07:00:00,-6.2008,H
2022-12-12 08:00:00,-5.7383,H
2022-12-12 09:00:00,-5.0722,H
2022-12-12 10:00:00,-4.7432,H
2022-12-12 11:00:00,-4.3352,H
2022-12-12 12:00:00,-4.132,H
2022-12-12 13:00:00,-3.7695,H
2022-12-12 14:00:00,-3.9705,H
2022-12-12 15:00:00,-4.0713,H
2022-12-12 16:00:00,-4.213,H
2022-12-12 17:00:00,-4.3757,H
2022-12-12 18:00:00,-4.4978,H
2022-12-12 19:00:00,-4.559,H
2022-12-12 20:00:00,-5.0723,H
2022-12-12 21:00:00,-5.2997,H
2022-12-12 22:00:00,-5.4247,H
2022-12-12 23:00:00,-5.383,H
2022-12-13 00:00:00,-5.3622,H
2022-12-13 01:00:00,-5.383,H
2022-12-13 02:00:00,-5.6538,H
2022-12-13 03:00:00,-5.5497,H
2022-12-13 04:00:00,-5.7793,H
2022-12-13 05:00:00,-5.758,H
2022-12-13 06:00:00,-5.8212,H
2022-12-13 07:00:00,-6.011,H
2022-12-13 08:00:00,-6.011,H
2022-12-13 09:00:00,-5.5707,H
2022-12-13 10:00:00,-4.949,H
2022-12-13 11:00:00,-4.4372,H
2022-12-13 12:00:00,-4.3553,H
2022-12-13 13:00:00,-4.3553,H
2022-12-13 14:00:00,-3.8712,H
2022-12-13 15:00:00,-3.7898,H
2022-12-13 16:00:00,-3.85,H
2022-12-13 17:00:00,-3.79,H
2022-12-13 18:00:00,-3.5492,H
2022-12-13 19:00:00,-3.37,H
2022-12-13 20:00:00,-3.0922,H
2022-12-13 21:00:00,-2.9537,H
2022-12-13 22:00:00,-2.9737,H
2022-12-13 23:00:00,-2.7958,H
